"景点POI_ID","景点名称","列表展示起价","列表划线价","页面货币符号","币种代码（未提供则空）","明确免费标记","价格类型说明","平台价格类型代码","采集时间（UTC）","来源列表URL","价格适用说明"
"156437688","泰国曼谷 · BIGBANG 2026-2027 WORLD TOUR < XX : COSMOS > IN BANGKOK","","","¥","","否","","5","2026-08-31T02:25:37.000Z","https://you.ctrip.com/sight/bangkok191/s0-p3.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"148464463","曼谷大象营","360","","¥","","否","门票","2","2026-08-31T02:25:37.000Z","https://you.ctrip.com/sight/bangkok191/s0-p3.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"91565","考山路","0","","¥","","是","免费","4","2026-08-31T02:25:37.000Z","https://you.ctrip.com/sight/bangkok191/s0-p3.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"90775","克里普索人妖秀","180","244","¥","","否","门票","2","2026-08-31T02:25:37.000Z","https://you.ctrip.com/sight/bangkok191/s0-p3.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"155036283","泰国曼谷 · The Weeknd《After Hours Til Dawn》巡演","","","¥","","否","","5","2026-08-31T02:25:37.000Z","https://you.ctrip.com/sight/bangkok191/s0-p3.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"77013","玉佛寺","102","102","¥","","否","门票","2","2026-08-31T02:25:37.000Z","https://you.ctrip.com/sight/bangkok191/s0-p3.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"22847071","水门寺","0","","¥","","是","免费","4","2026-08-31T02:25:37.000Z","https://you.ctrip.com/sight/bangkok191/s0-p3.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"10524190","唐人街 (耀华力路)","0","","¥","","是","免费","4","2026-08-31T02:25:37.000Z","https://you.ctrip.com/sight/bangkok191/s0-p3.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"148897097","曼谷人妖秀","","","¥","","否","","5","2026-08-31T02:25:37.000Z","https://you.ctrip.com/sight/bangkok191/s0-p3.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"144303215","皇家银河号夜游湄南河","278","386","¥","","否","门票","2","2026-08-31T02:25:37.000Z","https://you.ctrip.com/sight/bangkok191/s0-p3.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"145753305","曼谷海军射击场","180","","¥","","否","门票","2","2026-08-31T02:25:41.000Z","https://you.ctrip.com/sight/bangkok191/s0-p4.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"148805194","曼谷游船观光","","","¥","","否","","5","2026-08-31T02:25:41.000Z","https://you.ctrip.com/sight/bangkok191/s0-p4.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"148897112","曼谷射击","","","¥","","否","","5","2026-08-31T02:25:41.000Z","https://you.ctrip.com/sight/bangkok191/s0-p4.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"77031","曼谷国家博物馆","","","¥","","否","","5","2026-08-31T02:25:41.000Z","https://you.ctrip.com/sight/bangkok191/s0-p4.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"156413887","泰国曼谷 · ENJOY THE SHOW WORLD TOUR","586","","¥","","否","门票","2","2026-08-31T02:25:41.000Z","https://you.ctrip.com/sight/bangkok191/s0-p4.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"33589785","白玉兰号夜游湄南河","128","285","¥","","否","门票","2","2026-08-31T02:25:41.000Z","https://you.ctrip.com/sight/bangkok191/s0-p4.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"13242741","朱拉隆功大学","0","","¥","","是","免费","4","2026-08-31T02:25:41.000Z","https://you.ctrip.com/sight/bangkok191/s0-p4.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"143166389","奥彼林号夜游湄南河","278","407","¥","","否","门票","2","2026-08-31T02:25:41.000Z","https://you.ctrip.com/sight/bangkok191/s0-p4.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"33573594","璀璨明珠号夜游湄南河","238","407","¥","","否","门票","2","2026-08-31T02:25:41.000Z","https://you.ctrip.com/sight/bangkok191/s0-p4.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"77017","四面佛","0","","¥","","是","免费","4","2026-08-31T02:25:41.000Z","https://you.ctrip.com/sight/bangkok191/s0-p4.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"154193220","泰国曼谷 · Post Malone Presents The BIG Stadium World Tour","","","¥","","否","","5","2026-08-31T02:25:45.000Z","https://you.ctrip.com/sight/bangkok191/s0-p5.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"10570792","曼谷梦幻世界","225","244","¥","","否","门票","2","2026-08-31T02:25:45.000Z","https://you.ctrip.com/sight/bangkok191/s0-p5.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"143993422","曼谷陆军射击场","329","","¥","","否","门票","2","2026-08-31T02:25:45.000Z","https://you.ctrip.com/sight/bangkok191/s0-p5.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"154234360","泰国曼谷 · 2026-27 BABYMONSTER WORLD TOUR [춤 (CHOOM)] IN BANGKOK","","","¥","","否","","5","2026-08-31T02:25:45.000Z","https://you.ctrip.com/sight/bangkok191/s0-p5.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"20905348","曼谷夜市摩天轮","134","","¥","","否","门票","2","2026-08-31T02:25:45.000Z","https://you.ctrip.com/sight/bangkok191/s0-p5.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"33566792","昭披耶公主号夜游湄南河","180","407","¥","","否","门票","2","2026-08-31T02:25:45.000Z","https://you.ctrip.com/sight/bangkok191/s0-p5.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"24648969","彩虹云霄拜约克摩天塔","79.99","175","¥","","否","门票","2","2026-08-31T02:25:45.000Z","https://you.ctrip.com/sight/bangkok191/s0-p5.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"154050845","曼谷citywalk","","","¥","","否","","","2026-08-31T02:25:45.000Z","https://you.ctrip.com/sight/bangkok191/s0-p5.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"15011654","汤之森日式温泉馆(Sukhumvit 26店)","125","","¥","","否","门票","2","2026-08-31T02:25:45.000Z","https://you.ctrip.com/sight/bangkok191/s0-p5.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"134009241","查德夜市","0","","¥","","是","免费","4","2026-08-31T02:25:45.000Z","https://you.ctrip.com/sight/bangkok191/s0-p5.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"77038","暹罗水上乐园","140","275","¥","","否","门票","2","2026-08-31T02:25:49.000Z","https://you.ctrip.com/sight/bangkok191/s0-p6.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"142853349","曼谷世界","","","¥","","否","","5","2026-08-31T02:25:49.000Z","https://you.ctrip.com/sight/bangkok191/s0-p6.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"148838661","曼谷SPA","","","¥","","否","","5","2026-08-31T02:25:49.000Z","https://you.ctrip.com/sight/bangkok191/s0-p6.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"148897124","曼谷泰拳表演","","","¥","","否","","5","2026-08-31T02:25:49.000Z","https://you.ctrip.com/sight/bangkok191/s0-p6.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"77014","卧佛寺","","","¥","","否","","5","2026-08-31T02:25:49.000Z","https://you.ctrip.com/sight/bangkok191/s0-p6.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"156363798","泰国曼谷 · Khalid: It's Always Summer Somewhere Tour in Bangkok","","","¥","","否","","5","2026-08-31T02:25:49.000Z","https://you.ctrip.com/sight/bangkok191/s0-p6.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"96118","曼谷杜莎夫人蜡像馆","72","202","¥","","否","门票","2","2026-08-31T02:25:49.000Z","https://you.ctrip.com/sight/bangkok191/s0-p6.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"67829883","玛丽莲号夜游湄南河","114","","¥","","否","门票","2","2026-08-31T02:25:49.000Z","https://you.ctrip.com/sight/bangkok191/s0-p6.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"156358122","泰国曼谷 · Zara Larsson - Midnight Sun Tour","","","¥","","否","","5","2026-08-31T02:25:49.000Z","https://you.ctrip.com/sight/bangkok191/s0-p6.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"151593125","诺亚方舟号湄南河游船","140","305","¥","","否","门票","2","2026-08-31T02:25:49.000Z","https://you.ctrip.com/sight/bangkok191/s0-p6.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"156625623","泰国曼谷 · Bruno Mars - The Romantic Tour","","","¥","","否","","5","2026-08-31T02:25:53.000Z","https://you.ctrip.com/sight/bangkok191/s0-p7.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"22847051","拉贾曼加拉体育场","0","","¥","","是","免费","4","2026-08-31T02:25:53.000Z","https://you.ctrip.com/sight/bangkok191/s0-p7.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"31981223","曼谷射击场","520","","¥","","否","门票","2","2026-08-31T02:25:53.000Z","https://you.ctrip.com/sight/bangkok191/s0-p7.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"156622409","泰国巴革 · Maroon 5 演唱会","","","¥","","否","","5","2026-08-31T02:25:53.000Z","https://you.ctrip.com/sight/bangkok191/s0-p7.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"156409089","泰国曼谷 · 808 Festival 2026","809","","¥","","否","门票","2","2026-08-31T02:25:53.000Z","https://you.ctrip.com/sight/bangkok191/s0-p7.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"155071584","泰国曼谷 · wave to earth 2026《the pieces》巡演","","","¥","","否","","5","2026-08-31T02:25:53.000Z","https://you.ctrip.com/sight/bangkok191/s0-p7.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"77030","伦披尼公园","0","","¥","","是","免费","4","2026-08-31T02:25:53.000Z","https://you.ctrip.com/sight/bangkok191/s0-p7.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"156412163","泰国巴革 · BOYNEXTDOOR 2026-2027 《KNOCK ON Vol.2》巡演","","","¥","","否","","5","2026-08-31T02:25:53.000Z","https://you.ctrip.com/sight/bangkok191/s0-p7.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"156353477","泰国巴革 · Stray Kids 2026《RUN IT》世界巡演","","","¥","","否","","5","2026-08-31T02:25:53.000Z","https://you.ctrip.com/sight/bangkok191/s0-p7.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"61157240","曼谷YoYo Land 室内游乐园","","","¥","","否","","5","2026-08-31T02:25:53.000Z","https://you.ctrip.com/sight/bangkok191/s0-p7.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"154258927","泰国曼谷 · Fujii Kaze Prema World Tour in Bangkok","","","¥","","否","","5","2026-08-31T02:25:58.000Z","https://you.ctrip.com/sight/bangkok191/s0-p8.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"149280157","奢丽白号湄南河游船","133","261","¥","","否","门票","2","2026-08-31T02:25:58.000Z","https://you.ctrip.com/sight/bangkok191/s0-p8.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"10523392","帕蓬夜市","0","","¥","","是","免费","4","2026-08-31T02:25:58.000Z","https://you.ctrip.com/sight/bangkok191/s0-p8.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"156622432","泰国巴革 · Westlife 25周年演唱会","","","¥","","否","","5","2026-08-31T02:25:58.000Z","https://you.ctrip.com/sight/bangkok191/s0-p8.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"136007422","素坤逸路","0","","¥","","是","免费","4","2026-08-31T02:25:58.000Z","https://you.ctrip.com/sight/bangkok191/s0-p8.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"155051089","泰国曼谷 · Jason Mraz 2026 亚洲巡演","","","¥","","否","","5","2026-08-31T02:25:58.000Z","https://you.ctrip.com/sight/bangkok191/s0-p8.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"136007534","暹罗百丽宫","0","","¥","","是","免费","4","2026-08-31T02:25:58.000Z","https://you.ctrip.com/sight/bangkok191/s0-p8.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"153412577","MELAND(Bangkok SIAM PARAGON)","57","","¥","","否","门票","2","2026-08-31T02:25:58.000Z","https://you.ctrip.com/sight/bangkok191/s0-p8.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"149938826","曼谷时空魔方博物馆","","","¥","","否","","5","2026-08-31T02:25:58.000Z","https://you.ctrip.com/sight/bangkok191/s0-p8.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"155055495","泰国曼谷 · Lonely Loud Fest 音乐节 2026","","","¥","","否","","5","2026-08-31T02:25:58.000Z","https://you.ctrip.com/sight/bangkok191/s0-p8.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"149543799","曼谷泰式烹饪课程","","","¥","","否","","","2026-08-31T02:26:02.000Z","https://you.ctrip.com/sight/bangkok191/s0-p9.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"154241279","超级银河号湄南河游船","300","","¥","","否","门票","2","2026-08-31T02:26:02.000Z","https://you.ctrip.com/sight/bangkok191/s0-p9.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"98349","伦披尼拳击馆","199","","¥","","否","门票","2","2026-08-31T02:26:02.000Z","https://you.ctrip.com/sight/bangkok191/s0-p9.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"154168912","泰国巴革 · MY CHEMICAL ROMANCE 2026 亚洲巡演","","","¥","","否","","5","2026-08-31T02:26:02.000Z","https://you.ctrip.com/sight/bangkok191/s0-p9.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"18687606","那那夜间娱乐城","0","","¥","","是","免费","4","2026-08-31T02:26:02.000Z","https://you.ctrip.com/sight/bangkok191/s0-p9.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"118481279","奥朗卡号夜游湄南河","198","222","¥","","否","门票","2","2026-08-31T02:26:02.000Z","https://you.ctrip.com/sight/bangkok191/s0-p9.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"148914475","曼谷泰装体验","","","¥","","否","","","2026-08-31T02:26:02.000Z","https://you.ctrip.com/sight/bangkok191/s0-p9.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"149571654","暹罗天地公园","","","¥","","否","","5","2026-08-31T02:26:02.000Z","https://you.ctrip.com/sight/bangkok191/s0-p9.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"153992092","曼谷Akara哈奴曼天空之境","114","","¥","","否","门票","2","2026-08-31T02:26:02.000Z","https://you.ctrip.com/sight/bangkok191/s0-p9.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"150019150","萨瓦迪昭披耶号湄南河游船","191","","¥","","否","门票","2","2026-08-31T02:26:02.000Z","https://you.ctrip.com/sight/bangkok191/s0-p9.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"97364540","洽图洽周末市集","0","","¥","","是","免费","4","2026-08-31T02:26:06.000Z","https://you.ctrip.com/sight/bangkok191/s0-p10.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"156429941","泰国曼谷 · INK WARUNTORN《Synthphony》演唱会","","","¥","","否","","5","2026-08-31T02:26:06.000Z","https://you.ctrip.com/sight/bangkok191/s0-p10.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"154259098","泰国巴革 · JOJI 2026《SOLARIS》巡回演唱会","","","¥","","否","","5","2026-08-31T02:26:06.000Z","https://you.ctrip.com/sight/bangkok191/s0-p10.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"155075512","泰国曼谷 · CAT EXPO BANGKOK 音乐节 2026","","","¥","","否","","5","2026-08-31T02:26:06.000Z","https://you.ctrip.com/sight/bangkok191/s0-p10.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"18687620","牛仔街","0","","¥","","是","免费","4","2026-08-31T02:26:06.000Z","https://you.ctrip.com/sight/bangkok191/s0-p10.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"149858536","嘉年华号湄南河游船","189.3","508","¥","","否","门票","2","2026-08-31T02:26:06.000Z","https://you.ctrip.com/sight/bangkok191/s0-p10.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"155110170","泰国巴革 · GFEST 2026 马拉松演唱会","","","¥","","否","","5","2026-08-31T02:26:06.000Z","https://you.ctrip.com/sight/bangkok191/s0-p10.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"154502505","泰国曼谷 · 5 Seconds of Summer《Everyone’s A Star!》巡演","","","¥","","否","","5","2026-08-31T02:26:06.000Z","https://you.ctrip.com/sight/bangkok191/s0-p10.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"150890907","JJHall","","","¥","","否","","5","2026-08-31T02:26:06.000Z","https://you.ctrip.com/sight/bangkok191/s0-p10.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"156473188","泰国曼谷 · 金允植&朴时宇 粉丝见面会","","","¥","","否","","5","2026-08-31T02:26:06.000Z","https://you.ctrip.com/sight/bangkok191/s0-p10.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
