parentPoiId,merchantCount,sampleMerchants,reason
B0FFIXXJL4,8,正宗织金烙锅(花果园半山小镇X区店)；茶百道(花果园X区店)；小彭烤肉；华莱士·全鸡汉堡(半山小镇店)；咱家铁锅炖(花果园半山小镇店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFH21YAN,7,惠诚滋知(花果园2店)；浏福记北京烤鸭(花果园一期店)；贵厨酸汤牛肉(花果园一期店)；逍遥水涟洞重庆火锅；匠人渝面(花果园店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFH2I63H,7,舌跳跳(花果园Q区店)；回头客坨坨肉(花果园店)；夜逍遥自助烧烤(花果园Q区店)；夜猫子烧烤·烤肉·炒饭(花果园店)；潘记参鱼片椒麻鱼(花果园Q区店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHI0V81,7,鱼虾争霸司马烤鱼(花果园M区店)；椰林烤鱼(花果园店)；刘老四(花果园M区店)；川心美蛙鱼头火锅(花果园M区店)；丑妹哥正宗猪脚火锅(花果园M区店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHLO5AK,7,菌满园野生菌肉饼鸡(花果园店)；黔园断桥青椒鱼青椒美蛙鱼(花果园一期店)；贵之圆燃馄饨冷水汤圆(花果园一期店)；曹氏热卤冒菜(花果园店)；鲜啤福鹿家(花果园店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0LUZCUKH7,7,聚鲜阁蒸汽海鲜(花果园M区店)；宋文成烤肉(M区店)；正宗云南过桥米线；猛火小灶(花果园M区店)；凉皮先生·米线·肉夹馍·酸辣粉(花果园店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHJI7CU,6,CHAGEE霸王茶姬(花果园V区店)；欧洲田园蛋糕(花果园v区店)；蜜雪冰城(花果园V区北京八中店)；黔五福贵州特产(花果园四分店)；瑞幸咖啡(花果园V区店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHO7Z11,6,红天下酒楼(金融街店)；陈氏隆江猪脚饭(花果园店)；他先生豆米豆豉酸辣烫(金融街店)；云上红牌铁板烧(花果园一期店)；熏·木野美式果木熏烤(金融街店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHOR4W7,6,惠诚滋知(花果园半山小镇店)；鱼虾争霸(贵阳花果园店)；蜜雪冰城(半山小镇X区店)；瑞幸咖啡(贵阳半山小镇店)；沪上阿姨·精选茶饮(贵阳花果园半山小镇店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFI2LQ41,6,牛滋味苗乡酸汤牛肉(花果园一期店)；安顺牛肉牛杂粉(花果园一期店)；小哥福鼎肉片(花果园一期店)；烙锅8花果园店；14栋2-13门面栋留一手特色烤鱼,高德 ID 查询未返回该父 POI；不从地址猜名称
B0HUAU7P7Q,6,饭点私房菜(绿地新都会店)；珍味鲜野生菌火锅(白云绿地店)；大方六龙豆干火锅；贵阳白云北高铁站亚朵酒店·自助餐厅；冒大仙,高德 ID 查询未返回该父 POI；不从地址猜名称
B0IGC7EDVZ,6,喜滋味酸汤牛肉；吴记鲜烤小黄鱼(万科大都会店)；重庆江湖菜；广仔干蒸餐饮店；大龙活油烙锅,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFGAC52C,5,黔门食府(绿地·联盛国际店)；高山辣鸡粉(绿地·联盛国际店)；螺鼎记螺蛳粉(绿地联盛店)；御膳粥记；正宗盘县普田铜锅牛肉(观山湖店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFGAGYND,5,书亦烧仙草(贵阳观山湖区绿地联盛店)；贵阳老素粉(绿地·联盛国际店)；大方·六龙豆干火锅(观山湖区店)；猪骨吏汤粉(绿地·联盛国际店)；任小记砂锅饭砂锅粉(绿地·联盛国际店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHI0U7P,5,灌木咖啡(兰花广场店)；大斌家串串火锅(兰花广场店)；大盛地摊火锅(兰花广场店)；品味金牌烙锅(第十二分店)；一绝干香板筋王(花果园店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHI0XBB,5,苏格里岛自助烧烤火锅(花果园店)；德克士(兰花广场店)；私淑蚝鲜生•鸡汤生蚝烙锅(花果园店)；府上人间美味天麻猪肚鸡(花果园店)；老煌灶特色鲜鱼杂火锅,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHI1ETI,5,星火土灶柴火鸡肥肠鸡(花果园M区店)；徐记满香园；黄凳儿豌杂面；陈记惠水干锅马肉；余家山辣子鸡,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHI1F24,5,余庆乡村剔骨鸭(M区店)；柴老弟素粉馆(花果园M区店)；柳州肥姨妈大骨螺蛳粉(花果园M区店)；二妹豆豆牛肉火锅(花果园M区店)；果千言自定义千层(花果园店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHNS01T,5,蜜雪冰城(山水黔城店)；刘二妈米皮(山水黔城店)；享哆味汉堡炸鸡(花溪山水黔城店)；三友牛肉粉；NOWWA挪瓦咖啡(24客贵阳南明小河山水黔城店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHOSQ4P,5,蒸品源(延安南路店)；库迪咖啡(花果园S区店)；四合院家香奶皮子手工酸奶(花果园S区店)；桥头年猪饭；铜锅涮羊肉,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFIDHWFN,5,隆江猪脚饭(花果园V区店)；蒋群蒋家肠旺面(花果园V区店)；万福楼茶餐厅；食本香地摊火锅(亚太店)；高山辣鸡粉V区店,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFIRS6O9,5,壹贰料理(逸天城店)；CHAGEE霸王茶姬(贵州贵阳逸天城店)；酸奶罐罐(贵阳南明逸天城店)；锣圆圆铜锣烧(国贸逸天城购物中心店)；焱石石烧牛排馆(国贸逸天城购物中心店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFIVE1OO,5,礼和记小吃(麒龙金翠湾店)；碧海天府棒棒鸡(碧海南路店)；向伍老灶特色烤鸡(碧海花园店)；百年沿山冰棍铺(麒龙金翠湾店)；观山湖区碧海刘老四烤鸡,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFIZM7R1,5,司马烤鱼(花果园V区店)；他先生豆米豆豉酸辣烫火锅(V区店)；陈氏烤鸡(花果园店)；村上谢大勺柴火鸡(花果园V区店)；蜀渝拌·重庆凉拌菜(花果园店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0H3JU3CZB,5,隐舍24h自助茶室·棋牌(富力新天地店)；苗家砂锅酸辣烫(富力新天地店)；王记豆米火锅野菜馆(富力新天地店)；海里家里鲜切三文鱼；乡里乡亲土菜馆(富力新天地店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0IAMK5RR5,5,习水豆腐皮火锅(银河世纪店)；绝味鸭脖(银河世纪店)；重庆通远门老火锅(清镇店)；罗杨记水城羊肉粉；百世盛宴,高德 ID 查询未返回该父 POI；不从地址猜名称
B0JB161N34,5,蔡菜·一锅香(富力新天地店)；陕西老碗面(富力新天地店)；香榭大道艺术咖啡餐厅(富力新天地店)；文西宴会；西西花廊·花园餐厅·私宴(富力新天地店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0KGSCKL4V,5,遵义虾子羊肉粉(砂之船路店)(暂停营业)；金陵灌汤小笼包(中南·林樾店)；快餐1号；遵义豆花面(中南林樾店)；辣婆俚·南昌拌粉瓦罐汤(龙洞堡店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0LUGCMY42,5,蒋家肠旺面(花果园店)；烤哩啊馆韩国料理(花果园店)；茶百道(贵阳花果园兰花广场店)；广东潮州砂锅粥(花果园店)；爷爷不泡茶NOYEYENOTEA(贵阳花果园兰花广场店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFFE35HV,4,疆粉儿·新疆炒米粉(百花新城店)；雅玲铁板烧(百花新城店)；云姐安顺夺夺粉火锅店(清镇二店)；蜜雪冰城(百花新城店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFFGM4B1,4,刘姨妈米皮(大南门店)；忆味贵阳老奶牛肉粉；多彩洋芋国美食城；董家洋芋片(正新街店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFGAET92,4,鞑靼碳烤羊腿(花果园金融街店)；冯大师鸭爪爪特色火锅(花果园店)；魏家青鱼塘螺蛳(花果园店)；嘴巴馋野佐料酸汤牛肉火锅花果园白宫店•鲜切小黄牛•贵阳特色,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFGD3OQ7,4,留一手特色烤鱼(广州路店)；胖子烤肉(中铁·逸都国际B区店)；佳禹餐饮·老城豆花面(中铁逸都店)；瑞幸咖啡(中铁逸都店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFGTOCI3,4,星火土灶柴火鸡(金融街店)；菌伞伞野生菌火锅(金融街店)；盘县铜锅牛肉(花果园E区店)；和必德大食堂,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFH25C8I,4,汇惠选老凯里酸汤鱼留一手烤鱼；遵义千江味洪桥烤鸡；牛华八婆麻辣烫(贵阳首店)；渝师兄重庆老火锅(花果园财富广场店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHDRZUQ,4,刘老四烤鸭(贵阳花果园店)；华莱士·全鸡汉堡(小车河路店)；苗乡一绝瓦罐豆花烤鱼(贵阳总店)；坝坝活油烙锅(花果园T1区),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHHLWE4,4,徐记特色豆米火锅(花果园V区店)；丽娟家常菜(花果园V区店)；遵义原汤蹄花；陈三妹地摊火锅,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHI0V7Y,4,他先生豆米豆豉酸辣烫火锅(M区店)；正宗福建千里香馄饨王；杨勇方香辣掌翅(花果园分店)；苗老九酸汤砂锅粉(花果园店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHI2N01,4,羊城西饼(花果园兰花广场店)；惠诚滋知(花果园五店)；喜茶(贵阳花果园兰花广场店)；luckin coffee 瑞幸咖啡(贵阳街立交店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHLLBUW,4,黔味飘香黄焖鸡米饭(白云店)；干锅仔姜鸭(朝晖路店)；雪芬野生菌火锅店；冒菜西施(白云店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFIP2N0M,4,六盘水羊肉粉(绿地新都会店)；福建千里香馄饨(绿地新都会分店)；湘黔旺角美食；孔师土砂锅烙烤,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFJELALY,4,鱼你在一起(贵阳花果园店)；花果园田孃素粉T区店；有家小豆腐(花果园T1区店)；黔小锅地摊火锅(花果园店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFL8FK44,4,金顶老夏妈家清水烫(金龙国际分店)；心做美食(金龙国际花园店)；杨永权毛肚火锅(金龙国际花园店)；唏嘛香牛肉面,高德 ID 查询未返回该父 POI；不从地址猜名称
B0I0OK1CJN,4,荣膳荷水城羊肉粉(腾龙湾店)；他先生豆米豆豉酸辣烫(滕龙湾店)；七叔家小肥猪地摊火锅腾龙湾店；金顶山小梅孃清水烫(腾龙湾店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0I0OKY7YV,4,666碳烤肥牛烤肉店(万科大都会南区店)；柴老弟素粉馆(小河万科店)；幺妹活油烙锅(万科大都会南区店)；闵眼镜活油烙锅(小河万科店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0IAMK8B7F,4,火上功夫烧烤(恒大宾河左岸店)；重庆巷子老火锅；好一口馋嘴剪粉(恒大滨河左岸店)；何记美蛙鱼(恒大宾河左岸店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0IGC7GROQ,4,遵义青菜牛肉；兰州牛肉拉面(富力新天地店)；榕超牛瘪餐饮富力中心店；桥头杀猪饭,高德 ID 查询未返回该父 POI；不从地址猜名称
B0IRRNBBJJ,4,黔五福贵州特产(长江路二分店)；刘老四烤鸡(华榕商厦店)；陈氏烤鸡(华榕商厦店)；黔厨自助快餐,高德 ID 查询未返回该父 POI；不从地址猜名称
B0IU3KD5WS,4,贵阳特色豆米火锅野菜馆开阳总店；龙大哥辣子鸡(开阳金湖店)；新疆艾比白羊羔烤肉店；山岔鱼庄(金湖中心分店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0JANSKYXO,4,遵义羊肉粉；余庆乡村剔骨鸭(观清路店)；猩猩烤排(云潭南路店)；栖湖小厨·酸汤鱼·酸汤牛肉(观山湖店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0JB1668TX,4,华莱士·全鸡汉堡(孟关花溪首府店)；沙县小吃(花溪碧桂园店)；甑香卤鹅(碧桂园店)；营盘路老地方纯牛肉粉,高德 ID 查询未返回该父 POI；不从地址猜名称
B0JGVS6QQ4,4,十里香地摊火锅；山城重庆小面馆(半岛国际店)；吴记烧椒牛肉火锅；修文县锐釜餐饮店,高德 ID 查询未返回该父 POI；不从地址猜名称
B0KG5S9NQ5,4,遵义豆花面；念香巨霸带皮牛肉粉(总店)；豪锦花溪牛肉粉；丹姐的手作食光,高德 ID 查询未返回该父 POI；不从地址猜名称
B0KGPKT99O,4,857烙锅(恒大中央广场店)；蜜雪冰城(印象贵州店)；华莱士·全鸡汉堡(恒大中央广场店)；观山湖区徐老贰肠旺面店(观山湖店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0L17O97M1,4,刘老四烤鸡(狮峰路店)；蒋记惠水苗家干锅马肉(狮峰路店)；特色干香脆肚(狮峰路店)；阿昆烤肉大排档,高德 ID 查询未返回该父 POI；不从地址猜名称
B0L6UHHNNJ,4,江记炖鸡饭；土黄牛肉粉(颐华府店)；张记炖鸡饭(颐华府店)；鱼渔乡,高德 ID 查询未返回该父 POI；不从地址猜名称
B03530OLAB,3,黔西谢素粉(白云二中店)；老吉家乡特色干锅(白云店)；源滚滚青菜牛肉火锅,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFFGM3V5,3,酸海椒.贵州小炒(大十字店)；诗纯自助烤肉；贵阳第一家合江豆花火锅,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFG0LQZ0,3,合菜馆·豆腐皮火锅(新添店)；老锅习水特色豆腐皮火锅(蓝波湾·新天卫城卫央街区店)；塔斯汀中国汉堡(贵阳市乌当正德家邦店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFGA10QZ,3,留一手烤鱼(花果园店)；花烙园中织金烙锅；一家亲新疆大串羊肉串,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFGADOUL,3,正秋干锅脆肚(花果园C区店)；老字号何姨妈风味豆豉火锅花果园店(白宫旁)；胖小厨(花果园C区店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFGAGX81,3,周记热汤丝娃娃·老贵阳小吃(绿地联盛店)；小椒情小龙虾；刘荣欢叉烧,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFGJAJSL,3,王妈妈辣鸡粉(花果园C区店)；喜三德甜品(花果园店)；鱼鱼鱼-三文鱼-横县鱼生,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFGJUXAT,3,绝味鸭脖(白云恒大店)；渔水情参鱼片(恒大城店)；旭兴豆花小院(恒大城店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFGTPDU3,3,隆江秘制猪脚饭(绿地·联盛国际店)；老毕节燃饺皮；外婆炖鸡饭(金阳店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFH2GZOC,3,钱记小厨(大唐店)；雀三喜(贵州自然零食·阿云朵仓店)；藏海茶坊,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFH2KPUH,3,贵州龙(金顶山店)；济明螺蛳(花果园A区南区店)；朱记竹签烤肉店(花果园A区南区店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHCYFZ1,3,拌粉西施·南昌拌粉·瓦罐汤(花果园财富广场店)；城市人家原汤豆米火锅(财富广场二号楼店)；黔城湘社区厨房(第五分店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHLKB8A,3,库迪咖啡(贵阳富力中心A2栋店)；刘二妈米皮(富力中心店)；农家粉(富力中心店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHLP0HY,3,瑞幸咖啡(腾祥迈德国际A3店)；观山印象；老贵阳肠旺面湖南面(诚信路店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHM0EGL,3,水城牛羊肉杂粉(小易牛羊肉杂粉)；地摊烧椒牛肉；瑞幸咖啡(白云区同心西路店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHM2DQR,3,贵阳特色豆米火锅野菜馆(修文店)；炭圆素烧烤(利尔·上河城店)；仙嬢嬢羊汤锅(修文店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHM79WR,3,满姨妈酸汤(中天渔安新城B组团店)；牛滋味凯里酸汤牛肉(渔安新城店)；俩小孩盘州铜锅牛肉(渔安新城店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHNHWPR,3,张记木桶鱼(开磷盛世新城店)；云南天麻火腿鸡店；辣龙门成都清油火锅(开阳店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHOH1PJ,3,吴家肠旺面鸡丝豆花面(二桥店)；滋滋享辣子鸡；77爆浆小豆腐坨坨肉,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHXL93Q,3,清镇豆豉火锅总店；熹焱·石板烧；安顺牛肉粉,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFIDBQ9E,3,东北饺子馆(花果园Q区店)；麻爪爪(贵阳花果园Q区店)；李御坊北京烤鸭(花果园Q区店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFIDHNUV,3,东北米线；柒米烘焙；四季餐馆·贵州菜(花果园V区店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFIQFFYM,3,川黔小菜馆；鱼虾争霸司马烤鱼(贵阳花果园店)；杨久锅活油烙锅,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFIRVS1G,3,羊城西饼(小车河店)；菌哥哥高峰野生菌火锅；鸡柳大人(花果园L1区店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFIZMFPU,3,黔鹅娘生态民俗火锅店；超级堡(多彩贵州城店)；喻家龙门·毕节汤圆(多彩贵州城店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFJDPFQ2,3,三十野新派云贵米线(德福中心店)；杨记遵义豆花面(老素粉)；娄锅旋转小火锅(德福中心店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFJEL7VZ,3,九里香肠旺面(花果园分店)；惠诚滋知(花果园三店)；南明雪山酸汤鱼食府,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFK871HT,3,金奖牛肉粉(溪湖店)；星野禾作蛋糕店(保利溪湖店)；沙土羊肉粉花溪保利溪湖店,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFKK40AG,3,马哥功夫手工面清真(金融公寓F座店)；观山小厨；倒满(金融城店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0IA95NRIO,3,土风豆米火锅(中天未来方舟H4组团店)；盘县普田铜锅牛肉(未来方舟店)；嗨食重庆老火锅(未来方舟店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0IAMK4XGI,3,钰膳坊北京烤鸭(清镇店)；王记小二牛肉馆；蜜丝蜜糖(清镇店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0IAMK7KJD,3,王记酱爆烤肉(同心店)；郝妹小豆腐；鑫记留一手烤鱼(同心路店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0IAMK8754,3,野串生·烤牛肉(富力新天地店)；麻爪爪(贵阳富力新天地店)；左城相盘州铜锅牛肉(富力总店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0IAMK8C61,3,李好味鸭脖(碧潭园·珑玥店)；六毛酸辣烫(新世界店)；瓦罐菌汤鹅肉粉,高德 ID 查询未返回该父 POI；不从地址猜名称
B0ID0KDQH4,3,黔山粤水酒楼；烤百味豆花烤鱼(富力新天地店)；高姨妈秘制烧烤,高德 ID 查询未返回该父 POI；不从地址猜名称
B0ID25PNKY,3,富群烤肉；一烙锅(太慈桥店)；赤水竹笋黑豆花火锅(青山小区店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0IRRKAKYP,3,四季飘香包坊(碧桂园贵阳1号鼎园店)；新疆美味特色烤羊肉串(碧桂园贵阳1号鼎园店)；可乐家特色烙锅,高德 ID 查询未返回该父 POI；不从地址猜名称
B0IRRNA7U0,3,小河小成故事(榕筑大厦店)；大方六龙豆干火锅(榕筑大厦店)；老莆式煎包(小河店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0IRRNF1WD,3,何记永红牛肉粉(溪山御景店)；赤水黑豆花火锅(溪山店)；醉美小龙虾(甲秀南路店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0J2G74V72,3,欧尼拌饭屋(万科大都会花样店)；白小甜手工酸奶(盘江路店)；大老壳牛肉粉(小河店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0J6S6WA2G,3,新疆好兄弟美味羊肉烧烤王(碧桂园贵安1号天域苑店)；张记花江狗肉店；正宗新疆羊肉串,高德 ID 查询未返回该父 POI；不从地址猜名称
B0J6S6Z2G5,3,淳橱(孟关碧桂园店)；军记重庆留一手烤鱼(孟关店)；遵义竹签酱爆烤肉,高德 ID 查询未返回该父 POI；不从地址猜名称
B0J6SK38ON,3,新疆买买提千好友烤肉(孟关店)；鲜鹅庄(碧桂园店)；村上安·本草茶(花溪店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0JA6SI17J,3,笔记安顺夺夺粉；茶己；豆凑小吃店,高德 ID 查询未返回该父 POI；不从地址猜名称
B0JANSKYZC,3,王老大快餐(麒龙金翠湾店)；贵阳市观山湖区倪记潮汕原味汤粉店；鸿福铁板烧,高德 ID 查询未返回该父 POI；不从地址猜名称
B0JAPU0RF8,3,武一火锅乡村小炒(花溪店)；兰州拉面刀削面(阳光花园店)；一盏幽香茶艺馆,高德 ID 查询未返回该父 POI；不从地址猜名称
B0JAYZAW4A,3,广东石磨肠粉(恒大店)；水城老羊头羊肉粉羊肉火锅；胡记老素粉,高德 ID 查询未返回该父 POI；不从地址猜名称
B0JB163CA3,3,汁味花溪原汤牛肉粉(德福中心店)；覃胖胖水城羊肉粉；黔王煎饼·肠粉(德福中心店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0JG0UDZ9B,3,杨小平幺铺毛肚火锅(贵安分店)；盘州铜锅牛肉(贵安一号店)；金牌烙锅(贵安一号总店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0JG5SXDQW,3,马老三烤鲜牛肉(黔灵东路店)；如末砂锅粉(黔灵东路总店)；一黔·贵州米线(黔灵东路店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0K07HFPS1,3,李记留一手特色烤鱼；胖子烤鱼；食汇火锅,高德 ID 查询未返回该父 POI；不从地址猜名称
B0KUBUY2I2,3,进京赶烤；游炭长·烧烤；何记烤鲜牛肉,高德 ID 查询未返回该父 POI；不从地址猜名称
B0L2O1X3YA,3,织金姐妹烙锅·土烙锅；苏记留一手特色烤鱼(恒大中央广场店)；熊家院子烤鸡店,高德 ID 查询未返回该父 POI；不从地址猜名称
B0L3AZQBS3,3,贵厨酸汤牛肉(梵华里店)；Pull-Tab拉环咖啡(贵阳市白云区梵华里店)；灌木咖啡(梵华里店),高德 ID 查询未返回该父 POI；不从地址猜名称
B03530QDMP,2,德生龙(大西门店)；书亦烧仙草(云岩市西商业街店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFF7M4UE,2,刘老四烤鸡(花果园店)；董小姐素粉(花果园A北区店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFF7MP21,2,华莱士·全鸡汉堡(花果园店)；985贵州活油烙锅,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFF83TI0,2,习水特色豆腐皮火锅(畔山丽苑店)；暴牙妹正宗猪脚火锅(绿苑店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFFE4JJD,2,好粥稻(百花新城店)；蒋记老幺肠旺面,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFFE5YJ7,2,凤港咖啡(大唐店)；南茗茶空间(阿云朵仓店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFFE9CCD,2,Hedgehog Baking刺猬烘焙屋；刘二孃酸辣烫,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFFE9PPB,2,黄记余庆敖溪剔骨鸭(百花新城店)；杨记猪油仔(百花新城店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFFGOFNS,2,贵顺成糕点(小十字店)；阿婆炒饭(贵阳小十字店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFGADXXI,2,小背篓野生菌煲鹅汤(花果园店)；灌木咖啡(花果园C区白宫店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFGAEG0S,2,繁花十里锡纸花甲粉(花果园C区店)；周记木桶饭(花果园国际中心店),高德 ID 查询未返回该父 POI；不从地址猜名称
