标准平台ID,平台名称,热度等级,关系酒店数,关系记录数,URL已确认数,T1身份数,T2及以上酒店数,T3酒店数,房型数,售卖方案数,采集成功数,登录或验证数,未解析房型数,P0隔离数,可进入比价数,覆盖进度说明,采集批次ID
dealbase,dealbase.com,S,47,47,3,3,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
easemytrip,EaseMyTrip.com,A,91,91,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
easemytrip,EaseMyTrip.com,B,63,63,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
easemytrip,EaseMyTrip.com,S,58,58,0,0,0,0,0,0,0,0,4,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
edreams,eDreams,A,91,91,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
edreams,eDreams,B,87,87,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
edreams,eDreams,S,78,78,0,0,0,0,0,0,0,1,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
etrip,Etrip.net,A,76,76,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
etrip,Etrip.net,B,60,60,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
etrip,Etrip.net,S,61,61,5,5,0,0,0,0,0,0,5,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
evendo,Evendo,A,11,11,11,11,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
evendo,Evendo,B,28,28,28,28,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
evendo,Evendo,S,63,63,59,59,0,0,0,0,0,5,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
expedia,Expedia.com,A,96,96,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
expedia,Expedia.com,B,86,86,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
expedia,Expedia.com,S,82,82,0,0,0,0,0,0,0,4,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
globehunters,Globehunters UK,S,1,1,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
goseek,goseek.com,A,61,61,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
goseek,goseek.com,B,50,50,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
goseek,goseek.com,S,57,57,2,2,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
halalbooking,Halalbooking,S,2,2,2,2,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hopegoo,HOPEGOO,A,4,4,4,4,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hopegoo,HOPEGOO,B,9,9,9,9,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hopegoo,HOPEGOO,S,8,8,8,8,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hostelworld,Hostelworld,A,45,45,45,45,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hostelworld,Hostelworld,B,31,31,31,31,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hostelworld,Hostelworld,S,21,21,21,21,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hotel_prive,Hotel prive,A,2,2,2,2,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hotel_prive,Hotel prive,B,5,5,5,5,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hotel_prive,Hotel prive,S,11,11,10,10,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hotels,Hotels.com,A,97,97,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hotels,Hotels.com,B,88,88,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hotels,Hotels.com,S,85,85,0,0,0,0,0,0,0,0,8,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hotelscombined,Hotelscombined.com,A,19,19,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hotelscombined,Hotelscombined.com,B,31,31,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hotelscombined,Hotelscombined.com,S,50,50,0,0,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hutchgo,hutchgo (Hutchison Travel Limited),A,62,62,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hutchgo,hutchgo (Hutchison Travel Limited),B,46,46,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
hutchgo,hutchgo (Hutchison Travel Limited),S,50,50,0,0,0,0,0,0,0,0,2,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
kayak,KAYAK.com,A,18,18,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
kayak,KAYAK.com,B,35,35,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
kayak,KAYAK.com,S,57,57,0,0,0,0,0,0,0,0,4,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
kiwi,Kiwi.com,A,10,10,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
kiwi,Kiwi.com,B,33,33,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
kiwi,Kiwi.com,S,44,44,1,1,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
klook,klook,A,19,19,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
klook,klook,B,30,30,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
klook,klook,S,58,58,0,0,0,0,0,0,0,0,7,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
lastminute,lastminute.com,S,2,2,2,2,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
lion_travel,Lion Travel 雄獅旅遊,S,4,4,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
long_stay_discounts,Long Stay Discounts,S,2,2,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
luxury_escapes,Luxury Escapes,S,7,7,6,6,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
michelin,Michelin Guide Hotels,S,2,2,0,0,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
momondo,momondo.com,A,17,17,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
momondo,momondo.com,B,32,32,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
momondo,momondo.com,S,62,62,0,0,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
muv,müv AI,A,32,32,32,32,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
muv,müv AI,B,31,31,31,31,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
muv,müv AI,S,30,30,30,30,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
official_cloudbeds,Cloudbeds 官网预订引擎,A,24,24,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
official_cloudbeds,Cloudbeds 官网预订引擎,B,13,13,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
official_cloudbeds,Cloudbeds 官网预订引擎,S,14,14,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
official_derbysoft,DerbySoft 官网预订引擎,B,1,1,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
official_derbysoft,DerbySoft 官网预订引擎,S,11,11,0,0,0,0,0,0,0,1,7,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
official_other,其他官网预订引擎,A,47,47,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
official_other,其他官网预订引擎,B,30,30,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
official_other,其他官网预订引擎,S,26,26,0,0,0,0,0,0,0,0,5,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
official_travelanium,Travelanium 官网预订引擎,B,2,2,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
official_travelanium,Travelanium 官网预订引擎,S,3,3,0,0,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
official_triptease,Triptease 官网预订引擎,S,4,4,0,0,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
orbitz,Orbitz.com,A,96,96,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
orbitz,Orbitz.com,B,86,86,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
orbitz,Orbitz.com,S,64,64,0,0,0,0,0,0,0,2,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
pilot,Pilot,S,2,2,2,2,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
prestigia,Prestigia.com,S,1,1,0,0,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
priceline,Priceline,A,62,62,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
priceline,Priceline,B,63,63,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
priceline,Priceline,S,59,59,0,0,0,0,0,0,0,0,7,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
qantas,Qantas Hotels,A,27,27,27,27,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
qantas,Qantas Hotels,B,34,34,34,34,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
qantas,Qantas Hotels,S,49,49,46,46,0,0,0,0,0,3,2,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
reserving,Reserving,A,9,9,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
reserving,Reserving,B,19,19,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
reserving,Reserving,S,21,21,0,0,0,0,0,0,0,0,2,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
skylark,SKYLARK,S,2,2,2,2,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
skyscanner,Skyscanner,A,1,1,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
skyscanner,Skyscanner,S,2,2,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
stayforlong,Stayforlong.com,B,10,10,10,10,0,0,0,0,0,0,2,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
stayforlong,Stayforlong.com,S,37,37,33,33,1,1,9,13,1,4,4,0,0,已取得售卖方案；含T3候选；无P0隔离,20260906-092202-csv-fb22d95c
tiket,Tiket.com,A,20,20,20,20,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
tiket,Tiket.com,B,12,12,12,12,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
tiket,Tiket.com,S,24,24,24,24,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
travelko,TRAVELKO,S,5,5,0,0,0,0,0,0,0,0,2,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
travelocity,Travelocity.com,A,95,95,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
travelocity,Travelocity.com,B,86,86,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
travelocity,Travelocity.com,S,80,80,0,0,0,0,0,0,0,4,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
traveloka,Traveloka.com,A,71,71,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
traveloka,Traveloka.com,B,54,54,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
traveloka,Traveloka.com,S,48,48,0,0,0,0,0,0,0,0,5,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
travelup,TravelUP,A,2,2,2,2,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
travelup,TravelUP,B,12,12,12,12,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
travelup,TravelUP,S,27,27,27,27,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
traveluro,Traveluro,B,4,4,4,4,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
traveluro,Traveluro,S,16,16,16,16,2,2,2,2,2,0,0,0,0,已取得售卖方案；含T3候选；无P0隔离,20260906-092202-csv-fb22d95c
trip,Trip.com,A,101,101,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
trip,Trip.com,B,66,66,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
trip,Trip.com,S,65,65,3,3,3,3,19,31,3,0,0,0,0,已取得售卖方案；含T3候选；无P0隔离,20260906-092202-csv-fb22d95c
tripadvisor,Tripadvisor.com,A,59,59,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
tripadvisor,Tripadvisor.com,B,41,41,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
tripadvisor,Tripadvisor.com,S,18,18,0,0,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
tripbtoz,Tripbtoz,S,1,1,1,1,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
tripening,Tripening Hotels,A,31,31,31,31,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
tripening,Tripening Hotels,B,27,27,27,27,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
tripening,Tripening Hotels,S,38,38,38,38,0,0,30,8,1,0,0,3,0,已取得售卖方案；暂无T3候选；存在P0隔离,20260906-092202-csv-fb22d95c
trivago,trivago.com,A,1,1,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
trivago,trivago.com,B,2,2,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
trivago_deals,trivago DEALS,A,1,1,1,1,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
trivago_deals,trivago DEALS,B,5,5,5,5,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
trivago_deals,trivago DEALS,S,18,18,18,18,4,4,4,4,4,0,0,0,0,已取得售卖方案；含T3候选；无P0隔离,20260906-092202-csv-fb22d95c
vio,Vio.com,A,85,85,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
vio,Vio.com,B,63,63,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
vio,Vio.com,S,64,64,7,7,5,3,11,7,3,0,2,0,0,已取得售卖方案；含T3候选；无P0隔离,20260906-092202-csv-fb22d95c
wego,Wego,A,78,78,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
wego,Wego,B,57,57,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
wego,Wego,S,35,35,0,0,0,0,0,0,0,2,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
zenhotels,ZenHotels.com,B,1,1,1,1,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
zenhotels,ZenHotels.com,S,3,3,3,3,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260906-092202-csv-fb22d95c
