sourceId,sourceType,sourceName,relationType,targetId,targetType,targetName,seq,direction,isTerminal,routeId,role,propertiesJson
transitfacility_amap_B035301F2G,TransitFacility,贵阳站,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""telephone"",""type""]}"
transitfacility_amap_B035301F2G,TransitFacility,贵阳站,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035301F2G,TransitFacility,贵阳站,SOURCED_FROM,src_transport_dataset,DataSource,贵阳城市交通结构化本地数据集,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""detailType"",""district"",""facilityClassCode"",""facilityClassName"",""name"",""openingHours"",""province"",""qualityNotes"",""qualityStatus"",""sourceUrl"",""telephone"",""type""]}"
transitfacility_amap_B035301FU1,TransitFacility,花溪车站,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035301FU1,TransitFacility,花溪车站,REF_LOCATED_IN_ADMIN_AREA,admin_520111,AdminArea,花溪区,,,,,,{}
transitfacility_amap_B035301FU1,TransitFacility,花溪车站,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""province"",""type""]}"
transitfacility_amap_B035301FU1,TransitFacility,花溪车站,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035301JEA,TransitFacility,富水花园地下停车场,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035301JEA,TransitFacility,富水花园地下停车场,REF_LOCATED_IN_ADMIN_AREA,admin_520103,AdminArea,云岩区,,,,,,{}
transitfacility_amap_B035301JEA,TransitFacility,富水花园地下停车场,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""type""]}"
transitfacility_amap_B035301JEA,TransitFacility,富水花园地下停车场,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035301K54,TransitFacility,广田停车场,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035301K54,TransitFacility,广田停车场,REF_LOCATED_IN_ADMIN_AREA,admin_520123,AdminArea,修文县,,,,,,{}
transitfacility_amap_B035301K54,TransitFacility,广田停车场,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""type""]}"
transitfacility_amap_B035301K54,TransitFacility,广田停车场,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035301S5B,TransitFacility,清镇市流长乡客车站,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035301S5B,TransitFacility,清镇市流长乡客车站,REF_LOCATED_IN_ADMIN_AREA,admin_520181,AdminArea,清镇市,,,,,,{}
transitfacility_amap_B035301S5B,TransitFacility,清镇市流长乡客车站,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""type""]}"
transitfacility_amap_B035301S5B,TransitFacility,清镇市流长乡客车站,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035301UGM,TransitFacility,停车场(汉方路),COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035301UGM,TransitFacility,停车场(汉方路),REF_LOCATED_IN_ADMIN_AREA,admin_520122,AdminArea,息烽县,,,,,,{}
transitfacility_amap_B035301UGM,TransitFacility,停车场(汉方路),SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""type""]}"
transitfacility_amap_B035301UGM,TransitFacility,停车场(汉方路),SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035301UGN,TransitFacility,南江大峡谷景区A区停车场,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035301UGN,TransitFacility,南江大峡谷景区A区停车场,REF_LOCATED_IN_ADMIN_AREA,admin_520121,AdminArea,开阳县,,,,,,{}
transitfacility_amap_B035301UGN,TransitFacility,南江大峡谷景区A区停车场,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""type""]}"
transitfacility_amap_B035301UGN,TransitFacility,南江大峡谷景区A区停车场,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035301UGQ,TransitFacility,高尔夫大酒店停车场,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035301UGQ,TransitFacility,高尔夫大酒店停车场,REF_LOCATED_IN_ADMIN_AREA,admin_520123,AdminArea,修文县,,,,,,{}
transitfacility_amap_B035301UGQ,TransitFacility,高尔夫大酒店停车场,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""type""]}"
transitfacility_amap_B035301UGQ,TransitFacility,高尔夫大酒店停车场,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035301UGV,TransitFacility,停车场(金朱西路),COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035301UGV,TransitFacility,停车场(金朱西路),REF_LOCATED_IN_ADMIN_AREA,admin_520115,AdminArea,观山湖区,,,,,,{}
transitfacility_amap_B035301UGV,TransitFacility,停车场(金朱西路),SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""province"",""type""]}"
transitfacility_amap_B035301UGV,TransitFacility,停车场(金朱西路),SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035301UGY,TransitFacility,黔灵山公园西门停车场(暂停营业),COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035301UGY,TransitFacility,黔灵山公园西门停车场(暂停营业),REF_LOCATED_IN_ADMIN_AREA,admin_520103,AdminArea,云岩区,,,,,,{}
transitfacility_amap_B035301UGY,TransitFacility,黔灵山公园西门停车场(暂停营业),SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""type""]}"
transitfacility_amap_B035301UGY,TransitFacility,黔灵山公园西门停车场(暂停营业),SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035301UH7,TransitFacility,红枫湖苗寨停车场,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035301UH7,TransitFacility,红枫湖苗寨停车场,REF_LOCATED_IN_ADMIN_AREA,admin_520181,AdminArea,清镇市,,,,,,{}
transitfacility_amap_B035301UH7,TransitFacility,红枫湖苗寨停车场,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""province"",""type""]}"
transitfacility_amap_B035301UH7,TransitFacility,红枫湖苗寨停车场,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035301UH9,TransitFacility,凯宏家居停车场,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035301UH9,TransitFacility,凯宏家居停车场,REF_LOCATED_IN_ADMIN_AREA,admin_520111,AdminArea,花溪区,,,,,,{}
transitfacility_amap_B035301UH9,TransitFacility,凯宏家居停车场,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""type""]}"
transitfacility_amap_B035301UH9,TransitFacility,凯宏家居停车场,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035301UHL,TransitFacility,花果园C区1-14栋停车场,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035301UHL,TransitFacility,花果园C区1-14栋停车场,REF_LOCATED_IN_ADMIN_AREA,admin_520102,AdminArea,南明区,,,,,,{}
transitfacility_amap_B035301UHL,TransitFacility,花果园C区1-14栋停车场,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""type""]}"
transitfacility_amap_B035301UHL,TransitFacility,花果园C区1-14栋停车场,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035301UHZ,TransitFacility,天河潭旅游度假区3号停车场,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035301UHZ,TransitFacility,天河潭旅游度假区3号停车场,REF_LOCATED_IN_ADMIN_AREA,admin_520111,AdminArea,花溪区,,,,,,{}
transitfacility_amap_B035301UHZ,TransitFacility,天河潭旅游度假区3号停车场,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""type""]}"
transitfacility_amap_B035301UHZ,TransitFacility,天河潭旅游度假区3号停车场,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035302D7B,TransitFacility,曦阳山庄停车场,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035302D7B,TransitFacility,曦阳山庄停车场,REF_LOCATED_IN_ADMIN_AREA,admin_520103,AdminArea,云岩区,,,,,,{}
transitfacility_amap_B035302D7B,TransitFacility,曦阳山庄停车场,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""type""]}"
transitfacility_amap_B035302D7B,TransitFacility,曦阳山庄停车场,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035302DDW,TransitFacility,筑城广场东门停车场,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035302DDW,TransitFacility,筑城广场东门停车场,REF_LOCATED_IN_ADMIN_AREA,admin_520102,AdminArea,南明区,,,,,,{}
transitfacility_amap_B035302DDW,TransitFacility,筑城广场东门停车场,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""type""]}"
transitfacility_amap_B035302DDW,TransitFacility,筑城广场东门停车场,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035302DP0,TransitFacility,贵阳龙洞堡国际机场T1航站楼(国际港澳台出发),COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035302DP0,TransitFacility,贵阳龙洞堡国际机场T1航站楼(国际港澳台出发),REF_LOCATED_IN_ADMIN_AREA,admin_520102,AdminArea,南明区,,,,,,{}
transitfacility_amap_B035302DP0,TransitFacility,贵阳龙洞堡国际机场T1航站楼(国际港澳台出发),SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""province"",""type""]}"
transitfacility_amap_B035302DP0,TransitFacility,贵阳龙洞堡国际机场T1航站楼(国际港澳台出发),SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035302DRY,TransitFacility,花溪平桥停车场,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035302DRY,TransitFacility,花溪平桥停车场,REF_LOCATED_IN_ADMIN_AREA,admin_520111,AdminArea,花溪区,,,,,,{}
transitfacility_amap_B035302DRY,TransitFacility,花溪平桥停车场,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""province"",""type""]}"
transitfacility_amap_B035302DRY,TransitFacility,花溪平桥停车场,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035302E3I,TransitFacility,贵阳龙洞堡国际机场,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035302E3I,TransitFacility,贵阳龙洞堡国际机场,REF_LOCATED_IN_ADMIN_AREA,admin_520102,AdminArea,南明区,,,,,,{}
transitfacility_amap_B035302E3I,TransitFacility,贵阳龙洞堡国际机场,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""telephone"",""type""]}"
transitfacility_amap_B035302E3I,TransitFacility,贵阳龙洞堡国际机场,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035302E3I,TransitFacility,贵阳龙洞堡国际机场,SOURCED_FROM,src_transport_dataset,DataSource,贵阳城市交通结构化本地数据集,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""detailType"",""district"",""facilityClassCode"",""facilityClassName"",""name"",""openingHours"",""province"",""qualityStatus"",""sourceUrl"",""telephone"",""type""]}"
transitfacility_amap_B035302HRS,TransitFacility,都拉营站,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035302HRS,TransitFacility,都拉营站,REF_LOCATED_IN_ADMIN_AREA,admin_520113,AdminArea,白云区,,,,,,{}
transitfacility_amap_B035302HRS,TransitFacility,都拉营站,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""telephone"",""type""]}"
transitfacility_amap_B035302HRS,TransitFacility,都拉营站,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035302N2A,TransitFacility,大十字广场地下停车场,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035302N2A,TransitFacility,大十字广场地下停车场,REF_LOCATED_IN_ADMIN_AREA,admin_520103,AdminArea,云岩区,,,,,,{}
transitfacility_amap_B035302N2A,TransitFacility,大十字广场地下停车场,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""type""]}"
transitfacility_amap_B035302N2A,TransitFacility,大十字广场地下停车场,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035302O08,TransitFacility,贵阳市政务服务大厅停车场,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035302O08,TransitFacility,贵阳市政务服务大厅停车场,REF_LOCATED_IN_ADMIN_AREA,admin_520115,AdminArea,观山湖区,,,,,,{}
transitfacility_amap_B035302O08,TransitFacility,贵阳市政务服务大厅停车场,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""type""]}"
transitfacility_amap_B035302O08,TransitFacility,贵阳市政务服务大厅停车场,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035302QN8,TransitFacility,贵州森林野生动物园停车场,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035302QN8,TransitFacility,贵州森林野生动物园停车场,REF_LOCATED_IN_ADMIN_AREA,admin_520123,AdminArea,修文县,,,,,,{}
transitfacility_amap_B035302QN8,TransitFacility,贵州森林野生动物园停车场,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""type""]}"
transitfacility_amap_B035302QN8,TransitFacility,贵州森林野生动物园停车场,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035302WL7,TransitFacility,贵阳站(进站口),COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035302WL7,TransitFacility,贵阳站(进站口),REF_LOCATED_IN_ADMIN_AREA,admin_520102,AdminArea,南明区,,,,,,{}
