输出数据表,字段名,中文含义,来源,数据类型建议,键角色,说明
10_票价属性.csv,transfers,允许换乘次数,fare_attributes.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
10_票价属性.csv,agency_id,运营机构ID,fare_attributes.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
11_票价规则.csv,fare_id,票价ID,fare_rules.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
11_票价规则.csv,route_id,线路ID,fare_rules.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
11_票价规则.csv,origin_id,起点票价区域ID,fare_rules.txt,文本标识,关联 stops.zone_id,保持GTFS原值；不要将标识字段自动转为数字。
11_票价规则.csv,destination_id,终点票价区域ID,fare_rules.txt,文本标识,关联 stops.zone_id,保持GTFS原值；不要将标识字段自动转为数字。
13_线路轨迹点.csv,shape_id,轨迹ID,shapes.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
13_线路轨迹点.csv,shape_pt_lat,轨迹点纬度,shapes.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
13_线路轨迹点.csv,shape_pt_lon,轨迹点经度,shapes.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
13_线路轨迹点.csv,shape_pt_sequence,轨迹点顺序,shapes.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
90_公共基础表/Feed信息.csv,feed_publisher_name,Feed发布者,feed_info.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
90_公共基础表/Feed信息.csv,feed_publisher_url,Feed发布网址,feed_info.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
90_公共基础表/Feed信息.csv,feed_lang,Feed语言,feed_info.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
90_公共基础表/Feed信息.csv,feed_start_date,Feed开始日期,feed_info.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
90_公共基础表/Feed信息.csv,feed_end_date,Feed结束日期,feed_info.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
90_公共基础表/Feed信息.csv,feed_version,Feed版本,feed_info.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
90_公共基础表/Feed信息.csv,feed_contact_url,Feed联系网址,feed_info.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
全部分类表,交通类型代码,GTFS交通类型代码,派生字段,文本或整数,分类／审计字段,由routes.route_type继承；孤立记录为UNKNOWN。
全部分类表,交通类型中文,交通类型中文名称,派生字段,文本或整数,分类／审计字段,由route_type受控映射生成。
02_线路.csv,中文展示名,线路中文展示名,派生字段,文本或整数,分类／审计字段,只补充少量已核验线路；空值不是缺失原始数据。
03_站点.csv,分类依据,站点进入该类型的依据,派生字段,文本或整数,分类／审计字段,来自stop_times停靠或fare_rules票价区域。
04_线路站点关联.csv,经过行程数,线路经过该站点的行程数,派生字段,文本或整数,分类／审计字段,由stop_times按trip_id去重派生。
12_票价区域站点.csv,映射状态,票价区域是否找到站点,派生字段,文本或整数,分类／审计字段,未匹配区域仍保留zone_id及票价规则引用次数。
