行政区,POI业务类型,POI名称,POI细分类型,外文/地图名,地理位置描述,游客需求场景,名称直接命中帖子数（非热度）,来源阶段,证据URL,证据内容,重要口径
甲米府,景点观光,虎窟寺(Wat Tham Suea),文化古迹与宗教,,甲米镇,文化参观/宗教打卡,1,本轮定向补采新增,"https://www.xiaohongshu.com/explore/6a7a9204000000001102362d?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a8c328a0000000012012803?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69e7af09000000002100678d?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a5237a30000000006034d63?xsec_token_redacted=1&xsec_source=pc_dots","「1」
标题：🐯 甲米虎窟寺｜Wat Tham Suea
正文：📍 地点
泰国 · 甲米府（Krabi）
位于甲米镇东北方向约 7 公里，坐落在石灰岩山林之间。

📌 地址
35 Krabi Noi, Mueang Krabi District, Krabi 81000, Thailand

🕐 营业时间
每日 06:00 – 18:00。

🎟️ 门票
免费入场，寺庙设有捐款箱，可自由随喜捐献。

📖 历史来源
虎窟寺是一座结合佛教信仰、森林禅修与天然岩洞的寺庙。

据资料记载，寺庙于 1975年 开始形成。当时著名禅修僧人 Jumnean Seelasettho（Ajahn Jumnean） 来到甲米北部的天然洞穴修行，后来逐渐吸引信众，寺院也慢慢发展起来。

至于「虎窟」这个名字，则有传说认为，当年洞穴一带曾有老虎出没，岩壁上也流传有类似虎爪印的痕迹，因此被称为 Wat Tham Suea，泰文「Tham Suea」就是「虎洞／虎窟」之意。

🐉 最大看点
寺庙最震撼的地方之一，就是照片中的金色多头娜迦守护神与宏伟的金白色佛塔建筑。

如果挑战登顶，还需要攀登约 1,237级阶梯，山顶拥有巨型金色佛像及壮观的360°景观，可以俯瞰甲米平原、森林及远处的安达曼海。

「2」
标题：🇹🇭甲米 🐯虎穴寺 又累又惊喜
正文：原本以为来拜拜🙏🏻万万没想到我去了甲米登山

我来泰国甲米挑战登顶，还需要攀登约1,260级台阶，山顶拥有巨型金色佛像及壮观的360°景观，可以俯瞰甲米平原、森林及远处的安达曼海。

我爬上去的时候正好遇到毛毛雨🌧️特别凉快，看到整片乌云从远处一路过来的过程，挺美的。上面的景色特别美，远处的山都很仙，拍照结束～爬下去路很滑很斜很危险，往下的时候更感受到台阶很高，后半段腿是抖的，可以慢一点走。
整体觉得还是蛮值得，但是确实很废腿，大家可以避开正午最热的时候，慢慢上下，登顶后会觉得是个不错的决定
～

🗺️地址｜甲米虎窟寺| Wat Tham Suea
Thailand
35 Krabi Noi, Mueang Krabi District, Krabi 81000,

⏰营业时间
每日06:00-18:00。
#甲米岛[话题]# #泰国甲米[话题]# #甲米去哪里[话题]# #甲米庙[话题]# #泰国甲米府[话题]# #甲米[话题]#

「3」
标题：今天，来到一个比普吉岛更安静、更自然的地方——甲米（Krabi）虎窟寺（Wat
正文：今天，来到一个比普吉岛更安静、更自然的地方——甲米（Krabi）虎窟寺（Wat Tham Suea），爬1237级台阶，于汗流浃背中，感受热带午后对流雨的暴击，远眺美轮美奂的喀斯特地貌和雨后彩虹，俯瞰甲米全景，觉得如果下山能飞伞，感觉会更好…#泰国旅飞[话题]##Hike但不Fly[话题]##甲米虎窟寺[话题]#

「4*混合贴」
标题：甲米海岛保姆级攻略，看过来
正文：方案A（休闲）：虎窟寺登高俯瞰整片甲米山海
方案B（加网红海岛）：甲米码头坐船去皮皮岛玛雅湾打卡，傍晚返程收拾行李送机￼￼￼",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
甲米府,景点观光,虎穴寺(Wat Tham Sua),文化古迹与宗教,Wat Tham Sua,甲米市,文化参观/宗教打卡,3,20260831小红书点点AI增量采集,"https://www.xiaohongshu.com/explore/68cbd9a7000000001300d165?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/693fa51d000000001e008278?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68c3caf4000000001d00e2a9?xsec_token_redacted=1&xsec_source=pc_dots","「1」
标题：甲米旅拍攻略｜化妆·摄影·价格
正文：💄 化妆价格范围（低→高）
经济化妆：约 350-550 元/次
简约日常妆容，适合短途打卡🍬
中端化妆：约 700-900 元/次
自然日系、轻森风，甜美轻盈🌸
高端化妆：约 1200-1500 元/次
婚纱/长裙/飘纱全套造型，妆面精致立体💎

📷 摄影价格范围（低→高）
经济摄影：约 700-900 元 / 2 小时
自然轻松风，轻修图🎈
中端摄影：约 1400-1700 元 / 3 小时
日系度假风，含修图☀️
高端摄影：约 2300-2800 元 / 6 小时
婚纱/长裙/森系全套，精修照片💎

🏖 拍摄地点推荐
奥南海滩 Ao Nang Beach 🌊
白沙碧海，日落长裙必拍🌅
莱利海滩 Railay Beach 🐚
石灰岩奇峰背景，森系/仙气风格💫
泻湖红岛 Koh Hong Lagoon 🌴
碧绿泻湖，无人机航拍必备📸
虎穴寺 Tiger Cave Temple 🛕
泰国标志性寺庙，适合传统泰服或文艺风
甲米旧城区 Krabi Town 🏛
彩色建筑+文艺街道，复古小清新风格✨

💡 小技巧：
避开周末人流高峰，更容易拍出空旷感
多备几套服装：长裙、轻纱、飘纱、泰式传统服装
早上 6-9 点 & 傍晚 16-18 点光线最美

💰 预算参考（单人参考）
经济路线：化妆 350-550 + 摄影 700-900 + 服装/租赁 100-300 + 出海/交通 150
中端路线：化妆 700-900 + 摄影 1400-1700 + 服装/租赁 300-500 + 出海/交通 200
高端路线：化妆 1200-1500 + 摄影 2300-2800 + 服装/租赁 500-1000 + 出海/交通 150-350

#5h飞行逃离[话题]##人生体验清单[话题]# #旅游万粉扶持计划[话题]# #泰妆[话题]# #旅游编辑部[话题]# #甲米普吉岛苏梅岛化妆师[话题]# #曼谷泰服写真[话题]#

「2*混合贴」
标题：甲米泰服写真｜价格+套餐+拍摄地
正文：📍 Wat Tham Sua（虎穴寺｜山脚区域）
✔ 不上 1237 级台阶
✔ 山脚寺庙区本身就很好拍
📷 适合：
泰服 / 情绪感画面
⚠️ 注意着装得体、动作克制

「3*混合贴」
标题：💍甲米泰服旅拍价格与拍摄地攻略
正文：虎穴寺
白庙",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
甲米府,景点观光,鸡岛 Chicken Island,海岛海滩与水上,,奥南；关联范围：鸡岛浮潜点,海岛度假/海滩/水上体验,0,20260831小红书点点AI增量采集,,,小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
甲米府,景点观光,甲米翡翠池,自然景观与户外,,,自然观光/户外体验,0,既有全量候选+本轮定向补采增强,https://www.xiaohongshu.com/explore/6a292cf8000000002103da01?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：甲米的海多好看只有自己去看了才能知道～
正文：相比拥挤商业化的普吉，甲米人少节奏慢、海水干净，非常适合懒人度假。
🌊 必去核心景点（精简版）
莱利海滩：甲米颜值天花板，无汽车，只能坐船进，日落绝美、可海边攀岩。
甲米四岛跳岛：本地经典出海，果冻海、沙洲、浮潜一站式体验，性价比超高。
奥南海滩：吃住聚集地，出行最方便，傍晚晚霞超美。
虎穴寺：登顶俯瞰甲米全景，必打卡人文点位。
翡翠池+温泉瀑布：热带雨林天然玩水点，清爽治愈。
✈️ 出行交通重点（最实用）
1. 怎么到甲米
有直飞优先直飞（广深、上海等），3-4小时直达；无直飞选曼谷转机，班次多、不容易误机。
机场到奥南：无公交。新手首选预约接送直达酒店；多人可打突突车（300-400泰铢）；单人穷游可选机场大巴。
2. 岛内代步怎么选
租摩托（首选）：200泰铢/天，自由方便。必须戴头盔、带驾照，夜晚不骑山路。
双条车：短途通勤，10-20泰铢/人，傍晚班次少。
包车：适合带老人小孩，跑陆地景点省心不累。
3. 出海/跳岛交通
莱利海滩、所有离岛只能坐船。日常一日游选快艇省时省心；情侣小团体可包长尾船更私密。雨季风浪大，出海前看天气，晕船提前备药。
4. 最佳时间+避坑
最佳季节：11月-次年4月旱季，晴天多、海水超美；5-10月人少便宜，适合错峰。
避坑提醒：不坐路边低价黑车，旺季出海提前订，随身带防晒、驱蚊、晕船药。

#泰国吃喝玩乐[话题]# #泰国甲米[话题]# #甲米攻略[话题]# #甲米交通[话题]# #泰国小众海岛[话题]# #海岛度假[话题]# #东南亚旅行[话题]#",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
甲米府,景点观光,镜湖,自然景观与户外,klong root；clear water canal,甲米内陆；甲米,自然观光/户外体验,0,既有全量候选,"https://www.xiaohongshu.com/explore/6a89b63d000000002202cfa8?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a8572970000000033035f4f?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a8454040000000006005bc1?xsec_token_redacted=1&xsec_source=pc_dots","「1*混合贴」
标题：没有人能不爱甲米的夏天
正文：早晨曼谷飞甲米，机场拼小巴到酒店。午饭后去镜湖划船，导航Klong Root。结束后去山顶日落咖啡店，导航Khaothong Hill。日落时间人很多，等上山的突突车也要很久，建议5:30左右就到山顶占座，门票包含一杯咖啡。我们晚饭也在这里解决，但比较一般，不过风景绝美。这里离奥南海滩很远，晚上打不到车，可以和司机谈好回程价格，司机会在山下等，我们的司机要1000🐷。
🏨 Ban Sainai: 每间都是小木屋房型，强推！

「2*混合贴」
标题：甲米感受最棒的几个地
正文：3.镜湖【 p10-12】
被避雷贴搞得人心惶惶，本来不想去，但闲着没事就开车过去看了下，结果意外惊喜。推荐一大早就去，请个船夫，想划的时候就自己划，想看风景的时候就发呆看。到树林里后还能下水漂浮放空，水很清澈，周边一个人都没，超放松。

「3*混合贴」
标题：夏日海边就属于🇹🇭甲米｜2k四天三晚（附地图
正文：🚖搜Klong Root, Clear Water Canal
玩法一：划船赏景，我们是睡到自然醒美美收拾一番才去的镜湖，确实比较晒！不过船开到树林里就很阴凉了，没树的地方可以打伞赏景，景色真的幻视桂林山水
玩法二：泳衣潜水，喜欢玩水的可以在进到树林后下水，湖水很清，也不会很深，还可以摸鱼（物理意义上哈哈
Day3️⃣下午半日野攀p9～p11（1500泰🐷/人）需要坐船15分钟去萊利岛
🚖搜Reeve Coffee，这家店隔壁有一个小亭子就可以买船票，6pm前往返200🐷/人，6pm后回来只用在这里花100🐷买去程，回来在海滩随机找一个有缘船夫给他150泰🐷/人，满十人发船，需要等人齐的要记住你把钱给谁了！每个船夫都可能是不同公司的！！
🧗我们是自驾所以去完镜湖直接在车上换了运动衣去野攀，建议穿一次性内裤，需要淌水上船，没有一米八必湿内裤[完啦R]（岛上日落真的美！p11）

Day4️⃣打枪p12～p13（💰参考🍑，各平台和线下差不多）
🚖 搜Krabi Shooting Range
我们选了套餐A：两把🔫（左轮和M4）各20发，可以两人共享

❗️必看经验❗️
🐚建议换够💸，刷卡/zfb基本都需要额外付5%手续费
🐚租车真的蛮方便，甲米的路很好开，需要中途换装也方便，🚗我们选的Hertz，没踩💣
🐚吃饭直接地图选附近评分高的就行or 夜市 or 711（强推可颂三明治）
🐚买喝的一定让他少糖！不说就是齁甜，有的果汁不要糖会发酸，所以少糖是最优解！！
🐚我们一人换了1w🐷💸，包括所有娱乐吃饭买大象裤花的刚刚好",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
甲米府,景点观光,镜湖 Klong Root Clear Water Canal,自然景观与户外,湖池,镜湖划船点,自然观光/户外体验,3,20260831小红书点点AI增量采集,"https://www.xiaohongshu.com/explore/6a9455ad000000002303f656?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6e12f9000000002500b5c6?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a7c95030000000028030f19?xsec_token_redacted=1&xsec_source=pc_dots","「1*混合贴」
标题：🇹🇭 甲米｜侏罗纪世界🦕（超实用贴）
正文：→ 镜湖📍 Kayak KlongRoot Viewpoint👍
桨板穿越侏罗纪世界，体验很独特。

「2*混合贴」
标题：🇹🇭甲米不报团不特种兵4天游玩攻略
正文：* 镜湖划艇，📍Kayak KlongRoot Viewpoint，250🐷不限时，来回3km，两个女生慢慢划是能够划完的，湖里有很多石头和树干，所以划的时候要小心一点。最好穿泳衣，划到里面有个平台可以游泳，不深人能站在水里，回来可以去浴室冲一下（10🐷）
DAY3:
* 报团：我们没报团，但是建议报团，价格差不多。
* 价格：停摩托车50🐷+往返船费200🐷，码头📍 AO NAM MAO PIER（这个码头不用淌水）+上岛后报团1300🐷
* 项目：攀岩+蝙蝠洞+速降（攀岩只是一个小小的山头，10分钟搞定😅蝙蝠洞确实是出片，速降高度是10米，并没有很恐怖。整体来说，强度没有很大，非常流程式和商业化。）
DAY4:
* 价格：往返船费+上岛费800🐷，码头📍Ao Nang Longtail Boat Service Club
* 时间：11:00买船票，要集齐8个人才走，11:30上船，去宏岛要坐一个小时船，到达宏岛大概13:00，本来规定15:00要回去，但是我们跟船夫协商了一下，16:00再返程。
* 观景台：到了之后一直往里走，就能看到阶梯上观景台，爬上去20分钟左右吧，上去能看到整个海湾。

「3*混合贴」
标题：甲米度假｜海岛日常🌴
正文：开启泰式慢节奏，在当地租了摩托车🛵 200铢/天，出行自由又方便。上午骑行前往镜湖Klong Root, Clear Water Canal随便找店租皮划艇，在清澈水面泛舟，玩足一上午。
下午打卡网红Khaothong Hill海边咖啡厅，面朝大海喝咖啡、吃简餐，静静看海放空。

Day2 莱利海滩｜野攀初体验（p8-p11）
睡到自然醒再出发，中午在Ao Nang Longtail Boat Service Club买往返船票前往莱利海滩。
到莱利后找攀岩店预约：攀岩+蝙蝠洞探险+速降，人均1500铢。
下午1点30开始，先徒步原生态路段，需要手脚并用攀爬，过程很有挑战性。教练超专业，会主动帮忙拍照、拍视频，情绪价值拉满，体验感满分。

Day3 宏岛跳岛游｜海岛风光（p12-p14）
提前一天在街边摊位订好宏岛一日游，全程酒店接送省心。
行程先打卡泻湖，中途安排浮潜体验，整体水质偏浑浊、鱼群不多，浮潜体验中规中矩。
随后停靠拉丁岛，上岛吃午餐、短暂休整，拉丁岛的沙滩干净又出片。
最后抵达宏岛，十几分钟登顶观景台，俯瞰整片海岛全景，视野绝佳。
下山后在海边躺平休憩，下午三点左右乘船返程回酒店。

Day4 大象咖啡厅｜投喂大象（p15-16）
睡到自然醒💤
下午打卡 Baan Chang Cafe大象咖啡厅，门票100铢，另花100铢购买一栏甘蔗，沉浸式投喂大象。
小插曲：咖啡厅还饲养了两头狮子🦁
亲眼见证外国小哥的AirPods掉进廊桥缝隙，桥下就是狮子，工作人员正帮忙掏耳机，一旁的狮子满脸好奇围观。",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
甲米府,景点观光,莱利岛,海岛海滩与水上,railay island,奥南外海,海岛度假/海滩/水上体验,0,既有全量候选,https://www.xiaohongshu.com/explore/6a89b63d000000002202cfa8?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：没有人能不爱甲米的夏天
正文：最喜欢的一日游行程：奥南码头买票坐长尾船去莱利岛攀岩。选择的是小红书上推荐比较多的Railay Rock Climbing，价格是每人1500🐷。下午场需要13:00在店里集合，向导Jae非常有经验人也很好。我们这个团有4个人，都是新手级别，向导先带我们爬山去蝙蝠洞，然后在经典机位拍照（图6 7 8），体验绳降，最后体验了两条野攀路线。回奥南之后我们转移到了图卡海滩。
🏨 Tup Kaek Sunset Beach Resort: 海景房风景绝美，房间设施一般，性价比高，餐厅好吃
🗓️Day 4",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
甲米府,景点观光,莱利海滩,海岛海滩与水上,railay beach,甲米,海岛度假/海滩/水上体验,16,既有全量候选+本轮定向补采增强,"https://www.xiaohongshu.com/explore/6a6b205b000000003301088e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a9455ad000000002303f656?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a940b490000000026006f1e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a91b958000000002003ec0c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a66a242000000001302e351?xsec_token_redacted=1&xsec_source=pc_dots","「1*混合贴」
标题：莱利海滩 Railay Beach 测评
正文：本来也是想去来莱利海滩看一看，但是那边水质和普吉岛的卡塔海滩相比 还是差别太大，而且沙子里面全是贝壳石子 脚踩在上面都非常的疼。
整个小岛很小 走一圈的话 10～15分钟就走完了 然后岛上会有一些别墅供游客居住 也有类似于像酒吧一条街的餐饮和bar 。

如果是攀岩爱好者，我觉得可以去这个岛上看一看，攀岩一下。如果只是想跳岛感受一下海水沙滩的话，莱利海滩不是一个很好的选择。

「2*混合贴」
标题：🇹🇭 甲米｜侏罗纪世界🦕（超实用贴）
正文：🧗：Railay Rock Climbing（莱利海滩主街，大人1500株/小朋友1200株，三小时左右）
🏍️ 租车KAN9（可以不用国际驾照，压护照或者5000株，车200-300株/天）
💰：汇率最好的 在KAN9正对面一个蓝白亭子。
📷：Khaotong Hill🌴

「3」
标题：🧗Krabi｜甲米的海边野攀简直太上头
正文：谁懂啊！攀岩人的愿望清单✔️
专程冲莱利海滩，就为体验海边野攀
比起普吉的人挤人，这里真的舒服太多了🌴

一边是热带雨林，一边是碧海落日
探洞、徒步、绳降、攀岩全部打卡
一整天玩下来，体验感直接拉满，暴汗军训，减脂中人简直爱惨了💪🏻

📍Railay Beach莱利海滩
🚗交通小tips：
甲米先坐车到奥南码头，坐船大概15分钟上岛
我们酒店住的比较远是包了一天车，酒店往返接送，很省心，不用折腾

🎒血泪忠告：【一定要轻装出行！！】
流程是坐船→沙滩徒步→雨林爬升→探洞→绳降→攀岩
（对象直接负重20kg，徒步一整天，心疼他2秒）
东西带多了真的会累到怀疑人生👟
穿普通运动鞋就可以，建议带自己的攀岩鞋，干净又卫生，洁癖患者接受不了穿别人穿过的鞋子

岛上没有汽车，全靠步行，山野氛围感拉满
教练人都很nice，会耐心讲解，新手也不用慌
爬累了转头就是大海，日落氛围感直接封神✨

不用追求爬多难的线
吹着海风摸岩点，看着大海发呆，本身就很治愈

总之来泰国真的别只逛商场海岛，试试户外，打开新世界大门

#野攀[话题]# #甲米旅行[话题]# #莱利海滩[话题]# #海边攀岩[话题]# #泰国户外[话题]# #户外女孩[话题]# #RailayBeach[话题]# #泰国甲米[话题]# #户外探险[话题]# #人生体验卡[话题]#

「4*混合贴」
标题：主观锐评甲米吃玩住按摩
正文：1️⃣🛶 莱利海滩 人上人p1-4
从奥南海滩坐长尾船约 15 分钟，上下船过一段海水 ，从西莱利下船，穿过商业街途径东莱利到达帕南海滩，在这躺一下午真的太舒适了。还有很多攀岩店可冲。

「5*混合贴」
标题：甲米莱利海滩一日游｜海岛秘境攻略
正文：▫️西莱利海滩：长尾船停靠点，沙滩细腻面粉质感，白天玩水
▫️东莱利海滩：日落观景台、网红洞穴餐厅、攀岩集中区，视野开阔",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
甲米府,景点观光,兰塔国家森林公园,自然景观与户外,Lanta National Park,兰塔岛；关联范围：灯塔/山峰/石滩,自然观光/户外体验,0,20260831小红书点点AI增量采集,,,小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
甲米府,景点观光,罗萨马湾,海岛海滩与水上,Loh Samah Bay,皮皮岛国家公园,海岛度假/海滩/水上体验,4,20260831小红书点点AI增量采集,"https://www.xiaohongshu.com/explore/687d068b0000000017033012?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/687f3f10000000001c033b28?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6887363d000000002203169a?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a60af35000000001f01f263?xsec_token_redacted=1&xsec_source=pc_dots","「1*混合贴」
标题：修复生态，泰国玛雅湾暂闭2个月
正文：日前，泰国甲米府Hat Noppharat Thara-Mu Ko Phi Phi国家公园负责人表示，国家公园管理局宣布，根据每年持续实施的海洋生态系统恢复性关闭措施，位于甲米府皮皮岛的玛雅湾和罗萨马湾将关闭2个月，即2025年8月1日至9月30日关闭。这些措施旨在使自然得到全面恢复，包括在过去旅游旺季受到旅游活动影响的珊瑚礁

「2*混合贴」
标题：皮皮岛的玛雅湾要关闭了❗️
正文：据泰国媒体报道，7月18日，泰国甲米府诺帕拉塔拉海滩皮皮岛国家公园负责人表示，国家公园将于2025年8月1日至9月30日期间关闭玛雅湾和罗萨马湾。
在此期间，国家公园将安排人员检査自然资源的完整性，进行珊瑚恢复、停船浮标设置、防波堤修缮等工作，并向游客和当地经营者宣传可持续旅游的理念。

「3」
标题：皮皮岛玛雅湾 8月1日-9月30日 关闭
正文：根据每年持续实施的海洋生态系统恢复性关闭措施，位于甲米府皮皮岛的玛雅湾和罗萨马湾将关闭2个月，即2025年8月1日至9月30日关闭。这些措施旨在使自然得到全面恢复，包括在过去旅游旺季受到旅游活动影响的珊瑚礁、海滩和水下生态系统，工作人员将检查自然资源，并开展珊瑚修复活动、改善防波堤。
#泰国[话题]# #普吉岛[话题]# #向往的海岛[话题]# #皮皮岛[话题]# #玛雅湾[话题]# #海滩[话题]# #沙滩[话题]#

「4」
标题：皮皮岛玛雅湾2026年8月1日-9月30日 关闭
正文：根据每年持续实施的海洋生态系统恢复性关闭措施，位于甲米府皮皮岛的玛雅湾和罗萨马湾将关闭2个月，即2026年8月1日至9月30日关闭。这些措施旨在使自然得到全面恢复，包括在过去旅游旺季受到旅游活动影响的珊瑚礁、海滩和水下生态系统，工作人员将检查自然资源，并开展珊瑚修复活动、改善防波堤。
2026年10月1日正式开放。在我们这边里预定的皮皮岛行程都将有所调整，取消登陆玛雅湾，会延长其他环节的时间。
#普吉岛[话题]# #泰国[话题]# #玛雅湾[话题]# #皮皮岛[话题]# #关闭[话题]# #保育[话题]# #鲨鱼[话题]# #一日游[话题]# #浮潜[话题]#",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
