标准平台ID,平台名称,热度等级,关系酒店数,关系记录数,URL已确认数,T1身份数,T2及以上酒店数,T3酒店数,房型数,售卖方案数,采集成功数,登录或验证数,未解析房型数,P0隔离数,可进入比价数,覆盖进度说明,采集批次ID
edreams,eDreams,A,91,91,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
edreams,eDreams,B,87,87,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
edreams,eDreams,S,78,78,0,0,0,0,0,0,0,1,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
etrip,Etrip.net,A,76,76,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
etrip,Etrip.net,B,60,60,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
etrip,Etrip.net,S,61,61,5,5,0,0,0,0,0,0,5,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
evendo,Evendo,A,11,11,11,11,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
evendo,Evendo,B,28,28,28,28,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
evendo,Evendo,S,63,63,59,59,0,0,0,0,0,5,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
expedia,Expedia.com,A,96,96,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
expedia,Expedia.com,B,86,86,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
expedia,Expedia.com,S,82,82,0,0,0,0,0,0,0,4,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
globehunters,Globehunters UK,S,1,1,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
goseek,goseek.com,A,61,61,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
goseek,goseek.com,B,50,50,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
goseek,goseek.com,S,57,57,2,2,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
halalbooking,Halalbooking,S,2,2,2,2,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hopegoo,HOPEGOO,A,4,4,4,4,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hopegoo,HOPEGOO,B,9,9,9,9,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hopegoo,HOPEGOO,S,8,8,8,8,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hostelworld,Hostelworld,A,45,45,45,45,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hostelworld,Hostelworld,B,31,31,31,31,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hostelworld,Hostelworld,S,21,21,21,21,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hotel_prive,Hotel prive,A,2,2,2,2,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hotel_prive,Hotel prive,B,5,5,5,5,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hotel_prive,Hotel prive,S,11,11,10,10,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hotels,Hotels.com,A,97,97,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hotels,Hotels.com,B,88,88,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hotels,Hotels.com,S,85,85,0,0,0,0,0,0,0,0,8,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hotelscombined,Hotelscombined.com,A,19,19,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hotelscombined,Hotelscombined.com,B,31,31,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hotelscombined,Hotelscombined.com,S,50,50,0,0,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hutchgo,hutchgo (Hutchison Travel Limited),A,62,62,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hutchgo,hutchgo (Hutchison Travel Limited),B,46,46,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
hutchgo,hutchgo (Hutchison Travel Limited),S,50,50,0,0,0,0,0,0,0,0,2,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
kayak,KAYAK.com,A,18,18,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
kayak,KAYAK.com,B,35,35,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
kayak,KAYAK.com,S,57,57,0,0,0,0,0,0,0,0,4,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
kiwi,Kiwi.com,A,10,10,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
kiwi,Kiwi.com,B,33,33,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
kiwi,Kiwi.com,S,44,44,1,1,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
klook,klook,A,19,19,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
klook,klook,B,30,30,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
klook,klook,S,58,58,0,0,0,0,0,0,0,0,7,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
lastminute,lastminute.com,S,2,2,2,2,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
lion_travel,Lion Travel 雄獅旅遊,S,4,4,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
long_stay_discounts,Long Stay Discounts,S,2,2,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
luxury_escapes,Luxury Escapes,S,7,7,6,6,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
michelin,Michelin Guide Hotels,S,2,2,0,0,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
momondo,momondo.com,A,17,17,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
momondo,momondo.com,B,32,32,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
momondo,momondo.com,S,62,62,0,0,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
muv,müv AI,A,32,32,32,32,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
muv,müv AI,B,31,31,31,31,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
muv,müv AI,S,30,30,30,30,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
official_cloudbeds,Cloudbeds 官网预订引擎,A,24,24,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
official_cloudbeds,Cloudbeds 官网预订引擎,B,13,13,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
official_cloudbeds,Cloudbeds 官网预订引擎,S,14,14,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
official_derbysoft,DerbySoft 官网预订引擎,B,1,1,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
official_derbysoft,DerbySoft 官网预订引擎,S,11,11,0,0,0,0,0,0,0,1,7,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
official_other,其他官网预订引擎,A,47,47,6,0,6,3,23,28,3,0,0,0,0,已取得售卖方案；含T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
official_other,其他官网预订引擎,B,30,30,2,0,2,2,9,11,2,0,0,0,0,已取得售卖方案；含T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
official_other,其他官网预订引擎,S,26,26,2,0,2,2,5,15,2,0,5,0,0,已取得售卖方案；含T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
official_travelanium,Travelanium 官网预订引擎,B,2,2,2,2,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
official_travelanium,Travelanium 官网预订引擎,S,3,3,0,0,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
official_triptease,Triptease 官网预订引擎,S,4,4,0,0,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
orbitz,Orbitz.com,A,96,96,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
orbitz,Orbitz.com,B,86,86,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
orbitz,Orbitz.com,S,64,64,0,0,0,0,0,0,0,2,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
pilot,Pilot,S,2,2,2,2,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
prestigia,Prestigia.com,S,1,1,0,0,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
priceline,Priceline,A,62,62,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
priceline,Priceline,B,63,63,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
priceline,Priceline,S,59,59,0,0,0,0,0,0,0,0,7,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
qantas,Qantas Hotels,A,27,27,27,27,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
qantas,Qantas Hotels,B,34,34,34,34,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
qantas,Qantas Hotels,S,49,49,46,46,0,0,0,0,0,3,2,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
reserving,Reserving,A,9,9,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
reserving,Reserving,B,19,19,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
reserving,Reserving,S,21,21,0,0,0,0,0,0,0,0,2,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
skylark,SKYLARK,S,2,2,2,2,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
skyscanner,Skyscanner,A,1,1,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
skyscanner,Skyscanner,S,2,2,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
stayforlong,Stayforlong.com,B,10,10,10,10,0,0,0,0,0,0,2,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
stayforlong,Stayforlong.com,S,37,37,33,33,1,1,9,13,1,4,4,0,0,已取得售卖方案；含T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
tiket,Tiket.com,A,20,20,20,20,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
tiket,Tiket.com,B,12,12,12,12,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
tiket,Tiket.com,S,24,24,24,24,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
travelko,TRAVELKO,S,5,5,0,0,0,0,0,0,0,0,2,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
travelocity,Travelocity.com,A,95,95,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
travelocity,Travelocity.com,B,86,86,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
travelocity,Travelocity.com,S,80,80,0,0,0,0,0,0,0,4,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
traveloka,Traveloka.com,A,71,71,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
traveloka,Traveloka.com,B,54,54,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
traveloka,Traveloka.com,S,48,48,0,0,0,0,0,0,0,0,5,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
travelup,TravelUP,A,2,2,2,2,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
travelup,TravelUP,B,12,12,12,12,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
travelup,TravelUP,S,27,27,27,27,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
traveluro,Traveluro,B,4,4,4,4,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
traveluro,Traveluro,S,16,16,16,16,2,2,2,2,2,0,0,0,0,已取得售卖方案；含T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
trip,Trip.com,A,101,101,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
trip,Trip.com,B,66,66,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
trip,Trip.com,S,65,65,3,3,3,3,19,31,3,0,0,0,0,已取得售卖方案；含T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
tripadvisor,Tripadvisor.com,A,59,59,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
tripadvisor,Tripadvisor.com,B,41,41,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
tripadvisor,Tripadvisor.com,S,18,18,0,0,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
tripbtoz,Tripbtoz,S,1,1,1,1,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
tripening,Tripening Hotels,A,31,31,31,31,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
tripening,Tripening Hotels,B,27,27,27,27,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
tripening,Tripening Hotels,S,38,38,38,38,0,0,30,8,1,0,0,3,0,已取得售卖方案；暂无T3候选；存在P0隔离,20260907-003922-csv-f52bd5d0
trivago,trivago.com,A,1,1,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
trivago,trivago.com,B,2,2,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
trivago_deals,trivago DEALS,A,1,1,1,1,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
trivago_deals,trivago DEALS,B,5,5,5,5,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
trivago_deals,trivago DEALS,S,18,18,18,18,4,4,4,4,4,0,0,0,0,已取得售卖方案；含T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
vio,Vio.com,A,85,85,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
vio,Vio.com,B,63,63,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
vio,Vio.com,S,64,64,7,7,5,3,11,7,3,0,2,0,0,已取得售卖方案；含T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
wego,Wego,A,78,78,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
wego,Wego,B,57,57,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
wego,Wego,S,35,35,0,0,0,0,0,0,0,2,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
zenhotels,ZenHotels.com,B,1,1,1,1,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
zenhotels,ZenHotels.com,S,3,3,3,3,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
