审核任务ID,标准平台ID,酒店ID,入住日期,离店日期,独立会话序号,匹配运行记录数,实际日期集合,最新采集状态,房型数量,售卖方案数量,匹配运行ID,原始页面留档路径,日期口径状态,证据状态,独立会话证据状态,生成批次ID
5a4b7ac50617df38a2610d2e24db245d55dfd7b7a1f19c96511a9ae588010f79,booking,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-21,2026-09-22,1,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
3e3ecd8eb7b9898a90288cc49f8bb5d7ec0df0a0c88923ee57b871ae27dabe2b,booking,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-21,2026-09-22,2,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
063b4359e63a228780f5e92a89b887ed81849a164e307bd07c9bad89ecef6532,official_other,ChIJG3c6A2uZ4jARZr2YagTn4_4,2026-09-10,2026-09-11,1,0,,,,,,,缺少指定日期证据,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
ed8286ab1876d7f2ee2ea677969642dcfa8db5a864235d40370cbef83036a485,official_other,ChIJG3c6A2uZ4jARZr2YagTn4_4,2026-09-10,2026-09-11,2,0,,,,,,,缺少指定日期证据,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
bcafe4e5428239c96528e4542e5c2292f18298a4a451956c515a1edaf0eb3440,official_other,ChIJG3c6A2uZ4jARZr2YagTn4_4,2026-09-21,2026-09-22,1,0,,,,,,,缺少指定日期证据,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
394e2d05e4c1a2158284e106022cc09556314ed3d379e77345c88835211b2d1d,official_other,ChIJG3c6A2uZ4jARZr2YagTn4_4,2026-09-21,2026-09-22,2,0,,,,,,,缺少指定日期证据,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
74ba8ed8f730c8b92d98e297e7444bbb54e8fba9148e5fa0762037f148114024,official_other,ChIJjVy1kmmZ4jARxYeYUyNkgRw,2026-09-10,2026-09-11,1,0,,,,,,,缺少指定日期证据,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
4c86f73901740aaf551b0387f2b91cc8ce67566f2d92c59e90e47cc63fec3152,official_other,ChIJjVy1kmmZ4jARxYeYUyNkgRw,2026-09-10,2026-09-11,2,0,,,,,,,缺少指定日期证据,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
71d52aed7783634822963f13445f62bd9aed95edf43c91d55b81352eca057745,official_other,ChIJjVy1kmmZ4jARxYeYUyNkgRw,2026-09-21,2026-09-22,1,0,,,,,,,缺少指定日期证据,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
5a3d82e7a6a7c573d3b132ff64b766e6a084c50b8ff09c04e5e10653c5a05a72,official_other,ChIJjVy1kmmZ4jARxYeYUyNkgRw,2026-09-21,2026-09-22,2,0,,,,,,,缺少指定日期证据,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
a4511d7c79ef962f11465ae04bec554960f7ce769cc908daa4f62db209d644b0,official_other,ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,2026-09-10,2026-09-11,1,0,,,,,,,缺少指定日期证据,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
eda2bbc9e152f9ecf0100207294473a338747f5e21a1988a6264a680484d9678,official_other,ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,2026-09-10,2026-09-11,2,0,,,,,,,缺少指定日期证据,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
4d7bdeefdfbc5cd6fc63bb8f8b92d45ccc8e09fea0baaca8a044c0dc03256e51,official_other,ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,2026-09-21,2026-09-22,1,0,,,,,,,缺少指定日期证据,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
647d0c2d94fd398805c97faf1594250ce64dcf49082c2cfc143715d4934755e9,official_other,ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,2026-09-21,2026-09-22,2,0,,,,,,,缺少指定日期证据,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
271d04a758d1e4908c46ea2a2ce866fcce600547f3a9a015e0f66b73d1a0a093,stayforlong,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-10,2026-09-11,1,0,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
5cc859d2fba59319aa6bc268866c26b52597c9b8176029b5a89246fb5578e3c4,stayforlong,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-10,2026-09-11,2,0,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
5908a172a0183ed628690ec10aebadc6e09e7ee3ef501c91b1fd09b211aaf2a0,stayforlong,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-21,2026-09-22,1,0,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
466ef16caef89137fdf2098d4571820e36be3e7ae2fc667c872e76757aac7c8b,stayforlong,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-21,2026-09-22,2,0,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
e6bd659af090af72591140bb4c6bcc0204187a6492fb436602aedfe95c246e38,trip,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-10,2026-09-11,1,0,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19；2026-09-23/2026-09-24,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
76f33953b67bbbda01deb689ab5444e7124c94c34bfcefaa411d9f5f57e43e23,trip,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-10,2026-09-11,2,0,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19；2026-09-23/2026-09-24,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
a7b1ff9a71db8bea642dbd2059b566c19e6fa81ad5c64ed6a167f8fcd8e6b7df,trip,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-21,2026-09-22,1,0,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19；2026-09-23/2026-09-24,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
a82d89a4b2833c58c23f726c2e1faa3a5243b580052501556e2d9628ea62b4dc,trip,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-21,2026-09-22,2,0,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19；2026-09-23/2026-09-24,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
09873c904be47f8f4288f90775dae510c946377aca87372e85863af4a682f314,trip,ChIJf1YJeC-Z4jARNNLn8M9QwMw,2026-09-10,2026-09-11,1,0,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
840e82f9b9dc50e0a5d2fe93e0a9faec49636a4fc606da0a5391439736e467ab,trip,ChIJf1YJeC-Z4jARNNLn8M9QwMw,2026-09-10,2026-09-11,2,0,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
faeb2ad8f495b48f2a8742f69988e47604be0f212db39c80723c65fe31ca4168,trip,ChIJf1YJeC-Z4jARNNLn8M9QwMw,2026-09-21,2026-09-22,1,0,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
ab6732fbe5316a684d90958ec27d33be87b5ee4e8855dc7cda1b33d9c21a7f99,trip,ChIJf1YJeC-Z4jARNNLn8M9QwMw,2026-09-21,2026-09-22,2,0,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
fc8a00a4cd9557361b8784fd5419b4d430a74db6a800987b0df5913940d15c54,trip,ChIJpYbWb8aY4jAR5PmlBlsxOoM,2026-09-10,2026-09-11,1,0,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19；2026-09-21/2026-09-22,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
10c44893f1bc84c009c4ae0a9a09c3454ce1d0c56127b7390cc144365edbf8ab,trip,ChIJpYbWb8aY4jAR5PmlBlsxOoM,2026-09-10,2026-09-11,2,0,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19；2026-09-21/2026-09-22,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
7158f68dc302f68cc8c749ef4eaa85b0031327c8ccddbc2dc644b0c1d341891e,trip,ChIJpYbWb8aY4jAR5PmlBlsxOoM,2026-09-21,2026-09-22,1,1,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19；2026-09-21/2026-09-22,页面未解析到房型,0,0,d4cf98e9f689ca6e6761b3c6,,通过,待补证据,已匹配独立运行,20260907-003922-csv-f52bd5d0
788865844dcc729398b8f78705ec4eda54c2f3d768c8fd4063dbd276cfe923c8,trip,ChIJpYbWb8aY4jAR5PmlBlsxOoM,2026-09-21,2026-09-22,2,1,2026-09-07/2026-09-08；2026-09-17/2026-09-18；2026-09-18/2026-09-19；2026-09-21/2026-09-22,页面未解析到房型,0,0,,,通过,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
35c05ee538d2613345cd9c80cee762f6fe8408f78798a042014b5d5c8d3e3abc,vio,ChIJZTiLx92Y4jARaoCZW0M2Zew,2026-09-10,2026-09-11,1,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
2ec75ce0433aafb3cb6d97666378e80c25d4644905790d8bf4043feac4b1684f,vio,ChIJZTiLx92Y4jARaoCZW0M2Zew,2026-09-10,2026-09-11,2,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
e0d2371d131f8a40102f60cc526c6981731e5b8a13239030b19bd41a5eef1701,vio,ChIJZTiLx92Y4jARaoCZW0M2Zew,2026-09-21,2026-09-22,1,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
986f502f2f07cdf82c50a30e255a5fdbd6a50ba61f63bb653cca71ef40c5f2c1,vio,ChIJZTiLx92Y4jARaoCZW0M2Zew,2026-09-21,2026-09-22,2,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
d510afdce16620dfa5d7f355f31a5b5b48dd2f27fbaed892a2cbdccad78a9720,vio,ChIJCWbW7MWY4jARuQATRiSHlA0,2026-09-10,2026-09-11,1,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
96ab4bc8d168b4a7ef1ebaedf2711651335486a725d9da92a155fe3ff5b700a3,vio,ChIJCWbW7MWY4jARuQATRiSHlA0,2026-09-10,2026-09-11,2,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
25523b99a1732db420d7dec6583bf2bac8815538b8171f98a3d56158dda59220,vio,ChIJCWbW7MWY4jARuQATRiSHlA0,2026-09-21,2026-09-22,1,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
d6327fca40d2be1820e6247d2aa6901a055f995b0cba637ba5096d0bc06042b7,vio,ChIJCWbW7MWY4jARuQATRiSHlA0,2026-09-21,2026-09-22,2,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
e041c96f3e0eb99b300aa92df29f3f2186744b682b402159c3a0a153a1151aab,vio,ChIJ69UzUM-e4jARwyvJBkeTbr0,2026-09-10,2026-09-11,1,0,2026-09-05/2026-09-06；2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
8790cbfde5a8163cd9b0f81231a769ea7e7a9e8e7e43dda4af728dcac58cb9e4,vio,ChIJ69UzUM-e4jARwyvJBkeTbr0,2026-09-10,2026-09-11,2,0,2026-09-05/2026-09-06；2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
1cdec3b8f43e31b57777ac12e09479da9cfad6179e4a19e130e57f05fb51440a,vio,ChIJ69UzUM-e4jARwyvJBkeTbr0,2026-09-21,2026-09-22,1,0,2026-09-05/2026-09-06；2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
58fd5fba480ed5fb7b59d527cc1160bc7f2ea89db3857108b0f624b8593433a6,vio,ChIJ69UzUM-e4jARwyvJBkeTbr0,2026-09-21,2026-09-22,2,0,2026-09-05/2026-09-06；2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
