Google地点ID,业务类别,地点名称,泰文名称,Google主要类型,主要类别,评分,评价数量,完整地址,纬度,经度,县区中文名,乡分区中文名,每周营业时间,电话,官方网站,设施与服务标签,编辑简介,Google地图链接
ChIJH4I85c2e4jARUMYLeiqfBd0,景点,SEA LIFE Bangkok Ocean World,ซีไลฟ์ แบงคอก โอเชียน เวิลด์,aquarium,水族馆,4.5,30599,"ชั้น บี1 บี2 สยามพารากอน 991 Rama I Rd, Pathum Wan, Bangkok 10330泰国",13.745935,100.535206,巴吞旺县,Pathum Wan,星期一 10:00-20:00 | 星期二 10:00-20:00 | 星期三 10:00-20:00 | 星期四 10:00-20:00 | 星期五 10:00-20:00 | 星期六 10:00-20:00 | 星期日 10:00-20:00,+66 2 842 2000,https://visitsealife.com,适合儿童|无障碍入口|无障碍停车|无障碍座位,大型水族馆，提供数百种海洋生物展览、4D 电影和水下体验。,https://www.google.com/maps/place/SEA+LIFE+Bangkok+Ocean+World/data=!4m7!3m6!1s0x30e29ecde53c821f:0xdd059f2a7a0bc650!8m2!3d13.7459351!4d100.5352057!16s%2Fm%2F0c3ympw!19sChIJH4I85c2e4jARUMYLeiqfBd0?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJGzV2mdKY4jARdIb62T7BoE4,景点,王权大京都大厦,คิง เพาเวอร์ มหานคร,tourist_attraction,旅游胜地,4.7,29905,"114 Naradhiwas Rajanagarindra Rd, Si Lom, Bang Rak, Bangkok 10500泰国",13.724011,100.528477,挽叻县,是隆,星期一: 10:00–00:00 | 星期二: 10:00–00:00 | 星期三: 10:00–00:00 | 星期四: 10:00–00:00 | 星期五: 10:00–00:00 | 星期六: 10:00–00:00 | 星期日: 10:00–00:00,+66 2 677 8721,https://kingpowermahanakhon.co.th,适合儿童|适合团体|有洗手间|无障碍入口|无障碍停车|无障碍洗手间|无障碍座位,内有酒店客房及零售店的 78 层玻璃镜面大厦，拥有位于 1030 英尺高空的观景台。,https://www.google.com/maps/place/%E7%8E%8B%E6%9D%83%E5%A4%A7%E4%BA%AC%E9%83%BD%E5%A4%A7%E5%8E%A6/data=!4m7!3m6!1s0x30e298d29976351b:0x4ea0c13ed9fa8674!8m2!3d13.7240107!4d100.5284771!16s%2Fg%2F11gxgx3503!19sChIJGzV2mdKY4jARdIb62T7BoE4?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJ-WOptA2Z4jARRFoeZFcz_Gk,景点,皇家田广场,ท้องสนามหลวง,state_park,州立公园,4.6,27227,"QF4V+88R, Thanon Ratchadamnoen Klang, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.755869,100.49328,拍那空县,大皇宫区,星期一: 08:30–15:30 | 星期二: 08:30–15:30 | 星期三: 08:30–15:30 | 星期四: 08:30–15:30 | 星期五: 08:30–15:30 | 星期六: 08:30–15:30 | 星期日: 08:30–15:30,,,适合儿童|无障碍入口|无障碍停车,绿草如茵的标志性城市公园，有时用作社区和皇家活动的举办场所。,https://maps.google.com/?cid=7637035518548400708&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJWaoiBdmY4jAReVIX1maq_-I,景点,金佛寺,วัดไตรมิตรวิทยารามวรวิหาร,buddhist_temple,佛教寺庙,4.6,22417,"661 ถ. เจริญกรุง Khwaeng Talat Noi, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.737707,100.513454,三攀他旺县,噠叻仔區,星期一: 08:00–17:00 | 星期二: 08:00–17:00 | 星期三: 08:00–17:00 | 星期四: 08:00–17:00 | 星期五: 08:00–17:00 | 星期六: 08:00–17:00 | 星期日: 08:00–17:00,+66 89 002 2700,https://www.facebook.com/WatTrimitrWithayaramWorawihan?mibextid=ZbWKwL,有洗手间|无障碍入口|无障碍停车|无障碍洗手间,历史悠久的寺庙，拥有镀金外饰和巨大的金佛雕像，另设展览。,https://maps.google.com/?cid=16356979730288169593&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJfWxvUM2e4jARCxWWp4sC0B4,景点,曼谷文化艺术中心,หอศิลปวัฒนธรรมแห่งกรุงเทพมหานคร,,艺术中心,4.6,20450,"939 Rama I Rd, Wang Mai, Pathum Wan, Bangkok 10330泰国",13.746734,100.530217,巴吞旺县,Wang Mai,星期一 休息 | 星期二 10:00-20:00 | 星期三 10:00-20:00 | 星期四 10:00-20:00 | 星期五 10:00-20:00 | 星期六 10:00-20:00 | 星期日 10:00-20:00,+66 2 214 6630,https://bacc.or.th,,,https://www.google.com/maps/place/%E6%9B%BC%E8%B0%B7%E6%96%87%E5%8C%96%E8%89%BA%E6%9C%AF%E4%B8%AD%E5%BF%83/data=!4m7!3m6!1s0x30e29ecd506f6c7d:0x1ed0028ba796150b!8m2!3d13.7467339!4d100.5302168!16s%2Fm%2F043rs1m!19sChIJfWxvUM2e4jARCxWWp4sC0B4?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJJdaveyuf4jARV6YL9OLNNR8,景点,拍蓬街夜市,ตลาดนัดกลางคืนถนนพัฒน์พงษ์,,夜市,3.7,19912,"61, ซอย Thanon Phat Phong, Suriya Wong, Bang Rak, Bangkok 10500泰国",13.729249,100.531574,挽叻县,Suriyawong,星期一 18:00-01:00 | 星期二 18:00-01:00 | 星期三 18:00-01:00 | 星期四 18:00-01:00 | 星期五 18:00-01:00 | 星期六 18:00-01:00 | 星期日 18:00-01:00,+66 91 778 7793,,,,https://www.google.com/maps/place/%E6%8B%8D%E8%93%AC%E8%A1%97%E5%A4%9C%E5%B8%82/data=!4m7!3m6!1s0x30e29f2b7bafd625:0x1f35cde2f40ba657!8m2!3d13.7292485!4d100.531574!16s%2Fg%2F12hrm8nl_!19sChIJJdaveyuf4jARV6YL9OLNNR8?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJu1mpMZRgHTERRNTicTdIHxg,景点,Suan Luang Rama IX,สวนหลวง ร.9,,国家公园,4.7,19441,"Chaloem Phrakiat Ratchakan Thi 9 Rd, เเขวงหนองบอน Prawet, Bangkok 10250泰国",13.688319,100.664194,巴威县,Nong Bon,星期一 05:00-19:00 | 星期二 05:00-19:00 | 星期三 05:00-19:00 | 星期四 05:00-19:00 | 星期五 05:00-19:00 | 星期六 05:00-19:00 | 星期日 05:00-19:00,+66 2 106 2674,https://suanluangrama9.or.th,,,https://www.google.com/maps/place/Suan+Luang+Rama+IX/data=!4m7!3m6!1s0x311d609431a959bb:0x181f483771e2d444!8m2!3d13.688319!4d100.6641942!16s%2Fg%2F120ylh4_!19sChIJu1mpMZRgHTERRNTicTdIHxg?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJDYDMLHBgHTERm8DRBile97w,景点,Train Night Market Srinagarindra,ตลาดนัดรถไฟศรีนครินทร์,,夜市,4.4,18314,"1, 4 Srinagarindra Rd, Nong Bon, Prawet, Bangkok 10250泰国",13.693892,100.65118,巴威县,Nong Bon,星期一 休息 | 星期二 休息 | 星期三 休息 | 星期四 17:00-01:00 | 星期五 17:00-01:00 | 星期六 17:00-01:00 | 星期日 17:00-01:00,+66 81 827 5885,https://facebook.com,,,https://www.google.com/maps/place/Train+Night+Market+Srinagarindra/data=!4m7!3m6!1s0x311d60702ccc800d:0xbcf75e2906d1c09b!8m2!3d13.6938923!4d100.6511801!16s%2Fg%2F1pp2txn70!19sChIJDYDMLHBgHTERm8DRBile97w?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJZ-IlRCKZ4jARzgWVA3vA_0k,景点,Wat Mangkon Kamalawat (Wat Leng Noei Yi),วัดมังกรกมลาวาส (วัดเล่งเน่ยยี่),buddhist_temple,佛教寺庙,4.6,17571,"423 ถ. เจริญกรุง Khwaeng Pom Prap, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.743029,100.50916,邦巴沙都拍县,Pom Prap,星期一: 08:00–16:30 | 星期二: 08:00–16:30 | 星期三: 08:00–16:30 | 星期四: 08:00–16:30 | 星期五: 08:00–16:30 | 星期六: 08:00–17:30 | 星期日: 08:00–17:30,+66 2 222 3975,https://www.facebook.com/Wat.Mangkonkamalawat.Temple/,有洗手间|无障碍入口|无障碍洗手间,中式佛教寺庙，设有众多庭院和通道，以新年节庆而闻名。,https://maps.google.com/?cid=5332192118403565006&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJWVT7hDKZ4jARGJOhe21RhOk,景点,吉姆 · 汤普森博物馆,พิพิธภัณฑ์จิม ทอมป์สัน,museum,文化博物馆,4.5,17433,"6 Kasem San 2 Alley, Wang Mai, Pathum Wan, Bangkok 10330泰国",13.749357,100.528161,巴吞旺县,Wang Mai,星期一 10:00-17:00 | 星期二 10:00-17:00 | 星期三 10:00-17:00 | 星期四 10:00-17:00 | 星期五 10:00-17:00 | 星期六 10:00-17:00 | 星期日 10:00-17:00,+66 2 216 7368,https://jimthompsonhouse.org,适合儿童|有洗手间|无障碍入口|无障碍停车|无障碍洗手间,美国企业家 Jim Thompson 兴建的泰式柚木屋，提供多种语言的导览服务。,https://www.google.com/maps/place/%E5%90%89%E5%A7%86+%C2%B7+%E6%B1%A4%E6%99%AE%E6%A3%AE%E5%8D%9A%E7%89%A9%E9%A6%86/data=!4m7!3m6!1s0x30e2993284fb5459:0xe984516d7ba19318!8m2!3d13.7493569!4d100.5281613!16s%2Fm%2F03hlbr1!19sChIJWVT7hDKZ4jARGJOhe21RhOk?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJrc78zJBjHTERdLG8EciM5Qs,景点,暹罗水世界,ซีไลฟ์ แบงคอก โอเชียน เวิลด์,,游乐场,4.2,17348,"203 Suan Sayam Rd, Khan Na Yao, Bangkok 10230泰国",13.806291,100.692527,汉那尧县,Khan Na Yao,星期一 10:00-18:00 | 星期二 10:00-18:00 | 星期三 10:00-18:00 | 星期四 10:00-18:00 | 星期五 10:00-18:00 | 星期六 10:00-18:00 | 星期日 10:00-18:00,+66 2 105 4294,https://siamamazingpark.com,,,https://www.google.com/maps/place/%E6%9A%B9%E7%BD%97%E6%B0%B4%E4%B8%96%E7%95%8C/data=!4m7!3m6!1s0x311d6390ccfccead:0xbe58cc811bcb174!8m2!3d13.8062906!4d100.692527!16s%2Fm%2F03nr91r!19sChIJrc78zJBjHTERdLG8EciM5Qs?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJk31AdLKf4jARXwt8iVGkqwI,景点,Jodd Fairs Ratchada,จ๊อดแฟร์ รัชดา,,夜市,4.2,16801,"129 Ratchadaphisek Rd, Din Daeng, Bangkok 10400泰国",13.76792,100.571198,汇权县,Din Daeng,星期一 17:00-01:00 | 星期二 17:00-01:00 | 星期三 17:00-01:00 | 星期四 17:00-01:00 | 星期五 17:00-01:00 | 星期六 17:00-01:00 | 星期日 17:00-01:00,+66 92 713 5599,https://facebook.com,,,https://www.google.com/maps/place/Jodd+Fairs+Ratchada/data=!4m7!3m6!1s0x30e29fb274407d93:0x2aba451897c0b5f!8m2!3d13.76792!4d100.5711979!16s%2Fg%2F11s0cx585k!19sChIJk31AdLKf4jARXwt8iVGkqwI?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJgV6P8rCe4jARDeGu63VNWdQ,景点,胜利纪念碑,อนุสาวรีย์ชัยสมรภูมิ,monument,纪念碑,4.4,14757,"QG7Q+X87, Phahonyothin Rd, Thanon Phaya Thai, Ratchathewi, Bangkok 10400泰国",13.764911,100.538285,拉差贴威县,Thung Phaya Thai,,+66 85 590 2146,,适合儿童,这座高耸的方尖碑设有军人雕像，为纪念泰国在法泰战争中的胜利而兴建。,https://www.google.com/maps/place/%E8%83%9C%E5%88%A9%E7%BA%AA%E5%BF%B5%E7%A2%91/data=!4m7!3m6!1s0x30e29eb0f28f5e81:0xd4594d75ebaee10d!8m2!3d13.7649109!4d100.5382853!16zL20vMDk3Zngx!19sChIJgV6P8rCe4jARDeGu63VNWdQ?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJzddV98ed4jARsZ7Bi-51v2k,景点,Khlong Lad Mayom Floating Market,ตลาดน้ำคลองลัดมะยม,,水上市场,4.3,11689,"30/1 หมู่ที่ 15 Bang Ramat Rd, Bang Ramat, Taling Chan, Bangkok 10170泰国",13.761665,100.415789,打邻仓县,Bang Ramat,星期一 休息 | 星期二 休息 | 星期三 休息 | 星期四 休息 | 星期五 休息 | 星期六 08:00-17:00 | 星期日 08:00-17:00,+66 2 422 4270,https://facebook.com,,,https://www.google.com/maps/place/Khlong+Lad+Mayom+Floating+Market/data=!4m7!3m6!1s0x30e29dc7f755d7cd:0x69bf75ee8bc19eb1!8m2!3d13.7616655!4d100.4157885!16s%2Fg%2F11h7fz3vtp!19sChIJzddV98ed4jARsZ7Bi-51v2k?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJS_XISm2Z4jARadeK2M9ds6c,景点,考山路夜市,ถนนข้าวสาร,tourist_attraction,旅游胜地,4.3,11611,"161, 163 Thanon Khao San, Khwaeng Talat Yot, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.758107,100.498978,拍那空县,哒叻裕区,星期一: 14:00–23:00 | 星期二: 14:00–23:00 | 星期三: 14:00–23:00 | 星期四: 14:00–23:00 | 星期五: 14:00–23:00 | 星期六: 14:00–23:00 | 星期日: 14:00–23:00,+66 95 847 0706,,有洗手间|配送|无障碍入口|无障碍洗手间,,https://maps.google.com/?cid=12084105372437763945&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJmfMfvBuf4jAR9rugvZd5Lyc,景点,班嘉琦缇皇后公园,สวนสมเด็จพระนางเจ้าฯ,,国家公园,4.6,11204,"Ratchadaphisek Rd, Khlong Toei, Bangkok 10110泰国",13.729248,100.558565,孔提县,Khlong Toei,星期一 04:30-22:00 | 星期二 04:30-22:00 | 星期三 04:30-22:00 | 星期四 04:30-22:00 | 星期五 04:30-22:00 | 星期六 04:30-22:00 | 星期日 04:30-22:00,+66 64 556 6793,https://facebook.com,,,https://www.google.com/maps/place/%E7%8F%AD%E5%98%89%E7%90%A6%E7%BC%87%E7%9A%87%E5%90%8E%E5%85%AC%E5%9B%AD/data=!4m7!3m6!1s0x30e29f1bbc1ff399:0x272f7997bda0bbf6!8m2!3d13.7292483!4d100.5585653!16s%2Fg%2F121qyt78!19sChIJmfMfvBuf4jAR9rugvZd5Lyc?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJg-IqNBGZ4jAR0dPx_MR-gTk,景点,Wat Suthat Thepwararam Ratchaworamahawihan,วัดสุทัศนเทพวรารามราชวรมหาวิหาร,buddhist_temple,佛教寺庙,4.8,10783,"146 Thanon Bamrung Mueang, Khwaeng Wat Ratchabophit, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.751045,100.501093,拍那空县,拉差博披寺区,星期一: 08:30–20:00 | 星期二: 08:30–20:00 | 星期三: 08:30–20:00 | 星期四: 08:30–20:00 | 星期五: 08:30–20:00 | 星期六: 08:30–20:00 | 星期日: 08:30–20:00,+66 63 654 6829,,有洗手间|无障碍入口|无障碍停车|无障碍洗手间,庄严华丽的 19 世纪佛教寺庙，以 20 米高的红色柚木巨型秋千和 8 米高青铜佛像而闻名。,https://maps.google.com/?cid=4143732516679963601&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJbXZLwgyZ4jARO_0Exd6l_lU,景点,曼谷国家博物馆,พิพิธภัณฑสถานแห่งชาติ พระนคร,museum,博物馆,4.7,9786,"4 Soi Na Phra That, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.757617,100.492517,拍那空县,大皇宫区,星期一: 休息 | 星期二: 休息 | 星期三: 08:30–16:00 | 星期四: 08:30–16:00 | 星期五: 08:30–16:00 | 星期六: 08:30–16:00 | 星期日: 08:30–16:00,+66 2 224 1370,http://www.virtualmuseum.finearts.go.th/bangkoknationalmuseums/index.php/th/,适合儿童|有洗手间|无障碍入口|无障碍停车|无障碍洗手间,这座博物馆建于 18 世纪，各个殿堂中陈列着数百年历史的暹罗珍宝、武器和皇家古董。,https://maps.google.com/?cid=6196572513515142459&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJHQcCZM2e4jARaESgxhA9-HM,景点,Madame Tussauds BANGKOK,มาดามทุสโซ กรุงเทพฯ,museum,蜡像馆,4.5,9293,"Krung Thep Maha Nakhon, Pathum Wan, Krung Thep Maha Nakhon, Rama I Rd, 暹罗探索购物中心邮政编码: 10330",13.746418,100.531671,巴吞旺县,Pathum Wan,星期一: 10:00–19:00 | 星期二: 10:00–19:00 | 星期三: 10:00–19:00 | 星期四: 10:00–19:00 | 星期五: 10:00–19:00 | 星期六: 10:00–19:00 | 星期日: 10:00–19:00,+66 2 658 0060,https://www.madametussauds.com/bangkok/,适合儿童|有洗手间|无障碍入口|无障碍停车|无障碍洗手间,连锁博物馆分主题展区，展示美国名人及历史人物的真人尺寸蜡像。,https://maps.google.com/?cid=8356496250847118440&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJTw-JsUKc4jAREpXc3JmuyAE,景点,瓦琦拉班哲塔公园,สวนวชิรพรรณเศรษฐ์,,国家公园,4.6,8676,"Kamphaeng Phet 3 Rd, แขวง ลาดยาว, Chatuchak, Bangkok 10900泰国",13.81107,100.553657,乍都节县,Chatuchak,,+66 2 537 9221,,,,https://www.google.com/maps/place/%E7%93%A6%E7%90%A6%E6%8B%89%E7%8F%AD%E5%93%B2%E5%A1%94%E5%85%AC%E5%9B%AD/data=!4m7!3m6!1s0x30e29c42b1890f4f:0x1c8ae99dcdc9512!8m2!3d13.81107!4d100.5536575!16s%2Fg%2F120vbw_y!19sChIJTw-JsUKc4jAREpXc3JmuyAE?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
