Google地点ID,地点名称,票券类型,标题,供应商,是否官方,价格数值,币种,评分,评价数量,时长,备注,票券链接
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,大皇宫门票(含玉佛寺)+拼团人工讲解（所有旅客）,Trip.com,否,20,USD,4.4,13393,,,https://trip.com/travel-guide/attraction/bangkok/the-grand-palace-77012?locale=zh-Hans-US&poiType=3&allianceid=1076145&sid=4330723&s-productIdTop=55375269&source=maps&curr=USD&funnel=nav&adsource=&s-googlever=MjYwODI4LjA4MDAwMC4xMC4xMDkuMjUuMjIzLjk5Ljg0MTI3OTA5XzY=
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,从曼谷出发的大皇宫、玉佛寺、卧佛寺和郑王庙徒步之旅,Tripadvisor,否,84,USD,4.6,42,4小时,,https://cn.tripadvisor.com/AttractionProductHighlight-g293916-d23901128-Grand_Palace_Wat_Phra_Kaew_Wat_Pho_and_Wat_Arun_Walking_Tour_From_Bangkok-Bangkok.html?supul=zh-Hans-US&supsf=maps&supfn=nav&supas=
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,半日DIY大皇宫和玉佛寺,Agoda,否,141,USD,4.7,3,,,https://www.agoda.com/activities/search?cid=1909882&cityId=9395&selectedActivity=966963&mseOfferId=855810&currency=USD&gl=zh-Hans-US&gs=maps&gf=nav&gacs=
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,曼谷皇家大皇宫之旅与玉佛寺,Viator,否,104,USD,5.0,2,1小时,,https://www.viator.com/Bangkok/d343/p-91960P296?googlettd=true&src=papi&campaign=&surface=maps&funnel=nav
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,曼谷大珍珠号晚餐游轮（+ 国际＆泰式自助餐）,Trazy,否,33,USD,4.4,103,2小时,,https://www.trazy.com/experience/detail/grand-pearl-dinner-cruise-bangkok
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,曼谷昭披耶公主号晚餐游船巡航（上层甲板座位）,Klook,否,46,USD,4.3,735,1小时30分钟,,https://www.klook.com/zh-CN/destination/p50199632/1-things-to-do/?source_channel=googlettd&_language=zh-Hans-US&_currency=USD&_activity_id=88680&package_id=296625&google_surface=maps&google_ads_click_source=&google_funnel=nav&feed_product_id=88680&kl_package_id=296625&aid=26991
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,曼谷大皇宫和帕廓寺徒步导游游,GetYourGuide,否,12,USD,4.4,2535,2小时30分钟,,https://www.getyourguide.com/bangkok-l169/bangkok-grand-palace-and-wat-phra-kaew-guided-walking-tour-t417016/?locale=zh-Hans-US&currency=USD&surface=maps&funnel=nav&google_ads_click_source=&product_id=417016&option_id=756309&partner_id=CD951
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,曼谷三大皇家寺庙漫步之旅,Tiqets,否,76,USD,4.0,1,3小时,,https://www.tiqets.com/zh-Hans-US/bangkok-attractions-c78586/tickets-for-bangkok-grand-palace-and-royal-temples-tour-p1097752/?tq_source=ttd_product_feed&surface=maps&funnel=nav&ttd_user_currency=USD&google_ads_click_source=
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,曼谷大皇宫私人城市全日游,Booking.com,否,240,USD,4.0,1,8小时,,https://www.booking.com/attractions/th/prgugjtg0f3e-private-city-highlights-tour.zh-cn.html?aid=2421090&adplat=www-gttd-option-attractions-product&label=lgzh-Hans-US_crUSD_sfmaps_fnnav_piPRGuGJtG0F3e_oiOFGIPskVaieU_sc
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,大皇宫票券 (含玉佛寺) ＋ 私人团体导览（所有旅客）,Trip.com,否,42,USD,4.4,13393,,,https://us.trip.com/travel-guide/attraction/bangkok/the-grand-palace-77012?locale=zh-Hans-US&poiType=3&allianceid=1076145&sid=4330723&s-productIdTop=89763315&source=maps&curr=USD&funnel=nav&adsource=&s-googlever=MjYwODI4LjA4MDAwMC4xMC4xMDkuMjUuMjIzLjk5Ljg0MTI3OTA5XzY=
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,曼谷大皇宫和玉佛寺之旅,Viator,否,110,USD,5.0,1,6小时,,https://www.viator.com/Bangkok/d343/p-220284P7?googlettd=true&src=papi&campaign=&surface=maps&funnel=nav
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,曼谷玉佛寺大皇宫,Agoda,否,92,USD,,,,,https://www.agoda.com/activities/search?cid=1909882&cityId=9395&selectedActivity=903757&mseOfferId=757222&currency=USD&gl=zh-Hans-US&gs=maps&gf=nav&gacs=
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,私人旅游：宏伟的大皇宫和玉佛寺,Tripadvisor,否,201,USD,,,3小时,,https://cn.tripadvisor.com/AttractionProductHighlight-g293916-d15802764-Private_Tour_Magnificent_Grand_Palace_and_Emerald_Buddha-Bangkok.html?supul=zh-Hans-US&supsf=maps&supfn=nav&supas=
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,曼谷：大皇宫和玉佛寺半日游,GetYourGuide,否,18,USD,4.4,276,2小时,,https://www.getyourguide.com/bangkok-l169/bangkok-grand-palace-and-emerald-buddha-half-day-tour-t485104/?locale=zh-Hans-US&currency=USD&surface=maps&funnel=nav&google_ads_click_source=&product_id=485104&option_id=860570&partner_id=CD951
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,曼谷随上随下观光巴士之旅（Elephant Bus Tours 提供）,Klook,否,23,USD,4.4,449,,,https://www.klook.com/zh-CN/activity/87170-bangkok-hop-on-off-bus-tour-elephantgogo/?source_channel=googlettd&_language=zh-Hans-US&_currency=USD&_activity_id=87170&package_id=370257&google_surface=maps&google_ads_click_source=&google_funnel=nav&feed_product_id=87170&kl_package_id=370257&aid=26991
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,美功铁路市场、Damnoen水上市场和大皇宫：带导览一日游,Tiqets,否,75,USD,,,10小时,,https://www.tiqets.com/zh-Hans-US/bangkok-attractions-c78586/tickets-for-maeklong-railway-market-damnoen-floating-market-grand-palace-guided-day-tour-p1104081/?tq_source=ttd_product_feed&surface=maps&funnel=nav&ttd_user_currency=USD&google_ads_click_source=
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,曼谷城市游全日私人,Booking.com,否,303,USD,,,8小时,,https://www.booking.com/attractions/th/prxhdwkraiod-full-day-private-city-tour.zh-cn.html?aid=2421090&adplat=www-gttd-option-attractions-product&label=lgzh-Hans-US_crUSD_sfmaps_fnnav_piPRXHDwKRAiOD_oiOFXBtmZzm4fp_sc
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,大皇宫门票 (含玉佛寺)+卧佛寺门票＋双景点拼团中文人员导览（所有旅客）,Trip.com,否,48,USD,4.4,13393,,,https://trip.com/travel-guide/attraction/bangkok/the-grand-palace-77012?locale=zh-Hans-US&poiType=3&allianceid=1076145&sid=4330723&s-productIdTop=100625939&source=maps&curr=USD&funnel=nav&adsource=&s-googlever=MjYwODI4LjA4MDAwMC4xMC4xMDkuMjUuMjIzLjk5Ljg0MTI3OTA5XzY=
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,曼谷小团体大皇宫和寺庙徒步之旅,Viator,否,84,USD,4.6,136,4小时,,https://www.viator.com/Bangkok/d343/p-110534P563?googlettd=true&src=papi&campaign=&surface=maps&funnel=nav
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,游览与体验,曼谷：城市亮点寺庙和市场徒步导览,GetYourGuide,否,21,USD,4.5,4625,4小时,,https://www.getyourguide.com/bangkok-l169/bangkok-city-highlights-temple-and-market-walking-tour-t158046/?locale=zh-Hans-US&currency=USD&surface=maps&funnel=nav&google_ads_click_source=&product_id=158046&option_id=1620567&partner_id=CD951
ChIJg-IqNBGZ4jAR0dPx_MR-gTk,Wat Suthat Thepwararam Ratchaworamahawihan,门票,,蘇泰寺,是,3.03,USD,,,,,https://www.tourismthailand.org/Attraction/wat-suthatthepwararam-ratchaworamahawihan
ChIJg-IqNBGZ4jAR0dPx_MR-gTk,Wat Suthat Thepwararam Ratchaworamahawihan,门票,,Klook,否,19.79,USD,,,,多景区门票 · 即时确认,https://www.klook.com/zh-CN/activity/129462-skip-the-line-grand-palace-and-emerald-buddha-ticket-in-bangkok/?source_channel=googlettd&_language=zh-Hans-US&_currency=USD&_activity_id=129462&package_id=455165&google_surface=maps&google_ads_click_source=&google_funnel=nav&feed_product_id=129462&kl_package_id=455165&aid=26991
ChIJg-IqNBGZ4jAR0dPx_MR-gTk,Wat Suthat Thepwararam Ratchaworamahawihan,游览与体验,曼谷 3 座著名寺庙徒步之旅,Viator,否,94,USD,5.0,2,3小时,,https://www.viator.com/Bangkok/d343/p-215192P186?googlettd=true&src=papi&campaign=&surface=maps&funnel=nav
ChIJg-IqNBGZ4jAR0dPx_MR-gTk,Wat Suthat Thepwararam Ratchaworamahawihan,游览与体验,曼谷 3 座著名寺庙徒步之旅,Booking.com,否,94,USD,,,3小时,,https://www.booking.com/attractions/th/pr4d2qbx2tll-3-remarkable-temples-walking-tour-in-bangkok.zh-cn.html?aid=2421090&adplat=www-gttd-option-attractions-product&label=lgzh-Hans-US_crUSD_sfmaps_fnnav_piPR4D2qbX2TLl_oiOFVeIpa8mZ0N_sc
ChIJg-IqNBGZ4jAR0dPx_MR-gTk,Wat Suthat Thepwararam Ratchaworamahawihan,游览与体验,曼谷 3 座著名寺庙徒步之旅,Tripadvisor,否,94,USD,5.0,1,3小时,,https://cn.tripadvisor.com/AttractionProductHighlight-g293916-d28669156-3_Remarkable_Temples_Walking_Tour_in_Bangkok-Bangkok.html?supul=zh-Hans-US&supsf=maps&supfn=nav&supas=
ChIJg-IqNBGZ4jAR0dPx_MR-gTk,Wat Suthat Thepwararam Ratchaworamahawihan,游览与体验,老曼谷Instagram之旅,Tripadvisor,否,122,USD,,,4小时,,https://cn.tripadvisor.com/AttractionProductHighlight-g293916-d20269061-Old_Bangkok_Instagram_Tour-Bangkok.html?supul=zh-Hans-US&supsf=maps&supfn=nav&supas=
ChIJg-IqNBGZ4jAR0dPx_MR-gTk,Wat Suthat Thepwararam Ratchaworamahawihan,游览与体验,老曼谷Instagram之旅,Viator,否,122,USD,,,4小时,,https://www.viator.com/Bangkok/d343/p-102252P103?googlettd=true&src=papi&campaign=&surface=maps&funnel=nav
ChIJg-IqNBGZ4jAR0dPx_MR-gTk,Wat Suthat Thepwararam Ratchaworamahawihan,游览与体验,老曼谷Instagram之旅,Booking.com,否,122,USD,,,4小时,,https://www.booking.com/attractions/th/pro0nf3jzkzm-old-bangkok-instagram-tour.zh-cn.html?aid=2421090&adplat=www-gttd-option-attractions-product&label=lgzh-Hans-US_crUSD_sfmaps_fnnav_piPRO0nF3JzkZm_oiOFobzoyMhLtG_sc
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,门票,,卧佛寺,是,9.1,USD,,,,,https://www.watpho.com/en/contact/plan
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,门票,,Klook,否,19.79,USD,,,,多景区门票 · 即时确认,https://www.klook.com/zh-CN/activity/129462-skip-the-line-grand-palace-and-emerald-buddha-ticket-in-bangkok/?source_channel=googlettd&_language=zh-Hans-US&_currency=USD&_activity_id=129462&package_id=455165&google_surface=maps&google_ads_click_source=&google_funnel=nav&feed_product_id=129462&kl_package_id=455165&aid=26991
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,门票,,Tiqets,否,23.75,USD,,,,即时确认 · 电子票,https://www.tiqets.com/zh-Hans-US/bangkok-attractions-c78586/tickets-for-the-grand-palace-bangkok-direct-entry-p1098072/?tq_source=ttd_product_feed&surface=maps&funnel=nav&ttd_user_currency=USD&google_ads_click_source=
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,门票,,Trip.com,否,47.61,USD,,,,免费取消 · 电子票,https://trip.com/travel-guide/attraction/bangkok/the-grand-palace-77012?locale=zh-Hans-US&poiType=3&allianceid=1076145&sid=4330723&s-productIdTop=100625939&source=maps&curr=USD&funnel=nav&adsource=&s-googlever=MjYwODI4LjA4MDAwMC4xMC4xMDkuMjUuMjIzLjk5Ljg0MTI3OTA5XzY=
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,门票,,Rakuten Travel Experiences,否,25.61,USD,,,,即时确认 · 电子票,https://experiences.travel.rakuten.co.jp/experiences/34789?scid=we_txp_google-ttd
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,大皇宫门票 (含玉佛寺)+卧佛寺门票＋双景点拼团中文人员导览（所有旅客）,Trip.com,否,48,USD,4.4,13393,,,https://trip.com/travel-guide/attraction/bangkok/the-grand-palace-77012?locale=zh-Hans-US&poiType=3&allianceid=1076145&sid=4330723&s-productIdTop=100625939&source=maps&curr=USD&funnel=nav&adsource=&s-googlever=MjYwODI4LjA4MDAwMC4xMC4xMDkuMjUuMjIzLjk5Ljg0MTI3OTA5XzY=
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,卧佛寺和阿伦寺：导游步行游览,Tiqets,否,18,USD,4.0,25,3小时,,https://www.tiqets.com/zh-Hans-US/bangkok-attractions-c78586/tickets-for-wat-pho-wat-arun-walking-tour-3-hrs-p1032325/?tq_source=ttd_product_feed&surface=maps&funnel=nav&ttd_user_currency=USD&google_ads_click_source=
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,从曼谷出发的大皇宫、玉佛寺、卧佛寺和郑王庙徒步之旅,Tripadvisor,否,84,USD,4.6,42,4小时,,https://cn.tripadvisor.com/AttractionProductHighlight-g293916-d23901128-Grand_Palace_Wat_Phra_Kaew_Wat_Pho_and_Wat_Arun_Walking_Tour_From_Bangkok-Bangkok.html?supul=zh-Hans-US&supsf=maps&supfn=nav&supas=
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,曼谷寺庙小团游,Viator,否,160,USD,4.9,39,4小时,,https://www.viator.com/Bangkok/d343/p-163642P26?googlettd=true&src=papi&campaign=&surface=maps&funnel=nav
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,"曼谷寺庙游览在Wat Arun,Wat Phoa和Wat Saket",Agoda,否,160,USD,4.9,39,,,https://www.agoda.com/activities/search?cid=1909882&cityId=9395&selectedActivity=816569&mseOfferId=621668&currency=USD&gl=zh-Hans-US&gs=maps&gf=nav&gacs=
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,曼谷随上随下观光巴士之旅（Elephant Bus Tours 提供）,Klook,否,23,USD,4.4,449,,,https://www.klook.com/zh-CN/activity/87170-bangkok-hop-on-off-bus-tour-elephantgogo/?source_channel=googlettd&_language=zh-Hans-US&_currency=USD&_activity_id=87170&package_id=370257&google_surface=maps&google_ads_click_source=&google_funnel=nav&feed_product_id=87170&kl_package_id=370257&aid=26991
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,曼谷：大皇宫、Wat Pho 和 Wat Arun 参观导览,GetYourGuide,否,20,USD,4.8,5490,5小时,,https://www.getyourguide.com/bangkok-l169/bangkok-grand-palace-wat-pho-and-wat-arun-guided-tour-t840436/?locale=zh-Hans-US&currency=USD&surface=maps&funnel=nav&google_ads_click_source=&product_id=840436&option_id=1330511&partner_id=CD951
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,曼谷大皇宫+卧佛寺+郑王庙半日游【精品纯玩丨多语导游】,Trip.com,否,29,USD,4.4,12,3小时,,https://us.trip.com/things-to-do/experiences/Bangkok-1daytrip?locale=zh-Hans-US&allianceid=1076145&sid=28350764&metaproductid=54429002&utm_medium=meta&source=maps&curr=USD&funnel=nav&adsource=&s-googlever=MjYwODI2LjIwMDAwMC4xMC45Ni4zNC4xNzcuMTE2LjI5NDU2NDEzOF82
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,曼谷小团体大皇宫和寺庙徒步之旅,Viator,否,84,USD,4.6,136,4小时,,https://www.viator.com/Bangkok/d343/p-110534P563?googlettd=true&src=papi&campaign=&surface=maps&funnel=nav
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,金佛，卧佛和大理石寺游,Tripadvisor,否,201,USD,5.0,4,2小时15分钟,,https://cn.tripadvisor.com/AttractionProductHighlight-g293916-d17399572-Golden_Buddha_Reclining_Buddha_Marble_Temple_Tour-Bangkok.html?supul=zh-Hans-US&supsf=maps&supfn=nav&supas=
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,曼谷：阿伦古寺、伏波寺、唐人街和嘟嘟车之旅,Tiqets,否,40,USD,4.5,2,4小时,,https://www.tiqets.com/zh-Hans-US/bangkok-attractions-c78586/tickets-for-bangkok-wat-pho-night-market-chinatown-p1057871/?tq_source=ttd_product_feed&surface=maps&funnel=nav&ttd_user_currency=USD&google_ads_click_source=
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,曼谷：城市亮点寺庙和市场徒步导览,GetYourGuide,否,21,USD,4.5,4625,4小时,,https://www.getyourguide.com/bangkok-l169/bangkok-city-highlights-temple-and-market-walking-tour-t158046/?locale=zh-Hans-US&currency=USD&surface=maps&funnel=nav&google_ads_click_source=&product_id=158046&option_id=1620567&partner_id=CD951
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,曼谷城市之旅：搭乘快艇游览著名寺庙,Klook,否,32,USD,4.6,5,2小时,,https://www.klook.com/en-US/destination/c4-bangkok/1-things-to-do/?source_channel=googlettd&_language=zh-Hans-US&_currency=USD&_activity_id=118404&package_id=401923&google_surface=maps&google_ads_click_source=&google_funnel=nav&feed_product_id=118404&kl_package_id=401923&aid=26991
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,泰国中部10天个人往返精华游,Agoda,否,2077,USD,,,,,https://www.agoda.com/activities/search?cid=1909882&cityId=9395&selectedActivity=790122&mseOfferId=580575&currency=USD&gl=zh-Hans-US&gs=maps&gf=nav&gacs=
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,【中文导游】大皇宫+郑王庙+卧佛寺一日游|专车接驳|含门票,Trip.com,否,82,USD,4.6,17,5小时18分钟,,https://trip.com/things-to-do/experiences/Bangkok-1daytrip?locale=zh-Hans-US&allianceid=1076145&sid=28350764&metaproductid=51925186&utm_medium=meta&source=maps&curr=USD&funnel=nav&adsource=&s-googlever=MjYwODI3LjIwMDAwMC4xMC45Ni4zNC4xNzcuMTE2LjI5NzkzNjEyN182
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,皇家大皇宫和曼谷寺庙：半日游,Viator,否,221,USD,4.6,360,2小时30分钟,,https://www.viator.com/Bangkok/d343/p-30727P5?googlettd=true&src=papi&campaign=&surface=maps&funnel=nav
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,曼谷傍晚游览阿伦古寺、伏波寺和嘟嘟车之旅,GetYourGuide,否,44,USD,4.5,719,4小时,,https://www.getyourguide.com/bangkok-l169/bangkok-evening-tour-with-wat-arun-wat-pho-tuk-tuk-ride-t331506/?locale=zh-Hans-US&currency=USD&surface=maps&funnel=nav&google_ads_click_source=&product_id=331506&option_id=588676&partner_id=CD951
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,曼谷三大皇家寺庙漫步之旅,Tiqets,否,76,USD,4.0,1,3小时,,https://www.tiqets.com/zh-Hans-US/bangkok-attractions-c78586/tickets-for-bangkok-grand-palace-and-royal-temples-tour-p1097752/?tq_source=ttd_product_feed&surface=maps&funnel=nav&ttd_user_currency=USD&google_ads_click_source=
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,Laem Chabang私人岸边游览 : 曼谷地标和午餐,Tripadvisor,否,360,USD,4.7,17,8小时,,https://cn.tripadvisor.com/AttractionProductHighlight-g10825778-d28655236-Laem_Chabang_to_Bangkok_Landmarks_with_Entrance_Tickets_Lunch-Laem_Chabang_Chonb.html?supul=zh-Hans-US&supsf=maps&supfn=nav&supas=
ChIJgcxFcQWZ4jARLsIR9Qia9H0,卧佛寺,游览与体验,曼谷寺庙私人旅游与酒店接机,Viator,否,228,USD,5.0,364,4小时,,https://www.viator.com/Bangkok/d343/p-110403P10?googlettd=true&src=papi&campaign=&surface=maps&funnel=nav
ChIJP-MtN12Z4jARlEBmga-oF4w,金山寺,门票,,金山寺,是,3.03,USD,,,,,https://thai.tourismthailand.org/Attraction/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%81%E0%B8%A8-%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%A3%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%AB%E0%B8%B2%E0%B8%A3-%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%82%E0%B8%B2%E0%B8%97%E0%B8%AD%E0%B8%87
ChIJP-MtN12Z4jARlEBmga-oF4w,金山寺,游览与体验,曼谷精选,Trip.com,否,133,USD,4.9,14,6小时,,https://us.trip.com/things-to-do/experiences/Bangkok-DayTourProducts?locale=zh-Hans-US&allianceid=1076145&sid=28350764&metaproductid=107260075&utm_medium=meta&source=maps&curr=USD&funnel=nav&adsource=&s-googlever=MjYwODI3LjIwMDAwMC4xMC45Ni4zNC4xNzcuMTE2LjI5NzkzNjEyN182
ChIJP-MtN12Z4jARlEBmga-oF4w,金山寺,游览与体验,Travstore 原创曼谷探索之旅,Tripadvisor,否,42,USD,5.0,1,6小时,,https://cn.tripadvisor.com/AttractionProductHighlight-g293916-d27958954-Travstore_Original_Bangkok_Discovery_Tour-Bangkok.html?supul=zh-Hans-US&supsf=maps&supfn=nav&supas=
ChIJP-MtN12Z4jARlEBmga-oF4w,金山寺,游览与体验,曼谷：Instagram 景点和半日寺庙之旅,GetYourGuide,否,84,USD,4.6,81,4小时,,https://www.getyourguide.com/bangkok-l169/bangkok-instagram-spots-half-day-temples-tour-t275792/?locale=zh-Hans-US&currency=USD&surface=maps&funnel=nav&google_ads_click_source=&product_id=275792&option_id=489962&partner_id=CD951
ChIJP-MtN12Z4jARlEBmga-oF4w,金山寺,游览与体验,曼谷 3 座著名寺庙徒步之旅,Booking.com,否,94,USD,,,3小时,,https://www.booking.com/attractions/th/pr4d2qbx2tll-3-remarkable-temples-walking-tour-in-bangkok.zh-cn.html?aid=2421090&adplat=www-gttd-option-attractions-product&label=lgzh-Hans-US_crUSD_sfmaps_fnnav_piPR4D2qbX2TLl_oiOFVeIpa8mZ0N_sc
ChIJP-MtN12Z4jARlEBmga-oF4w,金山寺,游览与体验,Travstore 原创曼谷探索之旅,Viator,否,42,USD,5.0,1,6小时,,https://www.viator.com/Bangkok/d343/p-33893P163?googlettd=true&src=papi&campaign=&surface=maps&funnel=nav
ChIJP-MtN12Z4jARlEBmga-oF4w,金山寺,游览与体验,调香师体验-香水DIY课程 ThaiScent泰香 Aroma Space,Trip.com,否,23,USD,4.7,7,1小时,,https://us.trip.com/things-to-do/experiences/Bangkok-Experiences?locale=zh-Hans-US&allianceid=1076145&sid=28350764&metaproductid=72079302&utm_medium=meta&source=maps&curr=USD&funnel=nav&adsource=&s-googlever=MjYwODI4LjA4MDAwMC4xMC4xMDkuMjUuMjIzLjk5Ljg0MTI3OTA5XzY=
ChIJP-MtN12Z4jARlEBmga-oF4w,金山寺,游览与体验,曼谷：乘坐嘟嘟车游览市内寺庙和历史景点。,GetYourGuide,否,36,USD,4.5,13,2小时,,https://www.getyourguide.com/bangkok-l169/bangkok-tuktuk-city-temples-and-historical-places-tour-t1270256/?locale=zh-Hans-US&currency=USD&surface=maps&funnel=nav&google_ads_click_source=&product_id=1270256&option_id=1943644&partner_id=CD951
