泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）
TH,4,村,12010204,120102,1201,12,,หมู่ที่ 4,,村级暂无可靠中文标准名,ตลาดขวัญ,เมืองนนทบุรี,นนทบุรี,,,未匹配公开点位,201,164,365,661,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,12010303,120103,1201,12,,หมู่ที่ 3,,村级暂无可靠中文标准名,บางเขน,เมืองนนทบุรี,นนทบุรี,,,未匹配公开点位,0,0,0,1,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,12010307,120103,1201,12,,หมู่ที่ 7,,村级暂无可靠中文标准名,บางเขน,เมืองนนทบุรี,นนทบุรี,,,未匹配公开点位,0,1,1,0,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,13010201,130102,1301,13,,คลองบ้านใหม่,,村级暂无可靠中文标准名,บ้านใหม่,เมืองปทุมธานี,ปทุมธานี,13.957385,100.5402874,历史点位匹配；上线前抽样复核,2235,2503,4738,2491,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,13010202,130102,1301,13,,คลองบางตะองค์,,村级暂无可靠中文标准名,บ้านใหม่,เมืองปทุมธานี,ปทุมธานี,13.9628141,100.5393978,历史点位匹配；上线前抽样复核,323,357,680,352,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,13010203,130102,1301,13,,คลองรังสิตฝั่งเหนือ,,村级暂无可靠中文标准名,บ้านใหม่,เมืองปทุมธานี,ปทุมธานี,13.9664471,100.5366452,历史点位匹配；上线前抽样复核,2424,2712,5136,2947,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,13010204,130102,1301,13,,คลองรังสิตฝั่งใต้,,村级暂无可靠中文标准名,บ้านใหม่,เมืองปทุมธานี,ปทุมธานี,,,未匹配公开点位,686,628,1314,1030,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,13010205,130102,1301,13,,บางกะต้น,,村级暂无可靠中文标准名,บ้านใหม่,เมืองปทุมธานี,ปทุมธานี,13.9699153,100.5598078,历史点位匹配；上线前抽样复核,1314,1530,2844,2010,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,14010102,140101,1401,14,,หมู่ที่ 2,,村级暂无可靠中文标准名,ประตูชัย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,,,未匹配公开点位,182,221,403,450,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,14010103,140101,1401,14,,หมู่ที่ 3,,村级暂无可靠中文标准名,ประตูชัย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,,,未匹配公开点位,624,626,1250,410,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,14010104,140101,1401,14,,หมู่ที่ 4,,村级暂无可靠中文标准名,ประตูชัย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,,,未匹配公开点位,892,932,1824,876,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,14010105,140101,1401,14,,หมู่ที่ 5,,村级暂无可靠中文标准名,ประตูชัย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,,,未匹配公开点位,125,113,238,115,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,14010106,140101,1401,14,,หมู่ที่ 6,,村级暂无可靠中文标准名,ประตูชัย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,,,未匹配公开点位,135,134,269,171,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,15010301,150103,1501,15,,น้ำหัวนอน,,村级暂无可靠中文标准名,ศาลาแดง,เมืองอ่างทอง,อ่างทอง,,,未匹配公开点位,510,555,1065,432,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,15010302,150103,1501,15,,ศาลาแดง,,村级暂无可靠中文标准名,ศาลาแดง,เมืองอ่างทอง,อ่างทอง,14.5943292,100.445724,历史点位匹配；上线前抽样复核,390,459,849,789,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,15010303,150103,1501,15,,ท้ายย่าน,,村级暂无可靠中文标准名,ศาลาแดง,เมืองอ่างทอง,อ่างทอง,14.5997836,100.4407021,历史点位匹配；上线前抽样复核,691,769,1460,628,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,15010304,150103,1501,15,,สวนมะม่วง,,村级暂无可靠中文标准名,ศาลาแดง,เมืองอ่างทอง,อ่างทอง,14.6052354,100.4360964,历史点位匹配；上线前抽样复核,818,963,1781,898,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,15010305,150103,1501,15,,ลาว,,村级暂无可靠中文标准名,ศาลาแดง,เมืองอ่างทอง,อ่างทอง,,,未匹配公开点位,302,286,588,249,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,16010101,160101,1601,16,,โคกขยาย,,村级暂无可靠中文标准名,ทะเลชุบศร,เมืองลพบุรี,ลพบุรี,14.8101344,100.6158166,历史点位匹配；上线前抽样复核,625,707,1332,479,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,16010102,160101,1601,16,,ท่ากระยาง,,村级暂无可靠中文标准名,ทะเลชุบศร,เมืองลพบุรี,ลพบุรี,14.8119158,100.6195459,历史点位匹配；上线前抽样复核,397,416,813,325,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,16010103,160101,1601,16,,สะพานอิฐ,,村级暂无可靠中文标准名,ทะเลชุบศร,เมืองลพบุรี,ลพบุรี,14.8127607,100.6279135,历史点位匹配；上线前抽样复核,2156,1098,3254,2477,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,16010104,160101,1601,16,,สะพานอิฐ,,村级暂无可靠中文标准名,ทะเลชุบศร,เมืองลพบุรี,ลพบุรี,14.8127804,100.6251266,历史点位匹配；上线前抽样复核,448,452,900,387,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,16010105,160101,1601,16,,พระที่นั่งเย็น,,村级暂无可靠中文标准名,ทะเลชุบศร,เมืองลพบุรี,ลพบุรี,14.8099968,100.6353251,历史点位匹配；上线前抽样复核,696,768,1464,658,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,17010201,170102,1701,17,,หัวดอน,,村级暂无可靠中文标准名,บางมัญ,เมืองสิงห์บุรี,สิงห์บุรี,14.8945858,100.4194049,历史点位匹配；上线前抽样复核,740,811,1551,1050,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,17010202,170102,1701,17,,บางสำราญ,,村级暂无可靠中文标准名,บางมัญ,เมืองสิงห์บุรี,สิงห์บุรี,,,未匹配公开点位,235,258,493,149,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,17010203,170102,1701,17,,หลังถนน,,村级暂无可靠中文标准名,บางมัญ,เมืองสิงห์บุรี,สิงห์บุรี,14.9128903,100.3823428,历史点位匹配；上线前抽样复核,367,420,787,332,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,17010204,170102,1701,17,,บางตาเพชร,,村级暂无可靠中文标准名,บางมัญ,เมืองสิงห์บุรี,สิงห์บุรี,14.9155059,100.3981621,历史点位匹配；上线前抽样复核,252,282,534,203,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,17010205,170102,1701,17,,บางเลา,,村级暂无可靠中文标准名,บางมัญ,เมืองสิงห์บุรี,สิงห์บุรี,14.9219289,100.3824005,历史点位匹配；上线前抽样复核,165,222,387,103,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,18010201,180102,1801,18,,สี่แยกบ้านใหม่,,村级暂无可靠中文标准名,บ้านกล้วย,เมืองชัยนาท,ชัยนาท,15.1780382,100.1681194,历史点位匹配；上线前抽样复核,253,260,513,197,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,18010202,180102,1801,18,,แหลมยาง,,村级暂无可靠中文标准名,บ้านกล้วย,เมืองชัยนาท,ชัยนาท,15.1600078,100.1587135,历史点位匹配；上线前抽样复核,353,403,756,335,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,18010203,180102,1801,18,,วัดปลัง (วังน้ำโจน),,村级暂无可靠中文标准名,บ้านกล้วย,เมืองชัยนาท,ชัยนาท,15.1663591,100.1540944,历史点位匹配；上线前抽样复核,514,604,1118,556,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,18010204,180102,1801,18,,วัดตาก,,村级暂无可靠中文标准名,บ้านกล้วย,เมืองชัยนาท,ชัยนาท,15.1691653,100.1354947,历史点位匹配；上线前抽样复核,878,940,1818,1187,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,18010205,180102,1801,18,,วังไร,,村级暂无可靠中文标准名,บ้านกล้วย,เมืองชัยนาท,ชัยนาท,15.1926157,100.1458593,历史点位匹配；上线前抽样复核,598,736,1334,853,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,19010501,190105,1901,19,,แพะโคก,,村级暂无可靠中文标准名,ดาวเรือง,เมืองสระบุรี,สระบุรี,14.5639281,100.9044516,历史点位匹配；上线前抽样复核,916,1049,1965,970,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,19010502,190105,1901,19,,ดาวเรือง,,村级暂无可靠中文标准名,ดาวเรือง,เมืองสระบุรี,สระบุรี,14.555168,100.9067685,历史点位匹配；上线前抽样复核,135,192,327,166,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,19010503,190105,1901,19,,ห้วยน้อย,,村级暂无可靠中文标准名,ดาวเรือง,เมืองสระบุรี,สระบุรี,14.5612624,100.8988616,历史点位匹配；上线前抽样复核,380,454,834,691,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,19010504,190105,1901,19,,ป่าสัก,,村级暂无可靠中文标准名,ดาวเรือง,เมืองสระบุรี,สระบุรี,14.5540707,100.894161,历史点位匹配；上线前抽样复核,90,125,215,106,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,19010505,190105,1901,19,,ดาวเรืองใต้,,村级暂无可靠中文标准名,ดาวเรือง,เมืองสระบุรี,สระบุรี,14.5595601,100.8858571,历史点位匹配；上线前抽样复核,173,211,384,212,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,20010501,200105,2001,20,,หนองตะโก,,村级暂无可靠中文标准名,บ้านสวน,เมืองชลบุรี,ชลบุรี,13.3485116,101.0034152,历史点位匹配；上线前抽样复核,2104,2477,4581,2729,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,20010502,200105,2001,20,,หนองตาท้วม,,村级暂无可靠中文标准名,บ้านสวน,เมืองชลบุรี,ชลบุรี,13.3594433,100.9924294,历史点位匹配；上线前抽样复核,3863,4583,8446,5547,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,20010503,200105,2001,20,,ห้วยทวน,,村级暂无可靠中文标准名,บ้านสวน,เมืองชลบุรี,ชลบุรี,13.3513028,100.9932856,历史点位匹配；上线前抽样复核,6482,7078,13560,9218,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,20010504,200105,2001,20,,สวนแขก,,村级暂无可靠中文标准名,บ้านสวน,เมืองชลบุรี,ชลบุรี,13.3576359,100.9924145,历史点位匹配；上线前抽样复核,1899,2386,4285,7070,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,20010505,200105,2001,20,,หนองกระทุ่ม,,村级暂无可靠中文标准名,บ้านสวน,เมืองชลบุรี,ชลบุรี,13.3612434,100.9933671,历史点位匹配；上线前抽样复核,4678,5274,9952,5678,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,21010201,210102,2101,21,,หนองจอก,,村级暂无可靠中文标准名,เชิงเนิน,เมืองระยอง,ระยอง,12.6809745,101.2953549,历史点位匹配；上线前抽样复核,1900,1859,3759,3117,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,21010202,210102,2101,21,,เกาะหวาย,,村级暂无可靠中文标准名,เชิงเนิน,เมืองระยอง,ระยอง,,,未匹配公开点位,1352,1497,2849,2796,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,21010203,210102,2101,21,,หนองบัวแฟง,,村级暂无可靠中文标准名,เชิงเนิน,เมืองระยอง,ระยอง,12.7046337,101.2762383,历史点位匹配；上线前抽样复核,1659,1747,3406,3197,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,21010204,210102,2101,21,,หนองบัว,,村级暂无可靠中文标准名,เชิงเนิน,เมืองระยอง,ระยอง,12.7027395,101.2863459,历史点位匹配；上线前抽样复核,1504,1486,2990,2454,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,21010205,210102,2101,21,,คลองคา,,村级暂无可靠中文标准名,เชิงเนิน,เมืองระยอง,ระยอง,12.6664777,101.2998265,历史点位匹配；上线前抽样复核,1984,2049,4033,3368,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,22010301,220103,2201,22,,ตีนเขา,,村级暂无可靠中文标准名,คลองนารายณ์,เมืองจันทบุรี,จันทบุรี,12.5873654,102.1654527,历史点位匹配；上线前抽样复核,67,95,162,70,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,22010302,220103,2201,22,,คลองนารายณ์,,村级暂无可靠中文标准名,คลองนารายณ์,เมืองจันทบุรี,จันทบุรี,12.5782357,102.1563569,历史点位匹配；上线前抽样复核,68,73,141,56,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,22010303,220103,2201,22,,คลองนารายณ์,,村级暂无可靠中文标准名,คลองนารายณ์,เมืองจันทบุรี,จันทบุรี,12.5809452,102.1563269,历史点位匹配；上线前抽样复核,48,56,104,39,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,22010304,220103,2201,22,,พะเนียด,,村级暂无可靠中文标准名,คลองนารายณ์,เมืองจันทบุรี,จันทบุรี,12.5916661,102.1451733,历史点位匹配；上线前抽样复核,211,202,413,182,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,22010305,220103,2201,22,,สระบาป,,村级暂无可靠中文标准名,คลองนารายณ์,เมืองจันทบุรี,จันทบุรี,12.5808967,102.1517294,历史点位匹配；上线前抽样复核,142,153,295,95,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,23010201,230102,2301,23,,แหลมตะโคย,,村级暂无可靠中文标准名,หนองเสม็ด,เมืองตราด,ตราด,12.2120131,102.4882083,历史点位匹配；上线前抽样复核,358,402,760,390,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,23010202,230102,2301,23,,ท่าตะเภา,,村级暂无可靠中文标准名,หนองเสม็ด,เมืองตราด,ตราด,12.1923044,102.5067639,历史点位匹配；上线前抽样复核,662,732,1394,465,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,23010203,230102,2301,23,,หนองเสม็ด,,村级暂无可靠中文标准名,หนองเสม็ด,เมืองตราด,ตราด,12.2130176,102.4992217,历史点位匹配；上线前抽样复核,464,527,991,507,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,23010204,230102,2301,23,,ตีนเนิน,,村级暂无可靠中文标准名,หนองเสม็ด,เมืองตราด,ตราด,,,未匹配公开点位,502,585,1087,642,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,23010205,230102,2301,23,,เกาะกรันเกรา,,村级暂无可靠中文标准名,หนองเสม็ด,เมืองตราด,ตราด,12.2356882,102.5081949,历史点位匹配；上线前抽样复核,831,971,1802,1768,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,24010201,240102,2401,24,,ประตูน้ำท่าไข่,,村级暂无可靠中文标准名,ท่าไข่,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,13.6967605,101.075648,历史点位匹配；上线前抽样复核,1178,1380,2558,1341,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,24010202,240102,2401,24,,คลองเก่า,,村级暂无可靠中文标准名,ท่าไข่,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,13.7177138,101.0554962,历史点位匹配；上线前抽样复核,170,172,342,120,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,24010203,240102,2401,24,,คลองบางลำภู,,村级暂无可靠中文标准名,ท่าไข่,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,13.7466225,101.0566725,历史点位匹配；上线前抽样复核,140,157,297,151,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,24010204,240102,2401,24,,ท่าไข่,,村级暂无可靠中文标准名,ท่าไข่,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,,,未匹配公开点位,527,552,1079,573,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,24010205,240102,2401,24,,หมู่,,村级暂无可靠中文标准名,ท่าไข่,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,13.753059,101.0433638,历史点位匹配；上线前抽样复核,163,173,336,105,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,25010201,250102,2501,25,,คลองโคกกะจะ,,村级暂无可靠中文标准名,รอบเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,14.0621165,101.3427082,历史点位匹配；上线前抽样复核,1076,1289,2365,1062,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
