清单序号,酒店ID,清单酒店名称,携程详情酒店名称,Trip酒店ID,Trip酒店名称,身份核验,采集状态,房型数量,尝试次数,HTTP状态,失败原因,入住日期,离店日期,请求URL,最终详情URL,采集时间
52,700866,曼谷千禧希尔顿酒店,阿特里姆曼谷美爵酒店(Grand Mercure Bangkok Atrium),700866,Grand Mercure Bangkok Atrium,酒店ID与携程详情名称一致,成功,13,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-700866/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-700866/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:03:39
58,25626228,曼谷千禧希尔顿酒店,曼谷日航酒店(Hotel Nikko Bangkok),25626228,Hotel Nikko Bangkok,酒店ID与携程详情名称一致,成功,19,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-25626228/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-25626228/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:03:43
69,30797991,曼谷千禧希尔顿酒店,曼谷瑰丽酒店(Rosewood Bangkok),30797991,Rosewood Bangkok,酒店ID与携程详情名称一致,成功,18,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-30797991/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-30797991/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:03:47
73,996285,曼谷千禧希尔顿酒店,曼谷奔集路希尔顿逸林酒店(DoubleTree by Hilton Bangkok Ploenchit),996285,DoubleTree by Hilton Bangkok Ploenchit,酒店ID与携程详情名称一致,成功,15,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996285/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996285/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:03:51
84,91582245,曼谷千禧希尔顿酒店,曼谷素坤逸87号温德姆华美达酒店(Ramada by Wyndham Bangkok Sukhumvit 87),91582245,Ramada by Wyndham Bangkok Sukhumvit 87,酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-91582245/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-91582245/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:03:55
88,996030,曼谷千禧希尔顿酒店,曼谷皇后公园万豪侯爵酒店(Bangkok Marriott Marquis Queen’s Park),996030,Bangkok Marriott Marquis Queen’s Park,酒店ID与携程详情名称一致,成功,10,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996030/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996030/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:03:59
90,1520077,曼谷千禧希尔顿酒店,曼谷无线路英迪格酒店(Hotel Indigo BANGKOK WIRELESS ROAD by IHG),1520077,Hotel Indigo BANGKOK WIRELESS ROAD by IHG,酒店ID与携程详情名称一致,成功,18,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1520077/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1520077/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:04:03
93,701844,曼谷千禧希尔顿酒店,曼谷爱侣湾君悦酒店(Grand Hyatt Erawan Bangkok),701844,Grand Hyatt Erawan Bangkok,酒店ID与携程详情名称一致,成功,16,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-701844/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-701844/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:04:07
98,23779241,曼谷千禧希尔顿酒店,曼谷素坤逸凯悦酒店(Hyatt Regency Bangkok Sukhumvit),23779241,Hyatt Regency Bangkok Sukhumvit,酒店ID与携程详情名称一致,成功,14,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-23779241/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-23779241/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:04:11
103,1457576,曼谷千禧希尔顿酒店,曼谷素万那普希尔顿高尔夫度假村及水疗中心(Hilton Bangkok Suvarnabhumi Golf Resort & Spa),1457576,Hilton Bangkok Suvarnabhumi Golf Resort & Spa,酒店ID与携程详情名称一致,成功,11,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1457576/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1457576/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:04:15
108,2207122,曼谷千禧希尔顿酒店,曼谷苏坤 20 号万怡酒店(Courtyard Bangkok Sukhumvit 20),2207122,Courtyard Bangkok Sukhumvit 20,酒店ID与携程详情名称一致,成功,13,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-2207122/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-2207122/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:04:19
115,996687,曼谷千禧希尔顿酒店,曼谷诗娜卡琳都喜公主酒店(Dusit Princess Srinakarin Bangkok),996687,Dusit Princess Srinakarin Bangkok,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996687/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996687/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:04:24
121,2249055,曼谷千禧希尔顿酒店,曼谷快乐豪斯酒店(Happihaus Hotel Bangkok),2249055,Happihaus Hotel Bangkok,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-2249055/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-2249055/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:04:28
123,702921,曼谷尊贵比左特尔酒店,曼谷拉差达绿宝石酒店(The Emerald Hotel Bangkok Ratchada),702921,The Emerald Hotel Bangkok Ratchada,酒店ID与携程详情名称一致,成功,11,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-702921/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-702921/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:04:32
125,134006395,设计师设计素坤逸区联排别墅 3卧室带浴缸 近BTS Onnut,设计师设计素坤逸区联排别墅 3卧室带浴缸 近BTS Onnut(Stylish 3BR Townhouse w/Bathtub near BTS On Nut),134006395,Stylish 3BR Townhouse w/Bathtub near BTS On Nut,酒店ID与携程详情名称一致；列表名称冲突,成功,1,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-134006395/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-134006395/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:04:37
126,83712786,曼谷素坤逸11巷艾拉酒店-泰国金士顿酒店集团,曼谷素坤逸11巷艾拉酒店-泰国金士顿酒店集团(Aira Bangkok Sukhumvit 11 by Kingston Hotels),83712786,Aira Bangkok Sukhumvit 11 by Kingston Hotels,酒店ID与携程详情名称一致,成功,15,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-83712786/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-83712786/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:04:41
128,99770356,曼谷素坤逸24巷瓦利亚酒店-泰国金士顿酒店集团,曼谷素坤逸24巷瓦利亚酒店-泰国金士顿酒店集团(Valia Bangkok Sukhumvit 24 by Kingston Hotels),99770356,Valia Bangkok Sukhumvit 24 by Kingston Hotels,酒店ID与携程详情名称一致,成功,14,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-99770356/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-99770356/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:04:45
129,129872392,曼谷素坤逸11巷琵帕酒店 -泰国金士顿酒店集团,曼谷素坤逸11巷琵帕酒店 -泰国金士顿酒店集团(Pipa Bangkok Sukhumvit 11 by Kingston Hotels),129872392,Pipa Bangkok Sukhumvit 11 by Kingston Hotels,酒店ID与携程详情名称一致,成功,16,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-129872392/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-129872392/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:04:49
132,134293909,曼谷尊贵比左特尔酒店,ARNI HEXA酒店在MRT三养(ARNI HEXA Hotel at MRT Samyan),134293909,ARNI HEXA Hotel at MRT Samyan,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-134293909/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-134293909/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:04:56
142,22119734,曼谷尊贵比左特尔酒店,克鲁姆旅舍(Kloem Hostel),22119734,Kloem Hostel,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-22119734/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-22119734/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:05:00
143,96527432,曼谷尊贵比左特尔酒店,曼谷素坤逸斯德布里奇套房酒店(Staybridge Suites BANGKOK SUKHUMVIT by IHG),96527432,Staybridge Suites BANGKOK SUKHUMVIT by IHG,酒店ID与携程详情名称一致,成功,10,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-96527432/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-96527432/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:05:04
144,103766000,曼谷尊贵比左特尔酒店,"曼谷 Public House 酒店，Design Hotels 成员酒店(Public House Hotel Bangkok, a Member of Design Hotels)",103766000,"Public House Hotel Bangkok, a Member of Design Hotels",酒店ID与携程详情名称一致,成功,12,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-103766000/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-103766000/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:05:08
146,125647784,曼谷尊贵比左特尔酒店,空中客车酒店@帕瓦纳站(Airbus Hotel @ Phawana Station),125647784,Airbus Hotel @ Phawana Station,酒店ID与携程详情名称一致,成功,73,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-125647784/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-125647784/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:05:12
147,700867,曼谷尊贵比左特尔酒店,中庭精品酒店(Atrium Boutique Hotel),700867,Atrium Boutique Hotel,酒店ID与携程详情名称一致,成功,9,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-700867/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-700867/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:05:16
148,125759479,曼谷尊贵比左特尔酒店,金芒果之家酒店(Golden Mango home Hotel),125759479,Golden Mango home Hotel,酒店ID与携程详情名称一致,成功,9,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-125759479/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-125759479/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:05:20
149,135625514,曼谷尊贵比左特尔酒店,三一酒店(Three One Hotel),135625514,Three One Hotel,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-135625514/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-135625514/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:05:24
150,131562212,曼谷尊贵比左特尔酒店,4-story modern art villa Free WiFi Netflix,131562212,4-story modern art villa Free WiFi Netflix,酒店ID与携程详情名称一致,成功,1,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-131562212/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-131562212/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:05:28
151,702941,曼谷尊贵比左特尔酒店,曼谷邱素坤逸酒店 - BTS安努站(Qiu Hotel Bangkok - BTS On Nut Station),702941,Qiu Hotel Bangkok - BTS On Nut Station,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-702941/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-702941/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:05:32
152,133157753,曼谷尊贵比左特尔酒店,倍思全女青旅(Lesbase Women Hostel),133157753,Lesbase Women Hostel,酒店ID与携程详情名称一致,成功,3,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-133157753/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-133157753/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:05:36
153,5273814,曼谷尊贵比左特尔酒店,我们的旅馆(We Inn),5273814,We Inn - Near Don Mueang Airport,酒店ID与携程详情名称一致,成功,2,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-5273814/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-5273814/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:05:40
154,14217530,曼谷尊贵比左特尔酒店,曼谷拉差贴威维拉酒店(VELA be Bangkok Ratchathewi),14217530,VELA be Bangkok Ratchathewi,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-14217530/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-14217530/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:05:44
156,134726760,曼谷尊贵比左特尔酒店,Pool Villa Ramkhamhaeng 9,134726760,Pool Villa Ramkhamhaeng 9,酒店ID与携程详情名称一致,成功,1,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-134726760/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-134726760/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:05:49
159,1420009,曼谷尊贵比左特尔酒店,宜必思曼谷河滨酒店(Ibis Bangkok Riverside),1420009,Ibis Bangkok Riverside,酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1420009/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1420009/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:05:52
160,1734913,曼谷尊贵比左特尔酒店,曼谷皇家酒店 – 靠近大皇宫和考山路(Royal Rattanakosin Hotel - Near Grand Palace & Khaosan Road),1734913,Royal Rattanakosin Hotel - Near Grand Palace & Khaosan Road,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1734913/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1734913/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:05:58
162,133974744,曼谷尊贵比左特尔酒店,Greet Hostel & Cafe Samyan,133974744,Greet Hostel & Cafe Samyan,酒店ID与携程详情名称一致,成功,2,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-133974744/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-133974744/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:06:02
