清单序号,酒店ID,清单酒店名称,携程详情酒店名称,Trip酒店ID,Trip酒店名称,房型ID,房型名称,床型,可住人数,面积,楼层,窗户,吸烟政策,房型设施,房型图片数,房型首图URL,房型图片URLs,入住日期,离店日期,来源URL,房型数据性质,采集方法,采集时间
5,105726959,曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),105726959,dusitD2 Samyan Bangkok,428275620,Deluxe King Room,1 King bed,2,30m²,,Has window,Non-smoking,Private bathroom | Refrigerator | Minibar | Shower | Tea bags | 30m² | Has window | Non-smoking | Free Wi-Fi,8,https://aw-d.tripcdn.com/images/1mc4o12000b8d61zs8A67.jpg,https://aw-d.tripcdn.com/images/1mc4o12000b8d61zs8A67.jpg | https://aw-d.tripcdn.com/images/1mc1z12000b8d5z8x3CC4.jpg | https://aw-d.tripcdn.com/images/1mc3312000b8d58m20284.jpg | https://aw-d.tripcdn.com/images/1mc4612000b8d5pit32BC.jpg | https://aw-d.tripcdn.com/images/1mc6z12000b8d5u8g4601.jpg | https://aw-d.tripcdn.com/images/1mc1h12000b8d5hpy0955.jpg | https://aw-d.tripcdn.com/images/1mc5612000b8c7695F5AF.jpg | https://aw-d.tripcdn.com/images/0220o12000nydb5vg7A75.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-105726959/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:40
5,105726959,曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),105726959,dusitD2 Samyan Bangkok,453996401,Junior Suite,1 King bed,3,56m²,,Has window,Non-smoking,Private bathroom | Bathtub | Refrigerator | Minibar | Shower | 56m² | Has window | Non-smoking | Free Wi-Fi,5,https://aw-d.tripcdn.com/images/1mc3c12000byb4ekc36E6.jpg,https://aw-d.tripcdn.com/images/1mc3c12000byb4ekc36E6.jpg | https://aw-d.tripcdn.com/images/1mc0g12000lopagg83888.jpg | https://aw-d.tripcdn.com/images/1mc5c12000byb4g2q9918.jpg | https://aw-d.tripcdn.com/images/1mc3712000byb4mex71E8.jpg | https://aw-d.tripcdn.com/images/1mc5112000lopbsexF724.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-105726959/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:40
5,105726959,曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),105726959,dusitD2 Samyan Bangkok,454323968,Presidential Suite Room,1 King bed and 2 Double bed,6,112m²,,Has window,Non-smoking,Private bathroom | Bathtub | Refrigerator | Minibar | Shower | 112m² | Has window | Non-smoking | Free Wi-Fi,7,https://aw-d.tripcdn.com/images/1mc5512000bytrne10DAA.jpg,https://aw-d.tripcdn.com/images/1mc5512000bytrne10DAA.jpg | https://aw-d.tripcdn.com/images/1mc4r12000bytrg44FC51.jpg | https://aw-d.tripcdn.com/images/1mc2r12000bytrur3CB8C.jpg | https://aw-d.tripcdn.com/images/1mc0w12000bytr2m8FF3D.jpg | https://aw-d.tripcdn.com/images/1mc2h12000lopfdsmB64E.jpg | https://aw-d.tripcdn.com/images/1mc4a12000lopf5fn5A80.jpg | https://aw-d.tripcdn.com/images/1mc1j12000lopeok6EC8A.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-105726959/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:40
5,105726959,曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),105726959,dusitD2 Samyan Bangkok,592772318,Deluxe Room,1 King bed and 2 Single bed,2,30m²,,Has window,Non-smoking,Comb | Toothpaste | Curtains | Hot water (24 hours) | Wi-Fi in room | 30m² | Has window | Non-smoking | Free Wi-Fi,6,https://aw-d.tripcdn.com/images/1mc4o12000b8d61zs8A67.jpg,https://aw-d.tripcdn.com/images/1mc4o12000b8d61zs8A67.jpg | https://aw-d.tripcdn.com/images/1mc2r12000lop728m844C.jpg | https://aw-d.tripcdn.com/images/1mc4612000b8d5pit32BC.jpg | https://aw-d.tripcdn.com/images/1mc6z12000b8d5u8g4601.jpg | https://aw-d.tripcdn.com/images/1mc1h12000b8d5hpy0955.jpg | https://aw-d.tripcdn.com/images/1mc5612000b8c7695F5AF.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-105726959/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:40
8,1517796,"曼谷维伊 - 美憬阁酒店(VIE Hotel Bangkok, MGallery Hotel Collection)","曼谷维伊 - 美憬阁酒店(VIE Hotel Bangkok, MGallery Hotel Collection)",1517796,"VIE Hotel Bangkok, MGallery Hotel Collection",13408865,Duplex Suite With Piano Club Benefits,2 King bed,4,125m²,Floor: 25,Has window,Non-smoking,Private bathroom | Bathtub | Refrigerator | Minibar | Daily housekeeping | 125m² | Floor: 25 | Has window | Non-smoking | Free Wi-Fi,9,https://aw-d.tripcdn.com/images/0225r120009zqmzi294B4.jpg,https://aw-d.tripcdn.com/images/0225r120009zqmzi294B4.jpg | https://aw-d.tripcdn.com/images/200e15000000xjnze967C.jpg | https://aw-d.tripcdn.com/images/1mc4z12000d1smt6g350F.jpg | https://aw-d.tripcdn.com/images/0203q12000a1z22c4F9C5.jpg | https://aw-d.tripcdn.com/images/1mc1712000bmemq3x3302.jpg | https://aw-d.tripcdn.com/images/1mc2212000f9ehghm345A.jpg | https://aw-d.tripcdn.com/images/0582012000sokzkmj5657.jpg | https://aw-d.tripcdn.com/images/0580k12000sokvgu51294.jpg | https://aw-d.tripcdn.com/images/0584v12000sn2af5p5742.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1517796/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:44
8,1517796,"曼谷维伊 - 美憬阁酒店(VIE Hotel Bangkok, MGallery Hotel Collection)","曼谷维伊 - 美憬阁酒店(VIE Hotel Bangkok, MGallery Hotel Collection)",1517796,"VIE Hotel Bangkok, MGallery Hotel Collection",235528714,Family Suite With City View,1 King bed,2,76m²,Floor: 14-24,Has window,Non-smoking,Private bathroom | Bathtub | Refrigerator | Minibar | Daily housekeeping | 76m² | Floor: 14-24 | Has window | Non-smoking | Free Wi-Fi,10,https://aw-d.tripcdn.com/images/1mc3w12000ki8jhbg873D.jpg,https://aw-d.tripcdn.com/images/1mc3w12000ki8jhbg873D.jpg | https://aw-d.tripcdn.com/images/1mc6612000c1fjvuq6317.jpg | https://aw-d.tripcdn.com/images/1mc2q12000c1heuie54EA.jpg | https://aw-d.tripcdn.com/images/1mc5h12000c1hek4871A3.jpg | https://aw-d.tripcdn.com/images/1mc0f12000c1heih6AF02.jpg | https://aw-d.tripcdn.com/images/1mc2e12000ki8j9goB28A.jpg | https://aw-d.tripcdn.com/images/1mc3912000ki8guevA213.jpg | https://aw-d.tripcdn.com/images/1mc5612000ki8jl9f2281.jpg | https://aw-d.tripcdn.com/images/0223j12000p5iwz5f7F13.jpg | https://aw-d.tripcdn.com/images/0220t12000b13oju90E22.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1517796/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:44
8,1517796,"曼谷维伊 - 美憬阁酒店(VIE Hotel Bangkok, MGallery Hotel Collection)","曼谷维伊 - 美憬阁酒店(VIE Hotel Bangkok, MGallery Hotel Collection)",1517796,"VIE Hotel Bangkok, MGallery Hotel Collection",250662282,Deluxe King Suite,1 King bed,2,76m²,Floor: 14-24,Has window,Non-smoking,Private bathroom | Bathtub | Refrigerator | Minibar | Daily housekeeping | 76m² | Floor: 14-24 | Has window | Non-smoking | Free Wi-Fi,7,https://aw-d.tripcdn.com/images/1mc0x12000bmeqkly0E59.jpg,https://aw-d.tripcdn.com/images/1mc0x12000bmeqkly0E59.jpg | https://aw-d.tripcdn.com/images/1mc4p12000bmer89e3BDE.jpg | https://aw-d.tripcdn.com/images/1mc1712000bmeqfzs3637.jpg | https://aw-d.tripcdn.com/images/1mc6e12000bmeqf924588.jpg | https://aw-d.tripcdn.com/images/1mc1712000bmemq3x3302.jpg | https://aw-d.tripcdn.com/images/1mc0r12000f9dpcil268E.jpg | https://aw-d.tripcdn.com/images/0221u12000bbu1aup7061.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1517796/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:44
8,1517796,"曼谷维伊 - 美憬阁酒店(VIE Hotel Bangkok, MGallery Hotel Collection)","曼谷维伊 - 美憬阁酒店(VIE Hotel Bangkok, MGallery Hotel Collection)",1517796,"VIE Hotel Bangkok, MGallery Hotel Collection",33391268,Executive Suite With Piano Club Benefits,1 King bed,2,81m²,Floor: 14-24,Has window,Non-smoking,Private bathroom | Bathtub | Refrigerator | Minibar | Daily housekeeping | 81m² | Floor: 14-24 | Has window | Non-smoking | Free Wi-Fi,12,https://aw-d.tripcdn.com/images/1mc2912000bmet9hi64A2.jpg,https://aw-d.tripcdn.com/images/1mc2912000bmet9hi64A2.jpg | https://aw-d.tripcdn.com/images/1mc1e12000bmet5fr3068.jpg | https://aw-d.tripcdn.com/images/1mc5c12000bmetmgvC663.jpg | https://aw-d.tripcdn.com/images/1mc5612000bmetz4x488E.jpg | https://aw-d.tripcdn.com/images/1mc7412000bmeu27iCB9C.jpg | https://aw-d.tripcdn.com/images/1mc1h12000bmemqix0F4B.jpg | https://aw-d.tripcdn.com/images/0583q12000solktbb4CCC.jpg | https://aw-d.tripcdn.com/images/0226312000kxmxmsz5EF2.jpg | https://aw-d.tripcdn.com/images/0583z12000solkp60A179.jpg | https://aw-d.tripcdn.com/images/0584i12000sol6rxa086B.jpg | https://aw-d.tripcdn.com/images/0585712000solkxaoFA0C.jpg | https://aw-d.tripcdn.com/images/0225m12000l1jtuesCE18.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1517796/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:44
8,1517796,"曼谷维伊 - 美憬阁酒店(VIE Hotel Bangkok, MGallery Hotel Collection)","曼谷维伊 - 美憬阁酒店(VIE Hotel Bangkok, MGallery Hotel Collection)",1517796,"VIE Hotel Bangkok, MGallery Hotel Collection",450919842,Deluxe King Room,1 King bed,3,39-41m²,Floor: 14-24,Has window,Non-smoking,Private bathroom | Bathtub | Refrigerator | Minibar | Daily housekeeping | 39-41m² | Floor: 14-24 | Has window | Non-smoking | Free Wi-Fi,7,https://aw-d.tripcdn.com/images/1mc2u12000bmemaddCBCD.jpg,https://aw-d.tripcdn.com/images/1mc2u12000bmemaddCBCD.jpg | https://aw-d.tripcdn.com/images/1mc2412000bmelkzx853C.jpg | https://aw-d.tripcdn.com/images/1mc6a12000f9dsuwa69C2.jpg | https://aw-d.tripcdn.com/images/1mc1h12000bmemqix0F4B.jpg | https://aw-d.tripcdn.com/images/1mc0712000ki8i0xs4681.jpg | https://aw-d.tripcdn.com/images/1ik1x12000o3ogad6AD68.jpg | https://aw-d.tripcdn.com/images/0583j12000sju9u4c2B27.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1517796/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:44
8,1517796,"曼谷维伊 - 美憬阁酒店(VIE Hotel Bangkok, MGallery Hotel Collection)","曼谷维伊 - 美憬阁酒店(VIE Hotel Bangkok, MGallery Hotel Collection)",1517796,"VIE Hotel Bangkok, MGallery Hotel Collection",450922090,Deluxe Twin Room,2 Single bed,3,39-41m²,Floor: 14-24,Has window,Non-smoking,Private bathroom | Bathtub | Refrigerator | Minibar | Daily housekeeping | 39-41m² | Floor: 14-24 | Has window | Non-smoking | Free Wi-Fi,5,https://aw-d.tripcdn.com/images/1mc3412000f9dxyy790DC.jpg,https://aw-d.tripcdn.com/images/1mc3412000f9dxyy790DC.jpg | https://aw-d.tripcdn.com/images/1mc6a12000f9dsuwa69C2.jpg | https://aw-d.tripcdn.com/images/1mc0512000ki89ull8D69.jpg | https://aw-d.tripcdn.com/images/1mc0712000ki8i0xs4681.jpg | https://aw-d.tripcdn.com/images/0221h12000ex6ju5167B6.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1517796/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:44
