酒店ID,房型ID,房型名称,房型价格,币种,房型URL,床型,窗户,面积,楼层,可住人数,加床政策,吸烟政策,网络,剩余数量,房型设施,房型图片数,来源URL
1027224,2246690214,行政客房，可使用行政酒廊，客房，两张大床,1075,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,2张1.51米大床,封闭窗,40平方米,17-18层,3,,禁烟,Wi-Fi免费,9,洗浴用品:牙刷、牙膏、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫、熨衣设备|客房布局和家具:书桌|网络与通讯:客房WIFI、电话、国际长途电话|卫浴设施:浴缸、私人浴室、私人卫生间、吹风机、淋浴、浴袍、毛巾、浴巾、24小时热水、拖鞋|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶|客房设施:空调、床具：毯子或被子|媒体科技:电视机、有线频道|室外景观:城景|便利设施:房内保险箱、开夜床,4,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
103003672,1737319794,经济大床房（角落房）,518,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=103003672&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张1.51米大床,有窗,19平方米,2-7层,2,,禁烟,Wi-Fi免费,11,洗浴用品:牙刷、牙膏、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫|客房布局和家具:衣柜/衣橱、书桌、阳台|网络与通讯:客房WIFI、客房有线宽带|卫浴设施:私人浴室、私人卫生间、吹风机、淋浴、毛巾、浴巾、24小时热水、拖鞋|食品饮品:瓶装水、电热水壶|客房设施:空调、手动窗帘、遮光窗帘、地毯、床具：羽绒被、床具：毯子或被子、备用床具|媒体科技:液晶电视机、有线频道、电影服务、视频流服务|室外景观:城景|厨房用品:冰箱|便利设施:多种规格电源插座、220V电压插座,15,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
103003672,1540402677,高级大床房,399,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=103003672&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张1.81米特大床,有窗,22平方米,2-7层,2,,禁烟,Wi-Fi免费,37,洗浴用品:牙刷、牙膏、沐浴露、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫|客房布局和家具:衣柜/衣橱、书桌、阳台|网络与通讯:客房WIFI、客房有线宽带|卫浴设施:私人浴室、私人卫生间、吹风机、淋浴、毛巾、浴巾、24小时热水、拖鞋|食品饮品:瓶装水、电热水壶|客房设施:空调、手动窗帘、遮光窗帘、地毯、特长睡床(超过两米)、床具：羽绒被、床具：毯子或被子、备用床具|媒体科技:液晶电视机、有线频道、电影服务、视频流服务|室外景观:城景|厨房用品:冰箱|便利设施:多种规格电源插座、220V电压插座,19,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
103003672,1540402762,高级双床房,399,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=103003672&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,2张1.05米单人床,有窗,22平方米,2-3层,2,,禁烟,Wi-Fi免费,20,洗浴用品:牙刷、牙膏、沐浴露、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫|客房布局和家具:衣柜/衣橱、书桌、阳台|网络与通讯:客房WIFI、客房有线宽带|卫浴设施:私人浴室、私人卫生间、吹风机、淋浴、毛巾、浴巾、24小时热水、拖鞋|食品饮品:瓶装水、电热水壶|客房设施:空调、手动窗帘、遮光窗帘、地毯、床具：羽绒被、床具：毯子或被子、备用床具|媒体科技:液晶电视机、有线频道、电影服务、视频流服务|室外景观:城景|厨房用品:冰箱|便利设施:多种规格电源插座、220V电压插座,13,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
103003672,1540402962,高级家庭房,706,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=103003672&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,2张1.51米大床,有窗,33平方米,2-7层,4,,禁烟,Wi-Fi免费,15,洗浴用品:牙刷、牙膏、沐浴露、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫|客房布局和家具:衣柜/衣橱、书桌、阳台|网络与通讯:客房WIFI、客房有线宽带|卫浴设施:浴缸、私人浴室、私人卫生间、吹风机、淋浴、毛巾、浴巾、24小时热水、拖鞋|食品饮品:瓶装水、电热水壶|客房设施:空调、手动窗帘、遮光窗帘、地毯、床具：羽绒被、床具：毯子或被子、备用床具|媒体科技:液晶电视机、有线频道、电影服务、视频流服务|室外景观:城景|厨房用品:冰箱|便利设施:多种规格电源插座、220V电压插座,19,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
103972382,1368987634,豪华双人房,458,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=103972382&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张1.81米特大床,有窗,32平方米,,3,,禁烟,Wi-Fi免费,20,清洁服务:每日打扫|洗浴用品:牙刷、牙膏、沐浴露、洗发水、护发素、香皂、浴帽、梳子|客房布局和家具:衣柜/衣橱、茶几、休闲椅、阳台、露台|网络与通讯:客房WIFI、电话|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶、迷你吧|卫浴设施:私人浴室、私人卫生间、吹风机、淋浴、浴室化妆放大镜、浴袍、毛巾、浴巾、24小时热水、拖鞋、冲洗器|客房设施:空调、手动窗帘、遮光窗帘、床具：羽绒被、床具：毯子或被子|媒体科技:电视机、卫星频道|室外景观:城景|厨房用品:冰箱|便利设施:房内保险箱、衣架、220V电压插座,19,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
103972382,1597562222,豪华双床房,484,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=103972382&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,2张0.8米单人床,有窗,32平方米,,3,,禁烟,Wi-Fi免费,40,清洁服务:每日打扫|洗浴用品:牙刷、牙膏、沐浴露、洗发水、护发素、香皂、浴帽、梳子|客房布局和家具:衣柜/衣橱、茶几、休闲椅、阳台、露台|网络与通讯:客房WIFI|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶、迷你吧|卫浴设施:私人浴室、私人卫生间、吹风机、淋浴、浴室化妆放大镜、浴袍、毛巾、浴巾、24小时热水、拖鞋、冲洗器|客房设施:空调、手动窗帘、遮光窗帘、床具：羽绒被、床具：毯子或被子|媒体科技:电视机、卫星频道|厨房用品:冰箱|便利设施:房内保险箱、衣架、220V电压插座,19,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
103972382,2266176526,行政房,277,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=103972382&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张1.81米特大床,有窗,35平方米,,2,,禁烟,Wi-Fi免费,2,清洁服务:每日打扫|洗浴用品:牙刷、牙膏、沐浴露、洗发水、护发素、香皂、浴帽、梳子|客房布局和家具:衣柜/衣橱、茶几、休闲椅、阳台、露台|网络与通讯:客房WIFI、电话|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶、迷你吧|卫浴设施:私人浴室、吹风机、淋浴、浴室化妆放大镜、浴袍、毛巾、浴巾、24小时热水、拖鞋、冲洗器|客房设施:空调、手动窗帘、遮光窗帘、床具：羽绒被、床具：毯子或被子|媒体科技:电视机、卫星频道|室外景观:城景、公园景|厨房用品:冰箱|便利设施:房内保险箱、衣架、220V电压插座,4,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
103972382,2259998197,家庭房,428,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=103972382&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张特大床 及 2张单人床,有窗,65平方米,,1,,禁烟,Wi-Fi免费,1,清洁服务:每日打扫|洗浴用品:牙刷、牙膏、沐浴露、洗发水、护发素、香皂、浴帽、梳子|客房布局和家具:衣柜/衣橱、茶几、休闲椅、阳台、露台|网络与通讯:客房WIFI、电话|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶、迷你吧|卫浴设施:私人浴室、私人卫生间、吹风机、淋浴、浴室化妆放大镜、浴袍、毛巾、浴巾、24小时热水、拖鞋、冲洗器|客房设施:空调、手动窗帘、遮光窗帘、床具：羽绒被、床具：毯子或被子|媒体科技:电视机、卫星频道|室外景观:城景、公园景|厨房用品:冰箱|便利设施:房内保险箱、衣架、220V电压插座,5,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
103972382,2266176420,萨里瓦里房,298,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=103972382&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张特大床 或 2张单人床,有窗,30平方米,,2,,禁烟,Wi-Fi免费,0,清洁服务:每日打扫|洗浴用品:牙刷、牙膏、沐浴露、洗发水、护发素、香皂、浴帽、梳子|客房布局和家具:衣柜/衣橱、茶几、休闲椅、阳台、露台|网络与通讯:客房WIFI、电话|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶、迷你吧|卫浴设施:私人浴室、吹风机、淋浴、浴室化妆放大镜、浴袍、毛巾、浴巾、24小时热水、拖鞋、冲洗器|客房设施:空调、手动窗帘、遮光窗帘、床具：羽绒被、床具：毯子或被子|媒体科技:电视机、卫星频道|室外景观:城景、公园景|厨房用品:冰箱|便利设施:房内保险箱、衣架、220V电压插座,8,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
104448865,1718050435,混合宿舍上层床位(床位房)(混合入住),55,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=104448865&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张0.91米上下铺,有窗,36平方米 | 3层,36平方米 | 3层,1,,禁烟,,3,有窗|禁烟|36平方米 | 3层|有窗 禁烟 36平方米 | 3层,1,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=104448865&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
104448865,1543562057,混合宿舍下铺(床位房)(混合入住),100,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=104448865&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张0.91米上下铺,有窗,36平方米,3层,1,,禁烟,Wi-Fi免费,8,清洁服务:每日打扫|洗浴用品:牙刷、牙膏、沐浴露、洗发水、护发素、香皂、梳子|网络与通讯:客房WIFI|厨房用品:微波炉、抽油烟机|卫浴设施:私人浴室、私人卫生间、淋浴、毛巾、24小时热水、共用浴室、雨淋花洒喷头|食品饮品:饮水机、瓶装水、电热水壶|客房设施:空调、遮光窗帘、床具：羽绒被|媒体科技:电视机、有线频道|便利设施:单一规格电源插座、220V电压插座、桌游,17,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
104448865,1401742052,女士宿舍上铺(床位房)(仅女生入住),103,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=104448865&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张0.91米上下铺,有窗,30平方米,3层,1,,禁烟,Wi-Fi免费,5,清洁服务:每日打扫|洗浴用品:牙刷、牙膏、沐浴露、护发素、香皂、梳子|网络与通讯:客房WIFI|厨房用品:微波炉、抽油烟机、冰箱|卫浴设施:私人浴室、私人卫生间、吹风机、淋浴、毛巾、24小时热水、共用浴室、雨淋花洒喷头|食品饮品:饮水机、瓶装水、电热水壶|客房设施:空调、遮光窗帘、床具：羽绒被|媒体科技:电视机、有线频道|便利设施:单一规格电源插座、220V电压插座、桌游,9,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
104448865,1845783379,女士宿舍下铺,62,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=104448865&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张0.91米上下铺,有窗,30平方米 | 3层,30平方米 | 3层,1,,禁烟,Wi-Fi免费,2,有窗|禁烟|30平方米 | 3层|Wi-Fi免费|有窗 禁烟 30平方米 | 3层 Wi-Fi免费,1,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=104448865&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
104448865,1519913706,舱房,134,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=104448865&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张1.51米大床,无窗,8平方米,2层,2,,禁烟,Wi-Fi免费,2,清洁服务:每日打扫|洗浴用品:牙刷、牙膏、沐浴露、护发素、香皂、梳子|网络与通讯:客房WIFI|厨房用品:微波炉、抽油烟机、冰箱|卫浴设施:私人浴室、私人卫生间、吹风机、淋浴、24小时热水、共用浴室、雨淋花洒喷头|食品饮品:饮水机|客房设施:空调、遮光窗帘、床具：羽绒被|媒体科技:电视机|便利设施:单一规格电源插座、220V电压插座、桌游,17,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
104448865,1597537656,标准双人间,207,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=104448865&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张1.82米特大床,有窗,20平方米,2层,2,,禁烟,,1,清洁服务:每日打扫|洗浴用品:牙刷、牙膏、沐浴露、护发素、香皂、梳子|客房布局和家具:书桌、阳台|厨房用品:微波炉、抽油烟机、冰箱|卫浴设施:私人浴室、私人卫生间、吹风机、淋浴、浴巾、24小时热水、共用浴室、雨淋花洒喷头|食品饮品:饮水机|客房设施:空调、遮光窗帘、床具：羽绒被|媒体科技:电视机|室外景观:城景|便利设施:衣架、单一规格电源插座、220V电压插座、桌游,12,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
104448865,1718050433,混合宿舍的单人舱(床位房),104,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=104448865&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张0.8米单人床,无窗,5平方米,2层,1,,禁烟,,1,清洁服务:每日打扫|洗浴用品:牙刷、牙膏、沐浴露、护发素、香皂、梳子|厨房用品:微波炉、抽油烟机、冰箱|卫浴设施:私人浴室、私人卫生间、吹风机、淋浴、24小时热水、共用浴室、雨淋花洒喷头|食品饮品:饮水机|客房设施:空调、遮光窗帘、床具：羽绒被|媒体科技:电视机|便利设施:单一规格电源插座、220V电压插座、桌游,18,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
