酒店ID,房型ID,售卖方案ID,方案序号,早餐,取消政策,确认政策,支付方式,入住人数,原价,当前价,税费,币种,优惠标签,其他权益,库存提示,来源URL
1027224,1740240102,1740240102_rate_62_411c91,62,,,,,,,645,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_64_89cq34,64,,,,,,,645,,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_66_rieh0g,66,2份早餐不可取消立即确认在线付该价格仅适用于中国大陆，中国香港，中国澳门，中国台湾客人,2份早餐不可取消立即确认在线付该价格仅适用于中国大陆，中国香港，中国澳门，中国台湾客人,2份早餐不可取消立即确认在线付该价格仅适用于中国大陆，中国香港，中国澳门，中国台湾客人,2份早餐不可取消立即确认在线付该价格仅适用于中国大陆，中国香港，中国澳门，中国台湾客人,2,,690,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_91_sn86ho,91,,,,,,,690,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_92_sn86ho,92,,,,,,,690,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_93_sn86ho,93,,,,,,,690,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_94_2hgmb9,94,,,,,,,690,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_95_2hgmb9,95,,,,,,,690,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_97_89cq7a,97,,,,,,,690,,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_100_45g1js,100,1份早餐当地时间09月25日 12:00前可免费取消立即确认在线付,1份早餐当地时间09月25日 12:00前可免费取消立即确认在线付,1份早餐当地时间09月25日 12:00前可免费取消立即确认在线付,1份早餐当地时间09月25日 12:00前可免费取消立即确认在线付,1,,724,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_121_qw04ox,121,,,,,,,724,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_122_qw04ox,122,,,,,,,724,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_123_qw04ox,123,,,,,,,724,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_124_2hgmw1,124,,,,,,,724,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_125_2hgmw1,125,,,,,,,724,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_127_89cqs2,127,,,,,,,724,,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_129_ymne2i,129,1份早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,1份早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,1份早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,1份早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,1,,729,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_150_qw00zg,150,,,,,,,729,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_151_qw00zg,151,,,,,,,729,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_152_qw00zg,152,,,,,,,729,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_153_2hgmw6,153,,,,,,,729,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_154_2hgmw6,154,,,,,,,729,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_156_89cqs7,156,,,,,,,729,,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_158_39miay,158,2份早餐当地时间09月25日 12:00前可免费取消立即确认在线付,2份早餐当地时间09月25日 12:00前可免费取消立即确认在线付,2份早餐当地时间09月25日 12:00前可免费取消立即确认在线付,2份早餐当地时间09月25日 12:00前可免费取消立即确认在线付,2,,765,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_180_qvxk04,180,,,,,,,765,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_181_qvxk04,181,,,,,,,765,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_182_qvxk04,182,,,,,,,765,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_183_2hgmzi,183,,,,,,,765,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_184_2hgmzi,184,,,,,,,765,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_186_89cqvj,186,,,,,,,765,,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_188_yik42f,188,2份早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,2份早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,2份早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,2份早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,2,,813,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_210_qvgzts,210,,,,,,,813,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_211_qvgzts,211,,,,,,,813,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_212_qvgzts,212,,,,,,,813,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_213_2hgnlu,213,,,,,,,813,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_214_2hgnlu,214,,,,,,,813,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_216_89crhv,216,,,,,,,813,,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_218_gp1b6k,218,无早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,无早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,无早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,无早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,3,,950,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_241_quupie,241,,,,,,,950,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_242_quupie,242,,,,,,,950,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_243_quupie,243,,,,,,,950,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_244_2hgofw,244,,,,,,,950,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_245_2hgofw,245,,,,,,,950,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_247_89csbx,247,,,,,,,950,,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_249_ediku5,249,无早餐当地时间09月27日 23:59前可免费取消立即确认在线付,无早餐当地时间09月27日 23:59前可免费取消立即确认在线付,无早餐当地时间09月27日 23:59前可免费取消立即确认在线付,无早餐当地时间09月27日 23:59前可免费取消立即确认在线付,3,,950,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_272_quupie,272,,,,,,,950,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_273_quupie,273,,,,,,,950,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_274_quupie,274,,,,,,,950,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_275_2hgofw,275,,,,,,,950,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_276_2hgofw,276,,,,,,,950,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_278_89csbx,278,,,,,,,950,,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_280_f53nyx,280,2份早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,2份早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,2份早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,2份早餐当地时间09月27日 23:59前可免费取消立即确认到店付 · 需担保,3,,1117,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_303_oqzqxq,303,,,,,,,1117,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_304_oqzqxq,304,,,,,,,1117,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_305_oqzqxq,305,,,,,,,1117,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_306_r05gos,306,,,,,,,1117,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_307_r05gos,307,,,,,,,1117,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_309_hutwsr,309,,,,,,,1117,,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_311_wm4zt2,311,2份早餐当地时间09月27日 23:59前可免费取消立即确认在线付,2份早餐当地时间09月27日 23:59前可免费取消立即确认在线付,2份早餐当地时间09月27日 23:59前可免费取消立即确认在线付,2份早餐当地时间09月27日 23:59前可免费取消立即确认在线付,3,,1117,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_334_oqzqxq,334,,,,,,,1117,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_335_oqzqxq,335,,,,,,,1117,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_336_oqzqxq,336,,,,,,,1117,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1027224,1740240102,1740240102_rate_337_r05gos,337,,,,,,,1117,税,CNY,,,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
