行政区,POI业务类型,POI名称,POI细分类型,地理位置描述,游客需求场景,名称直接命中帖子数（非热度）,来源阶段,证据URL,证据内容,重要口径
云岩区,餐饮美食,王齐川老素粉,贵阳素粉店,云岩区蔡家街,老城早餐/发酵酸粉、红油与脆爽配菜,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a6ea8700000000025003572?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：王齐川老素粉
正文：📍蔡家街｜王齐川老素粉✨
复古喜字老土碗直接梦回80年代！
正宗发酵酸粉才是老素粉的精髓
粉身筋道爽滑，秘制红油香辣醇厚
花生｜黑大头菜｜酸萝卜｜葱花拌匀
每一口都是贵阳老城区的烟火味
老牌宝藏早餐店，本地人反复打卡，闭眼冲！",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,罗小二·贵州百年烙锅烤肉,贵州烙锅店,云岩区盐务街百草巷6号,晚餐夜宵/剔骨辣子鸡、五花肉与脆皮米豆腐,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/68d9fa9f000000001101ecd2?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：🔥贵阳美食推荐，7家烙锅选择攻略！
正文：4. 罗小二·贵州百年烙锅烤肉
📍地址：贵阳云岩区盐务街百草巷6号
💰人均：68元
🌟推荐理由：一周能去3次的宝藏店，每天都爆满
🍳特色：生烙剔骨辣子鸡先炒后烙，香辣有嚼劲
必点：滋滋五花肉、青岩脆皮米豆腐、糟辣椒蛋炒饭",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,老七家常菜,贵州家常菜馆,云岩区市北路、贵阳六中旁,本地家常菜正餐/炝锅鱼、爆炒腰花与现炒锅气,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a953f2b000000000e03c800?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳这家常菜没有网红照，只有烟火气和锅气
正文：你在小红书上搜""老七家常菜""，大概率搜不到什么。
这就是我最想写它的原因。（但是也担心他过火之后，我以后吃不上怎么办）
市北路、六中旁边。小时候我在旁边读书，放学从这条街走过，闻到的就是这口味道。二三十年了，店还在，炒菜的还是那个人。

🔥 招牌｜炝锅鱼（贵阳人也写""呛锅鱼""）
整条鱼先炸到皮酥，再用滚油把干辣椒、花椒、蒜、葱一起炝香，""呲啦""一声淋下去——所有香味是被油炸开的，不是慢慢炖出来的。
外面酥、里面嫩，蒜香和糊辣香先冲上来，辣意才慢半拍跟上。
说句实话：这道菜贵阳很多馆子有，外省我也追着吃过不少，没有一家能替代他家这一条。鱼汤别浪费，泡饭。

🍽 其他每一道，都不是配角：
· 爆炒腰花｜火候的照妖镜。腰花打花刀、大火爆炒，多三秒就老、少三秒就腥。他家的脆、弹、断生刚刚好，干辣椒段香而不燥
· 京酱肉丝｜这道是七师傅专门给我四岁、还吃不了辣的儿子炒的。肉丝油亮、甜咸挂汁，配葱丝——这是我儿子回国后吃得最多的一顿，一个人干掉大半盘
· 口袋豆腐｜煎香的嫩豆腐吸饱了汤，白菜、番茄、香菇一起烩，是最不起眼、也最先被吃完的那盘
· 清汤｜白菜、番茄、花生、肉片，清清爽爽，专门用来接住前面所有的辣
🍳 最打动我的其实不是菜：
点完单，你就能听见后厨""哐""一声铁锅落灶，接着是连续不断的爆炒声。探个头进去看，七师傅一只手颠锅、一只手下料，火苗窜起来又压下去，全程没有任何犹豫。
这个年代到处都是预制菜、中央厨房、复热出餐。
而在这里，你吃的每一口，都是刚刚在你耳朵里响过的那一锅。
锅气这个东西，真的骗不了人。
📍 老七家常菜｜贵阳市云岩区市北路，六中旁边
👨🍳 店名就是厨师的名字——大家都叫他七师傅
💰 家常小炒价，来的基本全是本地老饕

在外面很多年了，这是我心中的米其林三星，说到底还是这一口最难戒。

你心里也有这样一家""搜不到、但一直在""的店吗？

#贵阳美食 #贵阳本地人推荐 #炝锅鱼 #苍蝇馆子 #锅气 #拒绝预制菜 #贵州菜 #家常菜 #云岩区美食 #老手艺 #贵阳探店 #小时候的味道 #不是网红店",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,老兵私房菜,贵州私房菜馆,云岩区黔灵街道宝山路栖霞小区旭东路,多人正餐/脆哨土豆丁、宫爆系列与椒盐罗氏虾,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a87a150000000001d01f9f4?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳老兵私房菜
正文：真真真太好吃了，小伙伴们不太会吃辣到最后都光盘了[赞R]
[色色R]脆哨土豆丁必点！超级美味
[买爆R]宫爆板筋、黄喉、牛肉都很好吃～之前看攻略说他们家宫爆系列味道都不错，可以根据自己喜欢的食材冲
[买爆R]椒盐罗氏虾，188💰虽然有点小贵但是真的好吃，咸蛋黄跟肉松的结合，打巴掌都不松口，相信我真的好吃！！！而且是不辣的一道菜，老少皆宜，贼香[派对R]
[色色R]鱼香肉丝不是甜辣的，而是酸辣，除了贵阳吃不到的口味，而且巨巨巨下饭！
这些菜我们四个人基本都吃完了，给到一个字夯[赞R]
店名：老兵私房菜
地址：云岩区黔灵街道宝山路栖霞小区旭东路
我们是18:00到的，去了刚好有空位没排队，去之前可以打商家☎️问下排队情况，我们吃完下来排队人就比较多，不过上菜也很速度，贵阳最好吃的一顿👏🏻
#贵阳[话题]# #贵阳美食[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,老刘鲜烤鸡,烤鸡店,云岩区黔灵东路沿街老店,平价夜宵/一人食、甜辣酱香鲜烤鸡,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a50a4f6000000001003de0d?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：贵阳烤鸡TOP3合集｜本地人循环打卡宵夜清单
正文：2️⃣ 老刘鲜烤鸡｜平价单人宵夜天花板
📍地址：黔灵东路沿街老店
💰人均：35-45，性价比之王
⏰营业：17:30-24:00
学生党、一人食首选！每日活鸡现杀，拒绝冷冻货，甜辣酱香口味更柔和，不吃重口的朋友冲这家 。
鸡肉切小块炭火慢烤，酱汁渗透每一丝肉，不会干柴。半只鸡搭配一份烤土豆片，四五十块吃到撑。
没有花里胡哨菜品，全是老贵阳地道小炒，环境简单接地气，本地人下班经常单独来撸鸡，不用长时间排队。",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,老字号留一手特色豆花烤鱼,豆花烤鱼店,云岩区城基路103号,晚餐夜宵/豆花烤鱼与本地街巷餐饮体验,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6909d694000000000700eed9?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：作为一个外地来旅游的游客，真诚分享了这家烤鱼！距离黔灵山公园不远就来吃啦！某团团
正文：作为一个外地来旅游的游客，真诚分享了这家烤鱼！距离黔灵山公园不远就来吃啦！某团团购两位数，配菜超级多特别入味，烤鱼焦焦的香香的！而且真的不要执着于网红店，路边的小破店真的好吃太多了不开玩笑
地址：📍云岩区城基路103号老字号留一手特色豆花烤鱼",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,聚君缘烙锅（民生路店）,贵州烙锅店,云岩区民生路（具体门牌待地图事实层复核）,老城逛吃或正餐/新鲜烙锅菜品与折耳根湿蘸水,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a7042b6000000002402f4fb?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：复盘下在贵阳吃了什么
正文：1️⃣聚君缘烙锅（民生路）
烙锅中间是一个湿蘸料，店里的蘸料有折耳根，店员会问吃不吃，蘸起来还是挺香的，菜品也比较新鲜。",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,胡豆咖啡 FUDOU COFFEE,咖啡馆,省府路贵山街1号贵山苑C栋1楼,咖啡打卡/苹果、树莓风味特调,1,20260904_第一阶段,https://www.xiaohongshu.com/explore/6a8aaa87000000002202c808?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：在贵阳‼️24小时6家17杯咖啡💥拿下三巨头
正文：4️⃣ 胡豆FUDOU COFFEE
📍贵阳云岩区省府路贵山街1号贵山苑C栋1楼
📝苹果、树莓",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,艾老六火锅店,贵州火锅店,云岩区紫林庵地铁站C口附近,晚餐聚会/贵州火锅与本地市井用餐体验,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a82cefd000000003300f75c?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳云岩区！10r一位的豆米火锅真的存在✨
正文：📍艾老六火锅店（近紫林庵地铁站C口）
🔥贵阳本地人私藏｜十几块吃到撑
平价宝藏豆米火锅🥘
▪️凉拌米豆腐｜酸辣Q弹，一口开胃
▪️现炸小酥肉｜配糊辣椒香迷糊
▪️招牌豆米锅底｜豆子绵密，泡饭封神
▪️双色杂粮饭｜裹汤汁巨下饭
▪️醪糟小汤圆｜饭后甜品解腻神器
✅10元/位：蔬菜+米饭+调料+饮料+甜品全部包含
酸汤｜清汤｜麻辣｜豆米锅底都有
单人锅也有，一人食友好👌
没有网红滤镜，都是本地街坊常来吃
#贵州美食[话题]# #贵阳探店[话题]# #豆米火锅[话题]# #本地人爱吃的店[话题]# #贵州平价美食[话题]# #贵阳吃喝玩乐[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,花楸树下餐厅（观水兰庭店）,贵州菜馆,云岩区宝山北路师大附中正对面,贵州菜正餐/游客品尝本地家常风味,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/687686eb000000001c0313d2?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：#出差日记·贵阳篇｜花湫树下餐馆
正文：#出差分享[话题]# #值得为吃而去的小城[话题]# #贵阳美食[话题]# #吃吃喝喝走走停停[话题]# #换个地方吃吃吃[话题]# #到处走走逛逛吃吃[话题]# #吃吃喝喝又一天[话题]# #和朋友一起出个远门[话题]#
在贵阳见完客户饿到发昏，误打误撞钻进**师大附中旁的老树院**——
抬头看见「花楸树下」四个字，推门瞬间像跌进黔东南的烟火里！🔥

---

### 🌟 **为什么出差党狂喜？**
✅ **“老阿姨天团”坐镇：**
白制服阿姨们眼观六路脚踩风火轮！💨
上菜稳准狠，看你辣到冒汗立马塞来冰粉：“妹，慢点吃嘛！”
✅ **干净得不像炒菜馆：**
原木色桌椅+绿植环绕，玻璃厨房亮到反光✨
（和油腻小馆彻底说拜拜！）
✅ **人均60吃出宴席感：**
酸汤鱼/辣子鸡/糟辣肉片…**道道黔味教科书！**
### 💡 **出差党隐藏福利**
👉 **窗边绿植位**：阳光穿过花楸树叶洒在餐盘上，随手拍出《小森林》氛围感！
👉 **午市不排队**：避开学生放学高峰，13：00去包场慢吃～
👉 **隔壁文具店买贵阳手绘地图**：阿姨会热情指路周边宝藏小吃！

> 📍 **地址：贵阳市云岩区宝山北路「花楸树下餐厅」(观水兰庭店)**
> 🚇 **交通：师大附中正对面，地铁2号线师大站步行5分钟**
> 💰 **人均：60-80元（米饭免费续！打工人感动哭）**

**在贵阳出差连吃三天总结：**
> _“比网红店踏实，比大酒店亲切——
>  像闯进某位贵州阿婆的自家厨房，吃一顿被宠坏的饭。”_
#  #花楸树下餐厅(观水兰庭店)    [poi_v2]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,蒋家肠旺面（合群路店）,肠旺面店,云岩区合群路店（原上合群路老店）,贵阳早餐/肥肠、血旺、脆哨与碱水面,2,20260904_第二阶段_餐饮住宿扩充,"https://www.xiaohongshu.com/explore/69d9ca7f000000001b022d7d?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a0b33e10000000035028686?xsec_token_redacted=1&xsec_source=pc_dots","「1*混合贴」
标题：贵阳美食推荐：真消费真感受～第二弹
正文：p1-2蒋家肠旺面，一定要认准合群路那家！只有这家是真的，我个人这家是一定要吃，面超级劲道，脆哨很香很香，配着面吃简直夯爆了。肠旺面里面有猪大肠、猪血、脆哨，他家的猪大肠清理的很干净而且卤的很软烂入味，猪血很滑很滑。因为能吃大肠、猪血，可以闭眼点一碗肠旺面了！对了，我们当时忘记加荷包蛋了，取餐的时候看当地人几乎都加了，估计也是很不错的，而且她们家可以免费加面，要记得在点餐的时候就要说哦！

「2」
标题：贵阳最好吃的肠旺面，名不虚传！
正文：蒋家肠旺面官（原上合群路老店），林青就义处对面。
注意⚠️，很多家盗版的，只有这家是正宗的。
肥肠太好吃了！多加！
#本地人爱吃的店[话题]# #肠旺面[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,虎斑手作,冰浆甜品店,云岩区民生路好吃街,逛街甜品/贵州冰浆与手作小吃,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a9a653d0000000012034be9?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳最好吃的冰浆（本地人强推）🍧虎斑手作
正文：很多人都说比巧某家好吃，用料真的很实在，都是新鲜水果打出来的，不是粉冲的，店里还有团购，性价比直接拉满✅
‼️十块出头一大杯，冰浆上面还有水果🥭🍇
葡萄、芒果口味都好好吃，绵密冰沙加上蒸熟打碎的糯米，口感超丰富🧊
📍民生路好吃街（这条街藏着超多贵阳地道小吃，逛吃的时候顺路来一杯，幸福感爆棚！）
#贵阳旅游[话题]# #贵阳美食[话题]# #贵阳冰浆[话题]# #虎斑手作[话题]# #贵阳探店[话题]# #贵阳吃喝玩乐[话题]# #贵阳旅游攻略[话题]# #民生路美食[话题]# #贵阳小吃[话题]# #冰浆[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,贵城烙锅,贵州烙锅店,云岩区民生路,老城逛吃/贵州烙锅与夜宵体验,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a90019e0000000037031b10?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：深夜食堂打卡，贵阳贵城烙锅凌晨依旧座无虚席
正文：位置就在民生路，人挺多的，有点像铁板烧，蘸水味道很特别，蘸水直接决定了这个菜的味道，性价比确实高，而且里面空间很大！总之如果顺便去民生路的话，这里挺合适的#贵阳烙锅推荐[话题]# #贵城烙锅[话题]# #贵阳烙锅天花板[话题]# #老牌黔味烙锅[话题]# #贵阳平价夜宵[话题]# #烙锅蛋炒饭绝配[话题]# #贵州民间烟火[话题]# #贵阳美食私藏[话题]# #逛吃贵阳[话题]# #贵州特色夜宵[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,都市新大新豆米火锅（南国店）,豆米火锅店,云岩区中华中路130号南国花锦7楼,喷水池商圈正餐/酸菜豆米锅、豆汤拌饭与现炸酥肉,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/5cf0ed7b000000000602bc86?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳美食探店 | 贵阳人都爱吃的豆米火锅🔥
正文：🍛都市新大新豆米火锅（南国店）
📍地址：中华中路南国花锦7F
🚇公交：距离地铁①号线喷水池站C口614m
💰人均：78元
🥓位于市中心南国花锦7楼的都市新大新豆米火锅我想很多人都吃过，他家重新装修过后一进店给人的感觉很清爽，小清新风格式的就餐环境，
🥘酸菜豆米锅底：浓郁的汤汁越煮越黏稠，里面非常多的酸菜豆米和肉片，捞出一勺浇在米饭上拌起吃口感超级好！
🥗西红柿凉皮：有点类似于安顺裹卷，里面包裹着海带丝、豆芽、酸萝卜等一些凉菜裹成一团，西红柿酱跟青椒酱淋在凉皮表面，一口咬下去西红柿酱跟青椒酱融合，滋味妙不可言
🥩现炸家常熟肉：新大新家酥肉是椒盐味的，上桌过后可以直接食用口感香脆外酥里嫩，也可以煮在豆米锅里吃，煮过后酥肉很软非常适合老人吃
🥩板筋：他家的板筋在煮过后非常软糯，嚼起来脆脆的感觉很适合小孩子吃",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,陈氏人家豆米火锅（恒丰步行街总店）,豆米火锅店,恒峰步行街1层1-D21号、近中山西路地铁站,贵阳豆米火锅正餐/老字号门店,1,20260904_第一阶段,https://www.xiaohongshu.com/explore/6a41ee7e000000002100aaad?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳这家老字号豆米火锅不夸张的说算是人气榜第一
块牌子了吧，贵阳市区开了很多分店
正文：贵阳这家老字号豆米火锅不夸张的说算是人气榜第一
块牌子了吧，贵阳市区开了很多分店，饭点依然每家
店都在排队，春节中午看到这家11点30份还没排队，
立刻前往，外地人就为吃上这一口豆米火锅。
商家：陈氏人家豆米火锅（恒丰步行街总店）
地址：恒峰步行街1层1-D21号
交通：地铁1号线中山西路#贵阳美食",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,陈绩老素粉,贵阳素粉店,云岩区黔灵山公园大门旁黄色招牌路边小店,游园后早餐或简餐/老素粉、辣椒油与脆哨花生,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/693f7daf000000001e00f425?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳｜黔灵山脚下开了十几年的地道小面馆🍜
正文：嗦粉爱好者速来集合！🍜🍜
这家“陈绩老素粉”就开在黔灵山公园大门附近
逛完公园直接来嗦一碗简直不要太爽😋
店里是明档厨房，价目表贴在墙上清清楚楚
素粉、肉粉、各种哨子随便加
价格都在5-16元之间，性价比太高啦✨

🍜【菜品推荐】
🌟招牌老素粉
必点！米粉爽滑Q弹
拌上秘制辣椒油和脆哨花生
香辣过瘾，口感层次超丰富！！
🌟加哨指南：推荐加一份 软哨 或 猪脚哨，软哨卤香浓郁，猪脚软糯入味，搭配素粉一绝！
🌟隐藏吃法：点一份 红油米皮，淋上特调酱汁，酸辣开胃，夏天吃超清爽～

📍地址：陈绩老素粉
贵州贵阳云岩区黔灵山公园大门旁（路边小店，黄色招牌很显眼）

#黔灵山必吃[话题]# #陈绩老素粉[话题]# #贵州嗦粉指南[话题]# #街头平价小吃[话题]# #贵阳探店[话题]# #旅行中的地道美食[话题]# #嗦粉快乐[话题]# #贵阳美食[话题]# #黔灵山早餐[话题]# #黔灵山公园[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,陶八根羊肉粉,羊肉粉店,云岩区盐务街，地铁3号线贵医站步行可达,老街早餐/羊肉粉、油辣子与本地烟火体验,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a98019c0000000028032ee5?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：贵阳烟火寻味｜盐务街老街藏尽地道黔味美食
正文：📍地址：云岩区盐务街
🚗交通：地铁3号线【贵医站】步行可达

✅粉面小吃｜解锁老贵阳地道本味
✓彬彬老贵阳素粉
老牌素粉店！酸粉劲道、红油香浓，搭配招牌脆哨和酸萝卜，地道贵阳早餐口感
✓田孃素粉
秘制油辣椒香气十足，搭配花生、大头菜增香，酸粉爽滑劲道，口感清爽适口
✓陈绩老素粉
灵魂在辣椒油，香而不辣，红亮诱人，臊子选择多样，小料选择丰富
✓蒋家肠旺面
街区老牌面店，汤底红亮醇香，配料新鲜实在，面条劲道入味，口感温润不燥
✓陶八根羊肉粉
老牌羊肉粉汤底醇厚鲜香，羊肉分量实在，米粉劲道，搭配油辣子调味，浓郁入味",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,马老三烤鲜牛肉,鲜牛肉烧烤店,云岩区黔灵东路,夜宵/烤牛黄金、烤脑花与爆炒花甲,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/69758acc000000000b00be0e?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳夜宵必吃榜！烤牛黄金和脑花封神了
正文：不是我说‼️就在黔灵东路这家马老三烤鲜牛肉
是贵阳的夜宵灵魂，我私藏的烤肉天花板
求所有来贵阳的姐妹都去试试好吗！！

✨必点推荐✨

🔥牛黄金
他们家的招牌！小哥拿着烤盘现问要多少串
烤得滋滋冒油 焦香四溢💥
入口瞬间油脂爆开 但神奇的一点不腻！
脆中带糯 香气直冲天灵盖🤤

🧠烤脑花
处理得超级干净！一点腥味都没有～
口感嫩得像豆腐 香辣入味🌶️
里面的泡萝卜丁是灵魂！
酸甜解腻 跟脑花搭在一起绝了

🐚爆炒花甲
花甲个个肥美饱满 吐沙超干净
辣中带鲜 酱汁浓郁💦
连里面的芹菜都入味到被抢光！
下酒神器实锤🍻

🌟环境服务
店面明亮干净 座位不挤
烤串是流动式询问 要多少拿多少
其他菜可以单点 上菜速度很🉑
宵夜氛围直接拉满～

#马老三烤肉[话题]# #马老三鲜烤牛肉[话题]# #人间烟火烧烤气[话题]# #夜宵好去处[话题]# #烧烤届的天花板[话题]# #为宵夜而生的美食安利[话题]# #这才是夜晚觅食的好去处[话题]# #贵阳美食[话题]# #大声安利本地美食[话题]#
@马老三烤鲜牛肉",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,鱼水湾,鲜鱼火锅店,云岩区贵乌路,鲜汤鱼正餐/先喝奶白汤再涮现杀鲜鱼,1,20260904_第一阶段,https://www.xiaohongshu.com/explore/6a6a9d910000000011006927?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：贵阳一日逛吃✨十年资深吃鱼家总结收藏
正文：3.🐟鱼水湾！（云岩区贵乌路）
头天去吃完开胃味的鱼，
第二天🉑直接冲开了很多年的老牌鲜鱼火锅，真的是靠味道圈粉无数！汤底是筒子骨+老母鸡慢熬的奶白汤，先喝汤再吃鱼是标配，一点都不腻，多数人都爱喝
他家参鱼🐟都是现点现杀，店里看得到鲜活鱼在游动！参鱼片切得很薄，下锅几秒就熟！肉质嫩，没有腥味！
除了招牌鲜鱼锅还有
🥬凉菜：特色口水鸡，思南烧椒皮蛋，
🍲热菜：煲仔麻辣豆腐，超香黄焖小麻鸭一定要点来尝尝",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
云岩区,餐饮美食,鸡鸣三生·上树烤鸡,烤鸡烧烤店,云岩区黔灵东路,游客夜宵与朋友聚餐/炭烤鸡、三格蘸水及烧烤小菜,2,20260904_第二阶段_餐饮住宿扩充,"https://www.xiaohongshu.com/explore/6a50a4f6000000001003de0d?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a669f20000000000100c848?xsec_token_redacted=1&xsec_source=pc_dots","「1*混合贴」
标题：贵阳烤鸡TOP3合集｜本地人循环打卡宵夜清单
正文：1️⃣ 鸡鸣三生·上树烤鸡｜游客必打卡排队王
📍地址：云岩区黔灵东路
💰人均：50左右
⏰营业：17:00-凌晨2:00
从路边小摊火到必吃榜，整条街最香的就是他家！主打原味炭烤，不厚重腌料，靠火候锁住鸡肉汁水。
整只鸡炭火烤到鸡皮金黄焦脆，现剪分装上桌，底下带小炭炉持续保温，全程热乎。
灵魂三格蘸水：干海椒面、酸辣青椒酱、红油蘸水，三种吃法换着来超过瘾。
配菜必点：爆炒鸡血、番茄拌米皮、干煸土豆片，搭配烤鸡直接封神，饭后一碗冰银耳汤解辣绝了。
缺点：饭点排队半小时起步，建议17点前到店。

「2」
标题：内哥｜又一家好吃的烧烤店！
正文：鸡鸣三生·上树烤鸡
总评（🈵⭐⭐⭐⭐⭐）：⭐⭐⭐⭐
贵阳比较有名的一家烤鸡店铺，我们是晚上11点过去的，提前拿号（这一点很关键，他们家在个大平台上是没有取号通道的，但宝子们可以通过电话直接联系前台进行提前取号，过号顺延五桌）大概排了30分钟左右，然后店内只有风扇，推荐大家坐室外的位置，要凉快一些
本次菜品：
1️⃣半只烤鸡
[向右R]烤鸡不包含内脏，主要是鸡胸口肉和鸡腿肉，味道偏柴，但外皮酥脆，总体来说味道尚可，建议宝子们点半只尝尝即可。
2️⃣鸡皮/甜肠/小肠
[向右R]绝对的天花板，宝子们去的话一定要尝一下他们家的烤鸡皮和烤小肠，真的做到了外焦里嫩口口爆汁，沾上他们家的辣椒面（他们家辣椒偏辣，外地的宝子们可以少沾一些），简直不要太香！甜肠味道适中，没有很惊讶到我。（甜肠是后上的，没来得及拍）
3️⃣西红柿拌米皮
[向右R]这几乎是每桌都会有的一道凉菜，完美解决了吃烧烤没有主食的问题，碳水脑袋狂喜[色色R]
4️⃣炒鸡血
[向右R]依旧是夯爆的一道菜品，鸡血很嫩，味道偏辣，但真正令我惊艳的是他里面炒的贡菜条，真的是爽脆的一个口感，以至于后面我和我女朋友在一众的葱条里面去分辨哪个是贡菜条[捂脸R]，真的很好吃，他们家好像还有单独炒贡菜的，但这次我们没点到，宝子们也可以尝一尝。
5️⃣炒花甲
[向右R]我女朋友比较喜欢的一道菜品，他家独特的料汁能够很好的入味到花甲里，花甲没有看到闭壳的情况，也没有大面积脱肉的情况，可以说火候把控的比较好吧。#人间烟火烧烤气[话题]# #烧烤届的天花板[话题]# #夜宵好去处[话题]# #贵阳美食[话题]# #贵阳[话题]# #贵阳旅游[话题]# #烤鸡[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
