sourceId,sourceType,sourceName,relationType,targetId,targetType,targetName,dayIndex,sequence,isOptional,facilityRole,role,fields,propertiesJson
sa_6479802,ScenicArea,黔灵山公园,HasFacility,facility_amap_B03530P42O,Facility,贵阳市黔灵山公园-公共厕所,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
sa_6479802,ScenicArea,黔灵山公园,HasFacility,facility_amap_B0FFH4TROM,Facility,黔灵山公园-公共厕所,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
sa_6479802,ScenicArea,黔灵山公园,HasFacility,facility_amap_B0FFM93K48,Facility,黔灵山公园-公共厕所,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
scenic_amap_B035301FIE,ScenicArea,贵阳森林公园,HasFacility,facility_amap_B0FFF31RIE,Facility,贵阳市森林公园-公共厕所,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
scenic_amap_B035301FIE,ScenicArea,贵阳森林公园,HasFacility,facility_amap_B0FFH4TRYY,Facility,贵阳市森林公园公共厕所,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
scenic_amap_B035301FIE,ScenicArea,贵阳森林公园,HasFacility,facility_amap_B0FFH4TRZ1,Facility,贵阳市森林公园-公共厕所,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
scenic_amap_B035301FIE,ScenicArea,贵阳森林公园,HasFacility,facility_amap_B0L39GR6ST,Facility,贵阳市森林公园-公共厕所,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
scenic_amap_B035301FVE,ScenicArea,南江大峡谷,HasFacility,facility_amap_B0FFKKJVKX,Facility,兰静轩,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
scenic_amap_B03530OZ78,ScenicArea,观山湖公园,HasFacility,facility_amap_B0FFH4TRU4,Facility,观山湖公园-公共厕所,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
scenic_amap_B03530OZ78,ScenicArea,观山湖公园,HasFacility,facility_amap_B0FFH6NXS4,Facility,公共厕所,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
scenic_amap_B03530OZ78,ScenicArea,观山湖公园,HasFacility,facility_amap_B0FFKYMJ6J,Facility,观山湖公园-公共厕所,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
scenic_amap_B03530OZ78,ScenicArea,观山湖公园,HasFacility,facility_amap_B0LR1XUCZE,Facility,观山湖公园元龙门公共厕所,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
