id,name,sourceEntry,areaType,hadCoord,转为知识单元,description,处置结果
ar_69401c8973f6,戴安澜将军墓,花溪公园,故居墓园,True,是,"戴安澜 ，原名戴炳阳，安徽省无为县仁泉乡凤和村人。民国十四年七月成为 黄埔军校 第三期学员，后来还当上了营长、团长。戴安澜在各种战役中与日军殊死拼搏屡建占功，1939年（民国二十八年）成为陆军二百师师长。

1941年（民国三十年），戴安澜奉命率部迁驻贵州安顺，他的夫人王荷馨女士带孩子也从广西全州迁到贵阳。戴安澜经常到花溪小住，与家人团聚。

1942年（民国三十一年）戴安澜将军殉国，时年三十八岁。戴安澜将军的殉国，牵动了亿万颗国人的心，全国许多地方都举行了公祭或追悼会，戴安澜将军的灵柩辗转经昆明、安顺、贵阳、然后到达广西全州暂厝于香山寺。

1944年猖狂的日军由湘桂线直下，进占广西，戴安澜",
ar_1672d53ca9df,综述,青岩古镇,未分类,False,是,"青岩古镇景区旅游资源覆盖全部8个主类，31个亚类中的21个，155个基本类型当中的51种，并且聚集了数量众多的旅游资源单体，成为主题明确、特色突出的旅游景区。青岩古镇景区完整性较好，明清建筑、文物景点、店铺等各种单体及整体布局、街道风格保存完好，建筑风格与布局统一。

青岩古镇4条正街、26条小街和巷道遍布楼、台、亭、阁、寺、庙、宫、祠、塔、院等众多古迹。古镇城内3平方千米范围中，有各类文物景点近百处。这些文物古迹归纳起来主要有一宫（万寿宫）、二祠（班麟贵土司祠、赵国澍祠）、五阁（奎光阁、文昌阁、云龙阁、三宫阁、玉皇阁）、八庙（孙膑庙、财神庙、火神庙、黑神庙、药王庙、雷祖庙、川主庙、东岳庙）、",
ar_2e704f318087,牌坊,青岩古镇,牌坊,False,是,青岩古镇城中原有八座牌坊横跨在石板铺筑的大街上，如今尚存两座百岁坊和一座贞节牌坊。定广门内的赵理伦百岁坊，是清道光二十三年（1843年）奉旨建造的。它是一座四柱三间、三楼四阿顶的石牌坊，高9.5米，宽约9米。精心雕琢的石牌坊，在蓝天白云之中，显得空灵。正中的横额上，镌刻着道光皇帝的题额，正面是“七叶衍祥”，背面是“升平人瑞”，上端有“钦赐”二字。抱柱的四对石狮子非同寻常，不是站狮，也不是卧狮或蹲狮。八头狮子仿佛是从高山上俯冲下来，富有灵性。,
ar_ec5ca398b903,万寿宫,青岩古镇,宗祠庙宇,False,是,万寿宫为江西会馆，供奉东晋的许逊真君。许逊，江西南昌客家人，生于吴赤乌二年（239年），年轻时修道，因道誉日著，举为孝廉，曾任蜀郡旌阳令，倡行忠孝，利济百姓，归隐后又治理鄱阳湖水患保一方民生，百姓敬为神明，在他仙逝后于其故里（今南昌市新建的逍遥山）建许逊祠祀之。南北朝时许逊祠改称游帷观，宋真宗时改称玉隆宫，宋徽宗时改称玉隆万寿宫，简称“万寿宫”。徽宗崇道，敕封许逊为“神功妙济真君”，后人尊称“许真君”，万寿宫渐成江西土客融合的文化纽带，成了江西人信仰的载体。明清以后江西移民把万寿宫建到了全国各地，据查约有1400多座，有江西人的地方就有万寿宫。在异地他乡，万寿宫是江西人的同乡会馆，又是江西商人,
ar_5830bfd2e691,状元府,青岩古镇,古建筑,False,是,状元府是贵州第一个文状元—— 赵以炯 的故居，坐落在小镇状元街1号，状元街与北街交接，靠南边那一截叫“下院街”，北街干道上有指示路牌比较容易找到。大院门前是一副简单的对联“琴鹤谱志，论语传家”，显示了主人一生的志愿。府第坐南朝北，为两进四合院，府第坐南朝北，为两进四合院，均为一正两厢，风格是歇山式，总占地面积700平方米左右。现存前殿、正殿、两厢和朝门，朝门内墙上有许多不同“寿”字残迹，据说这是赵以炯曾曾祖父赵理伦百岁时所留。建筑是以木质结构为主的，气派而不张扬，宁静恬淡，一派书香风范。 00:46 青岩古镇里的状元府 02:42 我的家乡我推荐——青岩古镇状元府,
ar_a31f6772aa32,慈云寺,青岩古镇,宗祠庙宇,False,是,慈云寺位于北街5号。始建于清康熙年间，清道光十二年（1832年）重修，总占地面积近2000平方米。传说是西街吴姓人家捐修的。整个建筑构架保持完好，有很多石柱础为贵阳市石柱础中石雕艺术精品。,
ar_35fac21bb435,北城门,青岩古镇,古建筑,False,是,北城门又称玄武门，为重檐歇山式顶木结构建筑，屋顶为青灰色瓦面，泥塑脊饰，是古代钦差下达皇帝圣旨的场所，初建于明朝天启年（1621—1624年），清顺治十七年（1600年）班麟贵之子应寿子承父职（土司）将土城墙改建为石城墙，清嘉庆三年（1789年），武举人袁大鹏重修扩建，是青岩古镇的象征之一。,
ar_39a10f504768,文昌阁,青岩古镇,宗祠庙宇,False,是,文昌阁位于东街143号，占地面积800多平方米。建于明万历年间，乾隆年间重修，砖木结构，依山而建，为攒角重楼八角式。是旧时读书人常去读书、聚会、祭拜 文昌帝君 的地方。,
ar_9e2486676670,赵公专祠,青岩古镇,宗祠庙宇,False,是,赵公专祠位于贵阳市花溪区青岩镇南街，建于清同治年间，原为青岩团务总理赵国澍（字畏三）之专祠。专祠占地面积1600平方米，建筑面积920平方米，由山门、通道、过厅、两厢房及大殿组成。清同治二年（1863年），赵国澍进攻灯花教何得胜部阵亡。清廷追封他为太常寺卿，赏骑都尉，准世袭，并降旨建赵公专祠。2001年，对专祠进行了维修，2003年，该处被公布为贵阳市市级文物保护单位。,
ar_251fa0b8f41a,寿福寺,青岩古镇,宗祠庙宇,False,是,寿福寺建于清道光九年（1829年），又称湖南会馆，二进院落，有山门、戏楼、两厢、正殿、后殿等。戏台上的“双龙戏珠”和殿前的两棵古桂花树一起组成“双龙戏珠、龙凤双贵”的深刻寓意，为省级文保单位。2000年对寿福寺进行了修复，并将旁边的孙膑庙纳入寿福寺范围。,
ar_6c925a22cc93,迎祥寺,青岩古镇,宗祠庙宇,False,是,迎祥寺是贵阳的古刹之一，始建于明朝天启元年（1621年），有“黔山祖庙”之称。寺有三重，前为天王殿，中为大雄宝殿，后为观音殿。奇怪的是，在观音菩萨楼上，却坐着一个三眼、四头、八臂的“斗姆”，因为佛、道共处，当地人常把迎祥寺呼为斗姆阁。,
ar_369d2f764d56,名人故居,青岩古镇,故居墓园,False,是,抗日战争期间，青岩城墙完好，四座城门依旧，偏僻安全，接纳了很多的“避难者”。八路军贵阳交通站在青岩建立安宣点，把许多革命干部家属疏散到这里来，周恩来的父亲、邓颖超的母亲、李克农和博古（秦邦宪）的家属都曾经在青岩住过。李克农亲属曾居处：位于青岩镇北街10号，民国二十八年至民国三十年（1939—1941年）李克农等中共领导人的亲属曾居于此，现仍为民居； 邓颖超 之母曾居处：位于南街75号，邓颖超之母 杨振德 女士民国二十八年至民国三十年（1939—1941年）曾居于此，现仍为民居，经营快餐； 周恩来 总理之父曾居处：位于青岩背街2号，民国二十八年至民国三十年（1939—1941年），周恩来父亲周懋,
ar_c2bb223f68cb,游客服务中心,天河潭风景区,未分类,False,是,天河潭游客服务中心总建筑面积约3万平方米，以贵州土司文化的建筑风格，和山水瀑布相结合，有精致的屋脊翘角，镂空的花窗，浮雕图案。整体建筑风格除了土司文化以外，还有苗族布依族的民族元素，地面图腾融入的是苗族元素，顶部的蜡染融入了布依族的元素，是贵州省最大最智能的游客服务中心，最多可容纳3000人。游客服务中心有能容纳500人同时用餐的宴会厅，还有贵州布依风情馆，有许多民族工艺品售卖，如各式各样耳环，戒指，项圈，发型和手镯的银饰，以及布依服饰。,
ar_6760336b5305,太阳广场,天河潭风景区,广场,True,是,"01:07 贵阳天河潭,这不仅有瀑布溶洞,晚上还能欣赏震撼的烟花剧!

太阳广场是天河潭景区的公共场所，不进核心景区的市民游客也可以免费参观。在太阳广场的地面上有祥云的图案，在太阳广场的下方是景区的地下停车场，可以从广场四周的四个高柱子直接乘坐观光电梯直达停车场。四个柱子上面是自然四元素风、火、水、土，象征着自然四元素和谐共生，人与自然和谐相处。中间中空的木质建筑是按照篝火的“篝”字来打造的。让人似乎看到了一群穿着民族服饰的姑娘和小伙子围着篝火载歌载舞。",
ar_0fa57dce782d,贵阳故事街,天河潭风景区,街区,False,是,民国风格的建筑、黄包车、旗袍秀，穿着民国衣裳的服务员为你煮一碗花溪牛肉粉。穿着长衫拉二胡的艺人，背着香烟盒子卖特色香烟的女孩，让人们停下脚步欣赏。贵阳故事街还原了二十世纪二三十年代老贵阳的风貌。贵阳故事街定期举办市井小品，快闪，“五四爱国运动”等活动，增强游客的体验感，这条街所有的经营者都将会穿着民国服饰与游客见面，让游客有一种穿越回民国的感觉。不仅可以玩穿越，贵阳故事街还汇集了贵州省知名的特色小吃，比如雷家豆腐圆子、丝娃娃、恋爱豆腐果、鸭溪凉粉、丁家脆哨等贵州知名特色小吃，在贵阳故事街就可以尝到。 02:49 贵阳故事街，深藏风景秀丽的天河潭景区，贵州美食文化大圆桌！,
ar_7b971669d3bb,梦幻水秀,天河潭风景区,未分类,False,是,大型水景秀区是天河潭的核心亮点之一，水景秀区总占地面积96亩，总长120米、宽106米，中心主喷水高度约80米，是西南地区最大的水景秀。生态水景实现“白天一景，晚上一秀”的水文化体验。白天，水秀以《天河神韵》为主题，运用现代高科技手段，让水舞动起来，变化成形态各异的图案，跟着音乐的旋律，展现水的不同姿态。夜晚，当中心水柱喷起来的时候会形成水幕，中间白色的这个圈是一个投影仪，可以通过它在水幕上播放视频短片和水幕电影，夜晚还能欣赏到水上芭蕾、民族歌舞的表演。 01:44 天河潭烟花水秀震撼来袭，美轮美奂的水上盛宴 00:20 天河潭烟花水秀震撼来袭，喷泉美景让人流连忘返,
ar_fcf19eadb347,环湖木栈道,天河潭风景区,桥梁,False,是,走上环湖木栈道，能够全方位的观赏水景秀的变幻多姿，同时也方便游客散步、观光和留影。环湖木栈道旁还集聚了精品客栈、Coach和MK等轻奢品和少数民族手工艺品店。还有港式甜品许留山，“泰芒了”，台湾烤肉等小吃。,
ar_7d711943be99,五色花海,天河潭风景区,公园,False,是,五色花海位于人工湖旁，临近商业区，占地面积5.4万平方米。游玩步道2300米。花期从每年6月持续至10月，五色花海的花有马鞭草、百日菊、万寿菊、鸡冠花、鼠尾草和粉色矮牵牛。拍照非常漂亮。,
ar_4fb2f9267d95,滨水休闲区,天河潭风景区,未分类,True,是,滨水休闲区临水而建，集商业、休闲、娱乐、住宿等功能于一体，是观赏水秀表演的最佳位置，最能聚集人气，是本项目核心区域。滨水休闲区引进品牌咖啡、大型中餐西餐、休闲书吧、水吧、精品客栈，街区总占地面积2461平方米，建筑面积6344平方米，共有房屋5栋，占地面积8500平方米。,
ar_9f55835f1ae6,卧龙飞瀑,天河潭风景区,瀑布,False,是,"卧龙飞瀑宽二十余米，高十余米。卧龙飞瀑和上游的卧龙湖组合在一起像天上的水龙一般，每到丰水季节，水从滩头倾斜而下，气势汹涌，像这条水龙的头一样，被称之为""卧龙飞瀑""。",
ar_3ac0bcf6157d,梦草园,天河潭风景区,公园,False,是,梦草园是明末清初贵州著名诗人吴中蕃（1617年—1695年）的故居，吴中蕃诞生于贵阳城西梦草池，字滋大、一字大身、晚年别号今是山人。这里曾是吴氏故居，吴中蕃在天河潭长期隐居，面对这里的苍山秀水，奇洞碧潭，他写下了许多美丽诗篇，留下宝贵的文化遗产。,
ar_c305437c3527,石蚌滩,天河潭风景区,湖泊,False,是,沾撒的泉水由山洞流出，形成动静两景色，悬崖上生长着葱绿的植物，长廊与楼榭利于悬崖，这样的景色为世外桃源。,
ar_9561ccb9207b,崆灵洞,天河潭风景区,洞穴,False,是,"崆灵洞即为龙潭洞水洞，可乘船游览，游洞内奇观，有如置身仙境，该洞全长约1200米，最宽处80余米，最窄处仅为，洞顶最高处50余米，洞内暗河水深处31米。洞内有石钟乳、石笋、石柱等喀斯特景观。其中一处为""鲤鱼跳龙门""。传说有一位学子从此处经过，突见一条一米余长的鲤鱼跃出水面，对他连点三下头，然后投入水中，当年此人便中举了。",
ar_99260e809307,银河宫,天河潭风景区,宗祠庙宇,False,是,"银河宫即为龙潭洞旱洞，分为三层，全长近2000米，洞中有一天然石桥--奈何桥，它座落在洞里两座悬崖之间，桥下是深不可测的阴潭，堪称鬼斧神工，令人叫绝。洞内满布玲珑剔透，形态各异的钟乳石，千姿百态。让人流连忘返，其中较著名的景点有:""猴子捞月""、""藏经阁""、""千年等一回""、""春满人间""等。",
area_xhs_e9747c02c2ac3475e59b,东山寺,小红书POI表,寺庙,False,否,社媒来源，不是 POI 事实主数据源；无坐标无地图厂商 id，按本轮口径撤出,高德版本已在库（B0FFH6UNUE 寺庙道观），无需补
area_xhs_7f7035efebafa66afae0,电台街,小红书POI表,地标,False,否,社媒来源，不是 POI 事实主数据源；无坐标无地图厂商 id，按本轮口径撤出,高德实体为「地名地址信息;交通地名;道路名」，是道路不是 POI，按业务决定不建实体
area_xhs_6001e3ff556d5d74d90a,贵阳白宫,小红书POI表,地标,False,否,社媒来源，不是 POI 事实主数据源；无坐标无地图厂商 id，按本轮口径撤出,俗称。正式实体「花果园国际文化艺术交流中心」已在库（B0FFLHO2NV），俗称已记入 externalMapName
area_xhs_959060aa37a8deb23f27,天河潭,小红书POI表,地标,False,否,社媒来源，不是 POI 事实主数据源；无坐标无地图厂商 id，按本轮口径撤出,ScenicArea 已有「天河潭风景区」，作为 Area 属层级重复
area_xhs_15e163b2c5d2ee156917,阿哈湖湿地公园,小红书POI表,公园,False,否,社媒来源，不是 POI 事实主数据源；无坐标无地图厂商 id，按本轮口径撤出,高德版本已在库「贵阳阿哈湖国家湿地公园」
area_xhs_be2cf5f4f7fb59eaec4e,贵州省地质博物馆,小红书POI表,博物馆,False,否,社媒来源，不是 POI 事实主数据源；无坐标无地图厂商 id，按本轮口径撤出,已按高德补入（B0FFINGJLO 博物馆 观山湖区）
area_amap_B0G1TASVWC,怡园池,高德（类型不符）,地标,True,否,高德主类=生活服务;洗浴推拿场所，地址青年路128号东宝花园,按 schema「Area 不用于表示餐饮、住宿、商店」撤出；单体商户撤，集合型街区留
area_amap_B0K6VZYIE5,十里桥亭(班芙小镇店),高德（类型不符）,桥梁,True,否,单体餐饮（名称带「店」），地址银地班芙小镇8栋；原 areaType 标「桥梁」为误标,按 schema「Area 不用于表示餐饮、住宿、商店」撤出；单体商户撤，集合型街区留
area_amap_B0KDY7UDAA,东山公园小卖部,高德（类型不符）,公园,True,否,单体商店。schema：Area 不用于表示商店；原 areaType 标「公园」为误标,按 schema「Area 不用于表示餐饮、住宿、商店」撤出；单体商户撤，集合型街区留
area_amap_B0L2B5K7HO,飞龙阁,高德（类型不符）,古建筑,True,否,高德主类=商务住宅;住宅区;住宅小区，地址富源北路与和兴路交叉口，不在任何景区内；原 areaType 标「古建筑」为误标,按 schema「Area 不用于表示餐饮、住宿、商店」撤出；单体商户撤，集合型街区留
area_amap_B0LGTBTB28,青岩古镇鸡辣角,高德（类型不符）,街区,True,否,单体中餐厅，且地址在南明区青云路与兴关路交叉口、并不在青岩古镇内；名称带景区前缀属商户命名,按 schema「Area 不用于表示餐饮、住宿、商店」撤出；单体商户撤，集合型街区留
area_amap_B0LRXC0U15,黔灵山公园-小卖部,高德（类型不符）,公园,True,否,单体商店，同上,按 schema「Area 不用于表示餐饮、住宿、商店」撤出；单体商户撤，集合型街区留
area_amap_B0LU2DWUGS,水元万相,高德（类型不符）,地标,True,否,高德主类=商务住宅;住宅区;住宅小区，地址蓝宝石街与龚中路交叉口,按 schema「Area 不用于表示餐饮、住宿、商店」撤出；单体商户撤，集合型街区留
