Google地点ID,地点名称,站点名称,线路ID,线路名称,线路简称,交通机构名称,交通机构网址,票价网址,车辆类型
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJqzd7et6Y4jARuXFmMfb6Ew0,Circle : BRT Ratchaphruek - Bang Lamphu,15 AC (4-2),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJzedVqr6h4jARcBp8ogVBKvc,Praksa Bodin - Sanam Luang (Expressway),25E AC (3-7E),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJu1cvcvyX4jARyWU59Xi8W0Y,Suksanari 2 School - Thewet,43 EV (4-11),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJRaM46LmY4jARCF1hAi_yAQk,Samrong - Southern Bus Terminal (Taling Chan),507 EV (3-13),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJDVG08-eY4jAR1ta9_4qx4pA,Thanon Tok - Sanam Luang,1 EV,THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJWaNQM4Ce4jARxo_qcQrIjSM,Happy Land - Saphan Phut,8 EV (2-38),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJN-ob7ZOf4jAR6lxgTqfg034,Ramkhamhaeng 2 University - Tha Chang,48 EV (3-11),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJTwi3_MSY4jAR1QG8EF3l5l4,Central Rama 3 - Sanam Luang,1 EV (3-35),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJ74xWOPie4jARIunJT_cN4iA,ARL Hua Mak - Sao Chingcha,3-53 EV,THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJLx0lnRWZ4jARYn_wO1k3vDw,Panfa Leelard Pier,ท่าเรือผ่านฟ้าลีลาศ,ChIJ1y3SVDeZ4jAR9f68rQpeTus,Khlong Saen Saep Boat : Phan Fa Lilat - Pratunam,,Khlong Saen Saep Express Boats,https://www.md.go.th/en/,,FERRY
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJt2n-tCuc4jARvVrT4QG52r4,Pattavikorn - Rama 8 Park,1-63 EV,THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJPUpCHmif4jARARRCtojtZaA,Puchao Samingprai - Saphan Phut (Expressway),2E EV (3-2E),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJAfTtdwaZ4jARFAlgVo2yjZE,Suanphak - Thanon Tok,4-68 EV,THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJi0P16b-Y4jARawnLPwKSwGI,Phra Pradaeng Pier - Bang Lamphu,82 EV (4-15),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJhZFOnAqD4jARQQx1V1BcbU4,Thammasat University Rangsit Campus - Sanam Luang (Expressway),1-9E EV,THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJz4Wf55Ca4jARcCuCPbwwvjI,Bang Bua Thong - Bang Lamphu,127 EV (2-19),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJpz5xjgiZ4jARFpEzjKGnNxA,Circle : Sao Chingcha - Tha Phra,42 EV (4-10),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJH2JEUSqc4jARDbwtmOv0rEc,Kheha Khlong Chan - Tha Tien,44 EV (2-42),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJPcp2dsKh4jAR7yoxjtiMTbY,Paknam - Saphan Phut,2 EV (3-1),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJub8XtqyZ4jARb_vs7FPYIwk,Kanlapaphruek - Sam Sen Railway Station,9 EV (4-37),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJzaa9Er-Y4jARwUXtK-UlvJI,Phra Pradaeng - Bang Lamphu,6 EV (4-1),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJs04MA1Wa4jAR4ou6XuIXWgU,Tha It - Sanam Luang,203 AC (2-23),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJuWVwWoOZ4jARSQ8NpUtWbMQ,Borommaratchachonnani - Rama 9,4-69 REG,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJnY_cvjSD4jARWViQy69fGD8,Rangsit - Sanam Luang (Expressway),1-7E REG,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJETRinQ-i4jAROxFD9y0NWOM,Samutprakan Crocodile Farm - Southern Bus Terminal (Taling Chan) (Expressway),511 AC (3-22E),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJOUqQIZOZ4jARaCo8YaPFTKY,Wong Charoen Market - Ratchaprasong,79 AC (4-42),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJJWSGzdyd4jARp2Buie2VkCg,Siam Park - MRT Sanam Chai,60 REG (1-38),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJKSO_rCej4jAR0AnR9Y7LktY,Wat Saha Thammaram - Bang Lamphu,68 REG (4-12),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJETRinQ-i4jARZYsRyh59Ueg,Samutprakan Crocodile Farm - Southern Bus Terminal (Taling Chan) (Expressway),511 NGV (3-22E),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJXzqgfFOa4jARxj89GrEZb1k,Tha It - Sanam Luang,203 REG (2-23),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJldtLftWY4jARVvSvt-EY8wg,Bangkok Port (Khlong Toei) - Bangkok Department of Land,47 REG (3-41),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJLUJ5MsOd4jARQzZpX2AlaGM,Siam Park - MRT Sanam Chai,60 NGV (1-38),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJ01zrRLC94jAR6Le7lZN9HKM,Samut Sakhon - Bang Lamphu,68 REG,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJETRinQ-i4jARvau6kEyhrzM,Samutprakan Crocodile Farm - Southern Bus Terminal (Taling Chan),511 AC,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJpSSpMsOd4jARdgfY-94p52k,Siam Park - MRT Sanam Chai (Expressway),1-80E REG,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJgeGOngCY4jARVIHuSzCzIhw,Samae Dam - Bang Lamphu,68 REG (4-12),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJjWIm-YSb4jAR6Lb_0GIXWdw,Pracha Niwet 3 - Sanam Luang,70 AC (2-14),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJEWxx7g-i4jARPGKvHmWyyjE,Samutprakan Crocodile Farm - Southern Bus Terminal (Taling Chan),511 NGV,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJgeGOngCY4jARRW9bLJH8uIc,Samae Dam - Bang Lamphu,68 AC (4-12),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJrWm5-ISb4jAReszhqsQGnXo,Pracha Niwet 3 - Sanam Luang (Expressway),2-32E REG,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJPUgSNMeW4jARKe6fdfCKWsc,Wat Rai Khing - Democracy Monument,556 AC (4-64),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJ9fXcvjSD4jARd57DjJA4JvI,Rangsit - Sanam Luang,59 AC (1-8),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJZzd-mASU4jARgjaUlcDzd2g,Nakhon Chai Si Junction - Democracy Monument,556 REG (4-64),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJTzhQXJWZ4jARMbZQBmAFBQ8,Setthakit Village - Mochit 2,509 AC (4-60),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJuWVwWoOZ4jARY7ZC4igadBA,Borommaratchachonnani - Rama 9,4-69 AC,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJjWIm-YSb4jARzz2dypi9qqg,Pracha Niwet 3 - Sanam Luang,70 REG (2-14),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJ1dkmK8uc4jARrnxN2uBDyDQ,Rangsit - Sanam Luang,59 REG (1-8),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJg7BpNpea4jAR7gEvhVn4wWI,Bua Thong Kheha Village - Thewet,516 AC (2-25),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,แยกคอกวัว,ChIJYWLDRRiZ4jARu6nT5PavdTI,Circle : Thewet - Khlong San,4-35 REG,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJH2JEUSqc4jARDbwtmOv0rEc,Kheha Khlong Chan - Tha Tien,44 EV (2-42),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJPcp2dsKh4jAR7yoxjtiMTbY,Paknam - Saphan Phut,2 EV (3-1),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJzaa9Er-Y4jARwUXtK-UlvJI,Phra Pradaeng - Bang Lamphu,6 EV (4-1),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJub8XtqyZ4jARb_vs7FPYIwk,Kanlapaphruek - Sam Sen Railway Station,9 EV (4-37),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJPUpCHmif4jARARRCtojtZaA,Puchao Samingprai - Saphan Phut (Expressway),2E EV (3-2E),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJt2n-tCuc4jARvVrT4QG52r4,Pattavikorn - Rama 8 Park,1-63 EV,THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJi0P16b-Y4jARawnLPwKSwGI,Phra Pradaeng Pier - Bang Lamphu,82 EV (4-15),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJhZFOnAqD4jARQQx1V1BcbU4,Thammasat University Rangsit Campus - Sanam Luang (Expressway),1-9E EV,THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJAfTtdwaZ4jARFAlgVo2yjZE,Suanphak - Thanon Tok,4-68 EV,THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJz4Wf55Ca4jARcCuCPbwwvjI,Bang Bua Thong - Bang Lamphu,127 EV (2-19),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJpz5xjgiZ4jARFpEzjKGnNxA,Circle : Sao Chingcha - Tha Phra,42 EV (4-10),THAI SMILE BUS,https://thaismilebus.com/,https://thaismilegroup.com/?page_id=12793,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJpSSpMsOd4jARdgfY-94p52k,Siam Park - MRT Sanam Chai (Expressway),1-80E REG,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJgaypGZKc4jARgVUi99EkPIs,Don Mueang Airport - Sanam Luang (Expressway),A4 NGV,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJjWIm-YSb4jAR6Lb_0GIXWdw,Pracha Niwet 3 - Sanam Luang,70 AC (2-14),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJqzd7et6Y4jARuXFmMfb6Ew0,Circle : BRT Ratchaphruek - Bang Lamphu,15 AC (4-2),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJgeGOngCY4jARRW9bLJH8uIc,Samae Dam - Bang Lamphu,68 AC (4-12),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJTzhQXJWZ4jARMbZQBmAFBQ8,Setthakit Village - Mochit 2,509 AC (4-60),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJjWIm-YSb4jARzz2dypi9qqg,Pracha Niwet 3 - Sanam Luang,70 REG (2-14),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJYWLDRRiZ4jARu6nT5PavdTI,Circle : Thewet - Khlong San,4-35 REG,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJEWxx7g-i4jARPGKvHmWyyjE,Samutprakan Crocodile Farm - Southern Bus Terminal (Taling Chan),511 NGV,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJ9fXcvjSD4jARd57DjJA4JvI,Rangsit - Sanam Luang,59 AC (1-8),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJPUgSNMeW4jARKe6fdfCKWsc,Wat Rai Khing - Democracy Monument,556 AC (4-64),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJrWm5-ISb4jAReszhqsQGnXo,Pracha Niwet 3 - Sanam Luang (Expressway),2-32E REG,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJ1dkmK8uc4jARrnxN2uBDyDQ,Rangsit - Sanam Luang,59 REG (1-8),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJuWVwWoOZ4jARSQ8NpUtWbMQ,Borommaratchachonnani - Rama 9,4-69 REG,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJuWVwWoOZ4jARY7ZC4igadBA,Borommaratchachonnani - Rama 9,4-69 AC,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJZzd-mASU4jARgjaUlcDzd2g,Nakhon Chai Si Junction - Democracy Monument,556 REG (4-64),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJg7BpNpea4jAR7gEvhVn4wWI,Bua Thong Kheha Village - Thewet,516 AC (2-25),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJs04MA1Wa4jAR4ou6XuIXWgU,Tha It - Sanam Luang,203 AC (2-23),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJJWSGzdyd4jARp2Buie2VkCg,Siam Park - MRT Sanam Chai,60 REG (1-38),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJnY_cvjSD4jARWViQy69fGD8,Rangsit - Sanam Luang (Expressway),1-7E REG,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJJ86z9ypgHTERkEglonDsH2o,Suvarnabhumi Airport - Sanam Luang (Expressway),S1 AC,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJKSO_rCej4jAR0AnR9Y7LktY,Wat Saha Thammaram - Bang Lamphu,68 REG (4-12),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJJ86z9ypgHTER7y_YOUp2nJk,Suvarnabhumi Airport - Sanam Luang (Expressway),S1 NGV,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJETRinQ-i4jARZYsRyh59Ueg,Samutprakan Crocodile Farm - Southern Bus Terminal (Taling Chan) (Expressway),511 NGV (3-22E),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,แยกคอกวัว,แยกคอกวัว,ChIJOUqQIZOZ4jARaCo8YaPFTKY,Wong Charoen Market - Ratchaprasong,79 AC (4-42),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
