Google地点ID,地点名称,Google评论ID,评论评分,评论文字,评论语言,发布时间,作者名称,Google评论链接
ChIJLx0lnRWZ4jARYn_wO1k3vDw,Panfa Leelard Pier,ChZDSUhNMG9nS0VJQ0FnSURndHI3ZlBnEAE,5.0,19泰铢红色船，一条河都是你的。住在附近但想去暹罗一定要在这里体验红色快船的浪花。非常快，没有堵车，而且很清凉。我还想每天都坐呀，苏服～,zh,Tue Jun 05 2018 08:31:30 GMT-0700 (Pacific Daylight Time),侃大树,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSURndHI3ZlBnEAE!2m1!1s0x30e299159d251d2f:0x3cbc37593bf07f62
ChIJLx0lnRWZ4jARYn_wO1k3vDw,Panfa Leelard Pier,ChdDSUhNMG9nS0VJQ0FnSUNBNHJfRnBnRRAB,5.0,非常方便的交通工具,zh,Mon Mar 06 2017 04:50:25 GMT-0800 (Pacific Standard Time),Lewis H,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNBNHJfRnBnRRAB!2m1!1s0x30e299159d251d2f:0x3cbc37593bf07f62
ChIJLx0lnRWZ4jARYn_wO1k3vDw,Panfa Leelard Pier,ChZDSUhNMG9nS0VJQ0FnSURRc2FtWVpREAE,5.0,潘发桥码头,zh,Sun Oct 08 2017 05:11:17 GMT-0700 (Pacific Daylight Time),Junxi Ma,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSURRc2FtWVpREAE!2m1!1s0x30e299159d251d2f:0x3cbc37593bf07f62
ChIJLx0lnRWZ4jARYn_wO1k3vDw,Panfa Leelard Pier,Ci9DQUlRQUNvZENodHljRjlvT2tNMk9UQTFjMnBPYm1OQ2RtRnBRVXRTWjNsa2IwRRAB,4.0,从这个码头出发，您可以步行前往拉达那哥欣岛上的各个景点，例如金山寺（Wat Saket）、罗哈寺（Wat Ratchanatdaram）、拉达那哥欣展览馆、公园、玛哈坎堡，以及拉差丹农路和丁索路沿线的其他景点。 从水门码头到潘法丽拉码头，全天都有渡船服务。码头设有两间洗手间（男洗手间和女洗手间）。,zh-CN,Wed Jun 24 2026 18:59:54 GMT-0700 (Pacific Daylight Time),Journey Directory,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2tNMk9UQTFjMnBPYm1OQ2RtRnBRVXRTWjNsa2IwRRAB!2m1!1s0x30e299159d251d2f:0x3cbc37593bf07f62
ChIJLx0lnRWZ4jARYn_wO1k3vDw,Panfa Leelard Pier,Ci9DQUlRQUNvZENodHljRjlvT2pKRU4wRlFRMHBDZWpSaFRrSlZNREY0UkRWWmNVRRAB,5.0,这是一个码头，很小。我从华昌码头乘船来到这里，准备参观金光寺。出了码头，左转，朝着一座白色的桥走去。右边是一个大广场，鲜花盛开，广场上挂着泰国国王和王后的巨幅画像。桥虽然窄，但很漂亮，不算很古老。桥上有一座悲伤的妇人抱着儿子的雕像，还有一座僧人为男孩祈福的雕像。 过了桥，左边就是金光寺的大门。入口处有小贩在卖鲜榨果汁。我喝了一杯美味的橙汁，然后走了进去。,zh-CN,Fri Mar 20 2026 17:11:59 GMT-0700 (Pacific Daylight Time),NITIN KALE,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pKRU4wRlFRMHBDZWpSaFRrSlZNREY0UkRWWmNVRRAB!2m1!1s0x30e299159d251d2f:0x3cbc37593bf07f62
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,Ci9DQUlRQUNvZENodHljRjlvT214MlNteG1VM0JEYjBKUFMzVktOVVpEUTBkdmFrRRAB,4.0,干净、凉爽、快捷、准时 无需注册，即可使用万事达卡或维萨卡立即付款,zh-CN,Mon May 04 2026 16:57:42 GMT-0700 (Pacific Daylight Time),김혁,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT214MlNteG1VM0JEYjBKUFMzVktOVVpEUTBkdmFrRRAB!2m1!1s0x30e29919fee5699f:0x49721b91ed55336
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,ChZDSUhNMG9nS0VJQ0FnSUNubzR1VWJ3EAE,5.0,"Nice, clean, and well organize station. From this station. It is easy to access to Dinso road, Wang Burapa, China town, Wat Ratbopit, etc.",en,Sun Sep 29 2024 03:05:36 GMT-0700 (Pacific Daylight Time),AmyLoveMaToom,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUNubzR1VWJ3EAE!2m1!1s0x30e29919fee5699f:0x49721b91ed55336
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,ChZDSUhNMG9nS0VJQ0FnSUNuOFpmZWZBEAE,4.0,从这里到丁索，唐人街考山枪店、金匠铺、批发市场、服装纺织品街机游戏店，还有相机经销商……,zh-CN,Fri Sep 27 2024 00:47:18 GMT-0700 (Pacific Daylight Time),jonathan foo,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUNuOFpmZWZBEAE!2m1!1s0x30e29919fee5699f:0x49721b91ed55336
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,Ci9DQUlRQUNvZENodHljRjlvT2pkNVZIbGpaemhEYjBWZmJFRkpRbGhCV2xka1NsRRAB,5.0,金属城堡附近🤘（Wat Ratchanatda）,zh-CN,Tue Jul 28 2026 05:55:47 GMT-0700 (Pacific Daylight Time),PakkardB (PKJourneys),https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pkNVZIbGpaemhEYjBWZmJFRkpRbGhCV2xka1NsRRAB!2m1!1s0x30e29919fee5699f:0x49721b91ed55336
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,ChdDSUhNMG9nS0VQYXN5b1A4b00zYW1RRRAB,3.0,那位女保安人很好，检查行李时用的是长条扫描仪。但是男保安每次都坚持要我打开包，不管我打开有多困难。他们只是用手电筒照着我的包，根本不在乎。既然如此，为什么还要我打开呢？请调查一下，这真的很烦人。如果您有很多东西需要打开包，而且您不是要仔细检查，请使用扫描仪。,zh-CN,Fri May 16 2025 18:15:19 GMT-0700 (Pacific Daylight Time),jckmillxr,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VQYXN5b1A4b00zYW1RRRAB!2m1!1s0x30e29919fee5699f:0x49721b91ed55336
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,ChZDSUhNMG9nS0VJQ0FnSUNBOGZtOEZ3EAE,5.0,从这里乘坐53路红色公交车前往曼谷（华南蓬）火车站。由于这是环线公交车，您需要在终点站（机场停车场）下车，然后换乘下一班公交车继续前往曼谷火车站。 从机场快线帕亚泰站出发的503路黄色空调公交车也在此停靠。,zh-CN,Wed Mar 22 2017 01:41:56 GMT-0700 (Pacific Daylight Time),Warch Lenth,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUNBOGZtOEZ3EAE!2m1!1s0x30e29912e1f52f49:0x15d481a3f305ac2e
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,ChZDSUhNMG9nS0VJQ0FnSUNaazYyUGJBEAE,3.0,许多人在这里等公交车，无家可归的人也在等待慈善捐赠者的食物，但官方禁止在这里分发食物。许多妇女，大多是老年妇女，坐在树下等候。,zh-CN,Sun Sep 17 2023 05:00:24 GMT-0700 (Pacific Daylight Time),Naxeuak Studio ນາເຊືອກສະຕູດີໂອ,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUNaazYyUGJBEAE!2m1!1s0x30e29912e1f52f49:0x15d481a3f305ac2e
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,Ci9DQUlRQUNvZENodHljRjlvT25aM1JsQjJkaTFyYkZwR1VsRjBOVXh5ZVZORmEyYxAB,3.0,旅行者関係では南バスターミナル行きのNo.516、No556が停車する。,ja,Sun Jul 13 2025 01:31:42 GMT-0700 (Pacific Daylight Time),THAI SANPO FUJII,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT25aM1JsQjJkaTFyYkZwR1VsRjBOVXh5ZVZORmEyYxAB!2m1!1s0x30e29912e1f52f49:0x15d481a3f305ac2e
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,ChdDSUhNMG9nS0VJQ0FnSUR2clo2SjVnRRAB,4.0,很忙。但我估计以后会更忙。,zh-CN,Sun Dec 22 2024 16:15:27 GMT-0800 (Pacific Standard Time),Peter Ryan,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUR2clo2SjVnRRAB!2m1!1s0x30e29912e1f52f49:0x15d481a3f305ac2e
ChIJSS_14RKZ4jARLqwF86OB1BU,Khok Wua intersection,ChZDSUhNMG9nS0VJQ0FnSUNVdWFMMWRREAE,4.0,乘坐516路公交车到南航站楼，到达航站楼。,zh-CN,Sun Jul 28 2019 20:18:38 GMT-0700 (Pacific Daylight Time),YEJIN PARK,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUNVdWFMMWRREAE!2m1!1s0x30e29912e1f52f49:0x15d481a3f305ac2e
ChIJzfwMZT6Z4jARN3moaOkM4to,Opposite Wat Saket (Golden Mountain),Ci9DQUlRQUNvZENodHljRjlvT21Velkwc3hiRm90WDNocU9UQjZaR1kyTnpjMWMxRRAB,5.0,金山寺（Wat Saket）是一个绝佳的观景点，也是一次令人难忘的寺庙之旅。环绕着金色佛塔的顶层平台开阔而宁静，是驻足拍照、饱览曼谷全景的理想场所。佛塔本身近距离观赏也令人印象深刻，平台周围布置得井然有序，摆放着供奉用的小型桌子和装饰雕像。这里是吹拂微风、从不同角度欣赏城市美景的绝佳地点，尤其是在晴朗的日子里。建议穿着舒适的鞋子攀登，带上水，并放慢脚步，慢慢欣赏台阶。绝对值得列入您的曼谷一日游行程。,zh-CN,Fri Jan 23 2026 05:50:58 GMT-0800 (Pacific Standard Time),"Your Thai Guide Co,. Ltd.",https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21Velkwc3hiRm90WDNocU9UQjZaR1kyTnpjMWMxRRAB!2m1!1s0x30e2993e650cfccd:0xdae20ce968a87937
ChIJzfwMZT6Z4jARN3moaOkM4to,Opposite Wat Saket (Golden Mountain),ChdDSUhNMG9nS0VJQ0FnSUNQbU8yX2tRRRAB,4.0,我们碰巧去了普考通寺（Wat Phukhao Thong）的庙会。那里有很多摩托车停车位，而且管理得井井有条。摩托车停车费是20泰铢。我们从帕图皮路口（Pratu Phi）骑摩托车过来，过了桥，寺庙的小巷就在左边。拐进小巷后，发现有很多摩托车停车位。我们当时不知道汽车该停在哪里。继续往前走，巷子里有很多价格适中的小吃摊——不算太贵，但我们去的时候是晚上10点左右，所以很多摊位可能都卖完了。走到巷子尽头，右转就到了普考通寺。寺庙周围有很多小吃摊和各种活动，比如在金色的菩提叶上写下愿望贴在菩提树下、画小雕像、现场音乐表演、穴位按摩等等。我们希望明年还能看到这个庙会，因为它真的非常热闹。我们强烈推荐给外国人和泰国人。,zh-CN,Thu Nov 21 2024 00:21:43 GMT-0800 (Pacific Standard Time),Nutthawut choorenu,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNQbU8yX2tRRRAB!2m1!1s0x30e2993e650cfccd:0xdae20ce968a87937
ChIJzfwMZT6Z4jARN3moaOkM4to,Opposite Wat Saket (Golden Mountain),ChdDSUhNMG9nS0VJQ0FnSURONHVhVndRRRAB,5.0,普考通佛塔（Phu Khao Thong），又名帕博隆班波佛塔（Phra Borom Banphot），是一座位于77米高山顶的大型金色佛塔。它供奉着佛陀舍利，位于曼谷蓬帕萨特鲁派区（Pom Prap Sattru Phai）的萨克特拉查沃拉玛哈维汉寺（Wat Saket Ratchaworamahawihan）内。 普考通佛塔的历史可以追溯到阿瑜陀耶王朝晚期。帕萨通国王下令建造萨克特寺，并启动了普考通佛塔的建造，但他的去世使工程在完工前被迫中止。 拉玛三世国王统治时期，颂德昭披耶·博隆·玛哈·皮猜亚特（Somdet Chao Phraya Borom Maha Phichaiyat，又名塔布纳）被任命为监工，继续修建工程。但佛塔的设计也从一座塔（prang）改为一座山顶建有佛塔的山。该工程在拉玛四世国王统治时期竣工，并被命名为“苏万纳班波”（Suwannabhanphot，意为金山）。 普考通寺是泰国重要的圣地，深受佛教徒的尊崇。游客可以攀登397级台阶，瞻仰供奉在山顶的佛陀舍利。,zh-CN,Sat Jan 20 2024 20:33:37 GMT-0800 (Pacific Standard Time),Kiddee Channel,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSURONHVhVndRRRAB!2m1!1s0x30e2993e650cfccd:0xdae20ce968a87937
ChIJzfwMZT6Z4jARN3moaOkM4to,Opposite Wat Saket (Golden Mountain),ChZDSUhNMG9nS0VJQ0FnSURDNXJXT09nEAE,4.0,素贴寺（Wat Phra That Doi Suthep，又称金山寺）是必游之地，攀登至此，可瞻仰从印度迎请而来的圣物。从这里还能饱览拉达那哥欣岛的壮丽景色。每年十一月，寺庙都会举行盛大的红布披挂仪式。,zh-CN,Tue Jun 07 2022 06:18:22 GMT-0700 (Pacific Daylight Time),Pannathat Amaritthivanich (Mr.Donut),https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSURDNXJXT09nEAE!2m1!1s0x30e2993e650cfccd:0xdae20ce968a87937
ChIJzfwMZT6Z4jARN3moaOkM4to,Opposite Wat Saket (Golden Mountain),ChdDSUhNMG9nS0VJQ0FnSUNzem9mVF93RRAB,5.0,金山寺（Wat Saket / Phu Khao Thong）——曼谷永恒地标 金山寺（Wat Saket）是曼谷最美丽、最上镜的寺庙之一。它坐落于一座人工山丘（Phu Khao Thong）之上，攀登至顶峰需要付出一定的努力——超过300级台阶——但登顶后，您将获得360度全景视野，包括令人惊叹的日出日落美景。 悠久的历史 • 寺庙主体部分的历史可以追溯到阿瑜陀耶王朝时期，后在拉玛一世国王统治时期进行了修复。 • 标志性的“金山”最初是在拉玛三世国王时期建造的，但由于土壤松软，佛塔坍塌了——之后便任其自然生长，最终形成了一座小山。 • 拉玛四世国王时期，建造了一座较小的佛塔，拉玛五世国王后来完成了这座佛塔的建造，并供奉了一尊从斯里兰卡带来的佛舍利。 ￼ • 20 世纪 40 年代，为了稳固山体、防止侵蚀，人们修建了混凝土墙。 景点与体验 • 攀登过程中，您会经过一些设有钟楼和小神龛的平台。敲钟是当地常见的习俗，人们相信敲钟可以带来好运。￼ • 山顶矗立着一座金色的佛塔，在阳光下熠熠生辉。从这里，您可以饱览曼谷老城的壮丽景色，包括屋顶、寺庙和远处林立的摩天大楼。 • 寺庙建筑群还包括一座佛殿（祈祷大厅）、一座图书馆以及位于山脚的僧侣住所。 文化与精神意义 • 历史上，在 18 世纪末至 19 世纪初，金庙曾被用作霍乱疫情期间的火葬场。 • 每年 11 月，在水灯节期间，这里都会举办热闹非凡的寺庙集市。金色的佛塔被长长的红布包裹着，信徒们手持蜡烛，在烛光摇曳中列队攀登至塔顶。 • 这座寺庙被视为复兴与韧性的象征，在经历了数十年的荒废之后重获新生，成为一处精神圣地。 游客须知 • 最佳游览时间：清晨或傍晚——此时空气凉爽，光线柔和，是拍照的理想时机。 • 进入金山寺需支付门票（部分资料显示约为100泰铢）。 • 建议穿着舒适的鞋子——通往塔顶的台阶陡峭蜿蜒。 • 水灯节期间（11​​月），预计游客众多，气氛热闹非凡。 为何值得一游 攀登金山寺，仿佛置身于曼谷的喧嚣之外，进入一片宁静祥和的沉思之地。郁郁葱葱的植被、历史悠久的建筑、浓厚的宗教氛围以及壮丽的景色，使金山寺成为曼谷的必游之地。无论您是想拍摄精美照片、冥想静思，还是沉浸于泰国历史与传统之中，这里都能满足您的需求。 日文评论（适用于谷歌地图） 金山寺 (Wat Saket) 是曼谷最美丽的寺庙之一，也是必游之地。攀登至山顶的台阶略有挑战性，但绝对值得。到达山顶后，360 度全景尽收眼底，曼谷的壮丽景色令人叹为观止。 在这里，您可以欣赏日出日落，尤其傍晚的景色更是美不胜收。沿途有许多可以敲钟的地方和众多适合拍照的景点，因此非常推荐您悠闲地漫步登山。 寺庙本身拥有悠久的历史和宁静祥和的氛围，在曼谷市中心难得一见的静谧。这里是观光游览或寻求心灵平静的理想场所。 搜索（谷歌地图） 抱歉，我不确定。我想知道我想知道的，我等不及了，我等不及了，我简直欲罢不能。 360日元 360日元 360日元 360日元 **日落**和日出 我想知道，我想知道，我想知道，我想见你。 我想知道我在说什么，我想知道我在做什么。抱歉，我不确定。我想知道我想知道的。 我想知道我想说什么，我想知道我想知道的。 中文版评（适合发发异 Google Maps） 金山寺（Wat Saket，又名Wat Saket）是曼达尼山谷美丽寺庙群的第一部分。要到达金佛塔，必须攀登这座山，而且根据要求，必须全程攀爬梯子。 到达山顶后，可以360度全方位欣赏曼达尼山谷的壮丽景色，令人震撼。在这个村庄，日出日落，日落的景色美得让人忘却尘世。 一路上，一路充满祝福与恩典，也曾多次跌倒，每次登上山顶都让人感到无比伤感。这座寺庙历史悠久，环境清幽静谧，坐落在繁华的曼古城中心。 因此，你会将曼达尼工业与城市美景融为一体，而寺庙本身则是一个静谧的所在。,zh-CN,Fri Nov 21 2025 02:56:46 GMT-0800 (Pacific Standard Time),apichat suasawathee,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNzem9mVF93RRAB!2m1!1s0x30e2993e650cfccd:0xdae20ce968a87937
ChIJnwxKdj6Z4jARV2m_FKTC95I,Wat Saket (Golden Mountain),Ci9DQUlRQUNvZENodHljRjlvT2tkc05XUmpTSE5oWkdVd00yb3RlRTF3T1dseGJXYxAB,5.0,美极了。,zh-CN,Sat Nov 22 2025 01:55:00 GMT-0800 (Pacific Standard Time),jirawat mirage,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2tkc05XUmpTSE5oWkdVd00yb3RlRTF3T1dseGJXYxAB!2m1!1s0x30e2993e764a0c9f:0x92f7c2a414bf6957
ChIJnwxKdj6Z4jARV2m_FKTC95I,Wat Saket (Golden Mountain),Ci9DQUlRQUNvZENodHljRjlvT25Cc00yNXFkMjV4ZEdKWGVWaGZjMVJEVFhSelIzYxAB,5.0,风景优美，值得一游。,zh-CN,Mon Jun 01 2026 01:17:11 GMT-0700 (Pacific Daylight Time),พระเครื่องบ้านๆ ท้องถิ่น,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT25Cc00yNXFkMjV4ZEdKWGVWaGZjMVJEVFhSelIzYxAB!2m1!1s0x30e2993e764a0c9f:0x92f7c2a414bf6957
ChIJnwxKdj6Z4jARV2m_FKTC95I,Wat Saket (Golden Mountain),ChdDSUhNMG9nS0VJQ0FnSUNIX2FicGhRRRAB,5.0,阴凉但非常干净。非常好。,zh-CN,Sat Sep 07 2024 19:52:35 GMT-0700 (Pacific Daylight Time),Kridsana Suwankomonchai,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNIX2FicGhRRRAB!2m1!1s0x30e2993e764a0c9f:0x92f7c2a414bf6957
ChIJnwxKdj6Z4jARV2m_FKTC95I,Wat Saket (Golden Mountain),Ci9DQUlRQUNvZENodHljRjlvT210NFdtMDBOVjlGV1ZGdFUwWnpTalJyZWxwTWRWRRAB,5.0,在山顶上欣赏日落真是美极了。,zh-CN,Wed Dec 10 2025 22:43:34 GMT-0800 (Pacific Standard Time),Deepti Sapare,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT210NFdtMDBOVjlGV1ZGdFUwWnpTalJyZWxwTWRWRRAB!2m1!1s0x30e2993e764a0c9f:0x92f7c2a414bf6957
