Google地点ID,业务类别,地点名称,泰文名称,Google主要类型,主要类别,评分,评价数量,完整地址,纬度,经度,县区中文名,乡分区中文名,官方网站,设施与服务标签,Google地图链接
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,交通服务,MRT Sam Yot Station,MRT สามยอด,bus_stop,公交站,4.5,31,"泰国曼谷都会区 Phra Nakhon, 曼谷 Banglamphu",13.74709,100.501707,拍那空县,三王府区,,,https://maps.google.com/?cid=330770176604984118&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJzfwMZT6Z4jARN3moaOkM4to,交通服务,Opposite Wat Saket (Golden Mountain),ตรงข้ามวัดสระเกศ (ภูเขาทอง),bus_stop,公交站,4.7,85,"Khlong Maha Nak, Pom Prap Sattru Phai, Bangkok 10100",13.753256,100.509315,邦巴沙都拍县,班巴区,,有洗手间,https://maps.google.com/?cid=15772183041627683127&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ_zXgUxuZ4jARCW3D9CFVGHA,交通服务,Pak Klong Talad,ปากคลองตลาด,bus_stop,公交站,4.8,6,"泰国曼谷都会区 Phra Nakhon, 曼谷邮政编码: 10200",13.742275,100.496214,拍那空县,三王府区,,,https://maps.google.com/?cid=8077299536017714441&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJdfvm1z-Z4jARU3BvS7W6788,交通服务,Phan Fa Pier,,bus_stop,公交站,,,"泰国曼谷都会区 Pom Prap Sattru Phai, 曼谷 Banglamphu",13.7563,100.507145,邦巴沙都拍县,班巴区,,,https://maps.google.com/?cid=14983399773102370899&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJlbquxw2Z4jARGwd-bRMNF80,交通服务,Sanamluang (Opposite Supreme Court ),สนามหลวง (ตรงข้ามศาลฎีกา),bus_stop,公交站,4.4,14,"泰国曼谷都会区 Phra Nakhon, 曼谷邮政编码: 10200",13.75464,100.493881,拍那空县,大皇宫区,,,https://maps.google.com/?cid=14778295079332087579&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJj-h_7RyZ4jARmp_6PxPK1fY,交通服务,Saphan Phut Bus Station,,bus_stop,公交站,,,"泰国曼谷都会区 Phra Nakhon, 曼谷邮政编码: 10200",13.74016,100.497974,拍那空县,三王府区,,,https://maps.google.com/?cid=17786344487396220826&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJfxhJnhuZ4jARGIqpDLtARIM,交通服务,Suankularb Wittayalai School,โรงเรียนสวนกุหลาบวิทยาลัย,bus_stop,公交站,4.0,4,"泰国曼谷都会区 Phra Nakhon, 曼谷邮政编码: 10200",13.742947,100.498784,拍那空县,三王府区,,,https://maps.google.com/?cid=9458756289500383768&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJnwxKdj6Z4jARV2m_FKTC95I,交通服务,Wat Saket (Golden Mountain),วัดสระเกศ (ภูเขาทอง),bus_stop,公交站,4.5,22,"泰国曼谷都会区 Pom Prap Sattru Phai, 曼谷 Banglamphu",13.752813,100.509031,邦巴沙都拍县,班巴区,,有洗手间,https://maps.google.com/?cid=10590147058763524439&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJG5QTmBWZ4jARhL3_dvbWifQ,交通服务,Mahakan Fort Park,,ferry_terminal,渡轮码头,,,"泰国曼谷都会区 Phra Nakhon, 曼谷 Banglamphu",13.75508,100.50577,邦巴沙都拍县,班巴区,,,https://maps.google.com/?cid=17620851371110546820&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJLx0lnRWZ4jARYn_wO1k3vDw,交通服务,Panfa Leelard Pier,ท่าเรือผ่านฟ้าลีลาศ,ferry_terminal,渡轮码头,4.4,391,"Thanon Damrong Rak, Khwaeng Ban Bat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.755558,100.506391,邦巴沙都拍县,班巴区,,,https://maps.google.com/?cid=4376433794294513506&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJafXQjBCZ4jARjXDXgaoyzPE,交通服务,Helipad,,heliport,直升机停机坪,,,"PGW5+GJQ, Pom Prap, Pom Prap Sattru Phai, Bangkok 10100",13.74633,100.509107,邦巴沙都拍县,班巴区,,,https://maps.google.com/?cid=17423356766293815437&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJpYPZYwCZ4jARp3r3sj554vw,交通服务,"Bicycle parking, Saranrom Park",,parking,停车场,,,"PFXW+35M Phan Loha Fountain, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.747521,100.495379,拍那空县,三王府区,,,https://maps.google.com/?cid=18222260352491944615&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJBwUBJUOZ4jARu3Wh_ToX7VY,交通服务,U@Old Town Parking,,parking_garage,停车楼,,,"439 Mangkon Rd, Khwaeng Samphanthawong, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.742706,100.508767,三攀他旺县,差甲瓦區,,,https://maps.google.com/?cid=6263688198872987067&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJOanmBRiZ4jARarLqgnZsGig,交通服务,378 Worachak Rd Garage,,parking_lot,露天停车场,,,"378 Worachak Rd, แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10600",13.746458,100.506739,邦巴沙都拍县,班巴区,,,https://maps.google.com/?cid=2889741367169954410&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJWXRrIBqZ4jARVvGQ65aN6NU,交通服务,Buraphaphirom Palace,,parking_lot,露天停车场,,,"830-838 Soi Phiraphong, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung The, แขวงวังบูรพาภิรมย์ เขตพระนคร กรุงเทพมหานคร 10200",13.745803,100.50142,拍那空县,三王府区,,,https://maps.google.com/?cid=15413725404012278102&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJB6QFhkyZ4jARqHhaCl4a7-U,交通服务,Car parking I-Park,,parking_lot,露天停车场,,,"124 Khwaeng San Chao Pho Sua, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.753913,100.497839,拍那空县,虎神庙区,,,https://maps.google.com/?cid=16568490545322293416&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJb_Dl9VmZ4jARKHbc3P8JBpQ,交通服务,PDEV Parking Lot,,parking_lot,露天停车场,,,"วัด, 20 Dinso Rd, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.755709,100.501779,拍那空县,波稳尼威区,,,https://maps.google.com/?cid=10666223762000344616&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJD8QgvRmZ4jARygV2Yg2g9LM,交通服务,Ruam Thanu Thai Building,,parking_lot,露天停车场,,,"933 Maha Chai Rd, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.745239,100.502943,拍那空县,三王府区,,,https://maps.google.com/?cid=12967165206453421514&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJYTtIJBaZ4jARl8jinGBGJx4,交通服务,Trok Khrut car park,,parking_lot,露天停车场,,,"58/1 Thanon Burana Sat, Khwaeng San Chao Pho Sua, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.753655,100.496936,拍那空县,虎神庙区,,,https://maps.google.com/?cid=2172782725992466583&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ3VUSPgCZ4jARIiOOvnOxGd8,交通服务,ตลาดนัดคลองถมพัฒนา Klongthom Phatthana Flea Market,,parking_lot,露天停车场,,,"15 Chueng Charoen Phanit, Khwaeng Pom Prap, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.745653,100.506439,邦巴沙都拍县,Pom Prap,,,https://maps.google.com/?cid=16076075455552037666&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJhVtrKEyZ4jARVB6VJQcKDc8,交通服务,ตึกจอดรถสำเพ็ง,,parking_lot,露天停车场,,,"กาญจนทัตทาวเวอร์, 3085 Soi Phalit Phon, Khwaeng Chakkrawat, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.741764,100.507043,三攀他旺县,差甲瓦區,,,https://maps.google.com/?cid=14919592166359899732&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJTdWZ4bqZ4jARP-qTGQSNXJI,交通服务,ที่จอดรถ ถนนจักรเพชร,,parking_lot,露天停车场,,,"56/1-2 Chakkraphet Rd, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.742676,100.50084,三攀他旺县,差甲瓦區,,,https://maps.google.com/?cid=10546459476143368767&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJZzOEOQCZ4jAR755iigGu2E8,交通服务,ที่จอดรถตลาดยอดพิมาน,,parking_lot,露天停车场,,,"390/17 Chakkraphet Rd, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.740925,100.496094,拍那空县,三王府区,,,https://maps.google.com/?cid=5753539845605727983&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ3RSeK_aZ4jARJi0W_W7Nst8,交通服务,ที่จอดรถวัดเทพธิดาราม,,parking_lot,露天停车场,,,"QG33+67P ซอย วัดเทพธิดาราม Khwaeng Samran Rat, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.753092,100.503212,拍那空县,巴杜披,,,https://maps.google.com/?cid=16119171892888612134&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJgSmCRQCZ4jARQFpFMmE86hA,交通服务,ที่จอดรถใกล้สะพานเหล็ก,,parking_lot,露天停车场,,,"PGW2+8HJ สะพานเหล็ก, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Narathiwat 10200",13.745849,100.501396,拍那空县,三王府区,,,https://maps.google.com/?cid=1218853037310040640&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJIQuvEQCZ4jARUYzDzTxaf_w,交通服务,บริษัท ไซปวยคาร์ปาร์ค จำก้ด,,parking_lot,露天停车场,,,"284 1 Thanon Ti Thong, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.747707,100.499719,拍那空县,三王府区,,,https://maps.google.com/?cid=18194360236796775505&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJv-38xFuZ4jARZ0StoQtHu6M,交通服务,ลานจอดรถ,,parking_lot,露天停车场,,,"PGR3+VFF, Chakkrawat, Samphanthawong, Bangkok 10100",13.74218,100.503661,三攀他旺县,差甲瓦區,,,https://maps.google.com/?cid=11798101764109845607&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJw207LQCZ4jARgh_I3nfZfl8,交通服务,ลานจอดรถ​ ความสูง​ 2.9เมตร​,,parking_lot,露天停车场,,,"PFRW+PVM, Chakkraphet Rd, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.741866,100.497253,拍那空县,三王府区,,,https://maps.google.com/?cid=6881176389530689410&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJrSQ3eS2Z4jARt2-mvR65-Io,交通服务,อาคารจอดรถ ริบบอนเซ็นเตอร์ ชั่วโมงละ 50 บาท,,parking_lot,露天停车场,,,"308 Yaowarat Rd, Khwaeng Chakkrawat, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.741926,100.507092,三攀他旺县,差甲瓦區,,,https://maps.google.com/?cid=10013957313140256695&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJUYHLdACZ4jAR9jr1tWJMGUY,交通服务,อาคารจอดรถเฉลิมกรุงเซ็นเตอร์,,parking_lot,露天停车场,,,"PFXX+4R5, Wang Burapha Phirom, Phra Nakhon, Bangkok 10200",13.747764,100.499596,拍那空县,三王府区,,,https://maps.google.com/?cid=5051152443915975414&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJFf8Oll6Z4jARLA-BJ8i2gJg,交通服务,东南亚国际汽车博览中心,,parking_lot,露天停车场,,,"280 Soi Chaloem Khet 1, Khwaeng Bang Yi Ruea, Khet Thon Buri, Krung Thep Maha Nakhon 10600",13.750462,100.510025,邦巴沙都拍县,Wat Thep Sirin,,,https://maps.google.com/?cid=10988984061556494124&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJgYPi_BmZ4jARPG7NNfd20HA,交通服务,Sam Yot,,subway_station,地铁站,4.5,320,"泰国曼谷都会区 Phra Nakhon, 曼谷 Banglamphu",13.747201,100.502236,拍那空县,三王府区,https://www.mrta.co.th/,有洗手间|无障碍入口,https://maps.google.com/?cid=8129128131535400508&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJiYCpwwSZ4jARjrpuSYUGWos,交通服务,Sanam Chai,สถานีสนามไชย,subway_station,地铁站,4.7,434,"ไทย 普桥 ถนน พระปกเกล้า Khwaeng Somdet Chao Phraya, Khet Khlong San, Krung Thep Maha Nakhon 10600",13.743864,100.494661,拍那空县,三王府区,,有洗手间|无障碍入口|无障碍停车|无障碍洗手间,https://maps.google.com/?cid=10041345488708352654&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ5Vcp4BKZ4jARj5NkspWqO6U,交通服务,แยกคอกวัว,แยกคอกวัว,transit_station,交通枢纽,4.1,12,"泰国曼谷都会区 Phra Nakhon, 曼谷 Banglamphu",13.757298,100.49866,拍那空县,哒叻裕区,,,https://maps.google.com/?cid=11906297599803822991&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJwUxGV9GZ4jAR71XvYzuNuDU,交通服务,MRT SAMYOT SUBWAY STATION,,transportation_service,交通运输服务,,,"117, 3 Maha Chai Rd, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.747118,100.5021,拍那空县,三王府区,,,https://maps.google.com/?cid=3870999165944157679&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ0Wi1dGaZ4jARnCFmEflTTm8,交通服务,Sam Yot MRT station Exit 3,,transportation_service,交通运输服务,,,"111 Thanon Unakan, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.747131,100.50127,拍那空县,三王府区,,,https://maps.google.com/?cid=8020440315597300124&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
