审核行ID,证据序号,问题ID,图谱实体ID,目标实体类型,POI名称,行政区,小红书帖子ID,标题,作者,发布日期,URL,机器分流状态,分店或位置上下文命中,游客语境线索,攻略清单风险,商家营销风险,经营状态风险,疑似协同营销,近重复组ID,可用字段范围,待审核原文上下文,直接指向实体,分店确认,游客亲历,独立用户,可用体验断言,风险复核结论,目标字段,断言值,连续引文,审核决定,审核说明,审核人,审核时间
xhs-review-f8ed36b92af6e97a1a558452,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,6893414000000000230325b8,贵阳黔大叔大牌档,抹茶味儿蛋糕,2025-08-06,https://www.xiaohongshu.com/explore/6893414000000000230325b8?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"贵阳黔大叔大牌档
他家菜又更新了
还可以吧
不过罗锅的香肠居然不是黔五福
这个就很不贵阳菜啊
#贵阳[话题]# #走街串巷找美食[话题]# #贵阳吃喝玩乐[话题]# #贵阳旅游[话题]# #美食[话题]# #贵阳美食[话题]# #贵阳探店[话题]# #市井食探[话题]# #贵阳小吃[话题]# #炒菜[话题]#",,,,,,,,,,,,,
xhs-review-e2a5a2dd1933754bd75f00b9,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,68c67c87000000001d00f9f0,"贵阳,黔大叔大排档",哈哈,2025-09-14,https://www.xiaohongshu.com/explore/68c67c87000000001d00f9f0?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"贵阳,黔大叔大排档
图一的双椒鸡还不错,跟川菜的炒菜香一样,图二的招牌洞藏糟辣鱼很油,辣椒一点香味没有,全程只有一股油味,不好吃。西红柿拌米皮也一般,没啥香味。",,,,,,,,,,,,,
xhs-review-506cb305b97a005ca643e769,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,68c7bf8f000000001c03d3e7,黔大叔大排档(甲秀楼店),西北,2025-09-15,https://www.xiaohongshu.com/explore/68c7bf8f000000001c03d3e7?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"黔大叔大排档(甲秀楼店)
湘有湘菜,川有川菜
贵州有黔菜
这是一家专做黔菜的怀旧式餐馆
黔菜风味地道 服务态度很好 有自助水果
最主要的是那一口浓郁米汤 饮料也都特别特别好喝哦
本人和朋友去吃了第一次(恋恋不忘)
结果第二天 ,第三天还去了他家吃饭吃饭吃饭哈哈哈",,,,,,,,,,,,,
xhs-review-278bf67fc4561384f03257e8,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,68d6527f000000000702964d,#贵州旅游[话题]# #甲秀楼[话题]##黔派茶点[话题]##黔菜[话题]##黔,一只小咩咩,2025-09-26,https://www.xiaohongshu.com/explore/68d6527f000000000702964d?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"#贵州旅游[话题]# #甲秀楼[话题]##黔派茶点[话题]##黔菜[话题]##黔
#贵州旅游[话题]# #甲秀楼[话题]##黔派茶点[话题]##黔菜[话题]##黔大叔大排档[话题]#",,,,,,,,,,,,,
xhs-review-7cfca24efd613da28d128dc6,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,68d79f46000000001301e840,"贵阳人的早茶太会了吧!把山野味道包进茶点里
在甲秀楼旁挖到一家宝藏茶餐厅!
刺梨",三万次日落,2025-09-27,https://www.xiaohongshu.com/explore/68d79f46000000001301e840?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,是,是,是,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"金黄透亮裹着酥香排骨
刺梨的果酸完美中和了甜腻
咬开还有淡淡山野气息,本肉食星人直接光盘!
酸汤灌汤包
薄皮兜着满满酸辣汤汁!
红酸汤是老贵阳的味道
建议先开窗喝汤再吃肉,
小心烫到跳脚~搭配都匀毛尖茶超解腻!
吃完步行5分钟到甲秀楼!
傍晚的南明河波光粼粼
晚霞映着古建筑超有氛围感
这才是贵阳人慢悠悠的生活节奏呀~
黔大叔大牌档(甲秀楼店)
地铁1号线下护国路站B口步行800米
#贵阳美食[话题]# #黔派茶点[话题]# #甲秀楼攻略[话题]# #贵州必吃[话题]# #早茶文化[话题]# #贵阳探店[话题]# #本地人推荐[话题]# #小红书爆款美食[话题]#",,,,,,,,,,,,,
xhs-review-e85906ae344afffff422f935,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,68d95a54000000000e022bbe,#贵州旅游[话题]# #甲秀楼[话题]##黔派茶点[话题]##黔菜[话题]##黔,天,2025-09-28,https://www.xiaohongshu.com/explore/68d95a54000000000e022bbe?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"#贵州旅游[话题]# #甲秀楼[话题]##黔派茶点[话题]##黔菜[话题]##黔
#贵州旅游[话题]# #甲秀楼[话题]##黔派茶点[话题]##黔菜[话题]##黔大叔大排档[话题]#",,,,,,,,,,,,,
xhs-review-f888c6043f99b2eb2396cdaa,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,68d9f5c2000000001303673a,来贵阳旅游必打卡甲秀楼旁边这家黔大叔,是薇仔啊、,2025-09-29,https://www.xiaohongshu.com/explore/68d9f5c2000000001303673a?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"来贵阳旅游必打卡甲秀楼旁边这家黔大叔
#本地人都在吃[话题]# #地道特色美食[话题]# #本地人推荐美食[话题]# #当地人常来[话题]#",,,,,,,,,,,,,
xhs-review-bf9132370da52111f8ce619f,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,69022f9a0000000004029e14,"贵阳为了这碗粉,我愿意每天早起!",妙蛙种子,2025-10-29,https://www.xiaohongshu.com/explore/69022f9a0000000004029e14?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,是,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"丝恋丝娃娃》:一般般,到处都有。
《古良辰酸汤牛肉》(文昌阁店):这个是白酸汤,贵阳特色,也非常好吃!
《陈氏人家豆米火锅》:古良辰酸汤牛肉店隔壁,这个一般般,前面最好不要吃太快,多煮一会,后面那个汤泡米饭好吃~
《聚君缘烙锅》(中山东路店):这个也是特色,好吃! 可以尝一下推荐牛肉、五花肉、安顺烤小肠、还有黄耙~
《黔大叔大排档》(甲秀楼店):说是大排档,其实是贵阳菜,他们家那个牛肉好吃,米饭也好吃!
《江边渔村》(小十字店):68一位炒菜自助,贵阳菜,推荐汽锅虾和贵阳辣子鸡,这两个我点了两次,好吃!
《树厨》:一家商场里的贵阳菜,一般般。
《锦绣苗寨酸汤鱼酸汤牛肉》:在凯里,去苗寨前吃,这个是红酸汤,超级好吃! 本地人推荐的一家。贵阳那个很",,,,,,,,,,,,,
xhs-review-0a67338dd0307994f6450b87,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,6927f1d7000000001e0156a8,贵州怎么这么好吃库存-1,多喝热水不熬夜,2025-11-27,https://www.xiaohongshu.com/explore/6927f1d7000000001e0156a8?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,否,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"贵州怎么这么好吃库存-1
盲选了一家黔菜店,直接开盲盒(黔大叔大排档阿云朵仓店)

整体环境:装修风格简洁时尚,虽说大排档,内里属于明厨亮灶类型吧,是那种融合型排挡,可以喝茶喝酒吃饭。

所有菜品盲点,口味进行改良过,很适合我这种外地旅游的口味

青菜黄牛肉:这个菜真的好好吃,是我来贵州吃的口味调配最好的一家了,咸辣程度恰到好处,第一次吃青菜炒牛肉,味道一点不违和,青菜也没有青涩味,好吃

剑河",,,,,,,,,,,,,
xhs-review-4fb205d2b40c47537abb22c4,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,6958bd16000000001e02c0ca,元旦特种兵 | 贵阳浅吃10顿,充满疑问的一文,2026-01-03,https://www.xiaohongshu.com/explore/6958bd16000000001e02c0ca?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,是,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"元旦特种兵 | 贵阳浅吃10顿
安云董记牛肉粉(安云路店)
黔牛袁记砂锅黄焖牛肉火锅(原豆腐巷17年老店)
锅巴糍粑(路边)
肠旺面(路边)
333烧烤店(荔波人民广场美食街)
大头烤鸡(国际城店)
豆腐圆子(油榨街路边)
角角烙锅
玉珍豆米豆豉火锅(八鸽岩店)
QUANTIC ESPRESSO COFFEE
黔大叔大牌档(甲秀楼店)

#贵阳[话题]# #美食特种兵[话题]# #美食特种兵[话题]# #贵阳美食[话题]#",,,,,,,,,,,,,
xhs-review-dba1e272dbcd3a1678678254,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,69aa35140000000022039216,这次来贵阳真的是没意识到问题的严重性,陈大漂亮,2026-03-06,https://www.xiaohongshu.com/explore/69aa35140000000022039216?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"这次来贵阳真的是没意识到问题的严重性
第3,4次来贵阳了,在#黔大叔大排档[话题]# 最不好吃的时候吃了,前面好几次在#黔诚[话题]# 楼下路过爆满,当时别人都说好吃,我们没吃,这次在生意清淡的时候吃了,真的全是冷冷的预制菜...去了#民生路[话题]# 吃以前那家烙锅,衣服被空调水淋湿,好在老板送去干洗 河虾还是很好吃...每次来贵阳都是为了酸汤牛肉#贵厨[话题]# 怎么吃都好吃,品质一如既",,,,,,,,,,,,,
xhs-review-8bc737aea29f76415e7a11f1,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,69f186bf000000002301e189,"#黔大叔[话题]#
#美食特种兵[话题]# #吃香的喝辣的[话题]# #跟本地人",是不是尼采,2026-04-29,https://www.xiaohongshu.com/explore/69f186bf000000002301e189?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"#黔大叔[话题]#
#美食特种兵[话题]# #吃香的喝辣的[话题]# #跟本地人
#黔大叔[话题]#
#美食特种兵[话题]# #吃香的喝辣的[话题]# #跟本地人吃就对了[话题]# #江湖菜[话题]# #本地人带你吃[话题]#",,,,,,,,,,,,,
xhs-review-6ee530a98c6f16605434c56a,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,6a3ea2b500000000060217a5,我可太喜欢黔大叔大排档了~,蚀日风暴,2026-06-27,https://www.xiaohongshu.com/explore/6a3ea2b500000000060217a5?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"我可太喜欢黔大叔大排档了~
#我是美食活地图[话题]# #本地人带你吃[话题]# #美食新地标[话题]# #贵阳美食[话题]# #贵阳旅游[话题]# #贵阳探店[话题]# #宫爆板筋[话题]# #贵阳特色菜[话题]# #市井风餐厅[话题]#",,,,,,,,,,,,,
xhs-review-2cd0a6deabd8d6364a681e56,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,6a59cfef000000001002aff7,黔大叔大排档(阿云朵仓店),Sunny🌈,2026-07-17,https://www.xiaohongshu.com/explore/6a59cfef000000001002aff7?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"吃
2黔北双椒鸡,好吃,喜欢麻辣可以冲!外地人不能吃麻吃辣的慎点
3仔姜泡椒脆鱼肚,辣,但是很好吃,喜欢并且能吃辣的一定要点
4腊肉炒笋,腊肉油香油香的,嘎嘎炫饭
5卤味拼盘也不错,
6烧椒皮蛋,配个凉菜很不错,好吃
7西红柿拌米皮,这个是清淡的,不辣,很好吃,也是贵州特色
最后,我觉得可以二刷,他家在甲秀楼也有店
#黔大叔大牌档[话题]# #贵州菜[话题]#",,,,,,,,,,,,,
xhs-review-9c6e6d9a1f95e23f8ea6b1a7,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,6a60e6ea000000000100fe3f,黔大叔大排档 双椒鸡每次必点,小方同学,2026-07-22,https://www.xiaohongshu.com/explore/6a60e6ea000000000100fe3f?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"黔大叔大排档 双椒鸡每次必点
双椒鸡,辣辣的,香香的。好吃好吃!
#素瓜豆汤[话题]# 配上胡辣椒蘸水,大部分贵州人夏天特爱(我个人喜好上一般般)
#凉拌米皮[话题]# ,味道刚刚好
#炸洋芋粑粑[话题]# 配#辣椒面[话题]# 好吃好吃

#贵阳美食[话题]# #贵阳小吃[话题]##贵阳旅游[话题]# #黔大叔大排档[话题]# ",,,,,,,,,,,,,
xhs-review-05f5b16e59e12f3d0d378c9c,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,6a70a6a50000000025005af8,"贵阳正宗黔菜,本地人疯狂安利的美食!",薄荷🍃,2026-08-05,https://www.xiaohongshu.com/explore/6a70a6a50000000025005af8?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,是,是,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"雷特意问了贵阳本地同学,
她直接让我别乱找,
去黔大叔吃就对了

菜量足、味道正、价格亲民,
都是家常黔菜味。洞藏糟辣鱼、
贵阳辣子鸡、回锅肉、豆花
每道都下饭! 还有西瓜冰饮和
芒果甜品,清爽解辣!

来贵阳旅游的朋友可直接收藏,
省得做一堆攻略还踩雷

#贵阳美食[话题]##贵阳必吃[话题]##贵阳旅游[话题]##黔大叔大牌档[话题]##贵阳黔菜推荐[话题]##好好周末计划[话题]##一种很新的旅行记录方式[话题]##一个人的旅行[话题]##美食掌门人[话题]##我的充能小店[话题]#",,,,,,,,,,,,,
