酒店ID,政策ID,政策分组,政策分类,政策名称,政策内容,排序,来源URL
100344790,policy_b83c197d52de6e0d0d44,酒店政策,接待提示,年龄限制,入住办理人需年满18岁,4,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100344790&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100344790,policy_fcbe1977f6e1ff93a598,酒店政策,宠物,政策说明,不可携带宠物,5,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100344790&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100344790,policy_67892bef852d8d31eceb,酒店政策,服务型动物,政策说明,不可携带服务型动物,6,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100344790&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100344790,policy_aa0fcf0683b014b6c0e5,酒店政策,收费说明,政策说明,住宿方不收取押金,7,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100344790&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100344790,policy_e98fecea66bd08730bd5,酒店政策,儿童及加床,婴儿床及加床政策,欢迎携带儿童入住,8,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100344790&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100474915,policy_e7e28e32217e94a76644,酒店政策,入离时间,入住时间,入住时间： 14:00后 退房时间： 12:00前,1,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100474915&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100474915,policy_07cae71a44abcf1ed189,酒店政策,预订提示,政策说明,订单需等酒店或供应商确认后生效，订单确认结果以平台短信、邮件或app通知为准。,2,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100474915&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100474915,policy_f19196705012ac327806,酒店政策,入住提示,前台服务,前台营业时间：24小时营业,3,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100474915&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100474915,policy_a38b5a835fb3d4a4c168,酒店政策,接待提示,年龄限制,入住办理人需年满18岁,4,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100474915&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100474915,policy_017df43554f31d2deb6c,酒店政策,宠物,政策说明,不可携带宠物,5,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100474915&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100474915,policy_50bb5d94de94981e3b9b,酒店政策,服务型动物,政策说明,不可携带服务型动物,6,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100474915&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100474915,policy_c06bde610b1b44f9e8e7,酒店政策,早餐,政策说明,酒店不提供早餐,7,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100474915&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100474915,policy_ca3754d163e73b09005f,酒店政策,收费说明,政策说明,住宿方不收取押金,8,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100474915&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100474915,policy_ae92c6cf92b386b9081c,酒店政策,儿童及加床,婴儿床及加床政策,欢迎携带儿童入住,9,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100474915&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100811418,policy_d21359bf13a98a5a22f1,酒店政策,入离时间,入住时间,入住时间： 14:00后 退房时间： 12:00前,1,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100811418&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100811418,policy_af9c5c86ed52e934b449,酒店政策,预订提示,政策说明,订单需等酒店或供应商确认后生效，订单确认结果以平台短信、邮件或app通知为准。,2,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100811418&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100811418,policy_4377c970d73c8cc010ae,酒店政策,入住提示,入住方式,房东或员工会迎接住客以办理入住,3,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100811418&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100811418,policy_584d819283405d80c166,酒店政策,接待提示,年龄限制,入住办理人需年满18岁,4,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100811418&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100811418,policy_650951230f72b6e8faf0,酒店政策,宠物,政策说明,不可携带宠物,5,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100811418&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100811418,policy_4da63bbbd927cba34b19,酒店政策,早餐,类型,类型：自助餐,6,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100811418&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100811418,policy_39aa745fbafb6bdf06f6,酒店政策,收费说明,政策说明,"押金收取方式：固定收取THB 3,000（约¥611.41）。",7,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100811418&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100811418,policy_448b90a16c6d2e2122bb,酒店政策,儿童及加床,婴儿床及加床政策,欢迎携带儿童入住,8,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100811418&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100911424,policy_0a08c20f8eebba26aa61,酒店政策,入离时间,入住时间,入住时间： 14:00后 退房时间： 12:00前,1,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100911424&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100911424,policy_7a3dd52c11c6c743623b,酒店政策,预订提示,政策说明,订单需等酒店或供应商确认后生效，订单确认结果以平台短信、邮件或app通知为准。,2,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100911424&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100911424,policy_e716fb11f5549976a13e,酒店政策,入住提示,提前联系,预订后，请提前联系酒店。同时酒店需要您额外提供航班信息、入住时间,3,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100911424&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100911424,policy_385561791da44d5e8fb0,酒店政策,接待提示,年龄限制,入住办理人无年龄限制,4,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100911424&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100911424,policy_ea184be2680e15ac058c,酒店政策,宠物,政策说明,不可携带宠物,5,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100911424&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100911424,policy_715715535005db7872fd,酒店政策,早餐,类型 1：自助餐,酒店提供2种类型的早餐可额外购买。,6,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100911424&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100911424,policy_684f8a15d98aa9f961a1,酒店政策,收费说明,政策说明,"押金收取方式：押金的收取金额取决于您的预订天数，每天收费THB 1,000（约¥203.93）。",7,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100911424&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100911424,policy_dbec3462955ef43a82a4,酒店政策,儿童及加床,婴儿床及加床政策,欢迎携带儿童入住,8,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100911424&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
101005795,policy_20912820b43f1e423f7d,酒店政策,入离时间,入住时间,入住时间： 14:00后 退房时间： 12:00前,1,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101005795&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
101005795,policy_0776ed4c966706e93edc,酒店政策,预订提示,政策说明,订单需等酒店或供应商确认后生效，订单确认结果以平台短信、邮件或app通知为准。,2,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101005795&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
101005795,policy_35df2229a25c501bbaf2,酒店政策,入住提示,前台服务,前台营业时间：24小时营业,3,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101005795&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
101005795,policy_4e98de263f94ecdd045a,酒店政策,接待提示,年龄限制,入住办理人需年满18岁,4,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101005795&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
101005795,policy_a2b3238cd3af43a3196a,酒店政策,宠物,政策说明,不可携带宠物,5,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101005795&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
101005795,policy_ab67b61f8fe7da9ea410,酒店政策,服务型动物,政策说明,不可携带服务型动物,6,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101005795&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
101005795,policy_e8ca228f2e5572728817,酒店政策,早餐,类型,类型：自助餐,7,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101005795&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
101005795,policy_d33cf3d47060385b3df9,酒店政策,收费说明,政策说明,"押金收取方式：固定收取THB 1,000（约¥203.93）。",8,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101005795&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
101005795,policy_1be89d578738820e236b,酒店政策,儿童及加床,婴儿床及加床政策,欢迎携带儿童入住,9,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101005795&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1011479,policy_6d6bb76d36ff22164663,酒店政策,入离时间,入住时间,入住时间： 14:00后 退房时间： 12:00前,1,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1011479&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1011479,policy_1dab66d29821aa855fde,酒店政策,预订提示,政策说明,订单需等酒店或供应商确认后生效，订单确认结果以平台短信、邮件或app通知为准。,2,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1011479&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1011479,policy_bcc0b14cf1a4fd4ad94d,酒店政策,入住提示,前台服务,前台营业时间：24小时营业,3,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1011479&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1011479,policy_059c12dfc463f78eff4a,酒店政策,接待提示,年龄限制,入住办理人需年满18岁,4,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1011479&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1011479,policy_971910a4f860b1334d4a,酒店政策,宠物,政策说明,不可携带宠物,5,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1011479&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1011479,policy_7ce4db5d86801cf6a464,酒店政策,早餐,类型,类型：固定套餐,6,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1011479&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1011479,policy_cbdaf82b72cee3283f01,酒店政策,收费说明,政策说明,住宿方不收取押金,7,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1011479&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
1011479,policy_30778fb8b185bc67232a,酒店政策,儿童及加床,婴儿床及加床政策,欢迎携带儿童入住,8,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1011479&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10116850,policy_0e5c27a92d259e2a5416,酒店政策,入离时间,入住时间,入住时间： 14:00后 退房时间： 12:00前,1,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10116850&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10116850,policy_92771b9ff295978acf86,酒店政策,预订提示,政策说明,订单需等酒店或供应商确认后生效，订单确认结果以平台短信、邮件或app通知为准。,2,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10116850&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10116850,policy_cdd14e7ec40163fafb04,酒店政策,入住提示,入住方式,密码入住，请预订后联系酒店确认,3,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10116850&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10116850,policy_6f1d482321b93c26c028,酒店政策,接待提示,年龄限制,入住办理人需年满18岁,4,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10116850&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10116850,policy_20f248438d865ea2955c,酒店政策,宠物,政策说明,不可携带宠物,5,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10116850&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10116850,policy_e7c94b28fa2a1bca09c3,酒店政策,服务型动物,政策说明,不可携带服务型动物,6,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10116850&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10116850,policy_66ff73898c6ad8ddf65f,酒店政策,早餐,政策说明,酒店不提供早餐,7,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10116850&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10116850,policy_fb349f493e68a383d670,酒店政策,儿童及加床,婴儿床及加床政策,欢迎携带儿童入住,8,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10116850&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
101175495,policy_d5f990a586d8d4eaa6dd,酒店政策,入离时间,入住时间,入住时间： 14:00后 退房时间： 11:00至12:00,1,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101175495&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
101175495,policy_dcf5b6e399990d4c0b6b,酒店政策,预订提示,政策说明,订单需等酒店或供应商确认后生效，订单确认结果以平台短信、邮件或app通知为准。,2,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101175495&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
101175495,policy_4ae729a7d41f43338ea3,酒店政策,入住提示,前台服务,前台营业时间：24小时营业,3,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101175495&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
101175495,policy_279fa9535c1aba47e3c4,酒店政策,接待提示,年龄限制,入住办理人需年满18岁,4,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101175495&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
101175495,policy_93dd4129dfdfcfe092f0,酒店政策,宠物,政策说明,不可携带宠物,5,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101175495&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
