清单序号,酒店ID,酒店名称,采集状态,缺失模块,房型数量,售卖方案数量,原因代码,原因说明,待补采,补采状态,记录时间,入住日期,离店日期,详情URL
635,105314847,SILQ,部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 02:00:50,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=105314847&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
207,105826915,曼谷素坤逸怡思得酒店(INNSiDE by Meliá Bangkok Sukhumvit),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:06:20,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=105826915&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
272,106225990,昂查里纳大酒店(Aunchaleena Grand Hotel),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:35:05,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=106225990&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
307,106274653,曼谷斯佩克酒店(Speck Bangkok),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:52:13,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=106274653&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
509,1068597,素坤逸S33精品酒店(S33 Compact Sukhumvit Hotel),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-01 02:46:36,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1068597&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
558,108803350,曼谷加住酒店(Stay Plus Hotel Bangkok),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-01 03:02:40,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=108803350&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
344,109170295,PhromPhong-遇见太空舱(Met A Space Pod @Phrom Phong),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 22:07:50,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=109170295&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
279,110705493,曼谷雪儿旅馆(Cher Hostel Bangkok),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:37:22,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=110705493&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
493,111797086,席娜卡琳迪亚酒店(Diya Hotel Bangkok),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-01 02:40:59,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=111797086&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
330,111799374,沙吞14酒店(14 Sathorn Hotel),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 22:02:48,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=111799374&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
422,11231104,森萨提恩公寓式酒店(Zensation The Residence),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 22:41:22,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=11231104&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
220,112337671,"曼谷湄南河十六百酒店-雅诗阁旗下(Ten Six Hundred, Chao Phraya, Bangkok by Preference)",部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:10:52,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=112337671&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
504,112491201,UHG拉差贴威四分之一酒店(The Quarter Ratchathewi by UHG),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-01 02:45:10,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=112491201&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
495,112626444,曼谷素万那普机场万豪万怡酒店(Courtyard by Marriott Bangkok Suvarnabhumi Airport),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-01 02:41:33,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=112626444&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
374,112806607,曼谷素坤逸15巷萨码拉酒店 -泰国金士顿酒店集团(Samala Bangkok Sukhumvit 15 by Kingston Hotels),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 22:20:12,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=112806607&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
300,112811119,苏拉翁塞格兰德中心大酒店(Grande Centre Point Surawong),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:47:52,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=112811119&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
195,112856656,曼谷沙吞11号贝斯特韦斯特酒店(Best Western Click Sathorn 11 Bangkok),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:01:02,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=112856656&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
658,112950210,曼谷素坤逸 13 号花庭酒店公寓(Floral Court Hotel & Residence Sukhumvit 13),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 02:07:39,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=112950210&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
557,113408029,德博坦班纳(De Botan Bangna),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-01 03:02:25,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=113408029&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
631,114057699,曼谷摩尔酒店(MO Hotel Bangkok),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 01:59:38,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114057699&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
621,114329911,曼谷诺恩河畔酒店(Norn Riverside Bangkok Hotel),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 01:57:05,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114329911&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
361,114493400,Prom酒店附楼2号(泰国文化中心站)(Prom Thailand Cultural Centre Hotel Annex 2),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 22:13:59,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114493400&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
601,114543500,相铁格兰弗雷萨酒店-曼谷(Sotetsu Grand Fresa Bangkok),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 01:51:47,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114543500&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
598,114597216,梅森酒店曼谷(Maison Hotel Bangkok),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 01:51:20,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114597216&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
610,114651663,"曼谷素坤逸101万豪行政公寓(Marriott Executive Apartments Bangkok, Sukhumvit 101)",部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 01:54:01,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114651663&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
241,114651682,"曼谷素坤逸50万豪行政公寓(Marriott Executive Apartments Bangkok, Sukhumvit 50)",部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:22:29,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114651682&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
624,114665902,曼谷Moochi Relax L'Assommoir(Moochi Relax Lassommoir),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 01:57:32,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114665902&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
263,114721466,C'HOUSE 曼谷(C'house Bangkok),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:30:46,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114721466&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
246,114844024,禅师酒店(Zen Master Hotel),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:23:59,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114844024&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
250,114940825,沙吞萨安酒店(Saan Hotel Sathorn),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:26:41,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114940825&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
285,114988143,安普拉无界栖慢青旅(Unplugged at Bangrak & Silom Design Hostel),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:39:51,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114988143&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
226,11540564,曼谷素坤逸暹罗塔拉多尔酒店(Siam Tharadol Hotel Sukhumvit),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:16:42,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=11540564&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
335,115730632,曼谷深圳大厦酒店(SZ Canalside Hotel),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 22:05:00,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=115730632&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
358,115832249,太空站旅舍(Space Station Hostel),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 22:13:05,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=115832249&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
649,117149724,曼谷亚历山大酒店(Alexander Hotel Bangkok),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 02:04:05,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=117149724&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
234,117671626,雪莉曼谷精品酒店(Cherie Bangkok Boutique Hotel),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:20:23,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=117671626&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
218,117719146,UHG四分之一拉查于丁酒店(The Quarter Ratchayothin by UHG),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:10:11,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=117719146&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
648,118879141,帕勒特曼谷酒店 - 晚上10点后自助入住(The Palette Bangkok Hotel - Self Check-in after 10 pm),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 02:03:54,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=118879141&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
243,118985197,曼谷巢穴(步行 3 分钟即可到达 ICON SIAM Iconsiam 购物中心)(The Lair Bangkok - 3 mins walk to ICON SIAM),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:23:08,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=118985197&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
336,119252791,瓦拉亚传统住宿酒店(Wallaya Heritage Stay),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 22:05:21,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=119252791&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
494,119352270,恩瑞奇大酒店(Enrich Grand Hotel),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-01 02:41:17,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=119352270&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
689,120171671,舒适廊曼酒店(Cozy Donmueang Hotel),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 02:14:32,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=120171671&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
304,120410851,曼谷莫吉廊曼机场酒店(Moji Don Mueang Airport Hotel - Bangkok),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:49:27,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=120410851&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
538,120440200,卡斯特尔曼谷酒店(Kastel Bangkok Hotel),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-01 02:55:54,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=120440200&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
522,120781130,包裹酒店曼谷(Parcel Hotel Bangkok),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-01 02:51:25,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=120781130&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
198,121173525,美莉V民宿(Merry V. Guesthouse),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:01:52,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=121173525&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
691,12143984,素坤逸 6 巷希鲁斯套房 - 康帕斯酒店集团(Citrus Suites Sukhumvit 6 by Compass Hospitality),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 02:14:54,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=12143984&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
574,121671207,西铁城酒店克鲁姆曼谷席隆(Nishitetsu Hotel Croom Bangkok Silom),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 01:34:15,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=121671207&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
