酒店ID,图片ID,图片类型,房型ID,房型名称,点评ID,图片序号,图片URL,来源URL
10019235,network_img_66761404264826718c1a,酒店展示图,,,,43,https://ak-d.tripcdn.com/images/1mc2812000aihi7qjF6E2_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_1b67b79e4e8b80b9a073,酒店展示图,,,,49,https://ak-d.tripcdn.com/images/1mc0c12000aihjzaj03DE_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_136ff0ef6b2e0845e2f0,酒店展示图,,,,55,https://ak-d.tripcdn.com/images/1mc1812000aihjzak3E75_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_8b24f5379f65e60cb7a8,酒店展示图,,,,61,https://ak-d.tripcdn.com/images/1mc6g12000aipgjt3BC80_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_d5101d436a4de56e301a,酒店展示图,,,,67,https://ak-d.tripcdn.com/images/0226c120009u15v26AEA9_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_6bcb6365b5c61002faa3,酒店展示图,,,,73,https://ak-d.tripcdn.com/images/0225o12000a10p2bgDF2C_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_5e572fe2f4548068831d,酒店展示图,,,,79,https://ak-d.tripcdn.com/images/0225v1200090xa2hz021A_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_82d5318444ea43c9e84a,酒店展示图,,,,85,https://ak-d.tripcdn.com/images/0224a1200090xa2p21E60_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_98ab6e4cb5c2cf915377,酒店展示图,,,,91,https://ak-d.tripcdn.com/images/0227312000a75plrtBA78_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_25cb9fbfaa3cf147aaa5,酒店展示图,,,,115,https://ak-d.tripcdn.com/images/0583j12000spaom367DBB_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_49b08fb2bd375a40dfff,酒店展示图,,,,121,https://ak-d.tripcdn.com/images/1mc4112000ay473lh6517_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_7b99d96f46136e26d530,酒店展示图,,,,127,https://ak-d.tripcdn.com/images/1mc6s12000fa1kzmyDD15_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_5375b0cd5ff2e68f7450,酒店展示图,,,,133,https://ak-d.tripcdn.com/images/0584a12000snuctnf0F50_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_df88d69241632d056768,酒店展示图,,,,139,https://ak-d.tripcdn.com/images/0582j12000soohmwkB6D2_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_845aa3aa5c120a9da0f3,酒店展示图,,,,145,https://ak-d.tripcdn.com/images/0226p12000k2kjh8y577F_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_cac1095ca2b0284c9b4a,酒店展示图,,,,151,https://ak-d.tripcdn.com/images/0220x12000k2kjel35477_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_4b956966abc304bc8e21,酒店展示图,,,,157,https://ak-d.tripcdn.com/images/0220s12000dryr85zF755_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_8278479ee0fd7395dcda,酒店展示图,,,,163,https://ak-d.tripcdn.com/images/0582t12000sh9vzzxD3F5_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_ddf899fd658c77173587,酒店展示图,,,,169,https://ak-d.tripcdn.com/images/0586412000sha3yy7A4F4_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_4164d198370297a1c49f,酒店展示图,,,,175,https://ak-d.tripcdn.com/images/0582b12000sp9gxan3398_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_e63126acc6dc9d433dae,酒店展示图,,,,181,https://ak-d.tripcdn.com/images/0582h12000sowsqgg19BB_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_4c4c9b92e4b0ffec96d7,酒店展示图,,,,187,https://ak-d.tripcdn.com/images/1mc6y12000fa1w0oi9679_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_9f9a5906c5657b860bb3,酒店展示图,,,,193,https://ak-d.tripcdn.com/images/1mc5a12000fa22al78F25_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_f3605376b4499492e7ce,酒店展示图,,,,199,https://ak-d.tripcdn.com/images/0222r12000k2kj69wDB0E_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_627fb5cd6407b0c5e66c,酒店展示图,,,,205,https://ak-d.tripcdn.com/images/0224312000k2kjglq42E1_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_ed308264deae269cf256,酒店展示图,,,,211,https://ak-d.tripcdn.com/images/0581w12000o4gjt4uF080_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_55cb8561090b72bf17e8,酒店展示图,,,,217,https://ak-d.tripcdn.com/images/0585p12000o4hdf8d9BB8_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_bfe35f261669a273308f,酒店展示图,,,,223,https://ak-d.tripcdn.com/images/1mc1j12000at56w887DCF_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_59d46e46177d9580da53,酒店展示图,,,,229,https://ak-d.tripcdn.com/images/0581c12000sp67cjz38E4_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_ae88d71c59d7c1203e22,酒店展示图,,,,235,https://ak-d.tripcdn.com/images/1mc4g12000fa1uzoe7F60_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_8a38124998e1e93df9d3,酒店展示图,,,,241,https://ak-d.tripcdn.com/images/0582l12000smdletbA77E_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_c37ab69aff61dce89ee3,酒店展示图,,,,247,https://ak-d.tripcdn.com/images/0581w12000sh9gh385964_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_1e7abc0739c967cfa90f,酒店展示图,,,,253,https://ak-d.tripcdn.com/images/0221512000dq84ua14E66_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_e8603822c06c47581255,酒店展示图,,,,259,https://ak-d.tripcdn.com/images/0582u12000som3lt1FF56_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_5d32a75a9f0493562e86,酒店展示图,,,,265,https://ak-d.tripcdn.com/images/0224h12000k2kjdnv6CBE_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_d5fcef84cae42116960b,酒店展示图,,,,271,https://ak-d.tripcdn.com/images/0583i12000smw2zlh9006_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_ef07b99243f78c036b6e,酒店展示图,,,,289,https://ak-d.tripcdn.com/images/1mc4812000aihjrp51294_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_efa05d0f27d323025769,酒店展示图,,,,301,https://ak-d.tripcdn.com/images/0226l12000a75pric7C13_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_d46c476dbb7957bd7b60,酒店展示图,,,,307,https://ak-d.tripcdn.com/images/220i0n000000eh2dk383F_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_518f481747cee5f10e55,酒店展示图,,,,313,https://ak-d.tripcdn.com/images/220k0n000000em93p41A5_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_0ec5b1c4cec38736b911,酒店展示图,,,,319,https://ak-d.tripcdn.com/images/0222512000a75pri7F77A_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_070761334ab454fcc9aa,酒店展示图,,,,325,https://ak-d.tripcdn.com/images/0223d12000a75poyd8A85_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_ea5812e828788e1a7d52,酒店展示图,,,,331,https://ak-d.tripcdn.com/images/0225d12000a75pshb1505_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_d27aa24952b3072a8af4,酒店展示图,,,,337,https://ak-d.tripcdn.com/images/0221o12000a75pol7621F_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_3c5411eef64437687deb,酒店展示图,,,,343,https://ak-d.tripcdn.com/images/0585u12000sp8o87b57FC_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_2e43df26b3ce8ef28838,酒店展示图,,,,349,https://ak-d.tripcdn.com/images/0225c120008afui4zEF4B_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_380a27453766c525cb11,酒店展示图,,,,373,https://ak-d.tripcdn.com/images/1mc3p12000aihm6t22F62_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_5af1bff3b13a80c68833,酒店展示图,,,,379,https://ak-d.tripcdn.com/images/0226e1200090x9vjy1D0B_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_9b8ba46e3228c0334d80,酒店展示图,,,,385,https://ak-d.tripcdn.com/images/1mc3m12000aihm8x2FE0D_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_68e1463b340bc39ab675,酒店展示图,,,,391,https://ak-d.tripcdn.com/images/1mc3f12000aihmdj0ACE2_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_f34040fab0b49409fd87,酒店展示图,,,,409,https://ak-d.tripcdn.com/images/0220t12000a1ya9s5E742_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_3696206a7607414e8ba2,酒店展示图,,,,415,https://ak-d.tripcdn.com/images/0225j1200090xa5buB070_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_51512180e5ce1d984064,酒店展示图,,,,421,https://ak-d.tripcdn.com/images/0223q1200090xa7cdED44_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_ed90514bebbac2a86074,酒店展示图,,,,427,https://ak-d.tripcdn.com/images/0223p1200090xa4ez5B45_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_a8da99dc128600fd9d11,酒店展示图,,,,439,https://ak-d.tripcdn.com/images/022291200090x9ykc90F3_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_a3a02cdb65ed125fc31d,酒店展示图,,,,445,https://ak-d.tripcdn.com/images/022371200090x9xhf9E22_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_893e55091c92fe711324,酒店展示图,,,,451,https://ak-d.tripcdn.com/images/0226112000b708lwd3B3F_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_357fcba8c874af3a8ded,酒店展示图,,,,457,https://ak-d.tripcdn.com/images/0223g12000aqgqlgk67AE_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_12e2ad0eb06accf61b9c,酒店展示图,,,,463,https://ak-d.tripcdn.com/images/0221q12000aqgqhaxB788_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_21833bc97f84073a4147,酒店展示图,,,,469,https://ak-d.tripcdn.com/images/0223o12000atjceuv01CD_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_161db65f9fbfff734d6f,酒店展示图,,,,475,https://ak-d.tripcdn.com/images/0225h120009xqt3d7102C_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_342ab464ca46e4688944,酒店展示图,,,,481,https://ak-d.tripcdn.com/images/0586a12000sp504wl347A_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_1769da9308218be36ef4,酒店展示图,,,,487,https://ak-d.tripcdn.com/images/0585312000snervwj06BA_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_d74442aba81bd33cd620,酒店展示图,,,,499,https://ak-d.tripcdn.com/images/0222b1200090x9xhe7530_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_0cc77b8dfa30d374e1c6,酒店展示图,,,,505,https://ak-d.tripcdn.com/images/0220312000a10owce2617_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_498034c43f87db1fbbc9,酒店展示图,,,,511,https://ak-d.tripcdn.com/images/0222q12000a10ov78FA58_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_1533959b2425c12c8c6d,酒店展示图,,,,517,https://ak-d.tripcdn.com/images/0221s12000a10p1phF5EE_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_d7d34d5a6d77ca664e04,酒店展示图,,,,523,https://ak-d.tripcdn.com/images/0226512000a1ya84047A2_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_6125c8efc5179a4e493a,酒店展示图,,,,529,https://ak-d.tripcdn.com/images/0220h12000atmz9jjB700_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_6cd39fbfcd5fd4494404,酒店展示图,,,,535,https://ak-d.tripcdn.com/images/0224u12000a10p0jqFEB3_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_a0588ab596c58b78be74,酒店展示图,,,,541,https://ak-d.tripcdn.com/images/0222q1200090xa22xA172_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_e13b3c64a0f2a10fee34,酒店展示图,,,,547,https://ak-d.tripcdn.com/images/0580b12000snjbmq559CB_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_7d00223202ae75219543,酒店展示图,,,,553,https://ak-d.tripcdn.com/images/0581t12000sp4l372C765_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_535e58ab6230949ab2f0,酒店展示图,,,,559,https://ak-d.tripcdn.com/images/0582s12000sn1tisjF238_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_683c03ac6e8403dec9a3,酒店展示图,,,,565,https://ak-d.tripcdn.com/images/0225t12000b4s427h0F35_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_0806d787e110c92878ab,酒店展示图,,,,571,https://ak-d.tripcdn.com/images/0224b12000akjcf96B775_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_2494eb3a983f3ad7fc89,酒店展示图,,,,577,https://ak-d.tripcdn.com/images/0224s12000atmyxmiAD3F_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_c39a1a36440febabb92a,酒店展示图,,,,583,https://ak-d.tripcdn.com/images/0581412000sm6eh41F4E5_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
10019235,network_img_0c0da976dae042699285,酒店展示图,,,,589,https://ak-d.tripcdn.com/images/0581c12000sp9552m5AE7_R_960_660_R5_D.jpg,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum
100332179,dom_img_3gzh4n,酒店展示图,,,,1,https://dimg04.c-ctrip.com/images/1mc6312000mtm1ym2DD69_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100332179&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100332179,dom_img_7p44o8,酒店展示图,,,,2,https://dimg04.c-ctrip.com/images/0220a12000a6tv2131E92_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100332179&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100332179,dom_img_tkhc40,酒店展示图,,,,3,https://dimg04.c-ctrip.com/images/1mc1d12000mpjsx3cDD41_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100332179&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100332179,dom_img_n7ti9e,酒店展示图,,,,4,https://dimg04.c-ctrip.com/images/0200812000a6zoksp2333_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100332179&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100332179,dom_img_g1zod4,酒店展示图,,,,5,https://dimg04.c-ctrip.com/images/0206v12000a6zotah85DC_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100332179&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100332179,dom_img_hkt3jp,酒店展示图,,,,6,https://dimg04.c-ctrip.com/images/0225c12000k3i3pe53B41_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100332179&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100332179,dom_img_4p4xx6,酒店展示图,,,,7,https://dimg04.c-ctrip.com/images/0224812000mv4aunyACDA_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100332179&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100332179,dom_img_fqij9m,设施展示图,,,,8,https://dimg04.c-ctrip.com/images/1mc6w12000c2v7l06EB5D_R_600_360_R5.webp,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100332179&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100332179,dom_img_sh3dez,设施展示图,,,,9,https://dimg04.c-ctrip.com/images/1mc4g12000c2v76atC1EE_R_600_360_R5.webp,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100332179&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100332179,dom_img_or5j9m,设施展示图,,,,10,https://dimg04.c-ctrip.com/images/0200e12000a6zus9bCA8A_R_600_360_R5.webp,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100332179&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100332179,dom_img_9opmjh,设施展示图,,,,11,https://dimg04.c-ctrip.com/images/1mc5p12000c2vdpbzDA43_R_600_360_R5.webp,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100332179&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100344790,dom_img_s726j,酒店展示图,,,,1,https://dimg04.c-ctrip.com/images/1mc5i12000azg9wtz3334_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100344790&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100344790,dom_img_q54d2f,酒店展示图,,,,2,https://dimg04.c-ctrip.com/images/1mc2n12000byw00w93DC7_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100344790&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100344790,dom_img_v2pngd,酒店展示图,,,,3,https://dimg04.c-ctrip.com/images/0581712000taz7w6c7D55_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100344790&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
100344790,dom_img_gh2h5l,酒店展示图,,,,4,https://dimg04.c-ctrip.com/images/1mc4112000byvxgecB617_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100344790&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
