发现序号,酒店ID,酒店名称,列表价格,评分,点评数,星级/钻级,地址/区域,详情URL,列表原始URL,发现来源,首次发现轮次,首次发现时间
11,39459173,三Y酒店(Triple Y Hotel),472,4.5,882,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",暹罗 · 近朱拉隆功大学,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=39459173&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/39459173.html,DOM链接|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,1,2026-08-30 19:57:45
12,114979037,曼谷素坤逸 39 号雅高TRIBE生活酒店(TRIBE Living Bangkok Sukhumvit 39 by AccorHotels),472,4.4,1346,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",素坤逸 · 阿索克,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114979037&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/114979037.html,DOM链接|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,1,2026-08-30 19:57:45
13,103003672,S3 暹罗曼谷酒店(S3 Siam Bangkok Hotel),472,4,1327,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",暹罗 · 近朱拉隆功大学,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=103003672&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/103003672.html,DOM链接|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,1,2026-08-30 19:57:45
14,700953,格莱富酒店(Graph Hotels),472,4.4,1915,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",拉查达比瑟区 · 近辉煌象神庙,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=700953&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/700953.html,DOM链接|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,1,2026-08-30 19:57:45
15,1702467,曼谷尊贵比左特尔酒店(Bizotel Premier Hotel & Residence),472,4.4,1223,,水门市场 · 近四面佛,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1702467&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/1702467.html,DOM链接|DOM属性,1,2026-08-30 19:57:45
16,1509723,曼谷拉差达安凡尼酒店,472,4.5,2443,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",拉查达比瑟区 · 近Rama9查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1509723&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,8,2026-08-30 19:58:13
17,909882,曼谷拉差达安凡尼酒店,472,4.5,2443,,拉查达比瑟区 · 近Rama9查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=909882&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性,8,2026-08-30 19:58:13
18,107192874,曼谷拉差达安凡尼酒店,472,4.5,2443,5,拉查达比瑟区 · 近Rama9查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=107192874&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,/hotels/107192874.html,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/getAdHotels|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,8,2026-08-30 19:58:13
19,107330026,曼谷拉差达安凡尼酒店,472,4.5,2443,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",拉查达比瑟区 · 近Rama9查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=107330026&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,8,2026-08-30 19:58:13
20,36058806,曼谷拉差达安凡尼酒店,472,4.5,2443,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",拉查达比瑟区 · 近Rama9查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=36058806&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,8,2026-08-30 19:58:13
21,56451876,曼谷拉差达安凡尼酒店,472,4.5,2443,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",拉查达比瑟区 · 近Rama9查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=56451876&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,8,2026-08-30 19:58:13
22,1300392,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1300392&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,1,2026-08-30 21:09:38
23,94954632,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=94954632&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,1,2026-08-30 21:09:38
24,132204093,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=132204093&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,2,2026-08-30 21:09:43
25,104592199,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=104592199&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,/hotels/104592199.html,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList|网络响应:https://m.ctrip.com/restapi/soa2/34951/getAdHotels,2,2026-08-30 21:09:43
26,124781347,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=124781347&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,2,2026-08-30 21:09:43
27,703132,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=703132&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,2,2026-08-30 21:09:43
28,68177688,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=68177688&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,2,2026-08-30 21:09:43
29,91650075,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=91650075&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,2,2026-08-30 21:09:43
30,130114570,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=130114570&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,2,2026-08-30 21:09:43
31,133720913,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=133720913&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,2,2026-08-30 21:09:43
32,112228654,曼谷素坤逸11巷逸莎酒店-泰国金士顿酒店集团,261,4.4,1225,5,水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=112228654&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,/hotels/112228654.html,网络响应:https://m.ctrip.com/restapi/soa2/34951/getAdHotels|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,2,2026-08-30 21:09:43
33,5708596,曼谷都市酒店，万豪臻品之选,,,,5,,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=5708596&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,/hotels/5708596.html,网络响应:https://m.ctrip.com/restapi/soa2/34951/getAdHotels,2,2026-08-30 21:09:43
34,47429268,曼谷金普顿玫兰酒店,261,4.4,1225,5,水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=47429268&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,/hotels/47429268.html,网络响应:https://m.ctrip.com/restapi/soa2/34951/getAdHotels|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,2,2026-08-30 21:09:43
35,1257190,曼谷 JW 万豪酒店,261,4.4,1225,5,水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1257190&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,/hotels/1257190.html,网络响应:https://m.ctrip.com/restapi/soa2/34951/getAdHotels|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,2,2026-08-30 21:09:43
36,1027224,Ratchadapisek朱比利众望酒店,261,4.4,1225,5,水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,/hotels/1027224.html,网络响应:https://m.ctrip.com/restapi/soa2/34951/getAdHotels|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,2,2026-08-30 21:09:43
37,13989322,素坤逸塔斯托利亚精选酒店,261,4.4,1225,5,水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=13989322&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,/hotels/13989322.html,网络响应:https://m.ctrip.com/restapi/soa2/34951/getAdHotels|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList|DOM属性,2,2026-08-30 21:09:43
38,133668567,曼谷素坤逸希尔顿嘉悦里酒店,472,4.6,2808,5,河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=133668567&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,/hotels/133668567.html,网络响应:https://m.ctrip.com/restapi/soa2/34951/getAdHotels|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,2,2026-08-30 21:09:43
39,1497020,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1497020&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,3,2026-08-30 21:09:47
40,7143654,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=7143654&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,3,2026-08-30 21:09:47
41,114397688,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114397688&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,3,2026-08-30 21:09:47
42,996718,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=996718&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,3,2026-08-30 21:09:47
43,1116290,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1116290&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,3,2026-08-30 21:09:47
44,2171593,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=2171593&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,3,2026-08-30 21:09:47
45,105555958,曼谷千禧希尔顿酒店,472,4.6,2808,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",河畔区 · 近湄南河查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=105555958&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,3,2026-08-30 21:09:47
