酒店ID,地点ID,地点分类,地点类型,地点名称,距离,交通时间,排序,来源URL
10019235,153412577,景点,5,MELAND(Bangkok SIAM PARAGON),直线距离2公里,,12,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,134087196,景点,5,曼谷大象观光巴士,直线距离2公里,,13,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,156427818,景点,5,泰国曼谷 · JAM FEST 音乐节 2026,直线距离1.7公里,,14,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,156460459,景点,5,泰国曼谷 · ENCHANTED 音乐节 2026,直线距离1.7公里,,15,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,156358122,景点,5,泰国曼谷 · Zara Larsson - Midnight Sun Tour,直线距离1.7公里,,16,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,156363798,景点,5,泰国曼谷 · Khalid: It's Always Summer Somewhere Tour in Bangkok,直线距离1.7公里,,17,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,156429941,景点,5,泰国曼谷 · INK WARUNTORN《Synthphony》演唱会,直线距离1.7公里,,18,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,154502505,景点,5,泰国曼谷 · 5 Seconds of Summer《Everyone’s A Star!》巡演,直线距离1.7公里,,19,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,155071584,景点,5,泰国曼谷 · wave to earth 2026《the pieces》巡演,直线距离1.7公里,,20,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,149907665,景点,5,TRIBE Sky Beach Club,直线距离1.8公里,,21,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,156405127,景点,5,2026亚洲国际游戏展览会×泰国游戏展（gamescom asia x Thailand Game Show 2026）,直线距离1.8公里,,22,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,154201855,景点,5,泰国曼谷 · Official髭男dism 2026巡演,直线距离1.7公里,,23,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,96118,景点,5,曼谷杜莎夫人蜡像馆,直线距离2.4公里,,24,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,13659489,景点,5,班嘉诗丽皇后公园,直线距离1.9公里,,25,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,154258927,景点,5,泰国曼谷 · Fujii Kaze Prema World Tour in Bangkok,直线距离3公里,,26,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,90776,景点,5,曼谷艺术文化中心,直线距离2.5公里,,27,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,24648969,景点,5,彩虹云霄拜约克摩天塔,直线距离2.1公里,,28,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,98096842,景点,5,班嘉琦缇皇后公园,直线距离1.3公里,,29,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,156413887,景点,5,泰国曼谷 · ENJOY THE SHOW WORLD TOUR,直线距离2.5公里,,30,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,17040897,美食,10,New York Steakhouse,直线距离280米,,1,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,83129837,美食,10,南北,直线距离590米,,2,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,19646149,美食,10,"Elements, Inspired by Ciel Bleu",直线距离630米,,3,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,19646915,美食,10,山里,直线距离600米,,4,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,20590307,美食,10,建兴酒家(尚泰领使商场分店),直线距离840米,,5,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,149512176,美食,10,Akara Sky Hanuman Bangkok,直线距离720米,,6,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,487419,美食,10,The Rain Tree Cafe,直线距离560米,,7,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,13588253,美食,10,The House of Smooth Curry,直线距离530米,,8,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,121121225,美食,10,Krua Khun Puk,直线距离480米,,9,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,31116165,美食,10,上味泰餐厅,直线距离1公里,,10,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,487378,美食,10,Kinnaree by Vanessa WU,直线距离470米,,11,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,17041517,美食,10,Above Eleven Rooftop Bar & Restaurant,直线距离880米,,12,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,487425,美食,10,亚特牛排馆,直线距离800米,,13,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,149906224,美食,10,紫桂轩,直线距离1.3公里,,14,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,31112649,美食,10,Saneh Jaan,直线距离800米,,15,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,13588278,美食,10,四面佛茶室,直线距离1.4公里,,16,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,148038926,美食,10,INDDEE,直线距离1公里,,17,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,148500193,美食,10,Kwann Restaurant Bangkok,直线距离960米,,18,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,17041458,美食,10,Paste Bangkok,直线距离1.4公里,,19,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,129754634,美食,10,IGNIV Bangkok,直线距离1.3公里,,20,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,10567634,购物,12,尚泰世界购物中心,直线距离1.6公里,,1,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,10567642,购物,12,暹罗百丽宫,直线距离2公里,,2,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,136007791,购物,12,21航站楼购物中心,直线距离900米,,3,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,30767686,购物,12,暹罗一号广场,直线距离2.1公里,,4,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,136007426,购物,12,暹罗中心,直线距离2.3公里,,5,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,102446,购物,12,粉红裁缝,直线距离440米,,6,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,102433,购物,12,尚泰百货（齐隆分店）,直线距离620米,,7,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,18170118,购物,12,尚泰百货旗舰店（曼谷）,直线距离1公里,,8,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,38106330,购物,12,Open House,直线距离780米,,9,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,149855925,购物,12,DIOR Gold House,直线距离950米,,10,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,31956599,购物,12,Truefitt and Hill Central Embassy Store,直线距离820米,,11,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,55694743,购物,12,Lacoste（Central Embassy店）,直线距离820米,,12,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,18189392,购物,12,阿玛琳购物中心,直线距离1.3公里,,13,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,10354854,购物,12,Big C超市（Rajdamri路店）,直线距离1.5公里,,14,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,137253523,购物,12,Central @centralwOrld,直线距离1.6公里,,15,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,18170116,购物,12,爱侣湾购物中心,直线距离1.3公里,,16,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,144917122,购物,12,LV The Place Bangkok,直线距离1.3公里,,17,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,18170124,购物,12,时代广场,直线距离730米,,18,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,143218043,购物,12,EMSPHERE,直线距离1.7公里,,19,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,18189430,购物,12,素坤逸广场韩国城,直线距离640米,,20,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,10354856,购物,12,曼谷Zen百货公司,直线距离1.5公里,,21,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,37870784,购物,12,CPS CHAPS,直线距离1.6公里,,22,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,18189516,购物,12,Venus Jewelry,直线距离1.1公里,,23,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,31983246,购物,12,李维斯 （素坤逸罗宾森百货商场店）,直线距离790米,,24,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,47381457,购物,12,THANN（Central世界购物中心）,直线距离1.6公里,,25,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,31443190,购物,12,素坤逸罗宾森百货商场,直线距离770米,,26,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,148132806,购物,12,Tops Flavour,直线距离780米,,27,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,55695747,购物,12,法国鳄鱼 (尚泰世界购物中心店),直线距离1.5公里,,28,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,37885556,购物,12,Power Mall,直线距离2公里,,29,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,18170112,购物,12,娜莱雅曼谷包 (尚泰世界购物中心店),直线距离1.6公里,,30,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,64279860,交通,7,地铁: 胜利纪念碑地铁站,"步行距离350米,约5分钟",,1,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,64289173,交通,7,地铁: 披耶泰地铁站,"步行距离730米,约11分钟",,2,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,153515943,交通,3,火车站: 拉差帕罗,"步行距离1公里,约16分钟",,3,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,141483565,交通,3,火车站: Ramathibodi Hospital,"驾车距离2.7公里,约8分钟",,4,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,13099857,交通,2,机场: 曼谷廊曼国际机场,"驾车距离19.6公里,约21分钟",,5,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,149853294,景点,5,胜利纪念碑,直线距离390米,,1,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,155039771,景点,5,泰国曼谷 · The Parkinson & Atom 拼盘演出,直线距离140米,,2,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,156368408,景点,5,泰国曼谷 · Lomosonic & Bedroom Audio 拼盘演出,直线距离140米,,3,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,77017,景点,5,四面佛,直线距离1.9公里,,4,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,13242741,景点,5,朱拉隆功大学,直线距离2.6公里,,5,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,31981223,景点,5,曼谷射击场,直线距离1.3公里,,6,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,24648969,景点,5,彩虹云霄拜约克摩天塔,直线距离840米,,7,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,90776,景点,5,曼谷艺术文化中心,直线距离1.8公里,,8,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,90777,景点,5,曼谷暹罗海洋世界,直线距离1.8公里,,9,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,96118,景点,5,曼谷杜莎夫人蜡像馆,直线距离1.8公里,,10,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,153412577,景点,5,MELAND(Bangkok SIAM PARAGON),直线距离1.7公里,,11,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,10524188,景点,5,吉姆 · 汤普森博物馆,直线距离1.7公里,,12,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,154258927,景点,5,泰国曼谷 · Fujii Kaze Prema World Tour in Bangkok,直线距离2.2公里,,13,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,134087196,景点,5,曼谷大象观光巴士,直线距离1.6公里,,14,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,55804704,景点,5,奈乐庄园,直线距离2公里,,15,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,18687606,景点,5,那那夜间娱乐城,直线距离2.8公里,,16,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,156422172,景点,5,泰国曼谷 · MSIG FAN FEST 2026 拼盘演唱会,直线距离3.2公里,,17,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,155055459,景点,5,泰国曼谷 · BE:FIRST 2026 世界巡演,直线距离3.2公里,,18,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,150881302,景点,5,LV The Place Bangkok - Louis Vuitton Visionary Journeys,直线距离2公里,,19,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,155089465,景点,5,泰国曼谷 · MILLI 2026《JAA EHH!》亚洲巡演,直线距离3.3公里,,20,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,77030,景点,5,伦披尼公园,直线距离3.4公里,,21,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,155115569,景点,5,泰国曼谷 · FLOW 2026《NARUTO THE ROCK》世界巡演,直线距离3.9公里,,22,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,156445813,景点,5,泰国曼谷 · VOLUME PHASE 8 VOL.78 拼盘演出,直线距离3.9公里,,23,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,156413887,景点,5,泰国曼谷 · ENJOY THE SHOW WORLD TOUR,直线距离3.9公里,,24,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,156453886,景点,5,泰国曼谷 · Pixxie live at Bangkok Soundscape,直线距离3.9公里,,25,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,156440990,景点,5,泰国曼谷 · Pixxie 演唱会,直线距离3.9公里,,26,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,156363798,景点,5,泰国曼谷 · Khalid: It's Always Summer Somewhere Tour in Bangkok,直线距离4.5公里,,27,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,156460459,景点,5,泰国曼谷 · ENCHANTED 音乐节 2026,直线距离4.5公里,,28,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,156427818,景点,5,泰国曼谷 · JAM FEST 音乐节 2026,直线距离4.5公里,,29,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,156414158,景点,5,泰国曼谷 · 第28届曼谷国际舞蹈音乐节（Bangkok 28th International Festival of Dance & Music）,直线距离4公里,,30,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,52553778,美食,10,Factory Coffee(曼谷店),直线距离600米,,1,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,123011400,美食,10,曼谷彩虹云宵酒店·斯特拉宫殿,直线距离850米,,2,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,13588302,美食,10,红大哥水门鸡饭,直线距离1.4公里,,3,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,17040556,美食,10,芒果探戈,直线距离1.9公里,,4,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,19649926,美食,10,lay lao - Ari,直线距离2.4公里,,5,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,17041196,美食,10,Eat Am Are,直线距离280米,,6,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,17040551,美食,10,Inter Restaurants,直线距离2公里,,7,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,17042583,美食,10,Laem Charoen Seafood Central World,直线距离1.6公里,,8,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,13588286,美食,10,Ban Khun Mae,直线距离2公里,,9,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,27528407,美食,10,YenlyYours # Central World,直线距离1.6公里,,10,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,17041864,美食,10,Cuisine Unplugged,直线距离330米,,11,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,52552588,美食,10,建兴酒家 (尚泰世界店),直线距离1.6公里,,12,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,10354988,美食,10,Somtam Nua,直线距离1.9公里,,13,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,141800940,美食,10,Som Som Seafood,直线距离2.2公里,,14,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,149906224,美食,10,紫桂轩,直线距离2公里,,15,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,17040909,美食,10,建兴酒家 (班塔通),直线距离2.3公里,,16,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,17041458,美食,10,Paste Bangkok,直线距离1.8公里,,17,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,13588278,美食,10,四面佛茶室,直线距离2公里,,18,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,10354987,美食,10,Red Sky,直线距离1.6公里,,19,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,129754634,美食,10,IGNIV Bangkok,直线距离2.4公里,,20,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,102862,购物,12,泰国王权免税店（曼谷市区店）,直线距离160米,,1,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,10567634,购物,12,尚泰世界购物中心,直线距离1.7公里,,2,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,10567642,购物,12,暹罗百丽宫,直线距离1.7公里,,3,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,136007426,购物,12,暹罗中心,直线距离1.8公里,,4,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,18189493,购物,12,Indra Square,直线距离990米,,5,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,30767686,购物,12,暹罗一号广场,直线距离1.9公里,,6,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,10567712,购物,12,水门市场,直线距离1公里,,7,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,10354854,购物,12,Big C超市（Rajdamri路店）,直线距离1.6公里,,8,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,10567669,购物,12,群侨商业中心,直线距离2公里,,9,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,25464185,购物,12,The Palladium World Shopping,直线距离1.3公里,,10,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,61179930,购物,12,ABC,直线距离1.3公里,,11,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,10567704,购物,12,暹罗探索购物中心,直线距离1.8公里,,12,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,144916197,购物,12,Fat Boys By Om Krung Thong Plaza,直线距离1.2公里,,13,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,136007551,购物,12,铂金潮流广场,直线距离1.2公里,,14,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,18189515,购物,12,S.J. International,直线距离1.7公里,,15,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,30805203,购物,12,Krung Thong Plaza,直线距离1.2公里,,16,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,38331529,购物,12,Loft,直线距离1.8公里,,17,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,137119411,购物,12,Karun Thai Tea Siam Paragon,直线距离1.6公里,,18,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,136624758,购物,12,伯爵（暹罗百丽宫）,直线距离1.7公里,,19,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,18170181,购物,12,Toy Studio（Central World店）,直线距离1.9公里,,20,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,18687635,购物,12,Siam Exchange,直线距离1.8公里,,21,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,18189518,购物,12,GEMS GALLERY Bangkok,直线距离2公里,,22,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,18170111,购物,12,Boots @CentralWorld,直线距离1.6公里,,23,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,37870784,购物,12,CPS CHAPS,直线距离1.7公里,,24,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,153979565,购物,12,Nextopia Siam Paragon,直线距离1.6公里,,25,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,37885556,购物,12,Power Mall,直线距离1.7公里,,26,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,136750493,购物,12,暹罗景苑,直线距离2公里,,27,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,38107038,购物,12,Daddy and the Muscle Academy(Siam Square soi 11),直线距离1.9公里,,28,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,144313522,购物,12,蒂芙尼（暹罗百丽宫店）,直线距离1.7公里,,29,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100344790,99588479,购物,12,Din Daeng Market,直线距离2.1公里,,30,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100474915,64283049,交通,7,地铁: 阿速地铁站,"步行距离460米,约8分钟",,1,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100474915,64283955,交通,7,地铁: 素坤逸地铁站,"步行距离550米,约9分钟",,2,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100474915,152956720,交通,3,火车站: 阿索克,"步行距离1.9公里,约29分钟",,3,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100474915,141305950,交通,3,火车站: Silom MRT Station,"驾车距离4.6公里,约12分钟",,4,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100474915,131181159,交通,4,曼谷汽车东站,"驾车距离5.6公里,约15分钟",,5,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100474915,13099857,交通,2,机场: 曼谷廊曼国际机场,"驾车距离30.1公里,约31分钟",,6,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100474915,22847028,景点,5,诗丽吉皇后国家会展中心,直线距离1公里,,1,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100474915,18687620,景点,5,牛仔街,直线距离380米,,2,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100474915,18687606,景点,5,那那夜间娱乐城,直线距离1.2公里,,3,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100474915,136007422,景点,5,素坤逸路,直线距离640米,,4,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100474915,156363798,景点,5,泰国曼谷 · Khalid: It's Always Summer Somewhere Tour in Bangkok,直线距离600米,,5,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100474915,156358122,景点,5,泰国曼谷 · Zara Larsson - Midnight Sun Tour,直线距离600米,,6,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100474915,156460459,景点,5,泰国曼谷 · ENCHANTED 音乐节 2026,直线距离600米,,7,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
100474915,156427818,景点,5,泰国曼谷 · JAM FEST 音乐节 2026,直线距离600米,,8,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
