Google地点ID,业务类别,地点名称,泰文名称,Google主要类型,主要类别,评分,评价数量,价格等级,完整地址,纬度,经度,县区中文名,乡分区中文名,每周营业时间,电话,官方网站,设施与服务标签,编辑简介,Google地图链接
ChIJTR7xCDiZ4jARXB6cqm1sy6U,美食餐饮,Sae Phun ข้าวหน้าไก่แซ่พุ้น,ข้าวหน้าไก่แซ่พุ้น,asian_restaurant,亚洲风味餐馆,4.6,1362,PRICE_LEVEL_INEXPENSIVE,"490 Thanon Tanao, Khwaeng San Chao Pho Sua, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.753427,100.498376,拍那空县,大秋千区,星期一: 08:00–14:30 | 星期二: 08:00–14:30 | 星期三: 休息 | 星期四: 08:00–14:30 | 星期五: 08:00–14:30 | 星期六: 08:00–14:30 | 星期日: 08:00–14:30,,https://www.wongnai.com/restaurants/250624UV-%E0%B9%81%E0%B8%8B%E0%B9%88%E0%B8%9E%E0%B8%B8%E0%B9%89%E0%B8%99-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%81%E0%B9%88-80-%E0%B8%9B%E0%B8%B5,适合儿童|有洗手间|户外座位|外带|配送|堂食|路边取餐|供应早餐|供应早午餐|供应午餐|供应素食,,https://maps.google.com/?cid=11946761654799965788&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-bzC_BOZ4jARGLP5eY7dJwg,美食餐饮,Siriphon Phochana,ศิริพรโภชนา,asian_restaurant,亚洲风味餐馆,4.1,463,PRICE_LEVEL_INEXPENSIVE,"152 Thanon Mahannop, Khwaeng Sao Chingcha, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.753399,100.500892,拍那空县,大秋千区,星期一: 07:00–18:00 | 星期二: 07:00–18:00 | 星期三: 07:00–18:00 | 星期四: 07:00–18:00 | 星期五: 07:00–18:00 | 星期六: 07:00–18:00 | 星期日: 07:00–16:00,+66 97 002 9563,,有洗手间|外带|堂食|供应早午餐|供应午餐,,https://maps.google.com/?cid=587681880396641048&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJN85pCgCZ4jARDKWuVwQKj4s,美食餐饮,Street food de bobae,,asian_restaurant,亚洲风味餐馆,,,,"634/46 Luk Luang Rd, Khwaeng Si Yaek Maha Nak, Khet Dusit, Krung Thep Maha Nakhon 10300",13.755126,100.517471,都实县,Si Yaek Maha Nak,,,,,,https://maps.google.com/?cid=10056267506708817164&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJQSQeiEqZ4jARLJ16917JUvM,美食餐饮,WATERSIDE,,asian_restaurant,亚洲风味餐馆,,,,"曼谷都会区 Phra Nakhon, 曼谷 Banglamphu QG42+GPJ邮政编码: 10200",13.756331,100.501765,拍那空县,波稳尼威区,,,,适合儿童|适合团体|有洗手间|外带|堂食|供应午餐|供应晚餐,,https://maps.google.com/?cid=17533297709022879020&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJb7ZVMP2Z4jARRKKoGShsVPc,美食餐饮,cheng gong chicken rice restaurant,ข้าวมันไก่ เฉิงกง (วรจักร),asian_restaurant,亚洲风味餐馆,4.3,376,PRICE_LEVEL_INEXPENSIVE,"84 Worachak Rd, Khwaeng Ban Bat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.749841,100.507689,邦巴沙都拍县,班巴区,星期一: 06:30–20:00 | 星期二: 06:30–20:00 | 星期三: 06:30–20:00 | 星期四: 06:30–20:00 | 星期五: 06:30–20:00 | 星期六: 06:30–20:00 | 星期日: 06:30–17:00,+66 93 556 6596,https://www.facebook.com/chenggongchickenrice/,适合儿童|适合团体|有洗手间|外带|堂食|供应早餐|供应早午餐|供应午餐|供应晚餐|供应甜品,,https://maps.google.com/?cid=17821988544896868932&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJdRrMEQCZ4jARVgyCcx2PDsk,美食餐饮,กระเพาะปลาน้ำแดง คุณปราณี,,asian_restaurant,亚洲风味餐馆,,,,"QFCM+7QV ถ. พาต้า Khwaeng Bang Yi Khan, Khet Bang Phlat, Krung Thep Maha Nakhon 10700",13.770739,100.484442,挽拍县,Bang Yi Khan,,,,,,https://maps.google.com/?cid=14487674407952190550&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJhTvmwciZ4jARQnSJ3lIbAo4,美食餐饮,ก๋วยเตี๋ยวคั่วไก่พี่หมู (คั่วไก่ แต่มีหมูนะ),ก๋วยเตี๋ยวคั่วไก่พี่หมู (คั่วไก่ แต่มีหมูนะ),asian_restaurant,亚洲风味餐馆,5.0,11,,"125/7 Thanon Fueang Nakhon, Khwaeng Wat Ratchabophit, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.748388,100.498032,拍那空县,拉差博披寺区,星期一: 休息 | 星期二: 17:30–21:30 | 星期三: 17:30–21:30 | 星期四: 17:30–21:30 | 星期五: 17:30–21:30 | 星期六: 17:30–21:30 | 星期日: 17:30–21:30,+66 83 428 6888,,外带|堂食|供应午餐,,https://maps.google.com/?cid=10232771346074006594&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJcXQqQrGZ4jAR-jJhknmEkv8,美食餐饮,ชรเฌอ ข้าวหมูแดง,ชรเฌอ ข้าวหมูแดง,asian_restaurant,亚洲风味餐馆,3.6,10,,"85/1 Soi Phra Suli, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.757965,100.502572,拍那空县,波稳尼威区,,,,外带|配送|堂食,,https://maps.google.com/?cid=18415927483953132282&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJi49MkGiZ4jAR9kwpuUG8vns,美食餐饮,ปาท่องโก๋เสวย เทเวศน์,,asian_restaurant,亚洲风味餐馆,,,,"316 Thanon Samsen, Khwaeng Bang Khun Phrom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.769169,100.503532,拍那空县,邦坤蓬区,,,,,,https://maps.google.com/?cid=8916771302705548534&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJseiE9cWZ4jARfbeaniYKTzs,美食餐饮,ป๋องก๋วยเตี๋ยวหลอดทรงเครื่อง,ป๋องก๋วยเตี๋ยวหลอดทรงเครื่อง,asian_restaurant,亚洲风味餐馆,4.2,89,PRICE_LEVEL_INEXPENSIVE,"17 Thanon Mahannop, Khwaeng Sao Chingcha, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.753808,100.499147,拍那空县,大秋千区,星期一: 07:00–10:00 | 星期二: 休息 | 星期三: 07:00–10:00 | 星期四: 休息 | 星期五: 07:00–10:00 | 星期六: 休息 | 星期日: 07:00–10:00,+66 89 260 4721,,适合儿童|外带|堂食|供应早午餐|供应午餐,,https://maps.google.com/?cid=4273645732383864701&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJxfeSSACZ4jARyEGHoWI-9Ok,美食餐饮,รศ 168,รศ 168,asian_restaurant,亚洲风味餐馆,4.7,98,PRICE_LEVEL_INEXPENSIVE,"136 138 Thanon Mahannop, Khwaeng Sao Chingcha, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.753417,100.500638,拍那空县,大秋千区,星期一: 07:00–19:00 | 星期二: 07:00–19:00 | 星期三: 07:00–19:00 | 星期四: 07:00–19:00 | 星期五: 07:00–19:00 | 星期六: 07:00–19:00 | 星期日: 07:00–19:00,,,适合儿童|外带|堂食|供应甜品,,https://maps.google.com/?cid=16858167898492322248&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJfXdLBACZ4jARxIOA78_zCQQ,美食餐饮,ร้านหอยแมลงภู่ทอดสูตรพิเศษ(เจ้าเก่าบางลำพู)​,,asian_restaurant,亚洲风味餐馆,,,,"QF6X+GW5 บวรนิเวศ Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.761255,100.499848,拍那空县,哒叻裕区,,,,,,https://maps.google.com/?cid=291031725344064452&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJlXLnKgCZ4jAR_zSV6xs9CMU,美食餐饮,ลิ้มฮาลาล เป็ดย่าง,ลิ้มฮาลาล เป็ดย่าง,asian_restaurant,亚洲风味餐馆,,,,"108 Soi Ban Bat, Khwaeng Ban Bat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.7513,100.50652,邦巴沙都拍县,班巴区,,,,,,https://maps.google.com/?cid=14197665015411324159&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJnzBXRACZ4jARuzqEwMbs-eQ,美食餐饮,ส้มตำน้ำแดง (คุณฟกชอบกิน),,asian_restaurant,亚洲风味餐馆,,,,"85 Soi Somdet Phra Pinklao 2, Khwaeng Bang Yi Khan, Khet Bang Phlat, Krung Thep Maha Nakhon 10700",13.765005,100.490707,挽拍县,Bang Yi Khan,,,,,,https://maps.google.com/?cid=16499479048226093755&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ63BvCQCZ4jARuGPzxustEMY,美食餐饮,ガパオライス レストラン,,asian_restaurant,亚洲风味餐馆,,,,"129 Phaniang Rd, Khwaeng Wat Sommanat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.759033,100.510403,邦巴沙都拍县,Wat Sommanat,,,,适合团体|有洗手间|外带|堂食|供应午餐|供应晚餐,,https://maps.google.com/?cid=14271957709815505848&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJU7CjRgCZ4jARXdIHk6MFQz8,美食餐饮,ガパオライス（屋台）,,asian_restaurant,亚洲风味餐馆,,,,"14-16 Thanon Phra Sumen, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.76354,100.496058,拍那空县,查那松康区,,,,,,https://maps.google.com/?cid=4558493447933645405&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJSeKWWACZ4jARoJ2gDg_zdS0,美食餐饮,コーボリー朝,,asian_restaurant,亚洲风味餐馆,,,,"18 Soi Si Ayutthaya 17, Khwaeng Wachira Phayaban, Khet Dusit, Krung Thep Maha Nakhon 10300",13.771747,100.503166,拍那空县,讪披耶寺区,,,,,,https://maps.google.com/?cid=3275791549977370016&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJdRjZmLGZ4jARr_npeM-UED0,美食餐饮,トムヤム ナン タイ,,asian_restaurant,亚洲风味餐馆,3.0,2,,"62 Anuwong Rd, Khwaeng Chakkrawat, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.740111,100.504189,三攀他旺县,差甲瓦區,,,,适合团体|有洗手间|外带|堂食|供应午餐|供应晚餐|供应啤酒,,https://maps.google.com/?cid=4400180454748715439&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJNSZ7P3KZ4jAR0eHIC_3ISiY,美食餐饮,Yeast & Yawn,,bagel_shop,百吉饼店,,,,"444 Thanon Bamrung Mueang, Khwaeng Wat Thepsirin, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.751194,100.510394,邦巴沙都拍县,Wat Thep Sirin,,,,,,https://maps.google.com/?cid=2759238710867845585&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ7S_PfgCZ4jARujTvL9zcR1c,美食餐饮,", Nayshinelwin",,bakery,烘焙店,,,,"曼谷都会区 Phra Nakhon, 曼谷 Banglamphu QG42+GPJ邮政编码: 10200",13.756331,100.501765,拍那空县,波稳尼威区,,,,,,https://maps.google.com/?cid=6289238242901308602&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ0wOdcUWZ4jARfP4EjvTvQBM,美食餐饮,41 Milk Tea & Bakery,,bakery,烘焙店,,,,"41 Soi Sukha 1, Khwaeng Wat Ratchabophit, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.75087,100.498734,拍那空县,拉差博披寺区,,,,,,https://maps.google.com/?cid=1387372518863863420&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJkeN1NteZ4jARKptKJrwcLxA,美食餐饮,A-Roi Coffee & Bakery by Bay,,bakery,烘焙店,,,,"411 Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.759396,100.503034,拍那空县,波稳尼威区,,,,,,https://maps.google.com/?cid=1166182422934100778&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJK9hsWACZ4jARjs2H-uyv4qA,美食餐饮,AT HOME CHIFFON สาขาเสาชิงช้า ชิฟฟ่อนมะพร้าวอ่อนลาวา,,bakery,烘焙店,,,,"110, 4 Thanon Mahannop, Khwaeng Sao Chingcha, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.753485,100.500154,拍那空县,大秋千区,,,,,,https://maps.google.com/?cid=11593021823155424654&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ2ewOZh6Z4jARqNuLp2xFDW8,美食餐饮,After Sunrise,,bakery,烘焙店,,,,"370, 2F at Chetuphon Gate, 372 Soi Pratu Nokyung, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.745007,100.491937,曼谷艾县,Wat Arun,,,,,,https://maps.google.com/?cid=8002128445876984744&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJme1BMwCZ4jARRrw7KMZOi8I,美食餐饮,April's Bakery,,bakery,烘焙店,,,,"12 Tri Phet Rd, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.746053,100.500031,拍那空县,三王府区,,,,,,https://maps.google.com/?cid=14018384878106295366&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJlRRHBAmZ4jARTpu1pW3k7fs,美食餐饮,Armon,,bakery,烘焙店,,,,"Jvv bankkok, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.756331,100.501765,拍那空县,波稳尼威区,,,,,,https://maps.google.com/?cid=18153416832583048014&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJIXSKN7CZ4jARrGZ4U95Z_Q4,美食餐饮,Bangkok Best Bao Bun,,bakery,烘焙店,,,,"128 Thanon Mahannop, Khwaeng Sao Chingcha, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.753438,100.500523,拍那空县,大秋千区,,,,,,https://maps.google.com/?cid=1080118297056798380&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJC9bW2meZ4jARyvX1bidGwE4,美食餐饮,Beauty Bakery,,bakery,烘焙店,,,,"3 6 Phitsanulok Rd, Khwaeng Dusit, Khet Dusit, Krung Thep Maha Nakhon 10300",13.770617,100.505129,都实县,Wachira Phayaban,,,,,,https://maps.google.com/?cid=5674612665666106826&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJrwKrMcWZ4jARorfr--Ou6RU,美食餐饮,Bequere,,bakery,烘焙店,,,,"50 Soi Wanit 1, Khwaeng Chakkrawat, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.744086,100.502779,三攀他旺县,差甲瓦區,,,,,,https://maps.google.com/?cid=1578985438577407906&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ_9-uRQCZ4jARqqV1WjCzz6s,美食餐饮,Best hot little bread,,bakery,烘焙店,,,,"PGR4+FJ7, Soi Wanit 1, Khwaeng Chakkrawat, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.741157,100.506555,三攀他旺县,差甲瓦區,,,,,,https://maps.google.com/?cid=12380310920922244522&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ84lGslmZ4jARcP4SnMGmcb4,美食餐饮,Biscuit 2021,,bakery,烘焙店,,,,"PGR6+X8G, Thanon Santiphap, Khwaeng Pom Prap, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.742448,100.510814,邦巴沙都拍县,Pom Prap,,,,,,https://maps.google.com/?cid=13722932890052001392&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJKR04KACZ4jARBrw_GLxnK-4,美食餐饮,Bow bun,,bakery,烘焙店,,,,"PGV5+7CW, Charoen Krung Soi 14, Khwaeng Pom Prap, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.743239,100.508579,三攀他旺县,差甲瓦區,,,,,,https://maps.google.com/?cid=17161924862583749638&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ44QMg3WZ4jARXo9lQOyGpcE,美食餐饮,Cha.Cha.Haus,,bakery,烘焙店,,,,"曼谷都会区 Phra Nakhon, 曼谷 Banglamphu",13.756331,100.501765,拍那空县,波稳尼威区,,,,,,https://maps.google.com/?cid=13953707369728151390&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJMzFY1GeZ4jARVE6nmOIzx9U,美食餐饮,Chiffon Bakery,,bakery,烘焙店,,,,"354 Thanon Samsen, Khwaeng Dusit, Khet Dusit, Krung Thep Maha Nakhon 10300",13.770343,100.504571,都实县,Wachira Phayaban,,,,,,https://maps.google.com/?cid=15404338098760797780&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJfduMK1qZ4jARIp92i2JlrNM,美食餐饮,Croffle me,,bakery,烘焙店,,,,"292 Maha Chai Rd, Khwaeng Samran Rat, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.751167,100.504126,拍那空县,巴杜披,,,,,,https://maps.google.com/?cid=15252677511918034722&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJJyb3HQCZ4jARz3jh9V7_hUQ,美食餐饮,Croissolotl,,bakery,烘焙店,,,,"2/3 Thanon Siri Phong, Khwaeng Samran Rat, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.754133,100.502393,拍那空县,大秋千区,,,,,,https://maps.google.com/?cid=4937633349798820047&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
