Google地点ID,地点名称,服务属性,是否支持
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,堂食,是
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,供应早餐,是
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,供应早午餐,是
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,供应午餐,是
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,供应咖啡,是
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,供应甜品,是
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,供应啤酒,否
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,供应鸡尾酒,否
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,供应葡萄酒,否
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,供应素食,是
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,现场音乐,否
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,无障碍入口,否
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,无障碍停车,否
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,无障碍座位,否
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,可预约,否
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,适合团体,是
ChIJr7j8GheZ4jARiNWjGqP4_KU,KLAIRE - Coffee & Brunch,可预约,是
ChIJRwyJH8iZ4jARc9QiAeKaGz0,WHITE DRAGON Cafe & Bistro (All Day Breakfast),无障碍座位,是
ChIJRwyJH8iZ4jARc9QiAeKaGz0,WHITE DRAGON Cafe & Bistro (All Day Breakfast),可预约,是
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,适合儿童,是
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,适合观看体育,否
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,有洗手间,是
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,户外座位,否
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,外带,是
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,配送,是
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,堂食,是
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,路边取餐,否
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,供应早餐,是
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,供应早午餐,是
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,供应午餐,是
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,供应咖啡,是
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,供应甜品,是
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,供应啤酒,否
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,供应鸡尾酒,否
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,供应葡萄酒,否
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,供应素食,是
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,现场音乐,否
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,无障碍停车,否
ChIJcewMZhCZ4jAR0eTz6HEA-H0,Alice Cafe,适合团体,是
ChIJ3VEpkA-Z4jARW2HomIvLymQ,Auntie Nid coffee shop,适合观看体育,否
ChIJ3VEpkA-Z4jARW2HomIvLymQ,Auntie Nid coffee shop,有洗手间,否
ChIJ3VEpkA-Z4jARW2HomIvLymQ,Auntie Nid coffee shop,户外座位,否
ChIJ3VEpkA-Z4jARW2HomIvLymQ,Auntie Nid coffee shop,外带,是
ChIJ3VEpkA-Z4jARW2HomIvLymQ,Auntie Nid coffee shop,堂食,是
ChIJ3VEpkA-Z4jARW2HomIvLymQ,Auntie Nid coffee shop,供应早午餐,否
ChIJ3VEpkA-Z4jARW2HomIvLymQ,Auntie Nid coffee shop,供应午餐,否
ChIJ3VEpkA-Z4jARW2HomIvLymQ,Auntie Nid coffee shop,供应咖啡,是
ChIJ3VEpkA-Z4jARW2HomIvLymQ,Auntie Nid coffee shop,供应甜品,是
ChIJ3VEpkA-Z4jARW2HomIvLymQ,Auntie Nid coffee shop,供应啤酒,否
ChIJ3VEpkA-Z4jARW2HomIvLymQ,Auntie Nid coffee shop,供应鸡尾酒,否
ChIJ3VEpkA-Z4jARW2HomIvLymQ,Auntie Nid coffee shop,供应葡萄酒,否
ChIJ3VEpkA-Z4jARW2HomIvLymQ,Auntie Nid coffee shop,现场音乐,否
ChIJ3VEpkA-Z4jARW2HomIvLymQ,Auntie Nid coffee shop,无障碍座位,否
ChIJ3VEpkA-Z4jARW2HomIvLymQ,Auntie Nid coffee shop,可预约,否
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",适合儿童,是
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",适合观看体育,否
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",有洗手间,是
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",户外座位,否
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",外带,是
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",堂食,是
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",供应早午餐,是
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",供应午餐,是
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",供应咖啡,是
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",供应甜品,是
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",供应啤酒,否
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",供应鸡尾酒,否
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",供应葡萄酒,否
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",供应素食,是
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",现场音乐,否
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",无障碍入口,否
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",无障碍停车,否
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",允许携带宠物,否
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",适合团体,是
ChIJHS2FAO6Z4jARqhV0fzk_yhI,"FARM to TABLE, Hideout",供应晚餐,是
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,适合儿童,否
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,适合观看体育,否
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,有洗手间,是
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,户外座位,否
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,外带,是
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,配送,是
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,堂食,是
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,路边取餐,是
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,供应早餐,是
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,供应早午餐,是
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,供应咖啡,是
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,供应甜品,是
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,供应啤酒,否
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,供应鸡尾酒,否
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,供应葡萄酒,否
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,现场音乐,否
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,无障碍入口,否
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,无障碍停车,否
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,无障碍座位,否
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,允许携带宠物,否
ChIJr0_8WhuZ4jARkLSG8nhL7n8,Floral Café at Napasorn,供应晚餐,否
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,适合观看体育,否
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,有洗手间,是
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,户外座位,是
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,外带,是
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,配送,是
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,堂食,是
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,路边取餐,是
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,供应午餐,是
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,供应咖啡,是
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,供应甜品,是
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,供应鸡尾酒,否
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,供应葡萄酒,否
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,现场音乐,否
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,无障碍入口,否
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,无障碍停车,否
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,无障碍座位,否
ChIJLbz8RoWZ4jARKQ9ehuwiWKM,Homprung by Baihor,可预约,是
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,适合儿童,是
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,适合观看体育,否
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,有洗手间,是
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,户外座位,否
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,外带,是
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,配送,否
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,堂食,是
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,供应早餐,是
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,供应早午餐,是
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,供应午餐,是
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,供应咖啡,是
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,供应甜品,是
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,供应啤酒,否
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,供应鸡尾酒,否
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,供应葡萄酒,否
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,供应素食,是
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,现场音乐,否
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,无障碍入口,否
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,无障碍停车,否
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,无障碍座位,否
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,可预约,否
ChIJkTwiHRSZ4jARrHxwA41ji4c,Kope Hya Tai Kee,供应晚餐,是
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,适合观看体育,否
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,有洗手间,是
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,户外座位,否
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,外带,是
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,配送,是
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,堂食,是
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,供应早餐,是
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,供应早午餐,是
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,供应午餐,是
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,供应咖啡,是
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,供应甜品,是
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,供应啤酒,否
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,供应鸡尾酒,否
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,供应葡萄酒,否
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,供应素食,是
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,现场音乐,否
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,无障碍入口,否
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,无障碍停车,否
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,无障碍座位,否
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,可预约,是
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,适合团体,是
ChIJJ82DqQ-Z4jARl6PzeeKcJCo,Kope Hya Tai Kee Na Saranrom,供应晚餐,是
ChIJ6SSUJjWZ4jARyjvExNi3YDg,Piccolo Vicolo Café at Wang Burapha-Samyot,适合观看体育,否
ChIJ6SSUJjWZ4jARyjvExNi3YDg,Piccolo Vicolo Café at Wang Burapha-Samyot,有洗手间,是
ChIJ6SSUJjWZ4jARyjvExNi3YDg,Piccolo Vicolo Café at Wang Burapha-Samyot,户外座位,是
ChIJ6SSUJjWZ4jARyjvExNi3YDg,Piccolo Vicolo Café at Wang Burapha-Samyot,外带,是
ChIJ6SSUJjWZ4jARyjvExNi3YDg,Piccolo Vicolo Café at Wang Burapha-Samyot,配送,是
ChIJ6SSUJjWZ4jARyjvExNi3YDg,Piccolo Vicolo Café at Wang Burapha-Samyot,堂食,是
ChIJ6SSUJjWZ4jARyjvExNi3YDg,Piccolo Vicolo Café at Wang Burapha-Samyot,路边取餐,否
ChIJ6SSUJjWZ4jARyjvExNi3YDg,Piccolo Vicolo Café at Wang Burapha-Samyot,供应早餐,是
ChIJ6SSUJjWZ4jARyjvExNi3YDg,Piccolo Vicolo Café at Wang Burapha-Samyot,供应早午餐,是
ChIJ6SSUJjWZ4jARyjvExNi3YDg,Piccolo Vicolo Café at Wang Burapha-Samyot,供应午餐,是
