源行号,酒店ID,标准平台ID,原始平台名称,是否官网,URL链接,记录哈希,采集批次ID,源文件,源文件SHA256,酒店主键存在,平台映射状态,审计结果,问题说明
12,ChIJLxrEcMie4jARb4KfjpcicvA,traveluro,Traveluro,否,https://www.traveluro.com/hotels/thailand_th_bangkok/103986_baiyoke-sky?checkIn=2026-09-23&checkOut=2026-09-24&placeId=H103986&campaignName=Google_US&currencyCode=USD&dealkey_redacted=1&countryCode=US&languageCode=en&rule=Google_US&site=mapresults&origin=31&ads=&priceDisplayedTotal=62.00&priceDisplayedTax=9.01&device=desktop&adults=2&children=0,6a7d30d9c7f14ced4d50b0d18ae8210c10c37526b1a23d8a6de776d11803526e,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
13,ChIJLxrEcMie4jARb4KfjpcicvA,evendo,Evendo,否,"https://evendo.com/stays/baiyoke-sky-hotel/02564134?check_in=2026-09-23&check_out=2026-09-24&who=%5B%7B%22adults%22:2,%22children%22:%5B%5D%7D%5D&currency=USD&language=en&country=US&utm_source=google&utm_medium=googlehotels&utm_campaign=mapresults&pdtax=8.87&pdtotal=61.06&prid=",124f7aa2435fd84992906e676da43bc78d8ee8a828d4a0d1f3b62eebeaf4aa67,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
14,ChIJLxrEcMie4jARb4KfjpcicvA,hotelscombined,Hotelscombined.com,否,https://www.hotelscombined.com/semi/ha/hotel_ads/60186/en.html?utm_source=google&utm_medium=cpc&utm_term=60186&adType=0&utm_content=mapresults&utm_campaign=HotelAds&ci=2026-09-23&co=2026-09-24&gs=mapresults&l=1&pc=USD&rid=&pdtax=10.85&pdtotal=60.75&rpid=&uc=US&ucuc=USD&d=desktop&lc=en&v=false&rrid=UFJJQ0VMSU5FQ09SRQ&k_pc=~UFJJQ0VMSU5FQ09SRQ&k_rt=&k_sid=uJHEDfvY2D&k_kct=1788416507&k_gct=1788424491&g=2&r=1&ac=2&k_cc=us&dt=default&cmpid=&cmptrack=,876791fa63c6a0423c6a2e020729b85da7bb63ba91c88c50d3cb5d6c7c84fcc2,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
15,ChIJLxrEcMie4jARb4KfjpcicvA,momondo,momondo.com,否,https://www.momondo.com/semi/ha/hotel_ads/60186/en.html?utm_source=google&utm_medium=cpc&utm_term=60186&adType=0&utm_content=mapresults&utm_campaign=HotelAds&ci=2026-09-23&co=2026-09-24&gs=mapresults&l=1&pc=USD&rid=&pdtax=10.85&pdtotal=60.75&rpid=&uc=US&ucuc=USD&d=desktop&lc=en&v=false&rrid=UFJJQ0VMSU5FQ09SRQ&k_pc=~UFJJQ0VMSU5FQ09SRQ&k_rt=&k_sid=1IBEQGqql5&k_kct=1788416507&k_gct=1788423664&g=2&r=1&ac=2&k_cc=us&dt=default&cmpid=&cmptrack=,d5114811fd256bf651a639df308beb23d96bf95c85223f1d717f8d517bd31d30,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
16,ChIJLxrEcMie4jARb4KfjpcicvA,stayforlong,Stayforlong.com,否,https://www.stayforlong.com/hotel-detail/22451?checkin=2026-09-23&checkout=2026-09-24&adults=2&metadevice=desktop&aid=gha&market=us&lang=en&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source=meta,e21e058bd1ae577af139f5281cf53fa967758f31e6d250d1988c1fdad141df1f,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
17,ChIJLxrEcMie4jARb4KfjpcicvA,travelup,TravelUP,否,https://www.travelup.com/en-us/thailand/bangkok/baiyoke-sky?prp=8460&cur=USD&lan=en&CI=2026-09-23&CO=2026-09-24&rm1_a=2&rm1_c=null&ref=google_en-us&utm_campaign=en-us&utm_content=/thailand/bangkok/baiyoke-sky&utm_medium=metasearch_hotel&utm_source=google_en-us&utm_term=8460,9230740a9d888968190b2718443b4b6a99eff94f015199bb0501e09e54bd40c0,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
18,ChIJLxrEcMie4jARb4KfjpcicvA,easemytrip,EaseMyTrip.com,否,https://www.easemytrip.com/hotels/metasearch.aspx?hotelID=EMTHOTEL-8515&checkinDay=23&checkinMonth=09&checkinYear=2026&nights=1&adlts=2&p=67.92|10.22|USD&pl=US|desktop&curr=USD&clickId=&wlcode=Google&children=0,01667cde9eeb3590bf7b6ebca59d55c58f1e781722420986bbf89c253c5c6435,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
19,ChIJLxrEcMie4jARb4KfjpcicvA,dealbase,dealbase.com,否,https://deals.dealbase.com/?sig=d24b78db5ff27b2a7633c125e8c1eb65fcdd29bfbe8d2468da3702f8e475011131373338383435313339&turl=https%3A%2F%2Fwww.dealbase.com%2FHotel%2FSearch%3FcheckIn%3D2026-09-23%26checkOut%3D2026-09-24%26currency%3DUSD%26forceCurrencyChange%3D1%26lang%3Den%26forceLanguageChange%3D1%26rooms%3D2%3A%26utm_source%3Dgha%26utm_medium%3Dcpc%26hotelId%3D1196741%26userCountry%3DUS%26profile%3Dr2d2m73kn8%26preferredRate%3D60.75%26deviceType%3Ddesktop%26label%3Dsrc%253Dgha%2526cltype%253Dhotel%2526datype%253Ddefault%2526gsite%253Dmapresults%2526vf%253D0%2526ucountry%253DUS%2526udevice%253Ddesktop%2526hotel%253D1196741%2526day%253D23%2526month%253D09%2526year%253D2026%2526los%253D1%2526price%253D60.75%2526currency%253DUSD%2526cid%253D%2526listid%253D%2526rateid%253DUS_D%2526closerateid%253D%2526promo%253D0%2526isPrivateRate%253D0%2526isAudienceUser%253D0%2526isPaidClick%253D0%2526%26cp%3DvajNSEu8pZ8fZBlYChEI_iYQzAUY8QIiA1VTRFIBMhIaFaGHz-saC01UU09ZeUZJMVowKAIwt9rk1AY,adb27efb07f1182871609e37b315a50d65bd90e55d963370a8d408d9784624e3,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
20,ChIJLxrEcMie4jARb4KfjpcicvA,traveloka,Traveloka.com,否,https://www.traveloka.com/en-en/hotel/search?spec=23-09-2026.24-09-2026.1.1.HOTEL_GEO.10000045.Bangkok.2&hotelId=1000000170991&contexts=%7B%22accessCode%22:%2290975GHAD1305desktop%22%2C%22metasearchRequestId%22%3A%22060c9153-1c12-4785-8d89-f76127892ed7%22%2C%22dateSelectionType%22%3A%22default%22%2C%22plc%22%3A%22JLiZ6gNSM2TGndxQb43uaDGTn8k9r%2Fa%2FFL19IW%2BRTYpiXtKQn36IMvKjXIeQ7TjndYTSt%2B8JWfyGPiGI2%2F6pDw%3D%3D%22%2C%22pvlc%22%3A%22HVI%2BUOQDvk8WwdiRriHbOidm5yBP59UBp5rT2kr3cRSRQetJNxA7RmQV%2BGLnSgOj%22%7D&metasearchId=GoogleHotelAdsUser&metasearchRateId=desktop&metasearchRatekey_redacted=1&priceDisplay=NIGHT&metasearchRefid=12345678910abcdefghijk@-&adType=0&PPA=0&hotelCampaign=1&cur=USD,7a4e425cf0eaa66c3c25c734e81aa688818fa4db5d862354b42c355cdd54a35d,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
21,ChIJi-YG88We4jARAkpfrYgaG-A,official_travelanium,The Berkeley Hotel Pratunam,是,https://reservation.travelanium.net/propertyibe2/rates?propertyId=651&onlineId=28&checkin=2026-11-05&checkout=2026-11-06&numofadult=2&numofchild=0&numofroom=1&accesscode=GoogleMSE&lang=zh&currency=USD&uc=US&hrid=&hpid=&utm_source=ghotelads&gh_cfg=&gh_advbookingw=63&gh_campaignid=&gh_clicktype=hotel&gh_closerateruleids=&gh_datetype=default&gh_googlesite=mapresults&gh_partnercurrency=THB&gh_pricedisplayedtax=10.31&gh_pricedisplayedtotal=68.58&gh_userdevice=desktop&gh_userlistid=&gh_verification=false&gh_adtype=0,53b05b53f655c99ffa4f05f4876fd977520e2bcdf01b9d2124150575c1e2ce8a,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
22,ChIJi-YG88We4jARAkpfrYgaG-A,klook,klook,否,https://api.klktech.com/v1/meta/hotels/detail/578442/?hotelid=578442&check_in=2026-11-05&check_out=2026-11-06&aid=28539&campaignid=&adult_num=2&lead_time=63&child_num=0&childages=&room_num=1&google_site=mapresults&length_of_stay=1&partner_currency=USD&click_type=hotel&click_price_total=69.21&price_tax=10.41&price_fees=0.00&rate_key_redacted=1&user_country=US&click_currency=USD&_currency=USD&device=desktop&partner_hotelid=578442&language=zh&audience_list=&verification=false&booking_source=cpc&isPromoted=0&utm_source=MSE&utm_medium=Google&utm_campaign=28539&utm_term=578442&utm_content=USD&isAdClick=0&prid=Foreign-Other&arrival_fees=0.000&lowest=true&mse_trace_id=MTFjYTMwYy0xMWNhMzBjLTI3ODg0MjM4OTguZi5vOjE6MDoyOjA6MTozMDg6MzA5OlRX&mse_search_token=MTFjYTMwYy0xMWNhMzBjLTI3ODg0MjM4OTguZi5vOjE6MDoyOjA6MTozMDg6MzA5OlRX&price_total=USD-69.210&price_type=Inbound-desktop&klc_l1=MSE&klc_l2=Google&age=,a47b5e22d00041c8fbccdb5862c4341a65e488bd4eed50cb99c927ebd9930923,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
23,ChIJi-YG88We4jARAkpfrYgaG-A,kayak,KAYAK.com,否,https://www.kayak.com/semi/ha/hotel_ads/561059/en.html?utm_source=google&utm_medium=cpc&utm_term=561059&adType=0&utm_content=mapresults&utm_campaign=HotelAds&ci=2026-11-05&co=2026-11-06&gs=mapresults&l=1&pc=USD&rid=&pdtax=12.35&pdtotal=68.38&rpid=&uc=US&ucuc=USD&d=desktop&lc=zh&v=false&rrid=UFJJQ0VMSU5FQ09SRQ&k_pc=~UFJJQ0VMSU5FQ09SRQ&k_rt=&k_sid=uHFESSxIUI&k_kct=1788418333&k_gct=1788422248&g=2&r=1&ac=2&k_cc=us&dt=default&cmpid=&cmptrack=,40c98932cd1ebb529dbd732254ec6d577bad48b4eb956a1ae12731513c5d1e23,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
24,ChIJi-YG88We4jARAkpfrYgaG-A,hotelscombined,Hotelscombined.com,否,https://www.hotelscombined.com/semi/ha/hotel_ads/561059/en.html?utm_source=google&utm_medium=cpc&utm_term=561059&adType=0&utm_content=mapresults&utm_campaign=HotelAds&ci=2026-11-05&co=2026-11-06&gs=mapresults&l=1&pc=USD&rid=&pdtax=12.35&pdtotal=68.38&rpid=&uc=US&ucuc=USD&d=desktop&lc=zh&v=false&rrid=UFJJQ0VMSU5FQ09SRQ&k_pc=~UFJJQ0VMSU5FQ09SRQ&k_rt=&k_sid=uHGERysYS9&k_kct=1788418333&k_gct=1788422247&g=2&r=1&ac=2&k_cc=us&dt=default&cmpid=&cmptrack=,085a1f491afbe0627314eb144740952faf6cfa39c0e516c45631cc9991438498,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
25,ChIJi-YG88We4jARAkpfrYgaG-A,momondo,momondo.com,否,https://www.momondo.com/semi/ha/hotel_ads/561059/en.html?utm_source=google&utm_medium=cpc&utm_term=561059&adType=0&utm_content=mapresults&utm_campaign=HotelAds&ci=2026-11-05&co=2026-11-06&gs=mapresults&l=1&pc=USD&rid=&pdtax=12.35&pdtotal=68.38&rpid=&uc=US&ucuc=USD&d=desktop&lc=zh&v=false&rrid=UFJJQ0VMSU5FQ09SRQ&k_pc=~UFJJQ0VMSU5FQ09SRQ&k_rt=&k_sid=1FDEP3fWjR&k_kct=1788417991&k_gct=1788418112&g=2&r=1&ac=2&k_cc=us&dt=default&cmpid=&cmptrack=,63e156e5f7ce7e44f207ad1f9228ff95ba8585415106401447f208c4f1b2c069,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
