酒店ID,标准平台ID,原始平台名称,是否官网,采集通道,采集优先级,URL解析状态,房型采集状态,房型数量,售卖方案数量,结构核验状态,可达性核验状态,身份核验状态,机器质量等级,是否可进入比价,阻断原因,最近采集时间,采集批次ID,记录哈希
ChIJ-6FuuG6Z4jARsMd39e0lG4w,goseek,goseek.com,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,6e81f26c5aa876674d2e289e4a9fe104c01caa82233ca9587c940cc0469c7107
ChIJ-6FuuG6Z4jARsMd39e0lG4w,hostelworld,Hostelworld,否,precision,first,静态详情URL已确认,尚未采集,0,0,通过,已确认,待核验,T1,否,URL结构已固化，尚未取得房型与售卖方案,,20260904-093453-csv-761aec95,c25811ae9ccb84760491a92329f4b1c22cd148b370de8a7c1130b77f916768e6
ChIJ-6FuuG6Z4jARsMd39e0lG4w,hotels,Hotels.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,31ae6905a0fa2528babbc09621469fc6d69cd49c440ee9644c9226eb30a73b7b
ChIJ-6FuuG6Z4jARsMd39e0lG4w,hotelscombined,Hotelscombined.com,否,probe,probe,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,3557b49276b31694a9723b40907c4408b5db96447c4e613283093e933689d276
ChIJ-6FuuG6Z4jARsMd39e0lG4w,hutchgo,hutchgo (Hutchison Travel Limited),否,precision,second,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,25de16969601014c2b87e3608f0384ee58ec2ac7f2d478992728f6e4fa3d0eef
ChIJ-6FuuG6Z4jARsMd39e0lG4w,kayak,KAYAK.com,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,316c06195a7e8da3e04674c7c073e05aa24c7276be41527df6140b3b80af6562
ChIJ-6FuuG6Z4jARsMd39e0lG4w,momondo,momondo.com,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,a139b76c0c392fc6463afba732cf05a0deb79ce607b4b5b9b68a9abec55565a1
ChIJ-6FuuG6Z4jARsMd39e0lG4w,orbitz,Orbitz.com,否,api,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,44ae50fb710fd7f042771e4941062e16622eebad3a7e655ff4072c185a5e662b
ChIJ-6FuuG6Z4jARsMd39e0lG4w,priceline,Priceline,否,precision,second,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,e2ebb9d794bd9e31e5d49897e91f453e28b082ca1edbc742b2ea2282f82e51f6
ChIJ-6FuuG6Z4jARsMd39e0lG4w,reserving,Reserving,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,fee16cc18834a9752264048216f516b0c7a0dc49d292bff7578a99decca7883e
ChIJ-6FuuG6Z4jARsMd39e0lG4w,travelocity,Travelocity.com,否,api,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,bcfdf6823ea655672374aed17702c6a483d755153839a006cd59cde6d903fb90
ChIJ-6FuuG6Z4jARsMd39e0lG4w,trip,Trip.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,4f08ec177e59a522dcf2d45241ecd66f8408cd772a382cd852fb5dcf5f64491e
ChIJ-6FuuG6Z4jARsMd39e0lG4w,tripadvisor,Tripadvisor.com,否,probe,probe,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,86c1022aa7f01a335b8af5e58b55862e6ef029e940a6978e6880d1a9a191e848
ChIJ-6FuuG6Z4jARsMd39e0lG4w,vio,Vio.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,f3e14b707d2572bd6de7258734c0291cf346ed6081ed542068a4f76a786b09be
ChIJ-Sb3zOSb4jARgu8wsvnPeDE,bluepillow,Bluepillow.com,否,probe,probe,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,07f5ff24fe766ac9ab67ae96ad3decf008405c6b66f78da46be24a82d00dc94f
ChIJ-Sb3zOSb4jARgu8wsvnPeDE,booking,Booking.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,af079878fe5f817abf246dbd82168e6a9d6188c8d7934e75956b51a9d11d9153
ChIJ-Sb3zOSb4jARgu8wsvnPeDE,tripadvisor,Tripadvisor.com,否,probe,probe,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,f21cc2a77fb6e6601f6bc89bef2d5e51959bd5a40c839e694e709b3f8762c984
ChIJ-Sb3zOSb4jARgu8wsvnPeDE,wego,Wego,否,probe,probe,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,1d3f8c86c1b29b61c0ffe4735ea8fc8cfb04e3b2d845dacfc5544f6b4d4763fe
ChIJ-Vw_G8yZ4jARHG4N56HvjF4,agoda,Agoda,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,2e02652aaf5b6b2063790b975bf645045d6959d78a9973ea522712f36818d8ca
ChIJ-Vw_G8yZ4jARHG4N56HvjF4,bluepillow,Bluepillow.com,否,probe,probe,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,c439c209cf359d15f2006d516ce6300dd7143cf521c3c55dcb2d60d17fb9ac38
ChIJ-Vw_G8yZ4jARHG4N56HvjF4,booking,Booking.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,a65dceae77a22f749cf324ddf109b65aa9cf7fc275e2cb48e031d2bb7932e3ff
ChIJ-Vw_G8yZ4jARHG4N56HvjF4,official_other,Victora Hostel,是,precision,official,待浏览器解析,尚未采集,0,0,待补齐,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,0e7ddb87c0f37412bbcb63e0d6edb2fe2518f3c5f7512b5e6008f7aa8626d523
ChIJ-Vw_G8yZ4jARHG4N56HvjF4,trip,Trip.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,120c45485353babf4905c2d44b6e7b0050c20427560ca91214ff8c08adcd38d0
ChIJ-Y2_bwCZ4jARi6v36my_of0,bluepillow,Bluepillow.com,否,probe,probe,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,9c2f730060dd7be390ca515becfe10c8e78781272c4070c9e98f6324869bba73
ChIJ-Y2_bwCZ4jARi6v36my_of0,closest_hotel,Closest Hotel,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,0c6df86bb245eb56ca74f82119fbd11e8dc8ddc4f26dd46270513f285e60e0fd
ChIJ-Y2_bwCZ4jARi6v36my_of0,kiwi,Kiwi.com,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,6d840f3e97b9a37689a852babeda01053320e5cdffbfa1d6d5789d3bf70a6ba2
ChIJ-Y2_bwCZ4jARi6v36my_of0,klook,klook,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,ba9c621cef463a0266b0d49229bedbb75819db104652bd10b55ed2d5f3b5199c
ChIJ-Y2_bwCZ4jARi6v36my_of0,wego,Wego,否,probe,probe,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,f00d2c90d41561d9af5d70fda5afd5ca32547a0fe7f692ae9fb7be87b669bc29
ChIJ-c66SGaZ4jARzsYzU5huKc4,agoda,Agoda,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,eb2de51c61057ed3ff1ea02ca2de835bce45b4dd95990724f15cf71b3ce6a342
ChIJ-c66SGaZ4jARzsYzU5huKc4,bluepillow,Bluepillow.com,否,probe,probe,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,06ceaab636f38e3f677cc9d776c410b7e1b93c9ebce1885d05a567505c4b86aa
ChIJ-c66SGaZ4jARzsYzU5huKc4,booking,Booking.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,e61565ba8f6f21cdb87013db6c66881aeb4fd118436022217decd344ed6610da
ChIJ-c66SGaZ4jARzsYzU5huKc4,etrip,Etrip.net,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,d0532b2cb9c625ecc9d32fac1c470beb2eb73acadb6a94d2cc8dc34e0bf45338
ChIJ-c66SGaZ4jARzsYzU5huKc4,tripadvisor,Tripadvisor.com,否,probe,probe,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,aea294c860189eb4fe3f07e8dd5ab669e9c702b3c667ad32cbd419dbe6e2924c
ChIJ-c66SGaZ4jARzsYzU5huKc4,vio,Vio.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,abc4cf6feed7a2fd94b71efa2bf793172b81c09a3916387283ca7305d8d00d2b
ChIJ07K8EcSe4jARoohwGdJ8c30,agoda,Agoda,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,4a1264725183611a4eee1401fc5578f6107553dc0a9f77fa64ed75ca23f55f77
ChIJ07K8EcSe4jARoohwGdJ8c30,cheaptickets,CheapTickets.com,否,api,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,6f49a171350a1727d23eae25836640458dfb74c8786945a3bc9be3df607e6875
ChIJ07K8EcSe4jARoohwGdJ8c30,easemytrip,EaseMyTrip.com,否,precision,second,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,3b587cf3a74c6a90af5d9cef96f7f0b17970d0ca8e341f2b7e8fcf9767ecd351
ChIJ07K8EcSe4jARoohwGdJ8c30,edreams,eDreams,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,f4625a1baed493991e2c2b087c0e626e0364b7f8fdc787762b1e3061958a5e7f
ChIJ07K8EcSe4jARoohwGdJ8c30,expedia,Expedia.com,否,api,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,723c89755f2ee6f145ac266089606c0d5bf320c05e036a76fd2c83df650d0843
ChIJ07K8EcSe4jARoohwGdJ8c30,hotels,Hotels.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,09c6f48bfc72a5bc196fe22ce09aa8e1319f8d637131f7886c4072559978bc01
ChIJ07K8EcSe4jARoohwGdJ8c30,hutchgo,hutchgo (Hutchison Travel Limited),否,precision,second,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,dca61e97473d4f944539639bbfce039381197c907786d944df1cb1d720302ad7
ChIJ07K8EcSe4jARoohwGdJ8c30,orbitz,Orbitz.com,否,api,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,1bb6584e5b043fa395ecd6cf4085c4134a536d0657eeeaf12a95a8a887f53c81
ChIJ07K8EcSe4jARoohwGdJ8c30,travelocity,Travelocity.com,否,api,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,a699c02c245dc413c5a7256c9acdfc91f2af8f4bf413754eae70167bd3b51f1c
ChIJ07K8EcSe4jARoohwGdJ8c30,traveloka,Traveloka.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,e2044396e3b26cf288036c7765394b6a075f60051d3e9e79dd69818f783573f2
ChIJ07K8EcSe4jARoohwGdJ8c30,trip,Trip.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,2e03ffe04d2d3e5a0d72643130ccd1a6536732b9c18c6a679960102ef2a237ed
ChIJ07K8EcSe4jARoohwGdJ8c30,tripening,Tripening Hotels,否,none,none,静态详情URL已确认,尚未采集,0,0,通过,已确认,待核验,T1,否,URL结构已固化，尚未取得房型与售卖方案,,20260904-093453-csv-761aec95,cff5ca0453a45378c59bdea811376617796efe1aa7d1ef94b247b370229d3314
ChIJ0SC4HpeZ4jARUbaODgkgCmc,agoda,Agoda,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,e3919d6db0bcffa1cf408643bd583cd4b077f8c17dd7804cd59b669b635b71fd
ChIJ0SC4HpeZ4jARUbaODgkgCmc,catchit,Catchit.com,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,67626b1666c6fa7aa8da621158c64010ed6c3cde8d9a797b8fbef05d9e8ba230
ChIJ0SC4HpeZ4jARUbaODgkgCmc,cheaptickets,CheapTickets.com,否,api,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,6d719961ceec6d1566648f27ea0e70fa72fa34e48b00c4ba098745d151f9ccca
ChIJ0SC4HpeZ4jARUbaODgkgCmc,edreams,eDreams,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,b4223f5295f92161bb7fbf351c3340eaad027876b50d2fbc4420e102f4192b56
ChIJ0SC4HpeZ4jARUbaODgkgCmc,etrip,Etrip.net,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,a63381a39e7894e5f4dbe0d91bd44001d6fa8d0dd31fcdf8a39b65be6425c911
ChIJ0SC4HpeZ4jARUbaODgkgCmc,expedia,Expedia.com,否,api,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,f837778a4e1c4c7210b8b315cacf9ca77a9bb958c1bdda28e02319202b24e1d5
ChIJ0SC4HpeZ4jARUbaODgkgCmc,hotels,Hotels.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,950411dfd4412cfae9c42b5e1db0d3a3016c7959f8eb7a52cece523e29c49388
ChIJ0SC4HpeZ4jARUbaODgkgCmc,orbitz,Orbitz.com,否,api,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,a1e530a592177a8518a883bdffd6c3ae8a308feb01a899ea4677a91e51fd5007
ChIJ0SC4HpeZ4jARUbaODgkgCmc,priceline,Priceline,否,precision,second,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,b71eadf90d09658aa50ce86ad5845d0fc124bd0987f7540834bf05c725516f7a
ChIJ0SC4HpeZ4jARUbaODgkgCmc,travelocity,Travelocity.com,否,api,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,c6b832736e1e8bb1469a34dd19029a6279234bb6a1c0b590e0be8154036b301b
ChIJ0SC4HpeZ4jARUbaODgkgCmc,traveloka,Traveloka.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,cb7c4f47bab06bb2b4fbe2b8f8b6a54b2b267d129a6cd5465615b6c2e028911f
ChIJ0SC4HpeZ4jARUbaODgkgCmc,trip,Trip.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,81fb2161e78b302689e695d51ed0e4c87feeefb28c8613c4bec4c569da814084
ChIJ0SC4HpeZ4jARUbaODgkgCmc,vio,Vio.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,d86271176fababcabfcba62519a5812ef123e3d354de45a2830859adfb389a40
ChIJ0SC4HpeZ4jARUbaODgkgCmc,wego,Wego,否,probe,probe,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,d5b6fa56ec8be88d492babda4b1cdd61453977e07128d6b92dd984a3f08096eb
ChIJ0Z5yTVuZ4jARUubHSSSzxhc,agoda,Agoda,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,d4b471323a91a983cd29e6d222a442dcb0bf3627bbd7e89d9bb18986b62fb99f
ChIJ0Z5yTVuZ4jARUubHSSSzxhc,bluepillow,Bluepillow.com,否,probe,probe,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,036fd3dfa70a0239cc22a6af02ee29de0b90a46ec3d5816ac0766229cb84656a
ChIJ0Z5yTVuZ4jARUubHSSSzxhc,booking,Booking.com,否,precision,first,末级详情URL已确认,页面未解析到房型,0,0,待补齐,已确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,2026-09-04T09:33:13-07:00,20260904-093453-csv-761aec95,bca628794d84fe9604dd159cc53ee6b98fe019d7186b77488e10404163235142
ChIJ0Z5yTVuZ4jARUubHSSSzxhc,cheaptickets,CheapTickets.com,否,api,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,734bb3ca92eabf23c30aabe07ce36b0335b474743d77c924b3977665b122f4c5
ChIJ0Z5yTVuZ4jARUubHSSSzxhc,closest_hotel,Closest Hotel,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,57d73db3fdd29bee4a8ed8985bcab9b216c2c44bdbf86da66582141ad5f4870a
ChIJ0Z5yTVuZ4jARUubHSSSzxhc,dealbase,dealbase.com,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,f7232e70b81c877ae7754cd53cf51d5c420238ee5d29e6dc5ea25ca046ce53d3
ChIJ0Z5yTVuZ4jARUubHSSSzxhc,easemytrip,EaseMyTrip.com,否,precision,second,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,2ed224f30f808afa17302d7d78e151ab751817edf50b1a3b950a93535963f861
ChIJ0Z5yTVuZ4jARUubHSSSzxhc,edreams,eDreams,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,5c9f04d6d86c127f2430a4aeb43002a878bde93d8aeb2e7340d30f84769545bd
ChIJ0Z5yTVuZ4jARUubHSSSzxhc,etrip,Etrip.net,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,c3cd0690144ec9f36113f81d2d819aec34eec802e377b6fcddcf479330e78510
ChIJ0Z5yTVuZ4jARUubHSSSzxhc,evendo,Evendo,否,none,none,静态详情URL已确认,尚未采集,0,0,通过,已确认,待核验,T1,否,URL结构已固化，尚未取得房型与售卖方案,,20260904-093453-csv-761aec95,bd4c559e2e09c542aeb4675ddbdb1b9c2665070cba6c3ef93e99c028481eebac
ChIJ0Z5yTVuZ4jARUubHSSSzxhc,expedia,Expedia.com,否,api,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,e69f5d0e5103b88e232e976ed86015a14dea93b3b0a2e70ce99221962cd55073
ChIJ0Z5yTVuZ4jARUubHSSSzxhc,goseek,goseek.com,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,773157109b6fa207693809307206cdf58c7583bd3f70f796a758bad978f2d5ff
ChIJ0Z5yTVuZ4jARUubHSSSzxhc,hotels,Hotels.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,f3545f44dfffc54064a867959f3265eab01d97a44377dc8b2b5686666dbdfc5e
