酒店ID,详情URL,失败原因,尝试次数,时间
114597216,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114597216&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:32:27
702333,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=702333&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:32:40
702109,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=702109&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:32:49
114543500,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114543500&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:32:55
122482670,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=122482670&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:49:46
996515,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=996515&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:49:53
8059895,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=8059895&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:50:02
996361,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=996361&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:50:08
47124469,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=47124469&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:50:17
1713796,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1713796&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:50:24
53297680,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=53297680&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:50:41
701051,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=701051&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:50:51
114651663,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114651663&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:50:59
33430002,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=33430002&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:51:09
132250203,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=132250203&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:51:16
100811418,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100811418&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 04:51:24
701920,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=701920&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:06:35
701908,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=701908&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:06:42
134161721,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=134161721&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:06:49
122760211,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=122760211&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:06:57
701885,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=701885&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:07:04
702101,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=702101&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:07:11
5907269,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=5907269&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:07:20
114329911,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114329911&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:22:55
7614733,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=7614733&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:39:27
702830,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=702830&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:39:34
114665902,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114665902&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:39:42
700707,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=700707&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:55:15
26439754,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=26439754&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:55:23
101482459,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101482459&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:55:32
702466,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=702466&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:55:38
103565011,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=103565011&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:55:45
1463080,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1463080&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:55:51
114057699,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114057699&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:55:58
5994318,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=5994318&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:56:04
55958642,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=55958642&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:56:14
133407226,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=133407226&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:56:20
105314847,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=105314847&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:56:27
126227255,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=126227255&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:56:34
996764,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=996764&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:56:50
6078508,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=6078508&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:56:57
88774819,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=88774819&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:57:05
133340077,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=133340077&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:57:13
49991441,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=49991441&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:57:20
71398109,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=71398109&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,"PageDisconnectedError: 
与页面的连接已断开。
版本: 4.2.0b2",1,2026-09-01 05:59:14
