Google地点ID,业务类别,地点名称,泰文名称,Google主要类型,主要类别,评分,评价数量,完整地址,纬度,经度,县区中文名,乡分区中文名,每周营业时间,电话,官方网站,设施与服务标签,编辑简介,Google地图链接
ChIJH2h86IGe4jARyjZ6wppSlkQ,酒店住宿,曼谷亚洲酒店,โรงแรมเอเชีย กรุงเทพฯ,hotel,宾馆,4.0,7109,"296 Phaya Thai Rd, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Krung Thep Maha Nakhon 10400",13.751346,100.5311,拉差贴威县,Thanon Phetchaburi,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 2 217 0808,http://www.asiahotel.co.th/asia_bangkok/,适合儿童|无障碍入口|无障碍停车,这家休闲酒店内设风格简约的客房和套房，还有 1 个室外泳池、1 间大堂酒吧和 3 间餐厅。,https://maps.google.com/?cid=4942228465726928586&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJSVunAABjHTERGK4GdnUtbXs,酒店住宿,曼谷洲际酒店,อินเตอร์คอนติเนนตัล กรุงเทพฯ,hotel,宾馆,4.6,7085,"973 Thanon Phloen Chit, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330",13.745097,100.541347,巴吞旺县,Lumphini,,+66 2 656 0444,https://www.ihg.com/redirect?path=hd&localeCode=en&brandCode=IC&regionCode=TH&hotelCode=BKKHB&cm_mmc=GoogleMaps-_-IC-_-TH-_-BKKHB,适合儿童|无障碍入口|无障碍停车,时尚高层酒店，内设精致客房和套房、高级餐厅、酒吧/酒廊和水疗中心。,https://maps.google.com/?cid=8893814821641170456&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJBZzqkTSf4jARU9hgwC1mlvA,酒店住宿,JC Kevin 酒店,โรงแรมเจซี เควิน,,5 星级酒店,4.4,7030,"36 Naradhiwas Rajanagarindra Rd, Yan Nawa, Sathon, Bangkok 10120泰国",13.716341,100.531591,沙吞县,Yan Nawa,,+66 2 210 9000,https://jckevin.com,,,https://www.google.com/maps/place/JC+Kevin+%E9%85%92%E5%BA%97/data=!4m10!3m9!1s0x30e29f3491ea9c05:0xf096662dc060d853!5m2!4m1!1i2!8m2!3d13.7163412!4d100.5315907!16s%2Fm%2F03d0fdt!19sChIJBZzqkTSf4jARU9hgwC1mlvA?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJrfU90s2e4jARs0XZP2DZ4jM,酒店住宿,曼谷暹罗凯宾斯基酒店,โรงแรมสยามเคมปินสกี้ กรุงเทพฯ,hotel,宾馆,4.7,6976,"991, 9 Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330",13.748401,100.534844,巴吞旺县,Pathum Wan,,+66 2 162 9000,https://www.kempinski.com/en/siam-hotel?utm_medium=organic&utm_source=google&utm_campaign=KIBKK1&utm_content=gmb&source=S308962248,适合儿童|无障碍入口|无障碍停车,精致酒店，内设豪华客房和套房，另有户外泳池、豪华水疗中心和备受赞誉的餐厅。,https://maps.google.com/?cid=3738789648082224563&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJs6CnycSY4jAR5cqJZjPOsgs,酒店住宿,曼谷文华东方酒店,โรงแรมแมนดาริน โอเรียนเต็ล กรุงเทพฯ,hotel,宾馆,4.7,6702,"48 Oriental Ave, Khwaeng Bang Rak, Khet Bang Rak, Krung Thep Maha Nakhon 10500",13.723616,100.514317,挽叻县,Bang Rak,,+66 2 659 9000,https://www.mandarinoriental.com/en/bangkok/chao-phraya-river?src=loc.yext.mobkk.ggl,适合儿童|无障碍入口|无障碍停车,豪华的地标式酒店，内设 9 间精致餐厅、2 个室外泳池和 1 间豪华水疗中心。,https://maps.google.com/?cid=842962800430664421&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ_VRiedCe4jAROVhWzyN8hJ4,酒店住宿,曼谷爱侣湾君悦酒店,แกรนด์ ไฮแอท เอราวัณ กรุงเทพฯ,hotel,宾馆,4.6,6287,"494 Thanon Ratchadamri, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330",13.74333,100.540603,巴吞旺县,Lumphini,,+66 2 254 1234,https://www.hyatt.com/grand-hyatt/en-US/bangh-grand-hyatt-erawan-bangkok?src=corp_lclb_google_seo_bangh&utm_source=google&utm_medium=organic&utm_campaign=lmr,适合儿童|适合团体|无障碍入口|无障碍停车,高档酒店，内设精致餐厅和酒吧，另有室外泳池、水疗中心和网球场。,https://maps.google.com/?cid=11422391048162662457&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJF41Gxqyf4jARbUM2nainGDo,酒店住宿,Grande Centre Point Sukhumvit 55,แกรนด์ เซ็นเตอร์พอยต์ สุขุมวิท 55,,5 星级酒店,4.6,5748,"300 Thong Lo, Khlong Tan Nuea, Watthana, Bangkok 10110泰国",13.731739,100.582447,宛他那县,Khlong Tan Nuea,,+66 2 020 8000,https://grandecentrepointsukhumvit55.com,,,https://www.google.com/maps/place/Grande+Centre+Point+Sukhumvit+55/data=!4m10!3m9!1s0x30e29facc6468d17:0x3a18a7a89d36436d!5m2!4m1!1i2!8m2!3d13.7317388!4d100.5824466!16s%2Fg%2F11c0qgz9sn!19sChIJF41Gxqyf4jARbUM2nainGDo?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJcZl8ESiZ4jARrDpFbQREPVs,酒店住宿,"Mandarin Hotel Bangkok, managed by Centre Point",โรงแรมแมนดาริน กรุงเทพฯ บริหารโดยเซ็นเตอร์พอยท์,hotel,4 星级酒店,4.4,5655,"662 Rama IV Rd, Maha Phruttharam, Bang Rak, Bangkok 10500泰国",13.733146,100.527157,挽叻县,玛哈拍他喃区,,+66 2 238 0230,https://mandarin-bkk.com,适合儿童|无障碍入口|无障碍停车,休闲酒店，内设明亮客房及套房，享有城市风光，另设 1 间水疗中心、1 个泳池和 2 间餐厅。,"https://www.google.com/maps/place/Mandarin+Hotel+Bangkok,+managed+by+Centre+Point/data=!4m10!3m9!1s0x30e29928117c9971:0x5b3d44046d453aac!5m2!4m1!1i2!8m2!3d13.7331462!4d100.5271574!16s%2Fg%2F12156cpt!19sChIJcZl8ESiZ4jARrDpFbQREPVs?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1"
ChIJdVXvpd-Z4jARDoA7i2g1dyY,酒店住宿,The Salil Hotel Riverside - Bangkok,โรงแรมเดอะสลิล ริเวอร์ไซด์ - กรุงเทพมหานคร,,5 星级酒店,4.8,5343,"2052/7-9 Soi Charoen Krung 72/1, Wat Phraya Krai, Bang Kho Laem, Bangkok 10120泰国",13.70793,100.507355,曼柯廉县,Wat Phraya Krai,,+66 2 844 8787,https://thesalilriverside.com,,,https://www.google.com/maps/place/The+Salil+Hotel+Riverside+-+Bangkok/data=!4m10!3m9!1s0x30e299dfa5ef5575:0x267735688b3b800e!5m2!4m1!1i2!8m2!3d13.7079304!4d100.5073545!16s%2Fg%2F11rqz9bdd3!19sChIJdVXvpd-Z4jARDoA7i2g1dyY?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJ_zP3fy-Z4jARWYaBArPXGAg,酒店住宿,The Twin Towers Hotel,โรงแรมเดอะทวินทาวเวอร์,hotel,宾馆,4.2,5275,"88 Thanon Rama VI, Khwaeng Rong Muang, Pathum Wan, Krung Thep Maha Nakhon 10330",13.745644,100.520275,巴吞旺县,Rong Mueang,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 2 216 9555,http://www.thetwintowershotel.com/,适合儿童|无障碍入口|无障碍停车,高档酒店，内设通风良好的客房，另有 4 间餐厅、1 个泳池、1 间健身房和多项会议设施。,https://maps.google.com/?cid=583453315585640025&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJMckScdqe4jARnCUZdPKRjF8,酒店住宿,曼谷叻南里路中心点酒店,โรงแรมเซ็นเตอร์พอยท์ ราชน้ำริ กรุงเทพฯ,,5 星级酒店,4.5,4903,"153, 2 Ratchadamri Rd, Lumphini, Pathum Wan, Bangkok 10330泰国",13.741724,100.541049,巴吞旺县,Lumphini,,+66 2 091 9000,https://grandecentrepointratchadamri.com,,,https://www.google.com/maps/place/%E6%9B%BC%E8%B0%B7%E5%8F%BB%E5%8D%97%E9%87%8C%E8%B7%AF%E4%B8%AD%E5%BF%83%E7%82%B9%E9%85%92%E5%BA%97/data=!4m10!3m9!1s0x30e29eda7112c931:0x5f8c91f27419259c!5m2!4m1!1i2!8m2!3d13.7417243!4d100.5410489!16s%2Fg%2F11bbsxyg13!19sChIJMckScdqe4jARnCUZdPKRjF8?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJP83yBsae4jARWiFRw2oJrJo,酒店住宿,Centara Watergate Pavilion Hotel Bangkok,โรงแรมเซ็นทารา วอเตอร์เกท พาวิลเลียน กรุงเทพฯ,,4 星级酒店,4.5,4457,"567 Ratchaprarop Rd, Makkasan, Ratchathewi, Bangkok 10400泰国",13.751393,100.542261,拉差贴威县,Makkasan,,+66 2 625 1234,https://centarahotelsresorts.com,,,https://www.google.com/maps/place/Centara+Watergate+Pavilion+Hotel+Bangkok/data=!4m10!3m9!1s0x30e29ec606f2cd3f:0x9aac096ac351215a!5m2!4m1!1i2!8m2!3d13.7513927!4d100.542261!16s%2Fg%2F1pp2t_3jh!19sChIJP83yBsae4jARWiFRw2oJrJo?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJ6z-CdSGZ4jARojKsdCG8GME,酒店住宿,曼谷大华大酒店,โรงแรมแกรนด์ ไชน่า,hotel,宾馆,4.2,4398,"215 Yaowarat Rd, Khwaeng Samphanthawong, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.742872,100.507036,三攀他旺县,Samphanthawong,,+66 2 224 9977,http://www.grandchina.com/,适合儿童|无障碍入口|无障碍停车,这家时髦酒店内设精致客房、时尚酒廊和宴会厅，并供应高档中餐。,https://maps.google.com/?cid=13914077900638532258&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJxxAJDtGY4jARZztX61p9WAM,酒店住宿,曼谷素里翁路万豪酒店,โรงแรมแบงค็อกแมริออท ถนนสุรวงศ์,hotel,宾馆,4.7,4233,"262 Surawong Rd, Khwaeng Si Phraya, Khet Bang Rak, Krung Thep Maha Nakhon 10500",13.72732,100.522248,挽叻县,Si Phraya,,+66 2 088 5666,https://www.marriott.com/en-us/hotels/bkkwo-bangkok-marriott-hotel-the-surawongse/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,适合儿童|有洗手间|无障碍入口|无障碍停车|无障碍洗手间,这家高档酒店内设时尚客房，另有餐厅、屋顶酒吧、池畔酒吧、无边泳池和水疗中心。,https://maps.google.com/?cid=241080409513212775&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJpR0RSsSY4jARHHwN3-qBOdk,酒店住宿,Grande Centre Point Terminal 21,แกรนด์เซ็นเตอร์พอยต์ เทอร์มินอล 21,,5 星级酒店,4.5,4211,"2 Soi Sukhumvit 19, Khlong Toei Nuea, Watthana, Bangkok 10110泰国",13.738243,100.560613,宛他那县,Khlong Toei Nuea,,+66 2 056 9000,https://grandecentrepointterminal21.com,,,https://www.google.com/maps/place/Grande+Centre+Point+Terminal+21/data=!4m10!3m9!1s0x30e298c44a111da5:0xd93981eadf0d7c1c!5m2!4m1!1i2!8m2!3d13.7382434!4d100.5606127!16s%2Fg%2F1tcx9b8x!19sChIJpR0RSsSY4jARHHwN3-qBOdk?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJxe-mTmyZ4jARWrqTyaeZmwY,酒店住宿,Nouvo City Hotel - โรงแรมนูโว ซิตี,Nouvo City Hotel - โรงแรมนูโว ซิตี,hotel,酒店,4.3,3997,"2 Soi Samsen 2, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.762787,100.49943,拍那空县,班潘通,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 2 282 7500,https://www.nouvocityhotel.com/,适合儿童|无障碍入口|无障碍停车,这家休闲酒店内设闲适客房和套房，另有屋顶泳池、酒吧，以及 2 间清真餐厅。,https://maps.google.com/?cid=476143131538209370&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJG5ujYw2Z4jARmh5CJglDVYw,酒店住宿,Royal Rattanakosin Hotel,โรงแรมรัตนโกสินทร์,hotel,宾馆,3.8,3923,"2 Thanon Ratchadamnoen Klang, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.757082,100.495626,拍那空县,波稳尼威区,,+66 2 222 9111,http://www.rattanakosinhotel.com/,适合儿童|无障碍入口|无障碍停车,休闲宜人的酒店，内设简约客房和套房，另有餐厅、酒吧及室外泳池。,https://maps.google.com/?cid=10112062244905950874&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJTc3SMqmf4jARV8gjCgcYgPg,酒店住宿,素坤逸57号萨利酒店,โรงแรมสาลี สุขุมวิท 57,,5 星级酒店,4.7,3881,"24 Soi Sukhumvit 57 Klong Tun Nue, Watthana, Bangkok 10110泰国",13.724827,100.580285,宛他那县,Khlong Tan Nuea,,+66 2 072 2882,https://thesalilhotels.com,,,https://www.google.com/maps/place/%E7%B4%A0%E5%9D%A4%E9%80%B857%E5%8F%B7%E8%90%A8%E5%88%A9%E9%85%92%E5%BA%97/data=!4m10!3m9!1s0x30e29fa932d2cd4d:0xf88018070a23c857!5m2!4m1!1i2!8m2!3d13.7248271!4d100.5802849!16s%2Fg%2F11c2y5mpj1!19sChIJTc3SMqmf4jARV8gjCgcYgPg?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJVZ_3_9ae4jARRqpJm6YHcKM,酒店住宿,Siam@Siam Design Hotel Bangkok,สยามแอทสยาม ดีไซน์ โฮเต็ล กรุงเทพฯ,,5 星级酒店,4.4,3827,"Opposite National Stadium 865 Rama I Rd, Wang Mai, Pathum Wan, Bangkok 10330泰国",13.747436,100.526972,巴吞旺县,Wang Mai,,+66 2 217 3000,https://siamatsiam.com,,,https://www.google.com/maps/place/Siam@Siam+Design+Hotel+Bangkok/data=!4m10!3m9!1s0x30e29ed6fff79f55:0xa37007a69b49aa46!5m2!4m1!1i2!8m2!3d13.7474361!4d100.5269722!16s%2Fg%2F1tk3d9v1!19sChIJVZ_3_9ae4jARRqpJm6YHcKM?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJgf1Rnb-Y4jARaZXmSa-m7sU,酒店住宿,曼谷湄南河四季酒店,โรงแรมโฟร์ซีซั่นส์ กรุงเทพฯ แม่น้ำเจ้าพระยา,,5 星级酒店,4.8,3610,"300/1 ถ. เจริญกรุง Yan Nawa, Sathon, Bangkok 10120泰国",13.711768,100.510662,沙吞县,Yan Nawa,,+66 2 032 0888,https://fourseasons.com,,,https://www.google.com/maps/place/%E6%9B%BC%E8%B0%B7%E6%B9%84%E5%8D%97%E6%B2%B3%E5%9B%9B%E5%AD%A3%E9%85%92%E5%BA%97/data=!4m10!3m9!1s0x30e298bf9d51fd81:0xc5eea6af49e69569!5m2!4m1!1i2!8m2!3d13.7117681!4d100.5106625!16s%2Fg%2F11dxk8ngl6!19sChIJgf1Rnb-Y4jARaZXmSa-m7sU?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJAfeapOef4jARP742CpyjQgA,酒店住宿,曼谷拍耶泰颐思殿酒店,เยสิเดียน บางกอก พญาไท,hotel,宾馆,4.8,3534,"The Unicorn Building, 18 Phaya Thai Rd, Khwaeng Thung Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400",13.756687,100.533062,拉差贴威县,Thung Phaya Thai,,+66 2 483 2899,https://www.eastinhotelsresidences.com/eastingrandhotelphayathai,适合儿童|无障碍入口|无障碍停车,"Upscale hotel offering stylish rooms & suites, plus 2 restaurants, a spa & 2 outdoor pools.",https://maps.google.com/?cid=18757239044488767&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
