Google地点ID,地点名称,入住日期,退房日期,入住人数,供应商,是否官方,当前价格数值,原价数值,含税价格数值,币种,价格说明,预订链接
ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,Siri Ratchadamnoen Bangkok Hotel,2026-09-07,2026-09-08,2,Travelocity.com,否,67,,72,USD,免费取消截止日期：9月5日 · 免费早餐,https://www.google.com/travel/lodging/clk?pc=AA80OszEhn21O7dy_KLEqfhuAUr3WfSsbWb3ix-UJin53OxQMbvmJ-4ZPd8r_Jsd9l_cElh3-NAIFnWUl75dgMGnjOatGv1_hxmbBh0x6065Z63bIe6nQ41VThHzKD-k-fM5te8eR3P0fZ1L-pcfXwo4jMXoymB4XXS4Vw2XFBaqdIkjPu0M8pkuzV_Jhgrel5Ou&pcurl=https://www.travelocity.com/Hotel-Search?selected%3D99276030%26startDate%3D2026-09-07%26endDate%3D2026-09-08%26adults%3D2%26children%3D%26MDPCID%3Dtravelocity-US.META.HPA.ORGANIC.HOTEL%26MDPDTL%3DHTL.99276030.20260907.20260908.DDT.10.CID..AUDID..mapresults%26mpg%3DUSD%26mpf%3D71.92%26mpj%3D10.82%26mpr%3D6.11%26mctc%3D10%26rateplanid%3D392244145%26mpm%3D24%26mpn%3D323570301%26mpo%3DEC%26mpp%3D1&s=AD1XQnmBl2hnJU931stuqpXCZ5Fe
ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,Siri Ratchadamnoen Bangkok Hotel,2026-09-07,2026-09-08,2,müv AI,否,64,,76,USD,,https://www.google.com/travel/lodging/clk?pc=AA80OsxoDju-EoGDpDRQMAngNvcdCV7TZcS9IRtxVPaNdvZcKg_tYbE4fnr5YlmYiIxsscJ2m4tpWZKeIT64e-KHhM64DQBu7Tjk__XV8WJou8uhkFo-FdKjP4qYKO6kB5ZRsdg2LpHJC9TJKIm1oK3Wuup35W2Pk7sEYmhAR-uge_fvLsaI2U4ZTh05FoiT3g&pcurl=https://muvtravel.com/muv-hotel?hotelID%3D71336824%26checkinDay%3D07%26checkinMonth%3D09%26checkinYear%3D2026%26nights%3D1%26num-guests%3D2%26checkoutDay%3D08%26checkoutMonth%3D09%26checkoutYear%3D2026%26SUP%3DEP%26RATE%3DMER%26PROMO-CODE%3D98010&s=AD1XQnlVjwjX5sAPjiLjD9k0Rz6m
ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,Siri Ratchadamnoen Bangkok Hotel,2026-09-07,2026-09-08,2,Qantas Hotels,否,72,,72,USD,,https://www.google.com/travel/lodging/clk?pc=AA80OswKwz25Ax2THfe6Xmlbr_tsYljIZInesi3BkGsZh9fixpxotigspYAUdtHl9Q9qotRgydccRGcmOYi0B8uhg2z9yaf18ctzzigQXuB14ZJ-NnitLqbGL5lQhSGgevW9b-CuPBAb7pkFyqhtYndIZ4O6Nmrk7IbNDgM0aY1JpIJKCnHm852d&pcurl=https://www.qantas.com/hotels/properties/992963?adults%3D2%26children%3D0%26infants%3D0%26checkIn%3D2026-09-07%26checkOut%3D2026-09-08%26utm_campaign%3DGoogleHotels%26adType%3D0%26utm_medium%3Dorganic-search%26utm_source%3DGoogle-Hotels%26utm_term%3D992963%26hotelID%3D992963%26hotel_campaign%3D&s=AD1XQnneuuJQw7MFhyEv6-v_Cy9H
ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,Siri Ratchadamnoen Bangkok Hotel,2026-09-07,2026-09-08,2,eDreams,否,67,,72,USD,免费取消截止日期：9月5日 · 免费早餐,https://www.google.com/travel/lodging/clk?pc=AA80OszPbH-k2viL1HTRXHLMSfh-XbnZeOK9LsLT5YTPKvMrck0Pc65iGqcnCl8TM8AsHKUK8NjYLe0L4p1pcD8sHBs4MsKNcnjxAab9MYb5qK4HSruxeGd3VMs_4rII7hA-98Bdn0OryJVyg1QcdwNMn-XyDRFjlH2nkvugHNDumtKqQsNataj0&pcurl=https://accommodation.edreams.net/Hotel-Search?selected%3D99276030%26startDate%3D2026-09-07%26endDate%3D2026-09-08%26adults%3D2%26children%3D%26mpf%3D71.92%26cur%3DUSD%26mpj%3D10.82%26MDPCID%3DeDreams-US.DPS.Edreams.MetaSearch-GHA.HOTEL%26mpl%3DUSD%26numberOfRooms%3D1%26locale%3Den_US%26rffrid%3Dh4p.hcom.US.ghaodigeo.000.000.kwrd%3D%26pos%3DEDREAMS_US%26rateplanid%3D392244145%26mctc%3D10%26utm_medium%3Dmetasearch%26utm_campaign%3D3177832960%26utm_term%3Dhotel%26utm_source%3DFREEBOOKING&s=AD1XQnnAxMAP6q3319WRljc_3gj8
ChIJmR4bB6WZ4jARVFS_OTIWACA,EXORESIDENCE - Heart of Chinatown,2026-09-06,2026-09-07,2,Exoresidence The Heart of Chinatown,是,38,,38,USD,,https://www.google.com/travel/lodging/clk?pc=AA80OsxYJVYtzjnRnC-CGBdHykwOCsFc0RDak-N4bRfi9z3c7vla0WI51ZwFG_5YN2jDLIGxiQtqSm5nu9U-JEZrJDST3NjCnO-AHtXZIXmDIOHGkJtqnkVtZUFcEh-7ugQqX3p6Yu17JuTJL2U6k5YnIN8AtEdxSPfmM-XZRCr2wP022dcH7UTovEZN&pcurl=https://api.cloudbeds.com/adshotel-deeplink/official_site_redirect.php?onlineid%3D88823%26datefrom%3D2026-09-06%26dateto%3D2026-09-07%26culture%3Dzh%26device%3Ddesktop%26bookingSource%3Dcpc%26pr%3D2%26country%3DUS%26roomid%3D664320%26P%3Dgoogle%26currency%3DUSD%26ghaCampaignId%3D%26advance_booking_window%3D9%26freeClick%3D1%26adults%3D2%26children%3D0%26alternate_hotel_id%3D8dtTqW%26rpid%3D430700%26price_displayed_total%3D38.04%26length%3D1%26google_site%3Dmapresults%26is_click_type_hotel%3D1%26is_click_type_room%3D0%26is_hotel_campaign%3D1%26is_promoted%3D0%26island_id%3Dga%26origin%3Dgha%26ads_click_source%3D&s=AD1XQnnGc4LtW5vTwol-eSctYsX_
ChIJmR4bB6WZ4jARVFS_OTIWACA,EXORESIDENCE - Heart of Chinatown,2026-09-06,2026-09-07,2,Traveloka.com,否,25,,30,USD,,https://www.google.com/travel/lodging/clk?pc=AA80Osw02zPA40qtj4l366dRbf-f9AAHuPD6qyVGVx_2FPtHlzvCvT8YS4G9xNX_f2kBigSXKxo6t7wJi2JUUFDN9NfcBFXzNNShjC2MHzS-hX9ud0C6K9jHbGyY6NAH2aDvpUiYWdfTWX2VLjG8uOVVDRxn2Sbpaksc56TaDgQi045tdIy-5lRarxaU&pcurl=https://www.traveloka.com/en-en/hotel/search?spec%3D06-09-2026.07-09-2026.1.1.HOTEL_GEO.10000045.Bangkok.2%26hotelId%3D9000002456871%26contexts%3D%257B%2522accessCode%2522:%252290975GHAD1305desktop%2522%252C%2522metasearchRequestId%2522%253A%25225e0602c7-9bfb-40cb-a5c4-7e1df53c52e2%2522%252C%2522dateSelectionType%2522%253A%2522default%2522%252C%2522plc%2522%253A%2522iyOaBw%252BQZSe5o%252FFvC2U7%252BTJQ9Q9k3vDOU5c4iK4a%252FUIgaSnbDG%252FnBomRv0XZkLXuBJA%252FlLT%252B5UNxeWbhbMOeTw%253D%253D%2522%252C%2522pvlc%2522%253A%2522tSQq3rjZmiLXf2PCrp0u8idm5yBP59UBp5rT2kr3cRSRQetJNxA7RmQV%252BGLnSgOj%2522%257D%26metasearchId%3DGoogleHotelAdsUser%26metasearchRateId%3Ddesktop%26metasearchRatekey%3DsgyUU2M0LrnnpXh1LPwoI%26priceDisplay%3DTOTAL%26metasearchRefid%3D12345678910abcdefghijk@-%26adType%3D0%26PPA%3D0%26hotelCampaign%3D1%26cur%3DUSD&s=AD1XQnkNz5vYPjGlx4LjrvJon9BT
ChIJmR4bB6WZ4jARVFS_OTIWACA,EXORESIDENCE - Heart of Chinatown,2026-09-06,2026-09-07,2,Bluepillow.com,否,27,,27,USD,,"https://www.google.com/travel/lodging/clk?pc=AA80OszETh80I6RURppkb0vLwA6uc1ECmfBsPSuTfWgwZnTnX5i069tcPgpd_dwZ9_0CKTQfWjpHYJosqoHc7p03TByOGIlZCV2IIt4eXpZ1HohL-gUMxhk1d0S0ev4kWOrn2vmXtqyMb9wVFx0LQ-LxUtauSKjIKRb5fJAZ5ThnLjl5d2JF3b_tTUlPzw&pcurl=https://www.bluepillow.com/search/6552041d1811a9820ec27949?begin%3D2026-09-06%26end%3D2026-09-07%26block_id%3D-b,WzevbhcdIW_NIBTDSJ9dKbl5wAO92ScR-1ETeEHGaRfLV-1j7VIHYWpZkkDGDw3f,-bpag-Hotel%26fees%3D3.99%26tax%3D3.99%26total%3D26.53%26adults%3D2%26childs%3D0%26infants%3D0%26childrens%3D0%26country%3DUS%26currency%3DUSD%26language%3Dzh%26source%3Dmapresults%26utm_campaign%3Dhotel%26prid%3Dforeign&s=AD1XQnk9_az5yQtZyDhMpjJP5Ud8"
ChIJmR4bB6WZ4jARVFS_OTIWACA,EXORESIDENCE - Heart of Chinatown,2026-09-06,2026-09-07,2,Agoda,否,26,,27,USD,,https://www.google.com/travel/lodging/clk?pc=AA80OsyJL3HHOdRO5obLJTpf1GPvWf9qWteDUOouc8YZfaG9LGZ4UFVXCEUUOQ9RVesncHKru-8o9d1udvp1PRPOYTViQufPJ1wSus1UukkbE2V2YSJhjFATZM8-aok0Dmz9Fj0de3IEPxU8R7TNkZaGAOHZxLQXniIv-2Dus7DhX9F2h833QpfYWp3TdRq8lQ&pcurl=https://www.agoda.com/zh-zh/partners/partnersearch.aspx?site_id%3D1917614%26CkInDay%3D06%26CkInMonth%3D09%26CkInYear%3D2026%26CkOutDay%3D07%26campaignid%3D%26CkOutMonth%3D09%26CkOutYear%3D2026%26SearchDateType%3Ddefault%26NumberOfAdults%3D2%26LT%3D9%26NumberOfChildren%3D0%26childages%3D%26NumberOfRooms%3D1%26gsite%3Dmapresults%26los%3D1%26PartnerCurrency%3DTHB%26hid%3D39830666%26RoomID%3D%26masterRoomId%3D715242674%26PriceTotal%3D27.39%26PriceTax%3D4.12%26PriceFee%3D2.33%26RatePlan%3D%26UserCountry%3DUS%26Currency%3DUSD%26UserDevice%3Ddesktop%26Verif%3Dfalse%26rr%3DUS%26audience_list%3D%26mcid%3D332%26booking_source%3Dcpc%26adType%3D0%26mpt%3DWkxrbC9odmJRRkZwRWtPSXYrTXdnTzBudmQ5WDA0WjFJN0RxZmpGN240VEpEc0JjSFZSZmRNc1dKTEVhRUU5K0lmWE1RTTgyYmlGbkx3PT0%26original_rr%3DUS%26gaClickSrc%3D%26clickType%3Dhotel%26lang%3Dzh%26pkgId%3D&s=AD1XQnmBNWSfNTrwsurnaM3SKJ2j
ChIJmR4bB6WZ4jARVFS_OTIWACA,EXORESIDENCE - Heart of Chinatown,2026-09-06,2026-09-07,2,Expedia.co.th,否,28,,30,USD,,https://www.google.com/travel/lodging/clk?pc=AA80OszhRi8H4t9B0Ag184qt9bWAo3y4U6CrsNOxqQE76CBslwBgJKRtnXfPg2ZSwL-CbW_VleWUu-w17y6EIXOaLsGIxrixukw-E_t45C9nD9rJ35ZDci167F70ly67HItUVjfBGstQNI0yurzcq9YqtKMCqmgGKJG790K4ViuNh3qslJxrzeBjDSBAYdKN0hZb&pcurl=https://www.expedia.co.th/Hotel-Search?selected%3D99591927%26startDate%3D2026-09-06%26endDate%3D2026-09-07%26MDPCID%3DUS.META.HPA.HOTEL-ORGANIC-desktop.HOTEL%26MDPDTL%3DHTL.99591927.20260906.20260907.DDT.9.CID..AUDID..RRID.bex_us_desktop%26adults%3D2%26children%3D%26mctc%3D10%26ct%3Dhotel%26mpg%3DUSD%26mpf%3D30.37%26mpj%3D5.16%26mpr%3D2.92%26mpl%3DUSD%26exp_pg%3Dgoogle%26langid%3Dzh%26ad%3D2%26tp%3D%26utm_source%3Dgoogle%26utm_medium%3Dcpc%26utm_term%3D99591927%26utm_content%3Dmapresults%26utm_campaign%3DHotelAds%26rateplanid%3D407833998%26mpm%3D24%26mpn%3D323863701%26mpo%3DEC%26mpp%3D1&s=AD1XQnk-E4QV7B1zyCUQHVzgtrjn
ChIJmR4bB6WZ4jARVFS_OTIWACA,EXORESIDENCE - Heart of Chinatown,2026-09-06,2026-09-07,2,Trip.com,否,30,,32,USD,,https://www.google.com/travel/lodging/clk?pc=AA80Osym6WCvMDFEOMdE1Ff2mTlvnReYGGaf_wV1iapdnwGiJFT1bb1bVIVdvRL0_qmuTxiUUbxW_eTF7BjvnS7oT8tB1mlo-Ru1-TfcOv8o8T1LfM2QMX6Ws-8hQdlGJFtOIJNz3m5XbcXOJNGRnUXi2I93ICZlonkCsLPo_mBpHOQ4DkrCDVQ&pcurl=https://us.trip.com/hotels/redirect?hotelid%3D108616248%26city%3D359%26shoppingid%3DMFJOxRe0Pdod%26adult%3D2%26children%3D0%26ages%3D%26checkin%3D2026-09-06%26checkout%3D2026-09-07%26curr%3DUSD%26Allianceid%3D15214%26Sid%3D1209572%26prid%3DLANG_US%26trip_sub1%3D06_09_2026_1_mapresults_108616248_US_desktop_default___0_0-LANG_US-landing%26hpaopts%3Dstand%5BH4sIAAAAAAAA_-Oy4WKSYBJi4mCUMuLYeWvGYjaL34IBHDMYd2x5aryDkekiY-vrwB1yrNYODxnPngEBe4cXjI_WdP9hXMDCKMXj6-blXxGUahCQkp-iwKjRcOzIFTYPxiA2VxMjNwvDKBku5hAPJ8G_C2eqXxc5ZS_FHBrsovhn5cdLvo-kHJJYU_N0Q4Mzvop2MTJ5MK5iZOdiNjAyEmD6xMiPbG68mcEkJkZDAGNcRz2rAAAA%5Dfgt%5B1%5D%26br%3D31.80%26tf%3D4.78%26display%3Dexavg%26locale%3Den_us%26crn%3D1%26roomid%3D1684417849%26allianceid%3D15214%26sid%3D1209572&s=AD1XQnnmi0XzuhBREgxVbQ5XOFgr
